Aaron Carter vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
90,Bellsprout,-25,-39,-79,-36,-65,-38,15352
91,Weepinbell,-10,-24,-64,-21,-50,-23,8242
92,Victreebel,5,-9,-49,-6,-25,-8,3232
93,Tentacool,-35,-74,-79,-56,5,-8,16167
94,Tentacruel,5,-44,-49,-26,25,22,6147
95,Geodude,-35,-34,-14,-76,-65,-58,15942
96,Geodude (Alolan Geodude),-35,-34,-14,-76,-65,-58,15942
97,Graveler,-20,-19,1,-61,-50,-43,8832
98,Graveler (Alolan Graveler),-20,-19,1,-61,-50,-43,8832
99,Golem,5,6,16,-51,-30,-33,4907
100,Golem (Alolan Golem),5,6,16,-51,-30,-33,4907
101,Ponyta,-25,-29,-59,-41,-30,12,7672
102,Ponyta (Galarian Ponyta),-25,-29,-59,-41,-30,12,7672
103,Rapidash,-10,-14,-44,-26,-15,27,3862
104,Rapidash (Galarian Rapidash),-10,-14,-44,-26,-15,27,3862
105,Slowpoke,15,-49,-49,-66,-55,-63,16377
106,Slowpoke (Galarian Slowpoke),15,-49,-49,-66,-55,-63,16377
107,Slowbro,20,-39,-4,-6,-15,-48,4502
108,Slowbro (Mega Slowbro),20,-39,66,24,-15,-48,9382
109,Slowbro (Galarian Slowbro),20,-14,-19,-6,-25,-48,3922
110,Magnemite,-50,-79,-44,-11,-40,-33,13487
111,Magneton,-25,-54,-19,14,-25,-8,4787
112,Farfetch'd,-23,-24,-59,-48,-33,-18,8303
113,Farfetch'd (Galarian Farfetch'd),-23,-19,-59,-48,-33,-23,8293
114,Doduo,-40,-29,-69,-71,-60,-3,15852
115,Dodrio,-15,-4,-44,-46,-35,32,6542
116,Seel,-10,-69,-59,-61,-25,-33,13777
117,Dewgong,15,-44,-34,-36,0,-8,4677
118,Grimer,5,-34,-64,-66,-45,-53,14467
119,Grimer (Alolan Grimer),5,-34,-64,-66,-45,-53,14467
120,Muk,30,-9,-39,-41,5,-28,4992
121,Muk (Alolan Muk),30,-9,-39,-41,5,-28,4992
122,Shellder,-45,-49,-14,-61,-70,-38,14687
123,Cloyster,-25,-19,66,-21,-50,-8,8347
124,Gastly,-45,-79,-84,-6,-60,2,18962
125,Haunter,-30,-64,-69,9,-40,17,11727
126,Gengar,-15,-49,-54,24,-20,32,7542
127,Gengar (Mega Gengar),-15,-49,-34,64,0,52,10582
128,Onix,-40,-69,46,-76,-50,-8,16817
129,Drowzee,-15,-66,-69,-63,-5,-36,14632
130,Hypno,10,-41,-44,-33,20,-11,5327
131,Krabby,-45,-9,-24,-81,-70,-28,14927
132,Kingler,-20,16,1,-56,-45,-3,5827
133,Voltorb,-35,-84,-64,-51,-40,22,17062
134,Voltorb (Hisuian Voltorb),-35,-84,-64,-51,-40,22,17062
135,Electrode,-15,-64,-44,-26,-15,72,12342
136,Electrode (Hisuian Electrode),-15,-64,-44,-26,-15,72,12342
137,Exeggcute,-15,-74,-34,-46,-50,-38,12917
138,Exeggutor,20,-19,-29,19,-20,-23,2892
139,Exeggutor (Alolan Exeggutor),20,-9,-29,19,-20,-33,3172
140,Cubone,-25,-64,-19,-66,-45,-43,13312
141,Marowak,-15,-34,-4,-56,-15,-33,5847
142,Marowak (Alolan Marowak),-15,-34,-4,-56,-15,-33,5847
143,Hitmonlee,-25,6,-61,-71,15,9,9729
144,Hitmonchan,-25,-9,-35,-71,15,-2,7201
145,Lickitung,15,-59,-39,-46,-20,-48,10047
146,Koffing,-35,-49,-19,-46,-50,-43,10452
147,Weezing,-10,-24,6,-21,-25,-18,2102
148,Weezing (Galarian Weezing),-10,-24,6,-21,-25,-18,2102
149,Rhyhorn,5,-29,-19,-76,-65,-53,14037
150,Rhydon,30,16,6,-61,-50,-38,8857
151,Chansey,175,-109,-109,-71,10,-28,60312
152,Tangela,-10,-59,1,-6,-55,-18,6967
153,Kangaskhan,30,-19,-34,-66,-15,12,7142
154,Kangaskhan (Mega Kangaskhan),30,11,-14,-46,5,22,3842
155,Horsea,-45,-74,-44,-36,-70,-18,15957
156,Seadra,-20,-49,-19,-11,-50,7,5832
157,Goldeen,-30,-47,-54,-71,-45,-15,13316
158,Seaking,5,-22,-49,-41,-15,-10,4916
159,Staryu,-45,-69,-59,-36,-40,7,13212
160,Starmie,-15,-39,-29,-6,-10,37,4092
161,Mr. Mime,-35,-69,-49,-6,25,12,9192
162,Mr. Mime (Galarian Mr. Mime),-25,-49,-49,-16,-5,22,6192
163,Scyther,-5,-4,-34,-51,-15,27,4752
164,Jynx,-10,-64,-79,9,0,17,10807
165,Electabuzz,-10,-31,-57,-11,-10,27,5260
166,Magmar,-10,-19,-57,-6,-10,15,4071
167,Pinsir,-10,11,-14,-51,-25,7,3692
168,Pinsir (Mega Pinsir),-10,41,6,-41,-5,27,4252
169,Tauros,0,-14,-19,-66,-25,32,6562
170,Tauros (Paldean Tauros (Combat Breed)),0,-4,-9,-76,-25,22,6982
171,Tauros (Paldean Tauros (Blaze Breed)),0,-4,-9,-76,-25,22,6982
172,Tauros (Paldean Tauros (Aqua Breed)),0,-4,-9,-76,-25,22,6982
173,Magikarp,-55,-104,-59,-91,-75,2,31232
174,Gyarados,20,11,-35,-46,5,3,3896
175,Gyarados (Mega Gyarados),20,41,-5,-36,35,3,4636
176,Lapras,55,-29,-34,-21,0,-18,5787
177,Ditto,-27,-66,-66,-58,-47,-30,15914
178,Eevee,-20,-59,-64,-61,-30,-23,13127
179,Eevee (Partner Eevee),-10,-39,-44,-41,-10,-3,5347
180,Vaporeon,55,-49,-54,4,0,-13,8527
181,Jolteon,-10,-49,-54,4,0,52,8137
182,Flareon,-10,16,-54,-11,15,-13,3787
183,Porygon,-10,-54,-44,-21,-20,-38,7237
184,Omanyte,-40,-74,-14,-16,-40,-43,10977
185,Omastar,-5,-54,11,9,-25,-23,4297
186,Kabuto,-45,-34,-24,-51,-50,-23,9387
187,Kabutops,-15,1,-9,-41,-25,2,2617
188,Aerodactyl,5,-9,-49,-46,-20,52,7727
189,Aerodactyl (Mega Aerodactyl),5,21,-29,-36,0,72,7787
190,Snorlax,85,-4,-49,-41,15,-48,13852
191,Articuno,15,-29,-14,-11,30,7,2332
192,Articuno (Galarian Articuno),15,-29,-29,19,5,17,2582
193,Zapdos,15,-24,-29,19,-5,22,2512
194,Zapdos (Galarian Zapdos),15,11,-24,-21,-5,22,1872
195,Moltres,15,-14,-24,19,-10,12,1602
196,Moltres (Galarian Moltres),15,-29,-24,-6,30,12,2722
197,Dratini,-34,-50,-69,-56,-45,-28,14362
198,Dragonair,-14,-30,-49,-36,-25,-8,5482
199,Dragonite,16,20,-19,-6,5,2,1082
200,Mewtwo,31,-4,-24,48,-5,52,6586
201,Mewtwo (Mega Mewtwo X),31,76,-14,48,5,52,11966
202,Mewtwo (Mega Mewtwo Y),31,36,-44,88,25,62,16406
203,Mew,25,-14,-14,-6,5,22,1562
204,Chikorita,-30,-65,-49,-57,-30,-33,12764
205,Bayleef,-15,-52,-34,-43,-15,-18,6483
206,Meganium,5,-32,-14,-23,5,2,1803
207,Cyndaquil,-36,-62,-71,-46,-45,-13,14491
208,Quilava,-17,-50,-56,-26,-30,2,7505
209,Typhlosion,3,-30,-36,3,-10,22,2798
210,Typhlosion (Hisuian Typhlosion),-2,-30,-36,13,-10,17,2758
211,Totodile,-25,-49,-50,-62,-47,-35,12804
212,Croconaw,-10,-34,-34,-47,-32,-20,6045
213,Feraligatr,10,-9,-14,-27,-12,0,1250
214,Sentret,-40,-68,-80,-71,-50,-58,23529
215,Furret,10,-38,-50,-61,-40,12,9509
216,Hoothoot,-15,-84,-84,-70,-39,-28,21542
217,Noctowl,25,-64,-64,-20,1,-8,9282
218,Ledyba,-35,-94,-84,-66,-15,-23,22227
219,Ledian,-20,-79,-64,-51,15,7,13612
220,Spinarak,-35,-54,-74,-66,-55,-48,19302
221,Ariados,-5,-24,-44,-46,-25,-38,6722
222,Crobat,10,-24,-34,-36,-15,52,6057
223,Chinchou,0,-76,-76,-50,-39,-11,15694
224,Lanturn,50,-56,-56,-30,-19,-11,10154
225,Pichu,-55,-74,-99,-71,-60,-18,27267
226,Cleffa,-25,-89,-86,-61,-40,-63,25232
227,Igglybuff,15,-84,-99,-66,-75,-63,31032
228,Togepi,-40,-94,-49,-66,-30,-58,21457
229,Togetic,-20,-74,-29,-26,10,-38,8937
230,Natu,-35,-64,-69,-36,-50,-8,13942
231,Xatu,-10,-39,-44,-11,-25,17,4592
232,Mareep,-20,-74,-74,-41,-50,-43,17382
233,Flaaffy,-5,-59,-59,-26,-35,-33,9977
234,Ampharos,15,-39,-29,9,-5,-23,3222
235,Ampharos (Mega Ampharos),15,-19,-9,59,15,-33,5462
236,Bellossom,0,-34,-19,-16,5,-28,2582
237,Marill,-5,-94,-64,-86,-45,-38,23822
238,Azumarill,25,-64,-34,-46,-15,-28,9002
239,Sudowoodo,-5,-14,1,-76,-30,-48,9202
240,Politoed,15,-39,-39,-16,5,-8,3612
241,Hoppip,-40,-79,-74,-71,-40,-28,20742
242,Skiploom,-20,-69,-64,-61,-30,2,13882
243,Jumpluff,0,-59,-44,-51,0,32,9042
244,Aipom,-20,-44,-59,-66,-40,7,11822
245,Sunkern,-45,-84,-84,-76,-65,-48,28442
246,Sunflora,0,-39,-59,-1,-10,-48,7407
247,Yanma,-10,-49,-69,-31,-50,17,11012
248,Wooper,-20,-69,-69,-81,-70,-63,25352
249,Wooper (Paldean Wooper),-20,-69,-69,-81,-70,-63,25352
250,Quagsire,20,-29,-29,-41,-30,-43,6512
251,Espeon,-10,-49,-54,24,0,32,7017
252,Umbreon,20,-49,-4,-46,35,-13,6327
253,Murkrow,-15,-29,-72,-21,-53,13,9669
254,Slowking,20,-39,-34,-6,15,-48,5642
255,Slowking (Galarian Slowking),20,-49,-34,4,15,-48,6502
256,Misdreavus,-15,-54,-54,-21,-10,7,6647
257,Unown,-27,-42,-66,-34,-47,-30,11114
258,Wobbuffet,115,-81,-56,-73,-37,-45,31645
259,Girafarig,-5,-34,-49,-16,-30,7,4787
260,Pineco,-25,-49,-24,-71,-60,-63,16212
261,Forretress,0,-24,26,-46,-35,-38,6037
262,Dunsparce,25,-44,-44,-41,-30,-33,8167
263,Gligar,-10,-39,-9,-71,-30,7,7692
264,Steelix,0,-29,86,-51,-30,-48,14042
265,Steelix (Mega Steelix),0,11,116,-51,0,-48,18482
266,Snubbull,-15,-34,-64,-66,-55,-48,15162
267,Granbull,15,6,-39,-46,-35,-33,6212
268,Qwilfish,-10,-19,-29,-51,-40,7,5552
269,Qwilfish (Hisuian Qwilfish),-10,-19,-29,-51,-40,7,5552
270,Scizor,-5,16,-14,-51,-15,-13,3472
271,Scizor (Mega Scizor),-5,36,26,-41,5,-3,3712
272,Shuckle,-55,-104,116,-96,135,-73,60067
273,Heracross,5,11,-39,-66,0,7,6072
274,Heracross (Mega Heracross),5,71,1,-66,10,-3,9532
275,Sneasel,-20,-19,-59,-71,-20,37,11052
276,Sneasel (Hisuian Sneasel),-20,-19,-59,-71,-20,37,11052
277,Teddiursa,-15,-34,-64,-56,-45,-38,12082
278,Ursaring,15,16,-39,-31,-20,-23,3892
279,Slugma,-35,-74,-74,-36,-55,-58,19862
280,Magcargo,-15,-64,6,-16,-15,-48,7142
281,Swinub,-25,-64,-74,-76,-65,-28,20982
282,Piloswine,25,-14,-34,-46,-35,-28,6102
283,Corsola,-10,-59,-19,-41,0,-43,7472
284,Corsola (Galarian Corsola),-15,-59,-14,-41,5,-48,7912
285,Remoraid,-40,-49,-79,-41,-60,-13,15692
286,Octillery,0,-9,-39,-1,-20,-33,3092
287,Delibird,-30,-59,-69,-41,-50,-3,13332
288,Mantine,10,-74,-44,-26,45,-8,10277
289,Skarmory,-10,-34,26,-66,-25,-8,6977
290,Houndour,-30,-54,-84,-26,-45,-13,13742
291,Houndoom,0,-24,-64,4,-15,17,5202
292,Houndoom (Mega Houndoom),0,-24,-24,34,-5,37,3702
293,Kingdra,0,-19,-19,-11,0,7,892
294,Phanpy,15,-54,-54,-66,-55,-38,14882
295,Donphan,15,6,6,-46,-35,-28,4422
296,Porygon2,10,-34,-24,-1,0,-18,2157
297,Stantler,-2,-19,-52,-21,-30,7,4459
298,Smeargle,-20,-94,-79,-86,-50,-3,25382
299,Tyrogue,-40,-79,-79,-71,-60,-43,24572
300,Hitmontop,-25,-19,-19,-71,15,-8,6677
301,Smoochum,-30,-84,-99,-21,-30,-13,19267
302,Elekid,-30,-51,-77,-41,-40,17,13000
303,Magby,-30,-39,-77,-36,-40,5,11271
304,Miltank,20,-34,-9,-66,-25,22,7102
305,Blissey,180,-104,-104,-31,40,-23,57122
306,Raikou,15,-29,-39,9,5,37,4062
307,Entei,40,1,-29,-16,-20,22,3582
308,Suicune,25,-39,1,-16,20,7,2852
309,Larvitar,-25,-50,-64,-61,-45,-37,14336
310,Pupitar,-5,-30,-44,-41,-25,-27,5896
311,Tyranitar,25,20,-4,-11,5,-17,1476
312,Tyranitar (Mega Tyranitar),25,50,36,-11,25,-7,5216
313,Lugia,31,-24,16,-16,59,32,6554
314,Ho-Oh,31,16,-24,4,59,12,5434
315,Celebi,25,-14,-14,-6,5,22,1562
316,Treecko,-35,-69,-79,-41,-40,-8,15572
317,Grovyle,-25,-49,-69,-21,-30,17,9417
318,Sceptile,-5,-29,-49,-1,-10,42,5132
319,Sceptile (Mega Sceptile),-5,-4,-39,39,-10,67,7672
320,Torchic,-30,-54,-74,-36,-45,-33,13702
321,Combusken,-15,-29,-54,-21,-35,-23,6177
322,Blaziken,5,6,-44,4,-25,2,2642
323,Blaziken (Mega Blaziken),5,46,-34,24,-15,22,4582
324,Mudkip,-25,-44,-64,-56,-45,-38,13262
325,Marshtomp,-5,-29,-44,-46,-25,-28,6327
326,Swampert,25,-4,-24,-21,-5,-18,2007
327,Swampert (Mega Swampert),25,36,-4,-11,15,-8,2347
328,Poochyena,-40,-59,-79,-76,-65,-43,23172
329,Mightyena,-5,-24,-44,-46,-35,-8,5942
330,Zigzagoon,-37,-84,-73,-76,-54,-18,22770
331,Zigzagoon (Galarian Zigzagoon),-37,-84,-73,-76,-54,-18,22770
332,Linoone,3,-44,-53,-56,-34,22,9530
333,Linoone (Galarian Linoone),3,-44,-53,-56,-34,22,9530
334,Wurmple,-30,-69,-79,-86,-65,-58,26887
335,Silcoon,-25,-79,-59,-81,-70,-63,25777
336,Beautifly,-15,-44,-64,-6,-45,-13,8487
337,Cascoon,-25,-79,-59,-81,-70,-63,25777
338,Dustox,-15,-64,-44,-56,-5,-13,9587
339,Lotad,-35,-84,-84,-66,-45,-48,24022
340,Lombre,-15,-64,-64,-46,-25,-28,11942
341,Ludicolo,5,-44,-44,-16,5,-8,4242
342,Seedot,-35,-74,-64,-76,-65,-48,23102
343,Nuzleaf,-5,-44,-74,-46,-55,-18,12902
344,Shiftry,15,-14,-54,-16,-35,2,4822
345,Taillow,-35,-59,-84,-76,-65,7,21812
346,Swellow,-15,-29,-54,-31,-45,47,9177
347,Wingull,-35,-84,-84,-51,-65,7,22212
348,Pelipper,-15,-64,-14,-11,-25,-13,5432
349,Ralts,-47,-89,-89,-61,-60,-38,26816
350,Kirlia,-37,-79,-79,-41,-40,-28,17916
351,Gardevoir,-7,-49,-49,19,20,2,5616
352,Gardevoir (Mega Gardevoir),-7,-29,-49,59,40,22,8856
353,Surskit,-35,-84,-82,-56,-43,-13,20159
354,Masquerain,-5,-54,-52,-6,-13,2,5854
355,Shroomish,-15,-74,-54,-66,-35,-43,16047
356,Breloom,-15,16,-34,-46,-35,-8,5042
357,Slakoth,-15,-54,-54,-71,-60,-48,17002
358,Vigoroth,5,-34,-34,-51,-40,12,6682
359,Slaking,75,46,-14,-11,-30,22,9442
360,Nincada,-44,-69,-24,-76,-65,-38,18718
361,Ninjask,-14,-24,-69,-56,-45,82,17418
362,Shedinja,-74,-24,-69,-76,-65,-38,22258
363,Whismur,-11,-63,-91,-55,-72,-50,23080
364,Loudred,9,-43,-71,-35,-52,-30,11800
365,Exploud,29,-23,-51,-15,-22,-10,4780
366,Makuhita,-3,-54,-84,-86,-65,-53,24411
367,Hariyama,69,6,-54,-66,-35,-28,14078
368,Azurill,-25,-94,-74,-86,-55,-58,28722
369,Nosepass,-45,-69,21,-61,-5,-48,13277
370,Skitty,-25,-69,-69,-71,-60,-28,19572
371,Delcatty,-5,-49,-49,-51,-40,12,9172
372,Sableye,-25,-39,-39,-41,-30,-28,7032
373,Sableye (Mega Sableye),-25,-29,11,-21,20,-58,5792
374,Mawile,-25,-29,-29,-51,-40,-28,7292
375,Mawile (Mega Mawile),-25,-9,11,-51,0,-28,4212
376,Aron,-25,-44,-14,-66,-55,-48,12442
377,Lairon,-15,-24,26,-56,-45,-38,8082
378,Aggron,-5,-4,66,-46,-35,-28,8522
379,Aggron (Mega Aggron),-5,26,116,-46,-15,-28,17282
380,Meditite,-45,-74,-59,-66,-40,-18,17262
381,Medicham,-15,-54,-39,-46,-20,2,7182
382,Medicham (Mega Medicham),-15,-14,-29,-26,-10,22,2522
383,Electrike,-35,-69,-74,-41,-55,-13,16337
384,Manectric,-5,-39,-54,-1,-35,27,6417
385,Manectric (Mega Manectric),-5,-39,-34,29,-15,57,7017
386,Plusle,-15,-64,-74,-21,-20,17,10927
387,Minun,-15,-74,-64,-31,-10,17,11147
388,Volbeat,-10,-41,-39,-59,-10,7,6932
389,Illumise,-10,-67,-39,-33,-10,7,7348
390,Roselia,-25,-54,-69,-6,-15,-13,8732
391,Gulpin,-5,-71,-61,-63,-42,-38,15964
392,Swalot,25,-41,-31,-33,-12,-23,5029
393,Carvanha,-30,-24,-94,-41,-75,-13,17787
394,Sharpedo,-5,6,-74,-11,-55,17,8972
395,Sharpedo (Mega Sharpedo),-5,26,-44,4,-30,27,4282
396,Wailmer,55,-44,-79,-36,-60,-18,16422
397,Wailord,95,-24,-69,-16,-50,-18,17442
398,Numel,-15,-54,-74,-41,-50,-43,14647
399,Camerupt,-5,-14,-44,-1,-20,-38,4002
400,Camerupt (Mega Camerupt),-5,6,-14,39,10,-58,5242
401,Torkoal,-5,-29,26,-21,-25,-58,5972
402,Spoink,-15,-89,-79,-36,-15,-18,16232
403,Grumpig,5,-69,-49,-16,15,2,7672
404,Spinda,-15,-54,-54,-46,-35,-18,9722
405,Trapinch,-30,-14,-69,-61,-50,-68,16702
406,Vibrava,-25,-44,-64,-56,-45,-8,11882
407,Flygon,5,-14,-34,-26,-15,22,2762
408,Cacnea,-25,-29,-74,-21,-55,-43,12257
409,Cacturne,-5,1,-54,9,-35,-23,4777
410,Swablu,-30,-74,-54,-66,-20,-28,14832
411,Altaria,0,-44,-24,-36,10,2,3912
412,Altaria (Mega Altaria),0,-4,-4,4,10,2,152
413,Zangoose,-2,1,-54,-46,-35,12,6406
414,Seviper,-2,-14,-54,-6,-35,-13,4546
415,Lunatone,15,-59,-49,-11,-10,-8,6392
416,Solrock,15,-19,-29,-51,-30,-8,4992
417,Barboach,-25,-66,-71,-60,-54,-18,16862
418,Whiscash,35,-36,-41,-30,-24,-18,6002
419,Corphish,-32,-34,-49,-56,-60,-43,13166
420,Crawdaunt,-12,6,-29,-16,-40,-23,3406
421,Baltoy,-35,-74,-59,-66,-25,-23,15692
422,Claydol,-15,-44,-9,-36,25,-3,4172
423,Lileep,-9,-73,-37,-45,-8,-55,11893
424,Cradily,11,-33,-17,-25,12,-35,3493
425,Anorith,-30,-19,-64,-66,-45,-3,11747
426,Armaldo,0,11,-14,-36,-15,-33,2927
427,Feebas,-55,-99,-94,-96,-40,2,32482
428,Milotic,20,-54,-35,-6,30,3,5486
429,Castform,-5,-44,-44,-36,-25,-8,5882
430,Kecleon,-15,-24,-44,-46,25,-38,6922
431,Shuppet,-31,-39,-79,-43,-62,-33,15505
432,Banette,-11,1,-49,-23,-32,-13,4245
433,Banette (Mega Banette),-11,51,-39,-13,-12,-3,4565
434,Duskull,-55,-74,-24,-76,-5,-53,17687
435,Dusclops,-35,-44,16,-46,35,-53,9567
436,Tropius,24,-46,-31,-34,-8,-27,5602
437,Chimecho,0,-64,-34,-11,-5,-13,5567
438,Absol,-10,16,-54,-31,-35,-3,5467
439,Absol (Mega Absol),-10,36,-54,9,-35,37,6987
440,Wynaut,20,-91,-66,-83,-47,-55,25160
441,Snorunt,-25,-64,-64,-56,-45,-28,14762
442,Glalie,5,-34,-34,-26,-15,2,3242
443,Glalie (Mega Glalie),5,6,-34,14,-15,22,2122
444,Spheal,-5,-74,-64,-51,-45,-53,17032
445,Sealeo,15,-54,-44,-31,-25,-33,7752
446,Walrein,35,-34,-24,-11,-5,-13,3272
447,Clamperl,-40,-50,-29,-32,-40,-46,9681
448,Huntail,-20,-10,-9,-12,-20,-26,1801
449,Gorebyss,-20,-30,-9,8,-20,-26,2521
450,Relicanth,25,-24,16,-61,-30,-23,6607
451,Luvdisc,-32,-84,-59,-66,-30,19,17178
452,Bagon,-30,-39,-54,-66,-65,-28,14702
453,Shelgon,-10,-19,-14,-46,-45,-28,5582
454,Salamence,20,21,-34,4,-15,22,2722
455,Salamence (Mega Salamence),20,31,16,14,-5,42,3602
456,Beldum,-35,-59,-34,-71,-35,-48,14432
457,Metang,-15,-39,-14,-51,-15,-28,5552
458,Metagross,5,21,16,-11,-5,-8,932
459,Metagross (Mega Metagross),5,31,36,-1,15,32,3532
460,Regirock,5,-14,86,-56,5,-28,11562
461,Regice,5,-64,-14,-6,105,-28,16162
462,Registeel,5,-39,36,-31,55,-28,7612
463,Latias,5,-34,-24,4,35,32,4022
464,Latias (Mega Latias),5,-14,6,34,55,32,5462
465,Latios,5,-24,-34,24,15,32,3582
466,Latios (Mega Latios),5,16,-14,54,25,32,5042
467,Kyogre,25,-14,-24,44,45,12,5502
468,Kyogre (Primal Kyogre),25,36,-24,74,65,12,12342
469,Groudon,25,36,26,-6,-5,12,2802
470,Groudon (Primal Groudon),25,66,46,44,-5,12,9202
471,Rayquaza,30,36,-24,44,-5,17,5022
472,Rayquaza (Mega Rayquaza),30,66,-14,74,5,37,12322
473,Jirachi,25,-14,-14,-6,5,22,1562
474,Deoxys (Normal Forme),-25,36,-64,44,-45,72,15162
