Alexis Alms vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
141,Marowak,-28,-8,50,-10,-2,-46,5568
142,Marowak (Alolan Marowak),-28,-8,50,-10,-2,-46,5568
143,Hitmonlee,-38,32,-7,-25,28,-4,3942
144,Hitmonchan,-38,17,19,-25,28,-15,3728
145,Lickitung,2,-33,15,0,-7,-61,5088
146,Koffing,-48,-23,35,0,-37,-56,8563
147,Weezing,-23,2,60,25,-12,-31,5863
148,Weezing (Galarian Weezing),-23,2,60,25,-12,-31,5863
149,Rhyhorn,-8,-3,35,-30,-52,-66,9258
150,Rhydon,17,42,60,-15,-37,-51,9848
151,Chansey,162,-83,-55,-25,23,-41,38993
152,Tangela,-23,-33,55,40,-42,-31,8968
153,Kangaskhan,17,7,20,-20,-2,-1,1143
154,Kangaskhan (Mega Kangaskhan),17,37,40,0,18,9,3663
155,Horsea,-58,-48,10,10,-57,-31,10078
156,Seadra,-33,-23,35,35,-37,-6,5473
157,Goldeen,-43,-21,0,-25,-32,-28,4723
158,Seaking,-8,4,5,5,-2,-23,663
159,Staryu,-58,-43,-5,10,-27,-6,6103
160,Starmie,-28,-13,25,40,3,24,3763
161,Mr. Mime,-48,-43,5,40,38,-1,7223
162,Mr. Mime (Galarian Mr. Mime),-38,-23,5,30,8,9,3043
163,Scyther,-18,22,20,-5,-2,14,1433
164,Jynx,-23,-38,-25,55,13,4,5808
165,Electabuzz,-23,-5,-3,35,3,14,1993
166,Magmar,-23,7,-3,40,3,2,2200
167,Pinsir,-23,37,40,-5,-12,-6,3703
168,Pinsir (Mega Pinsir),-23,67,60,5,8,14,8903
169,Tauros,-13,12,35,-20,-12,19,2443
170,Tauros (Paldean Tauros (Combat Breed)),-13,22,45,-30,-12,9,3803
171,Tauros (Paldean Tauros (Blaze Breed)),-13,22,45,-30,-12,9,3803
172,Tauros (Paldean Tauros (Aqua Breed)),-13,22,45,-30,-12,9,3803
173,Magikarp,-68,-78,-5,-45,-62,-11,16723
174,Gyarados,7,37,19,0,18,-10,2203
175,Gyarados (Mega Gyarados),7,67,49,10,48,-10,9443
176,Lapras,42,-3,20,25,13,-31,3928
177,Ditto,-40,-40,-12,-12,-34,-43,6493
178,Eevee,-33,-33,-10,-15,-17,-36,4088
179,Eevee (Partner Eevee),-23,-13,10,5,3,-16,1088
180,Vaporeon,42,-23,0,50,13,-26,5638
181,Jolteon,-23,-23,0,50,13,39,5248
182,Flareon,-23,42,0,35,28,-26,4978
183,Porygon,-23,-28,10,25,-7,-51,4688
184,Omanyte,-53,-48,40,30,-27,-56,11478
185,Omastar,-18,-28,65,55,-12,-36,9798
186,Kabuto,-58,-8,30,-5,-37,-36,7018
187,Kabutops,-28,27,45,5,-12,-11,3828
188,Aerodactyl,-8,17,5,0,-7,39,1948
189,Aerodactyl (Mega Aerodactyl),-8,47,25,10,13,59,6648
190,Snorlax,72,22,5,5,28,-61,10223
191,Articuno,2,-3,40,35,43,-6,4723
192,Articuno (Galarian Articuno),2,-3,25,65,18,4,5203
193,Zapdos,2,2,25,65,8,9,5003
194,Zapdos (Galarian Zapdos),2,37,30,25,8,9,3043
195,Moltres,2,12,30,65,3,-1,5283
196,Moltres (Galarian Moltres),2,-3,30,40,43,-1,4363
197,Dratini,-47,-24,-15,-10,-32,-41,5815
198,Dragonair,-27,-4,5,10,-12,-21,1455
199,Dragonite,3,46,35,40,18,-11,5395
200,Mewtwo,18,22,30,94,8,39,12129
201,Mewtwo (Mega Mewtwo X),18,102,40,94,18,39,23009
202,Mewtwo (Mega Mewtwo Y),18,62,10,134,38,49,26069
203,Mew,12,12,40,40,18,9,3893
204,Chikorita,-43,-39,5,-11,-17,-46,5921
205,Bayleef,-28,-26,20,3,-2,-31,2834
206,Meganium,-8,-6,40,23,18,-11,2674
207,Cyndaquil,-49,-36,-17,0,-32,-26,5686
208,Quilava,-30,-24,-2,20,-17,-11,2290
209,Typhlosion,-10,-4,18,49,3,9,2931
210,Typhlosion (Hisuian Typhlosion),-15,-4,18,59,3,4,4071
211,Totodile,-38,-23,4,-16,-34,-48,5705
212,Croconaw,-23,-8,20,-1,-19,-33,2444
213,Feraligatr,-3,17,40,19,1,-13,2429
214,Sentret,-53,-42,-26,-25,-37,-71,12284
215,Furret,-3,-12,4,-15,-27,-1,1124
216,Hoothoot,-28,-58,-30,-24,-26,-41,7981
217,Noctowl,12,-38,-10,26,14,-21,3001
218,Ledyba,-48,-68,-30,-20,-2,-36,9528
219,Ledian,-33,-53,-10,-5,28,-6,4843
220,Spinarak,-48,-28,-20,-20,-42,-61,9373
221,Ariados,-18,2,10,0,-12,-51,3173
222,Crobat,-3,2,20,10,-2,39,2038
223,Chinchou,-13,-50,-22,-4,-26,-24,4421
224,Lanturn,37,-30,-2,16,-6,-24,3141
225,Pichu,-68,-48,-45,-25,-47,-31,12748
226,Cleffa,-38,-63,-32,-15,-27,-76,13167
227,Igglybuff,2,-58,-45,-20,-62,-76,15413
228,Togepi,-53,-68,5,-20,-17,-71,13188
229,Togetic,-33,-48,25,20,23,-51,7548
230,Natu,-48,-38,-15,10,-37,-21,5883
231,Xatu,-23,-13,10,35,-12,4,2183
232,Mareep,-33,-48,-20,5,-37,-56,8323
233,Flaaffy,-18,-33,-5,20,-22,-46,4438
234,Ampharos,2,-13,25,55,8,-36,5183
235,Ampharos (Mega Ampharos),2,7,45,105,28,-46,16003
236,Bellossom,-13,-8,35,30,18,-41,4363
237,Marill,-18,-68,-10,-40,-32,-51,10273
238,Azumarill,12,-38,20,0,-2,-41,3673
239,Sudowoodo,-18,12,55,-30,-17,-61,8403
240,Politoed,2,-13,15,30,18,-21,2063
241,Hoppip,-53,-53,-20,-25,-27,-41,9053
242,Skiploom,-33,-43,-10,-15,-17,-11,3673
243,Jumpluff,-13,-33,10,-5,13,19,1913
244,Aipom,-33,-18,-5,-20,-27,-6,2603
245,Sunkern,-58,-58,-30,-30,-52,-61,14953
246,Sunflora,-13,-13,-5,45,3,-61,6118
247,Yanma,-23,-23,-15,15,-37,4,2893
248,Wooper,-33,-43,-15,-35,-57,-76,13413
249,Wooper (Paldean Wooper),-33,-43,-15,-35,-57,-76,13413
250,Quagsire,7,-3,25,5,-17,-56,4133
251,Espeon,-23,-23,0,70,13,19,6488
252,Umbreon,7,-23,50,0,48,-26,6058
253,Murkrow,-28,-3,-18,25,-40,0,3342
254,Slowking,7,-13,20,40,28,-61,6723
255,Slowking (Galarian Slowking),7,-23,20,50,28,-61,7983
256,Misdreavus,-28,-28,0,25,3,-6,2238
257,Unown,-40,-16,-12,12,-34,-43,5149
258,Wobbuffet,102,-55,-2,-27,-24,-58,18102
259,Girafarig,-18,-8,5,30,-17,-6,1638
260,Pineco,-38,-23,30,-25,-47,-76,11483
261,Forretress,-13,2,80,0,-22,-51,9658
262,Dunsparce,12,-18,10,5,-17,-46,2998
263,Gligar,-23,-13,45,-25,-17,-6,3673
264,Steelix,-13,-3,140,-5,-17,-61,23813
265,Steelix (Mega Steelix),-13,37,170,-5,13,-61,34353
266,Snubbull,-28,-8,-10,-20,-42,-61,6833
267,Granbull,2,32,15,0,-22,-46,3853
268,Qwilfish,-23,7,25,-5,-27,-6,1993
269,Qwilfish (Hisuian Qwilfish),-23,7,25,-5,-27,-6,1993
270,Scizor,-18,42,40,-5,-2,-26,4393
271,Scizor (Mega Scizor),-18,62,80,5,18,-16,11173
272,Shuckle,-68,-78,170,-50,148,-86,71408
273,Heracross,-8,37,15,-20,13,-6,2263
274,Heracross (Mega Heracross),-8,97,55,-20,23,-16,13683
275,Sneasel,-33,7,-5,-25,-7,24,2413
276,Sneasel (Hisuian Sneasel),-33,7,-5,-25,-7,24,2413
277,Teddiursa,-28,-8,-10,-10,-32,-51,4673
278,Ursaring,2,42,15,15,-7,-36,3563
279,Slugma,-48,-48,-20,10,-42,-71,11913
280,Magcargo,-28,-38,60,30,-2,-61,10453
281,Swinub,-38,-38,-20,-30,-52,-41,8573
282,Piloswine,12,12,20,0,-22,-41,2853
283,Corsola,-23,-33,35,5,13,-56,6173
284,Corsola (Galarian Corsola),-28,-33,40,5,18,-61,7543
285,Remoraid,-53,-23,-25,5,-47,-26,6873
286,Octillery,-13,17,15,45,-7,-46,4873
287,Delibird,-43,-33,-15,5,-37,-16,4813
288,Mantine,-3,-48,10,20,58,-21,6618
289,Skarmory,-23,-8,80,-20,-12,-21,7978
290,Houndour,-43,-28,-30,20,-32,-26,5633
291,Houndoom,-13,2,-10,50,-2,4,2793
292,Houndoom (Mega Houndoom),-13,2,30,80,8,24,8113
293,Kingdra,-13,7,35,35,13,-6,2873
294,Phanpy,2,-28,0,-20,-42,-51,5553
295,Donphan,2,32,60,0,-22,-41,6793
296,Porygon2,-3,-8,30,45,13,-31,4128
297,Stantler,-15,7,2,25,-17,-6,1228
298,Smeargle,-33,-68,-25,-40,-37,-16,9563
299,Tyrogue,-53,-53,-25,-25,-47,-56,12213
300,Hitmontop,-38,7,35,-25,28,-21,4568
301,Smoochum,-43,-58,-45,25,-17,-26,8828
302,Elekid,-43,-25,-23,5,-27,4,3773
303,Magby,-43,-13,-23,10,-27,-8,3440
304,Miltank,7,-8,45,-20,-12,9,2763
305,Blissey,167,-78,-50,15,53,-36,40803
306,Raikou,2,-3,15,55,18,24,4163
307,Entei,27,27,25,30,-7,9,3113
308,Suicune,12,-13,55,30,33,-6,5363
309,Larvitar,-38,-24,-10,-15,-32,-50,5869
310,Pupitar,-18,-4,10,5,-12,-40,2209
311,Tyranitar,12,46,50,35,18,-30,7209
312,Tyranitar (Mega Tyranitar),12,76,90,35,38,-20,17089
313,Lugia,18,2,70,30,72,19,11673
314,Ho-Oh,18,42,30,50,72,-1,10673
315,Celebi,12,12,40,40,18,9,3893
316,Treecko,-48,-43,-25,5,-27,-21,5973
317,Grovyle,-38,-23,-15,25,-17,4,3128
318,Sceptile,-18,-3,5,45,3,29,3233
319,Sceptile (Mega Sceptile),-18,22,15,85,3,54,11183
320,Torchic,-43,-28,-20,10,-32,-46,6273
321,Combusken,-28,-3,0,25,-22,-36,3198
322,Blaziken,-8,32,10,50,-12,-11,3953
323,Blaziken (Mega Blaziken),-8,72,20,70,-2,9,10633
324,Mudkip,-38,-18,-10,-10,-32,-51,5593
325,Marshtomp,-18,-3,10,0,-12,-41,2258
326,Swampert,12,22,30,25,8,-31,3178
327,Swampert (Mega Swampert),12,62,50,35,28,-21,8938
328,Poochyena,-53,-33,-25,-30,-52,-56,11263
329,Mightyena,-18,2,10,0,-22,-21,1353
330,Zigzagoon,-50,-58,-19,-30,-41,-31,9767
331,Zigzagoon (Galarian Zigzagoon),-50,-58,-19,-30,-41,-31,9767
332,Linoone,-10,-18,1,-10,-21,9,1047
333,Linoone (Galarian Linoone),-10,-18,1,-10,-21,9,1047
334,Wurmple,-43,-43,-25,-40,-52,-71,13668
335,Silcoon,-38,-53,-5,-35,-57,-76,14528
336,Beautifly,-28,-18,-10,40,-32,-26,4508
337,Cascoon,-38,-53,-5,-35,-57,-76,14528
338,Dustox,-28,-38,10,-10,8,-26,3168
339,Lotad,-48,-58,-30,-20,-32,-61,11713
340,Lombre,-28,-38,-10,0,-12,-41,4153
341,Ludicolo,-8,-18,10,30,18,-21,2153
342,Seedot,-48,-48,-10,-30,-52,-61,12033
343,Nuzleaf,-18,-18,-20,0,-42,-31,3773
344,Shiftry,2,12,0,30,-22,-11,1653
345,Taillow,-48,-33,-30,-30,-52,-6,7933
346,Swellow,-28,-3,0,15,-32,34,3198
347,Wingull,-48,-58,-30,-5,-52,-6,9333
348,Pelipper,-28,-38,40,35,-12,-26,5873
349,Ralts,-60,-63,-35,-15,-47,-51,13829
350,Kirlia,-50,-53,-25,5,-27,-41,8369
351,Gardevoir,-20,-23,5,65,33,-11,6389
352,Gardevoir (Mega Gardevoir),-20,-3,5,105,53,9,14349
353,Surskit,-48,-58,-28,-10,-30,-26,8128
354,Masquerain,-18,-28,2,40,0,-11,2833
355,Shroomish,-28,-48,0,-20,-22,-56,7108
356,Breloom,-28,42,20,0,-22,-21,3873
357,Slakoth,-28,-28,0,-25,-47,-61,8123
358,Vigoroth,-8,-8,20,-5,-27,-1,1283
359,Slaking,62,72,40,35,-17,9,12223
360,Nincada,-57,-43,30,-30,-52,-51,12203
361,Ninjask,-27,2,-15,-10,-32,69,6843
362,Shedinja,-87,2,-15,-30,-52,-51,14003
363,Whismur,-24,-37,-37,-9,-59,-63,10845
364,Loudred,-4,-17,-17,11,-39,-43,4085
365,Exploud,16,3,3,31,-9,-23,1845
366,Makuhita,-16,-28,-30,-40,-52,-66,10600
367,Hariyama,56,32,0,-20,-22,-41,6725
368,Azurill,-38,-68,-20,-40,-42,-71,14873
369,Nosepass,-58,-43,75,-15,8,-61,14848
370,Skitty,-38,-43,-15,-25,-47,-41,8033
371,Delcatty,-18,-23,5,-5,-27,-1,1633
372,Sableye,-38,-13,15,5,-17,-41,3833
373,Sableye (Mega Sableye),-38,-3,65,25,33,-71,12433
374,Mawile,-38,-3,25,-5,-27,-41,4513
375,Mawile (Mega Mawile),-38,17,65,-5,13,-41,7833
376,Aron,-38,-18,40,-20,-42,-61,9253
377,Lairon,-28,2,80,-10,-32,-51,10913
378,Aggron,-18,22,120,0,-22,-41,17373
379,Aggron (Mega Aggron),-18,52,170,0,-2,-41,33613
380,Meditite,-58,-48,-5,-20,-27,-31,7783
381,Medicham,-28,-28,15,0,-7,-11,1963
382,Medicham (Mega Medicham),-28,12,25,20,3,9,2043
383,Electrike,-48,-43,-20,5,-42,-26,7018
384,Manectric,-18,-13,0,45,-22,14,3198
385,Manectric (Mega Manectric),-18,-13,20,75,-2,44,8458
386,Plusle,-28,-38,-20,25,-7,4,3318
387,Minun,-28,-48,-10,15,3,4,3438
388,Volbeat,-23,-15,15,-13,3,-6,1193
389,Illumise,-23,-41,15,13,3,-6,2649
390,Roselia,-38,-28,-15,40,-2,-26,4733
391,Gulpin,-18,-45,-7,-17,-29,-51,6129
392,Swalot,12,-15,23,13,1,-36,2364
393,Carvanha,-43,2,-40,5,-62,-26,7998
394,Sharpedo,-18,32,-20,35,-42,4,4753
395,Sharpedo (Mega Sharpedo),-18,52,10,50,-17,14,6113
396,Wailmer,42,-18,-25,10,-47,-31,5983
397,Wailord,82,2,-15,30,-37,-31,10183
398,Numel,-28,-28,-20,5,-37,-56,6498
399,Camerupt,-18,12,10,45,-7,-51,5243
400,Camerupt (Mega Camerupt),-18,32,40,85,23,-71,15743
401,Torkoal,-18,-3,80,25,-12,-71,12543
402,Spoink,-28,-63,-25,10,-2,-31,6443
403,Grumpig,-8,-43,5,30,28,-11,3743
404,Spinda,-28,-28,0,0,-22,-31,3013
405,Trapinch,-43,12,-15,-15,-37,-81,10373
406,Vibrava,-38,-18,-10,-10,-32,-21,3433
407,Flygon,-8,12,20,20,-2,9,1093
408,Cacnea,-38,-3,-20,25,-42,-56,7378
409,Cacturne,-18,27,0,55,-22,-36,5858
410,Swablu,-43,-48,0,-20,-7,-41,6283
411,Altaria,-13,-18,30,10,23,-11,2143
412,Altaria (Mega Altaria),-13,22,50,50,23,-11,6303
413,Zangoose,-15,27,0,0,-22,-1,1439
414,Seviper,-15,12,0,40,-22,-26,3129
415,Lunatone,2,-33,5,35,3,-21,2793
416,Solrock,2,7,25,-5,-17,-21,1433
417,Barboach,-38,-40,-17,-14,-41,-31,6171
418,Whiscash,22,-10,13,16,-11,-31,2091
419,Corphish,-45,-8,5,-10,-47,-56,7559
420,Crawdaunt,-25,32,25,30,-27,-36,5199
421,Baltoy,-48,-48,-5,-20,-12,-36,6473
422,Claydol,-28,-18,45,10,38,-16,4933
423,Lileep,-22,-47,17,1,5,-68,7632
424,Cradily,-2,-7,37,21,25,-48,4792
425,Anorith,-43,7,-10,-20,-32,-16,3678
426,Armaldo,-13,37,40,10,-2,-46,5358
427,Feebas,-68,-73,-40,-50,-27,-11,14903
428,Milotic,7,-28,19,40,43,-10,4743
429,Castform,-18,-18,10,10,-12,-21,1433
430,Kecleon,-28,2,10,0,38,-51,4933
431,Shuppet,-44,-13,-25,3,-49,-46,7256
432,Banette,-24,27,5,23,-19,-26,2896
433,Banette (Mega Banette),-24,77,15,33,1,-16,8076
434,Duskull,-68,-48,30,-30,8,-66,13148
435,Dusclops,-48,-18,70,0,48,-66,14188
436,Tropius,11,-20,23,12,5,-40,2819
437,Chimecho,-13,-38,20,35,8,-26,3978
438,Absol,-23,42,0,15,-22,-16,3258
439,Absol (Mega Absol),-23,62,0,55,-22,24,8458
440,Wynaut,7,-65,-12,-37,-34,-68,11567
441,Snorunt,-38,-38,-10,-10,-32,-41,5793
442,Glalie,-8,-8,20,20,-2,-11,1053
443,Glalie (Mega Glalie),-8,32,20,60,-2,9,5173
444,Spheal,-18,-48,-10,-5,-32,-66,8133
445,Sealeo,2,-28,10,15,-12,-46,3373
446,Walrein,22,-8,30,35,8,-26,3413
447,Clamperl,-53,-24,25,14,-27,-59,8416
448,Huntail,-33,16,45,34,-7,-39,6096
449,Gorebyss,-33,-4,45,54,-7,-39,7616
450,Relicanth,12,2,70,-15,-17,-36,6858
451,Luvdisc,-45,-58,-5,-20,-17,6,6139
452,Bagon,-43,-13,0,-20,-52,-41,6803
453,Shelgon,-23,7,40,0,-32,-41,4883
454,Salamence,7,47,20,50,-2,9,5243
455,Salamence (Mega Salamence),7,57,70,60,8,29,12703
456,Beldum,-48,-33,20,-25,-22,-61,8623
457,Metang,-28,-13,40,-5,-2,-41,4263
458,Metagross,-8,47,70,35,8,-21,8903
459,Metagross (Mega Metagross),-8,57,90,45,28,19,14583
460,Regirock,-8,12,140,-10,18,-41,21913
461,Regice,-8,-38,40,40,118,-41,20313
462,Registeel,-8,-13,90,15,68,-41,14863
463,Latias,-8,-8,30,50,48,19,6193
464,Latias (Mega Latias),-8,12,60,80,68,19,15193
465,Latios,-8,2,20,70,28,19,6513
466,Latios (Mega Latios),-8,42,40,100,38,19,15233
467,Kyogre,12,12,30,90,58,-1,12653
468,Kyogre (Primal Kyogre),12,62,30,120,78,-1,25373
469,Groudon,12,62,80,40,8,-1,12053
470,Groudon (Primal Groudon),12,92,100,90,8,-1,26773
471,Rayquaza,17,62,30,90,8,4,13213
472,Rayquaza (Mega Rayquaza),17,92,40,120,18,24,25653
473,Jirachi,12,12,40,40,18,9,3893
474,Deoxys (Normal Forme),-38,62,-10,90,-32,59,17993
475,Deoxys (Attack Forme),-38,92,-40,120,-62,59,33233
476,Deoxys (Defense Forme),-38,-18,100,10,78,-1,17953
477,Deoxys (Speed Forme),-38,7,30,35,8,89,11603
478,Turtwig,-33,-20,4,-15,-27,-60,6059
479,Grotle,-13,1,25,-5,-17,-55,4134
480,Torterra,7,21,45,15,3,-35,3974
481,Chimchar,-44,-30,-16,-2,-38,-30,5440
482,Monferno,-24,-10,-8,18,-30,-10,2064
483,Infernape,-12,16,11,44,-11,17,2867
484,Piplup,-35,-37,-7,1,-26,-51,5921
485,Prinplup,-24,-22,8,21,-6,-41,3282
486,Empoleon,-4,-2,28,51,19,-31,4727
487,Starly,-48,-33,-30,-30,-52,-31,8858
488,Staravia,-33,-13,-10,-20,-42,-11,3643
489,Staraptor,-3,32,10,-10,-22,9,1798
490,Bidoof,-29,-43,-20,-25,-42,-60,9079
491,Bibarel,-9,-3,0,-5,-22,-20,999
492,Kricketot,-51,-63,-19,-35,-41,-66,14193
