Reagan Fryatt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
106,Slowpoke (Galarian Slowpoke),5,-38,-44,-45,-58,-96,18010
107,Slowbro,10,-28,1,15,-18,-81,7995
108,Slowbro (Mega Slowbro),10,-28,71,45,-18,-81,14835
109,Slowbro (Galarian Slowbro),10,-3,-14,15,-28,-81,7875
110,Magnemite,-60,-68,-39,10,-43,-66,16050
111,Magneton,-35,-43,-14,35,-28,-41,6960
112,Farfetch'd,-33,-13,-54,-27,-36,-51,8800
113,Farfetch'd (Galarian Farfetch'd),-33,-8,-54,-27,-36,-56,9230
114,Doduo,-50,-18,-64,-50,-63,-36,14685
115,Dodrio,-25,7,-39,-25,-38,-1,4265
116,Seel,-20,-58,-54,-40,-28,-66,13420
117,Dewgong,5,-33,-29,-15,-3,-41,3870
118,Grimer,-5,-23,-59,-45,-48,-86,15760
119,Grimer (Alolan Grimer),-5,-23,-59,-45,-48,-86,15760
120,Muk,20,2,-34,-20,2,-61,5685
121,Muk (Alolan Muk),20,2,-34,-20,2,-61,5685
122,Shellder,-55,-38,-9,-40,-73,-71,16520
123,Cloyster,-35,-8,71,0,-53,-41,10820
124,Gastly,-55,-68,-79,15,-63,-31,19045
125,Haunter,-40,-53,-64,30,-43,-16,11510
126,Gengar,-25,-38,-49,45,-23,-1,7025
127,Gengar (Mega Gengar),-25,-38,-29,85,-3,19,10505
128,Onix,-50,-58,51,-55,-53,-41,15980
129,Drowzee,-25,-55,-64,-42,-8,-69,14335
130,Hypno,0,-30,-39,-12,17,-44,4790
131,Krabby,-55,2,-19,-60,-73,-61,16040
132,Kingler,-30,27,6,-35,-48,-36,6490
133,Voltorb,-45,-73,-59,-30,-43,-11,13705
134,Voltorb (Hisuian Voltorb),-45,-73,-59,-30,-43,-11,13705
135,Electrode,-25,-53,-39,-5,-18,39,6825
136,Electrode (Hisuian Electrode),-25,-53,-39,-5,-18,39,6825
137,Exeggcute,-25,-63,-29,-25,-53,-71,13910
138,Exeggutor,10,-8,-24,40,-23,-56,6005
139,Exeggutor (Alolan Exeggutor),10,2,-24,40,-23,-66,7165
140,Cubone,-35,-53,-14,-45,-48,-76,14335
141,Marowak,-25,-23,1,-35,-18,-66,7060
142,Marowak (Alolan Marowak),-25,-23,1,-35,-18,-66,7060
143,Hitmonlee,-35,17,-56,-50,12,-24,7870
144,Hitmonchan,-35,2,-30,-50,12,-35,5998
145,Lickitung,5,-48,-34,-25,-23,-81,11200
146,Koffing,-45,-38,-14,-25,-53,-76,12875
147,Weezing,-20,-13,11,0,-28,-51,4075
148,Weezing (Galarian Weezing),-20,-13,11,0,-28,-51,4075
149,Rhyhorn,-5,-18,-14,-55,-68,-86,15590
150,Rhydon,20,27,11,-40,-53,-71,10700
151,Chansey,165,-98,-104,-50,7,-61,53915
152,Tangela,-20,-48,6,15,-58,-51,8930
153,Kangaskhan,20,-8,-29,-45,-18,-21,4095
154,Kangaskhan (Mega Kangaskhan),20,22,-9,-25,2,-11,1715
155,Horsea,-55,-63,-39,-15,-73,-51,16670
156,Seadra,-30,-38,-14,10,-53,-26,6125
157,Goldeen,-40,-36,-49,-50,-48,-48,12405
158,Seaking,-5,-11,-44,-20,-18,-43,4655
159,Staryu,-55,-58,-54,-15,-43,-26,12055
160,Starmie,-25,-28,-24,15,-13,4,2395
161,Mr. Mime,-45,-58,-44,15,22,-21,8475
162,Mr. Mime (Galarian Mr. Mime),-35,-38,-44,5,-8,-11,4815
163,Scyther,-15,7,-29,-30,-18,-6,2375
164,Jynx,-20,-53,-74,30,-3,-16,9850
165,Electabuzz,-20,-20,-52,10,-13,-6,3809
166,Magmar,-20,-8,-52,15,-13,-18,3886
167,Pinsir,-20,22,-9,-30,-28,-26,3325
168,Pinsir (Mega Pinsir),-20,52,11,-20,-8,-6,3725
169,Tauros,-10,-3,-14,-45,-28,-1,3115
170,Tauros (Paldean Tauros (Combat Breed)),-10,7,-4,-55,-28,-11,4095
171,Tauros (Paldean Tauros (Blaze Breed)),-10,7,-4,-55,-28,-11,4095
172,Tauros (Paldean Tauros (Aqua Breed)),-10,7,-4,-55,-28,-11,4095
173,Magikarp,-65,-93,-54,-70,-78,-31,27735
174,Gyarados,10,22,-30,-25,2,-30,3013
175,Gyarados (Mega Gyarados),10,52,0,-15,32,-30,4953
176,Lapras,45,-18,-29,0,-3,-51,5800
177,Ditto,-37,-55,-61,-37,-50,-63,15953
178,Eevee,-30,-48,-59,-40,-33,-56,12510
179,Eevee (Partner Eevee),-20,-28,-39,-20,-13,-36,4570
180,Vaporeon,45,-38,-49,25,-3,-46,8620
181,Jolteon,-20,-38,-49,25,-3,19,5240
182,Flareon,-20,27,-49,10,12,-46,5890
183,Porygon,-20,-43,-39,0,-23,-71,9340
184,Omanyte,-50,-63,-9,5,-43,-76,14200
185,Omastar,-15,-43,16,30,-28,-56,7150
186,Kabuto,-55,-23,-19,-30,-53,-56,10760
187,Kabutops,-25,12,-4,-20,-28,-31,2930
188,Aerodactyl,-5,2,-44,-25,-23,19,3480
189,Aerodactyl (Mega Aerodactyl),-5,32,-24,-15,-3,39,3380
190,Snorlax,75,7,-44,-20,12,-81,14715
191,Articuno,5,-18,-9,10,27,-26,1935
192,Articuno (Galarian Articuno),5,-18,-24,40,2,-16,2785
193,Zapdos,5,-13,-24,40,-8,-11,2555
194,Zapdos (Galarian Zapdos),5,22,-19,0,-8,-11,1055
195,Moltres,5,-3,-19,40,-13,-21,2605
196,Moltres (Galarian Moltres),5,-18,-19,15,27,-21,2105
197,Dratini,-44,-39,-64,-35,-48,-61,14803
198,Dragonair,-24,-19,-44,-15,-28,-41,5563
199,Dragonite,6,31,-14,15,2,-31,2383
200,Mewtwo,21,7,-19,69,-8,19,6037
201,Mewtwo (Mega Mewtwo X),21,87,-9,69,2,19,13217
202,Mewtwo (Mega Mewtwo Y),21,47,-39,109,22,29,17377
203,Mew,15,-3,-9,15,2,-11,665
204,Chikorita,-40,-54,-44,-36,-33,-66,13193
205,Bayleef,-25,-41,-29,-22,-18,-51,6556
206,Meganium,-5,-21,-9,-2,2,-31,1516
207,Cyndaquil,-46,-51,-66,-25,-48,-46,14118
208,Quilava,-27,-39,-51,-5,-33,-31,6926
209,Typhlosion,-7,-19,-31,24,-13,-11,2237
210,Typhlosion (Hisuian Typhlosion),-12,-19,-31,34,-13,-16,3047
211,Totodile,-35,-38,-45,-41,-50,-68,13499
212,Croconaw,-20,-23,-29,-26,-35,-53,6480
213,Feraligatr,0,2,-9,-6,-15,-33,1435
214,Sentret,-50,-57,-75,-50,-53,-91,24964
215,Furret,0,-27,-45,-40,-43,-21,6644
216,Hoothoot,-25,-73,-79,-49,-42,-61,20081
217,Noctowl,15,-53,-59,1,-2,-41,8201
218,Ledyba,-45,-83,-79,-45,-18,-56,20640
219,Ledian,-30,-68,-59,-30,12,-26,10725
220,Spinarak,-45,-43,-69,-45,-58,-81,20585
221,Ariados,-15,-13,-39,-25,-28,-71,8365
222,Crobat,0,-13,-29,-15,-18,19,1920
223,Chinchou,-10,-65,-71,-29,-42,-44,13907
224,Lanturn,40,-45,-51,-9,-22,-44,8727
225,Pichu,-65,-63,-94,-50,-63,-51,26100
226,Cleffa,-35,-78,-81,-40,-43,-96,26535
227,Igglybuff,5,-73,-94,-45,-78,-96,31515
228,Togepi,-50,-83,-44,-45,-33,-91,22720
229,Togetic,-30,-63,-24,-5,7,-71,10560
230,Natu,-45,-53,-64,-15,-53,-41,13645
231,Xatu,-20,-28,-39,10,-28,-16,3845
232,Mareep,-30,-63,-69,-20,-53,-76,18615
233,Flaaffy,-15,-48,-54,-5,-38,-66,11270
234,Ampharos,5,-28,-24,30,-8,-56,5485
235,Ampharos (Mega Ampharos),5,-8,-4,80,12,-66,11005
236,Bellossom,-10,-23,-14,5,2,-61,4575
237,Marill,-15,-83,-59,-65,-48,-71,22165
238,Azumarill,15,-53,-29,-25,-18,-61,8545
239,Sudowoodo,-15,-3,6,-55,-33,-81,10945
240,Politoed,5,-28,-34,5,2,-41,3675
241,Hoppip,-50,-68,-69,-50,-43,-61,19955
242,Skiploom,-30,-58,-59,-40,-33,-31,11395
243,Jumpluff,-10,-48,-39,-30,-3,-1,4835
244,Aipom,-30,-33,-54,-45,-43,-26,9455
245,Sunkern,-55,-73,-79,-55,-68,-81,28805
246,Sunflora,-10,-28,-54,20,-13,-81,10930
247,Yanma,-20,-38,-64,-10,-53,-16,9105
248,Wooper,-30,-58,-64,-60,-73,-96,26505
249,Wooper (Paldean Wooper),-30,-58,-64,-60,-73,-96,26505
250,Quagsire,10,-18,-24,-20,-33,-76,8265
251,Espeon,-20,-38,-49,45,-3,-1,6280
252,Umbreon,10,-38,1,-25,32,-46,5310
253,Murkrow,-25,-18,-67,0,-56,-20,8974
254,Slowking,10,-28,-29,15,12,-81,8655
255,Slowking (Galarian Slowking),10,-38,-29,25,12,-81,9715
256,Misdreavus,-25,-43,-49,0,-13,-26,5720
257,Unown,-37,-31,-61,-13,-50,-63,12689
258,Wobbuffet,105,-70,-51,-52,-40,-78,28914
259,Girafarig,-15,-23,-44,5,-33,-26,4480
260,Pineco,-35,-38,-19,-50,-63,-96,18715
261,Forretress,-10,-13,31,-25,-38,-71,8340
262,Dunsparce,15,-33,-39,-20,-33,-66,8680
263,Gligar,-20,-28,-4,-50,-33,-26,5465
264,Steelix,-10,-18,91,-30,-33,-81,17255
265,Steelix (Mega Steelix),-10,22,121,-30,-3,-81,22695
266,Snubbull,-25,-23,-59,-45,-58,-81,16585
267,Granbull,5,17,-34,-25,-38,-66,7895
268,Qwilfish,-20,-8,-24,-30,-43,-26,4465
269,Qwilfish (Hisuian Qwilfish),-20,-8,-24,-30,-43,-26,4465
270,Scizor,-15,27,-9,-30,-18,-46,4375
271,Scizor (Mega Scizor),-15,47,31,-20,2,-36,5095
272,Shuckle,-65,-93,121,-75,132,-106,61800
273,Heracross,-5,22,-34,-45,-3,-26,4375
274,Heracross (Mega Heracross),-5,82,6,-45,7,-36,10155
275,Sneasel,-30,-8,-54,-50,-23,4,6925
276,Sneasel (Hisuian Sneasel),-30,-8,-54,-50,-23,4,6925
277,Teddiursa,-25,-23,-59,-35,-48,-71,13205
278,Ursaring,5,27,-34,-10,-23,-56,5675
279,Slugma,-45,-63,-69,-15,-58,-91,22625
280,Magcargo,-25,-53,11,5,-18,-81,10465
281,Swinub,-35,-53,-69,-55,-68,-61,20165
282,Piloswine,15,-3,-29,-25,-38,-61,6865
283,Corsola,-20,-48,-14,-20,-3,-76,9085
284,Corsola (Galarian Corsola),-25,-48,-9,-20,2,-81,9975
285,Remoraid,-50,-38,-74,-20,-63,-46,15905
286,Octillery,-10,2,-34,20,-23,-66,6545
287,Delibird,-40,-48,-64,-20,-53,-36,12505
288,Mantine,0,-63,-39,-5,42,-41,8960
289,Skarmory,-20,-23,31,-45,-28,-41,6380
290,Houndour,-40,-43,-79,-5,-48,-46,14135
291,Houndoom,-10,-13,-59,25,-18,-16,4955
292,Houndoom (Mega Houndoom),-10,-13,-19,55,-8,4,3735
293,Kingdra,-10,-8,-14,10,-3,-26,1145
294,Phanpy,5,-43,-49,-45,-58,-71,14705
295,Donphan,5,17,11,-25,-38,-61,6225
296,Porygon2,0,-23,-19,20,-3,-51,3900
297,Stantler,-12,-8,-47,0,-33,-26,4182
298,Smeargle,-30,-83,-74,-65,-53,-36,21595
299,Tyrogue,-50,-68,-74,-50,-63,-76,24845
300,Hitmontop,-35,-8,-14,-50,12,-41,5810
301,Smoochum,-40,-73,-94,0,-33,-46,18970
302,Elekid,-40,-40,-72,-20,-43,-16,10889
303,Magby,-40,-28,-72,-15,-43,-28,10426
304,Miltank,10,-23,-4,-45,-28,-11,3575
305,Blissey,170,-93,-99,-10,37,-56,51955
306,Raikou,5,-18,-34,30,2,4,2425
307,Entei,30,12,-24,5,-23,-11,2295
308,Suicune,15,-28,6,5,17,-26,2035
309,Larvitar,-35,-39,-59,-40,-48,-70,15031
310,Pupitar,-15,-19,-39,-20,-28,-60,6891
311,Tyranitar,15,31,1,10,2,-50,3791
312,Tyranitar (Mega Tyranitar),15,61,41,10,22,-40,7811
313,Lugia,21,-13,21,5,56,-1,4213
314,Ho-Oh,21,27,-19,25,56,-21,5733
315,Celebi,15,-3,-9,15,2,-11,665
316,Treecko,-45,-58,-74,-20,-43,-41,14795
317,Grovyle,-35,-38,-64,0,-33,-16,8110
318,Sceptile,-15,-18,-44,20,-13,9,3135
319,Sceptile (Mega Sceptile),-15,7,-34,60,-13,34,6355
320,Torchic,-40,-43,-69,-15,-48,-66,15095
321,Combusken,-25,-18,-49,0,-38,-56,7930
322,Blaziken,-5,17,-39,25,-28,-31,4205
323,Blaziken (Mega Blaziken),-5,57,-29,45,-18,-11,6585
324,Mudkip,-35,-33,-59,-35,-48,-71,14365
325,Marshtomp,-15,-18,-39,-25,-28,-61,7200
326,Swampert,15,7,-19,0,-8,-51,3300
327,Swampert (Mega Swampert),15,47,1,10,12,-41,4360
328,Poochyena,-50,-48,-74,-55,-68,-76,23705
329,Mightyena,-15,-13,-39,-25,-38,-41,5665
330,Zigzagoon,-47,-73,-68,-55,-57,-51,21037
331,Zigzagoon (Galarian Zigzagoon),-47,-73,-68,-55,-57,-51,21037
332,Linoone,-7,-33,-48,-35,-37,-11,6157
333,Linoone (Galarian Linoone),-7,-33,-48,-35,-37,-11,6157
334,Wurmple,-40,-58,-74,-65,-68,-91,27570
335,Silcoon,-35,-68,-54,-60,-73,-96,26910
336,Beautifly,-25,-33,-59,15,-48,-46,9840
337,Cascoon,-35,-68,-54,-60,-73,-96,26910
338,Dustox,-25,-53,-39,-35,-8,-46,8360
339,Lotad,-45,-73,-79,-45,-48,-81,24485
340,Lombre,-25,-53,-59,-25,-28,-61,12045
341,Ludicolo,-5,-33,-39,5,2,-41,4345
342,Seedot,-45,-63,-59,-55,-68,-81,23685
343,Nuzleaf,-15,-33,-69,-25,-58,-51,12665
344,Shiftry,5,-3,-49,5,-38,-31,4865
345,Taillow,-45,-48,-79,-55,-68,-26,18895
346,Swellow,-25,-18,-49,-10,-48,14,5950
347,Wingull,-45,-73,-79,-30,-68,-26,19795
348,Pelipper,-25,-53,-9,10,-28,-46,6515
349,Ralts,-57,-78,-84,-40,-63,-71,26999
350,Kirlia,-47,-68,-74,-20,-43,-61,18279
351,Gardevoir,-17,-38,-44,40,17,-31,6519
352,Gardevoir (Mega Gardevoir),-17,-18,-44,80,37,-11,10439
353,Surskit,-45,-73,-77,-35,-46,-46,18740
354,Masquerain,-15,-43,-47,15,-16,-31,5725
355,Shroomish,-25,-63,-49,-45,-38,-76,16240
356,Breloom,-25,27,-29,-25,-38,-41,5945
357,Slakoth,-25,-43,-49,-50,-63,-81,17905
358,Vigoroth,-5,-23,-29,-30,-43,-21,4585
359,Slaking,65,57,-9,10,-33,-11,8865
360,Nincada,-54,-58,-19,-55,-68,-71,19331
361,Ninjask,-24,-13,-64,-35,-48,49,10771
362,Shedinja,-84,-13,-64,-55,-68,-71,24011
363,Whismur,-21,-52,-86,-34,-75,-83,24211
364,Loudred,-1,-32,-66,-14,-55,-63,12571
365,Exploud,19,-12,-46,6,-25,-43,5131
366,Makuhita,-13,-43,-79,-65,-68,-86,24504
367,Hariyama,59,17,-49,-45,-38,-61,13361
368,Azurill,-35,-83,-69,-65,-58,-91,28745
369,Nosepass,-55,-58,26,-40,-8,-81,15290
370,Skitty,-35,-58,-64,-50,-63,-61,18875
371,Delcatty,-15,-38,-44,-30,-43,-21,6795
372,Sableye,-35,-28,-34,-20,-33,-61,8375
373,Sableye (Mega Sableye),-35,-18,16,0,17,-91,10375
374,Mawile,-35,-18,-24,-30,-43,-61,8595
375,Mawile (Mega Mawile),-35,2,16,-30,-3,-61,6115
376,Aron,-35,-33,-9,-45,-58,-81,14345
377,Lairon,-25,-13,31,-35,-48,-71,10325
378,Aggron,-15,7,71,-25,-38,-61,11105
379,Aggron (Mega Aggron),-15,37,121,-25,-18,-61,20905
380,Meditite,-55,-63,-54,-45,-43,-51,16385
381,Medicham,-25,-43,-34,-25,-23,-31,5745
382,Medicham (Mega Medicham),-25,-3,-24,-5,-13,-11,1525
383,Electrike,-45,-58,-69,-20,-58,-46,16030
384,Manectric,-15,-28,-49,20,-38,-6,5290
385,Manectric (Mega Manectric),-15,-28,-29,50,-18,24,5250
386,Plusle,-25,-53,-69,0,-23,-16,8980
387,Minun,-25,-63,-59,-10,-13,-16,8600
388,Volbeat,-20,-30,-34,-38,-13,-26,4745
389,Illumise,-20,-56,-34,-12,-13,-26,5681
390,Roselia,-35,-43,-64,15,-18,-46,9835
391,Gulpin,-15,-60,-56,-42,-45,-71,15791
392,Swalot,15,-30,-26,-12,-15,-56,5306
393,Carvanha,-40,-13,-89,-20,-78,-46,18290
394,Sharpedo,-15,17,-69,10,-58,-16,8995
395,Sharpedo (Mega Sharpedo),-15,37,-39,25,-33,-6,4865
396,Wailmer,45,-33,-74,-15,-63,-51,15385
397,Wailord,85,-13,-64,5,-53,-51,16925
398,Numel,-25,-43,-69,-20,-53,-76,16220
399,Camerupt,-15,-3,-39,20,-23,-71,7725
400,Camerupt (Mega Camerupt),-15,17,-9,60,7,-91,12525
401,Torkoal,-15,-18,31,0,-28,-91,10575
402,Spoink,-25,-78,-74,-15,-18,-51,15335
403,Grumpig,-5,-58,-44,5,12,-31,6455
404,Spinda,-25,-43,-49,-25,-38,-51,9545
405,Trapinch,-40,-3,-64,-40,-53,-101,20315
406,Vibrava,-35,-33,-59,-35,-48,-41,11005
407,Flygon,-5,-3,-29,-5,-18,-11,1345
408,Cacnea,-35,-18,-69,0,-58,-76,15450
409,Cacturne,-15,12,-49,30,-38,-56,8250
410,Swablu,-40,-63,-49,-45,-23,-61,14245
411,Altaria,-10,-33,-19,-15,7,-31,2785
412,Altaria (Mega Altaria),-10,7,1,25,7,-31,1785
413,Zangoose,-12,12,-49,-25,-38,-21,5199
414,Seviper,-12,-3,-49,15,-38,-46,6339
415,Lunatone,5,-48,-44,10,-13,-41,6215
416,Solrock,5,-8,-24,-30,-33,-41,4335
417,Barboach,-35,-55,-66,-39,-57,-51,15977
418,Whiscash,25,-25,-36,-9,-27,-51,5957
419,Corphish,-42,-23,-44,-35,-63,-76,15199
420,Crawdaunt,-22,17,-24,5,-43,-56,6359
421,Baltoy,-45,-63,-54,-45,-28,-56,14855
422,Claydol,-25,-33,-4,-15,22,-36,3735
423,Lileep,-19,-62,-32,-24,-11,-88,13670
424,Cradily,1,-22,-12,-4,9,-68,5350
425,Anorith,-40,-8,-59,-45,-48,-36,10770
426,Armaldo,-10,22,-9,-15,-18,-66,5570
427,Feebas,-65,-88,-89,-75,-43,-31,28325
428,Milotic,10,-43,-30,15,27,-30,4703
429,Castform,-15,-33,-39,-15,-28,-41,5525
430,Kecleon,-25,-13,-39,-25,22,-71,8465
431,Shuppet,-41,-28,-74,-22,-65,-66,17006
432,Banette,-21,12,-44,-2,-35,-46,5866
433,Banette (Mega Banette),-21,62,-34,8,-15,-36,7026
434,Duskull,-65,-63,-19,-55,-8,-86,19040
435,Dusclops,-45,-33,21,-25,32,-86,12600
436,Tropius,14,-35,-26,-13,-11,-60,5987
437,Chimecho,-10,-53,-29,10,-8,-46,6030
438,Absol,-20,27,-49,-10,-38,-36,6370
439,Absol (Mega Absol),-20,47,-49,30,-38,4,7370
440,Wynaut,10,-80,-61,-62,-50,-88,24309
441,Snorunt,-35,-53,-59,-35,-48,-61,14765
442,Glalie,-5,-23,-29,-5,-18,-31,2705
443,Glalie (Mega Glalie),-5,17,-29,35,-18,-11,2825
444,Spheal,-15,-63,-59,-30,-48,-86,18275
445,Sealeo,5,-43,-39,-10,-28,-66,8635
446,Walrein,25,-23,-19,10,-8,-46,3795
447,Clamperl,-50,-39,-24,-11,-43,-79,12808
448,Huntail,-30,1,-4,9,-23,-59,5008
449,Gorebyss,-30,-19,-4,29,-23,-59,6128
450,Relicanth,15,-13,21,-40,-33,-56,6660
451,Luvdisc,-42,-73,-54,-45,-33,-14,13319
452,Bagon,-40,-28,-49,-45,-68,-61,15155
453,Shelgon,-20,-8,-9,-25,-48,-61,7195
454,Salamence,10,32,-29,25,-18,-11,3035
455,Salamence (Mega Salamence),10,42,21,35,-8,9,3675
456,Beldum,-45,-48,-29,-50,-38,-81,15675
457,Metang,-25,-28,-9,-30,-18,-61,6435
458,Metagross,-5,32,21,10,-8,-41,3335
459,Metagross (Mega Metagross),-5,42,41,20,12,-1,4015
460,Regirock,-5,-3,91,-35,2,-61,13265
461,Regice,-5,-53,-9,15,102,-61,17265
462,Registeel,-5,-28,41,-10,52,-61,9015
463,Latias,-5,-23,-19,25,32,-1,2565
464,Latias (Mega Latias),-5,-3,11,55,52,-1,5885
465,Latios,-5,-13,-29,45,12,-1,3205
466,Latios (Mega Latios),-5,27,-9,75,22,-1,6945
467,Kyogre,15,-3,-19,65,42,-21,7025
468,Kyogre (Primal Kyogre),15,47,-19,95,62,-21,16105
469,Groudon,15,47,31,15,-8,-21,4125
470,Groudon (Primal Groudon),15,77,51,65,-8,-21,13485
471,Rayquaza,20,47,-19,65,-8,-16,7515
