Ronan McKinney vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
97,Graveler,-26,-5,55,-17,-66,-64,12467
98,Graveler (Alolan Graveler),-26,-5,55,-17,-66,-64,12467
99,Golem,-1,20,70,-7,-46,-54,10382
100,Golem (Alolan Golem),-1,20,70,-7,-46,-54,10382
101,Ponyta,-31,-15,-5,3,-46,-9,3417
102,Ponyta (Galarian Ponyta),-31,-15,-5,3,-46,-9,3417
103,Rapidash,-16,0,10,18,-31,6,1677
104,Rapidash (Galarian Rapidash),-16,0,10,18,-31,6,1677
105,Slowpoke,9,-35,5,-22,-71,-84,13912
106,Slowpoke (Galarian Slowpoke),9,-35,5,-22,-71,-84,13912
107,Slowbro,14,-25,50,38,-31,-69,10487
108,Slowbro (Mega Slowbro),14,-25,120,68,-31,-69,25567
109,Slowbro (Galarian Slowbro),14,0,35,38,-41,-69,9307
110,Magnemite,-56,-65,10,33,-56,-54,14602
111,Magneton,-31,-40,35,58,-41,-29,9672
112,Farfetch'd,-29,-10,-5,-4,-49,-39,4904
113,Farfetch'd (Galarian Farfetch'd),-29,-5,-5,-4,-49,-44,5244
114,Doduo,-46,-15,-15,-27,-76,-24,9647
115,Dodrio,-21,10,10,-2,-51,11,3367
116,Seel,-16,-55,-5,-17,-41,-54,8192
117,Dewgong,9,-30,20,8,-16,-29,2542
118,Grimer,-1,-20,-10,-22,-61,-74,10182
119,Grimer (Alolan Grimer),-1,-20,-10,-22,-61,-74,10182
120,Muk,24,5,15,3,-11,-49,3357
121,Muk (Alolan Muk),24,5,15,3,-11,-49,3357
122,Shellder,-51,-35,40,-17,-86,-59,16592
123,Cloyster,-31,-5,120,23,-66,-29,21112
124,Gastly,-51,-65,-30,38,-76,-19,15307
125,Haunter,-36,-50,-15,53,-56,-4,9982
126,Gengar,-21,-35,0,68,-36,11,7707
127,Gengar (Mega Gengar),-21,-35,20,108,-16,31,14947
128,Onix,-46,-55,100,-32,-66,-29,21362
129,Drowzee,-21,-52,-15,-19,-21,-57,7421
130,Hypno,4,-27,10,11,4,-32,2006
131,Krabby,-51,5,30,-37,-86,-49,14692
132,Kingler,-26,30,55,-12,-61,-24,9042
133,Voltorb,-41,-70,-10,-7,-56,1,9867
134,Voltorb (Hisuian Voltorb),-41,-70,-10,-7,-56,1,9867
135,Electrode,-21,-50,10,18,-31,51,6927
136,Electrode (Hisuian Electrode),-21,-50,10,18,-31,51,6927
137,Exeggcute,-21,-60,20,-2,-66,-59,12282
138,Exeggutor,14,-5,25,63,-36,-44,8047
139,Exeggutor (Alolan Exeggutor),14,5,25,63,-36,-54,9027
140,Cubone,-31,-50,35,-22,-61,-64,12987
141,Marowak,-21,-20,50,-12,-31,-54,7362
142,Marowak (Alolan Marowak),-21,-20,50,-12,-31,-54,7362
143,Hitmonlee,-31,20,-7,-27,-1,-12,2284
144,Hitmonchan,-31,5,19,-27,-1,-23,2606
145,Lickitung,9,-45,15,-2,-36,-69,8392
146,Koffing,-41,-35,35,-2,-66,-64,12587
147,Weezing,-16,-10,60,23,-41,-39,7687
148,Weezing (Galarian Weezing),-16,-10,60,23,-41,-39,7687
149,Rhyhorn,-1,-15,35,-32,-81,-74,14512
150,Rhydon,24,30,60,-17,-66,-59,13202
151,Chansey,169,-95,-55,-27,-6,-49,43777
152,Tangela,-16,-45,55,38,-71,-39,13312
153,Kangaskhan,24,-5,20,-22,-31,-9,2527
154,Kangaskhan (Mega Kangaskhan),24,25,40,-2,-11,1,2927
155,Horsea,-51,-60,10,8,-86,-39,15282
156,Seadra,-26,-35,35,33,-66,-14,8767
157,Goldeen,-36,-33,0,-27,-61,-36,8131
158,Seaking,-1,-8,5,3,-31,-31,2021
159,Staryu,-51,-55,-5,8,-56,-14,9047
160,Starmie,-21,-25,25,38,-26,16,4067
161,Mr. Mime,-41,-55,5,38,9,-9,6337
162,Mr. Mime (Galarian Mr. Mime),-31,-35,5,28,-21,1,3437
163,Scyther,-11,10,20,-7,-31,6,1667
164,Jynx,-16,-50,-25,53,-16,-4,6462
165,Electabuzz,-16,-17,-3,33,-26,6,2355
166,Magmar,-16,-5,-3,38,-26,-6,2446
167,Pinsir,-16,25,40,-7,-41,-14,4407
168,Pinsir (Mega Pinsir),-16,55,60,3,-21,6,7367
169,Tauros,-6,0,35,-22,-41,11,3547
170,Tauros (Paldean Tauros (Combat Breed)),-6,10,45,-32,-41,1,4867
171,Tauros (Paldean Tauros (Blaze Breed)),-6,10,45,-32,-41,1,4867
172,Tauros (Paldean Tauros (Aqua Breed)),-6,10,45,-32,-41,1,4867
173,Magikarp,-61,-90,-5,-47,-91,-19,22697
174,Gyarados,14,25,19,-2,-11,-18,1631
175,Gyarados (Mega Gyarados),14,55,49,8,19,-18,6371
176,Lapras,49,-15,20,23,-16,-39,5332
177,Ditto,-33,-52,-12,-14,-63,-51,10703
178,Eevee,-26,-45,-10,-17,-46,-44,7142
179,Eevee (Partner Eevee),-16,-25,10,3,-26,-24,2242
180,Vaporeon,49,-35,0,48,-16,-34,7342
181,Jolteon,-16,-35,0,48,-16,31,5002
182,Flareon,-16,30,0,33,-1,-34,3402
183,Porygon,-16,-40,10,23,-36,-59,7262
184,Omanyte,-46,-60,40,28,-56,-64,15332
185,Omastar,-11,-40,65,53,-41,-44,12372
186,Kabuto,-51,-20,30,-7,-66,-44,10242
187,Kabutops,-21,15,45,3,-41,-19,4742
188,Aerodactyl,-1,5,5,-2,-36,31,2312
189,Aerodactyl (Mega Aerodactyl),-1,35,25,8,-16,51,4772
190,Snorlax,79,10,5,3,-1,-69,11137
191,Articuno,9,-15,40,33,14,-14,3387
192,Articuno (Galarian Articuno),9,-15,25,63,-11,-4,5037
193,Zapdos,9,-10,25,63,-21,1,5217
194,Zapdos (Galarian Zapdos),9,25,30,23,-21,1,2577
195,Moltres,9,0,30,63,-26,-9,5707
196,Moltres (Galarian Moltres),9,-15,30,38,14,-9,2927
197,Dratini,-40,-36,-15,-12,-61,-49,9387
198,Dragonair,-20,-16,5,8,-41,-29,3267
199,Dragonite,10,34,35,38,-11,-19,4407
200,Mewtwo,25,10,30,92,-21,31,11491
201,Mewtwo (Mega Mewtwo X),25,90,40,92,-11,31,19871
202,Mewtwo (Mega Mewtwo Y),25,50,10,132,9,41,22411
203,Mew,19,0,40,38,-11,1,3527
204,Chikorita,-36,-51,5,-13,-46,-54,9123
205,Bayleef,-21,-38,20,1,-31,-39,4768
206,Meganium,-1,-18,40,21,-11,-19,2848
207,Cyndaquil,-42,-48,-17,-2,-61,-34,9238
208,Quilava,-23,-36,-2,18,-46,-19,4630
209,Typhlosion,-3,-16,18,47,-26,1,3475
210,Typhlosion (Hisuian Typhlosion),-8,-16,18,57,-26,-4,4585
211,Totodile,-31,-35,4,-18,-63,-56,9631
212,Croconaw,-16,-20,20,-3,-48,-41,5050
213,Feraligatr,4,5,40,17,-28,-21,3155
214,Sentret,-46,-54,-26,-27,-66,-79,17034
215,Furret,4,-24,4,-17,-56,-9,4114
216,Hoothoot,-21,-70,-30,-26,-55,-49,12343
217,Noctowl,19,-50,-10,24,-15,-29,4603
218,Ledyba,-41,-80,-30,-22,-31,-44,12362
219,Ledian,-26,-65,-10,-7,-1,-14,5247
220,Spinarak,-41,-40,-20,-22,-71,-69,13967
221,Ariados,-11,-10,10,-2,-41,-59,5487
222,Crobat,4,-10,20,8,-31,31,2502
223,Chinchou,-6,-62,-22,-6,-55,-32,8449
224,Lanturn,44,-42,-2,14,-35,-32,6149
225,Pichu,-61,-60,-45,-27,-76,-39,17372
226,Cleffa,-31,-75,-32,-17,-56,-84,18091
227,Igglybuff,9,-70,-45,-22,-91,-84,22827
228,Togepi,-46,-80,5,-22,-46,-79,17382
229,Togetic,-26,-60,25,18,-6,-59,8742
230,Natu,-41,-50,-15,8,-66,-29,9667
231,Xatu,-16,-25,10,33,-41,-4,3767
232,Mareep,-26,-60,-20,3,-66,-64,13137
233,Flaaffy,-11,-45,-5,18,-51,-54,8012
234,Ampharos,9,-25,25,53,-21,-44,6517
235,Ampharos (Mega Ampharos),9,-5,45,103,-1,-54,15657
236,Bellossom,-6,-20,35,28,-11,-49,4967
237,Marill,-11,-80,-10,-42,-61,-59,15587
238,Azumarill,19,-50,20,-2,-31,-49,6627
239,Sudowoodo,-11,0,55,-32,-46,-69,11047
240,Politoed,9,-25,15,28,-11,-29,2677
241,Hoppip,-46,-65,-20,-27,-56,-49,13007
242,Skiploom,-26,-55,-10,-17,-46,-19,6567
243,Jumpluff,-6,-45,10,-7,-16,11,2587
244,Aipom,-26,-30,-5,-22,-56,-14,5417
245,Sunkern,-51,-70,-30,-32,-81,-69,20747
246,Sunflora,-6,-25,-5,43,-26,-69,7972
247,Yanma,-16,-35,-15,13,-66,-4,6247
248,Wooper,-26,-55,-15,-37,-86,-84,19747
249,Wooper (Paldean Wooper),-26,-55,-15,-37,-86,-84,19747
250,Quagsire,14,-15,25,3,-46,-64,7267
251,Espeon,-16,-35,0,68,-16,11,6482
252,Umbreon,14,-35,50,-2,19,-34,5442
253,Murkrow,-21,-15,-18,23,-69,-8,6344
254,Slowking,14,-25,20,38,-1,-69,7427
255,Slowking (Galarian Slowking),14,-35,20,48,-1,-69,8887
256,Misdreavus,-21,-40,0,23,-26,-14,3442
257,Unown,-33,-28,-12,10,-63,-51,8687
258,Wobbuffet,109,-67,-2,-29,-53,-66,24380
259,Girafarig,-11,-20,5,28,-46,-14,3642
260,Pineco,-31,-35,30,-27,-76,-84,16647
261,Forretress,-6,-10,80,-2,-51,-59,12622
262,Dunsparce,19,-30,10,3,-46,-54,6402
263,Gligar,-16,-25,45,-27,-46,-14,5947
264,Steelix,-6,-15,140,-7,-46,-69,26787
265,Steelix (Mega Steelix),-6,25,170,-7,-16,-69,34627
266,Snubbull,-21,-20,-10,-22,-71,-69,11227
267,Granbull,9,20,15,-2,-51,-54,6227
268,Qwilfish,-16,-5,25,-7,-56,-14,4287
269,Qwilfish (Hisuian Qwilfish),-16,-5,25,-7,-56,-14,4287
270,Scizor,-11,30,40,-7,-31,-34,4787
271,Scizor (Mega Scizor),-11,50,80,3,-11,-24,9727
272,Shuckle,-61,-90,170,-52,119,-94,66422
273,Heracross,-1,25,15,-22,-16,-14,1787
274,Heracross (Mega Heracross),-1,85,55,-22,-6,-24,11347
275,Sneasel,-26,-5,-5,-27,-36,16,3007
276,Sneasel (Hisuian Sneasel),-26,-5,-5,-27,-36,16,3007
277,Teddiursa,-21,-20,-10,-12,-61,-59,8287
278,Ursaring,9,30,15,13,-36,-44,4607
279,Slugma,-41,-60,-20,8,-71,-79,17027
280,Magcargo,-21,-50,60,28,-31,-69,13047
281,Swinub,-31,-50,-20,-32,-81,-49,13847
282,Piloswine,19,0,20,-2,-51,-49,5767
283,Corsola,-16,-45,35,3,-16,-64,7867
284,Corsola (Galarian Corsola),-21,-45,40,3,-11,-69,8957
285,Remoraid,-46,-35,-25,3,-76,-34,10907
286,Octillery,-6,5,15,43,-36,-54,6347
287,Delibird,-36,-45,-15,3,-66,-24,8487
288,Mantine,4,-60,10,18,29,-29,5722
289,Skarmory,-16,-20,80,-22,-41,-29,10062
290,Houndour,-36,-40,-30,18,-61,-34,8997
291,Houndoom,-6,-10,-10,48,-31,-4,3517
292,Houndoom (Mega Houndoom),-6,-10,30,78,-21,16,7817
293,Kingdra,-6,-5,35,33,-16,-14,2827
294,Phanpy,9,-40,0,-22,-71,-59,10687
295,Donphan,9,20,60,-2,-51,-49,9087
296,Porygon2,4,-20,30,43,-16,-39,4942
297,Stantler,-8,-5,2,23,-46,-14,2934
298,Smeargle,-26,-80,-25,-42,-66,-24,14397
299,Tyrogue,-46,-65,-25,-27,-76,-64,17567
300,Hitmontop,-31,-5,35,-27,-1,-29,3782
301,Smoochum,-36,-70,-45,23,-46,-34,12022
302,Elekid,-36,-37,-23,3,-56,-4,6355
303,Magby,-36,-25,-23,8,-56,-16,5906
304,Miltank,14,-20,45,-22,-41,1,4787
305,Blissey,174,-90,-50,13,24,-44,43557
306,Raikou,9,-15,15,53,-11,16,3717
307,Entei,34,15,25,28,-36,1,4087
308,Suicune,19,-25,55,28,4,-14,5007
309,Larvitar,-31,-36,-10,-17,-61,-58,9731
310,Pupitar,-11,-16,10,3,-41,-48,4471
311,Tyranitar,19,34,50,33,-11,-38,6671
312,Tyranitar (Mega Tyranitar),19,64,90,33,9,-28,14511
313,Lugia,25,-10,70,28,43,11,8379
314,Ho-Oh,25,30,30,48,43,-9,6659
315,Celebi,19,0,40,38,-11,1,3527
316,Treecko,-41,-55,-25,3,-56,-29,9317
317,Grovyle,-31,-35,-15,23,-46,-4,5072
318,Sceptile,-11,-15,5,43,-26,21,3337
319,Sceptile (Mega Sceptile),-11,10,15,83,-26,46,10127
320,Torchic,-36,-40,-20,8,-61,-54,9997
321,Combusken,-21,-15,0,23,-51,-44,5732
322,Blaziken,-1,20,10,48,-41,-19,4847
323,Blaziken (Mega Blaziken),-1,60,20,68,-31,1,9587
324,Mudkip,-31,-30,-10,-12,-61,-59,9307
325,Marshtomp,-11,-15,10,-2,-41,-49,4532
326,Swampert,19,10,30,23,-21,-39,3852
327,Swampert (Mega Swampert),19,50,50,33,-1,-29,7292
328,Poochyena,-46,-45,-25,-32,-81,-64,16447
329,Mightyena,-11,-10,10,-2,-51,-29,3767
330,Zigzagoon,-43,-70,-19,-32,-70,-39,14555
331,Zigzagoon (Galarian Zigzagoon),-43,-70,-19,-32,-70,-39,14555
332,Linoone,-3,-30,1,-12,-50,1,3555
333,Linoone (Galarian Linoone),-3,-30,1,-12,-50,1,3555
334,Wurmple,-36,-55,-25,-42,-81,-79,19512
335,Silcoon,-31,-65,-5,-37,-86,-84,21032
336,Beautifly,-21,-30,-10,38,-61,-34,7762
337,Cascoon,-31,-65,-5,-37,-86,-84,21032
338,Dustox,-21,-50,10,-12,-21,-34,4782
339,Lotad,-41,-70,-30,-22,-61,-69,16447
340,Lombre,-21,-50,-10,-2,-41,-49,7127
341,Ludicolo,-1,-30,10,28,-11,-29,2747
342,Seedot,-41,-60,-10,-32,-81,-69,17727
343,Nuzleaf,-11,-30,-20,-2,-71,-39,7987
344,Shiftry,9,0,0,28,-51,-19,3827
345,Taillow,-41,-45,-30,-32,-81,-14,12387
346,Swellow,-21,-15,0,13,-61,26,5232
347,Wingull,-41,-70,-30,-7,-81,-14,14287
348,Pelipper,-21,-50,40,33,-41,-34,8467
349,Ralts,-53,-75,-35,-17,-76,-59,19205
350,Kirlia,-43,-65,-25,3,-56,-49,12245
351,Gardevoir,-13,-35,5,63,4,-19,5765
352,Gardevoir (Mega Gardevoir),-13,-15,5,103,24,1,11605
353,Surskit,-41,-70,-28,-12,-59,-34,12146
354,Masquerain,-11,-40,2,38,-29,-19,4371
355,Shroomish,-21,-60,0,-22,-51,-64,11222
356,Breloom,-21,30,20,-2,-51,-29,5187
357,Slakoth,-21,-40,0,-27,-76,-69,13307
358,Vigoroth,-1,-20,20,-7,-56,-9,4067
359,Slaking,69,60,40,33,-46,1,13167
360,Nincada,-50,-55,30,-32,-81,-59,17491
361,Ninjask,-20,-10,-15,-12,-61,61,8311
362,Shedinja,-80,-10,-15,-32,-81,-59,17791
363,Whismur,-17,-49,-37,-11,-88,-71,16965
364,Loudred,3,-29,-17,9,-68,-51,8445
365,Exploud,23,-9,3,29,-38,-31,3865
366,Makuhita,-9,-40,-30,-42,-81,-74,16382
367,Hariyama,63,20,0,-22,-51,-49,9855
368,Azurill,-31,-80,-20,-42,-71,-79,20807
369,Nosepass,-51,-55,75,-17,-21,-69,16742
370,Skitty,-31,-55,-15,-27,-76,-49,13117
371,Delcatty,-11,-35,5,-7,-56,-9,4637
372,Sableye,-31,-25,15,3,-46,-49,6337
373,Sableye (Mega Sableye),-31,-15,65,23,4,-79,12197
374,Mawile,-31,-15,25,-7,-56,-49,7397
375,Mawile (Mega Mawile),-31,5,65,-7,-16,-49,7917
376,Aron,-31,-30,40,-22,-71,-69,13747
377,Lairon,-21,-10,80,-12,-61,-59,14287
378,Aggron,-11,10,120,-2,-51,-49,19627
379,Aggron (Mega Aggron),-11,40,170,-2,-31,-49,33987
380,Meditite,-51,-60,-5,-22,-56,-39,11367
381,Medicham,-21,-40,15,-2,-36,-19,3927
382,Medicham (Mega Medicham),-21,0,25,18,-26,1,2067
383,Electrike,-41,-55,-20,3,-71,-34,11312
384,Manectric,-11,-25,0,43,-51,6,5232
385,Manectric (Mega Manectric),-11,-25,20,73,-31,36,8732
386,Plusle,-21,-50,-20,23,-36,-4,5182
387,Minun,-21,-60,-10,13,-26,-4,5002
388,Volbeat,-16,-27,15,-15,-26,-14,2307
389,Illumise,-16,-53,15,11,-26,-14,4283
390,Roselia,-31,-40,-15,38,-31,-34,6347
391,Gulpin,-11,-57,-7,-19,-58,-59,10625
392,Swalot,19,-27,23,11,-28,-44,4460
393,Carvanha,-36,-10,-40,3,-91,-34,12442
394,Sharpedo,-11,20,-20,33,-71,-4,7067
395,Sharpedo (Mega Sharpedo),-11,40,10,48,-46,6,6277
396,Wailmer,49,-30,-25,8,-76,-39,11287
397,Wailord,89,-10,-15,28,-66,-39,14907
398,Numel,-21,-40,-20,3,-66,-64,10902
399,Camerupt,-11,0,10,43,-36,-59,6847
400,Camerupt (Mega Camerupt),-11,20,40,83,-6,-79,15287
401,Torkoal,-11,-15,80,23,-41,-79,15197
402,Spoink,-21,-75,-25,8,-31,-39,9237
403,Grumpig,-1,-55,5,28,-1,-19,4197
404,Spinda,-21,-40,0,-2,-51,-39,6167
405,Trapinch,-36,0,-15,-17,-66,-89,14087
406,Vibrava,-31,-30,-10,-12,-61,-29,6667
407,Flygon,-1,0,20,18,-31,1,1687
408,Cacnea,-31,-15,-20,23,-71,-64,11252
409,Cacturne,-11,15,0,53,-51,-44,7692
410,Swablu,-36,-60,0,-22,-36,-49,9077
411,Altaria,-6,-30,30,8,-6,-19,2297
412,Altaria (Mega Altaria),-6,10,50,48,-6,-19,5337
413,Zangoose,-8,15,0,-2,-51,-9,2975
414,Seviper,-8,0,0,38,-51,-34,5265
415,Lunatone,9,-45,5,33,-26,-29,4737
416,Solrock,9,-5,25,-7,-46,-29,3737
417,Barboach,-31,-52,-17,-16,-70,-39,10631
418,Whiscash,29,-22,13,14,-40,-39,4811
419,Corphish,-38,-20,5,-12,-76,-64,11885
420,Crawdaunt,-18,20,25,28,-56,-44,7205
421,Baltoy,-41,-60,-5,-22,-41,-44,9407
422,Claydol,-21,-30,45,8,9,-24,4087
423,Lileep,-15,-59,17,-1,-24,-76,10348
424,Cradily,5,-19,37,19,-4,-56,5268
425,Anorith,-36,-5,-10,-22,-61,-24,6202
426,Armaldo,-6,25,40,8,-31,-54,6202
427,Feebas,-61,-85,-40,-52,-56,-19,18747
428,Milotic,14,-40,19,38,14,-18,4121
429,Castform,-11,-30,10,8,-41,-29,3707
430,Kecleon,-21,-10,10,-2,9,-59,4207
431,Shuppet,-37,-25,-25,1,-78,-54,11620
432,Banette,-17,15,5,21,-48,-34,4440
433,Banette (Mega Banette),-17,65,15,31,-28,-24,7060
434,Duskull,-61,-60,30,-32,-21,-74,15162
435,Dusclops,-41,-30,70,-2,19,-74,13322
436,Tropius,18,-32,23,10,-24,-48,4857
437,Chimecho,-6,-50,20,33,-21,-34,5622
438,Absol,-16,30,0,13,-51,-24,4502
439,Absol (Mega Absol),-16,50,0,53,-51,16,8422
440,Wynaut,14,-77,-12,-39,-63,-76,17535
441,Snorunt,-31,-50,-10,-12,-61,-49,9827
442,Glalie,-1,-20,20,18,-31,-19,2447
443,Glalie (Mega Glalie),-1,20,20,58,-31,1,5127
444,Spheal,-11,-60,-10,-7,-61,-74,13067
445,Sealeo,9,-40,10,13,-41,-54,6547
446,Walrein,29,-20,30,33,-21,-34,4827
447,Clamperl,-46,-36,25,12,-56,-67,11806
448,Huntail,-26,4,45,32,-36,-47,7246
449,Gorebyss,-26,-16,45,52,-36,-47,9166
450,Relicanth,19,-10,70,-17,-46,-44,9702
451,Luvdisc,-38,-70,-5,-22,-46,-2,8973
452,Bagon,-36,-25,0,-22,-81,-49,11367
453,Shelgon,-16,-5,40,-2,-61,-49,8007
454,Salamence,14,35,20,48,-31,1,5087
455,Salamence (Mega Salamence),14,45,70,58,-21,21,11367
456,Beldum,-41,-45,20,-27,-51,-69,12197
457,Metang,-21,-25,40,-7,-31,-49,6077
458,Metagross,-1,35,70,33,-21,-29,8497
459,Metagross (Mega Metagross),-1,45,90,43,-1,11,12097
460,Regirock,-1,0,140,-12,-11,-49,22267
461,Regice,-1,-50,40,38,89,-49,15867
462,Registeel,-1,-25,90,13,39,-49,12817
463,Latias,-1,-20,30,48,19,11,4087
464,Latias (Mega Latias),-1,0,60,78,39,11,11327
465,Latios,-1,-10,20,68,-1,11,5247
466,Latios (Mega Latios),-1,30,40,98,9,11,12307
467,Kyogre,19,0,30,88,29,-9,9927
468,Kyogre (Primal Kyogre),19,50,30,118,49,-9,20167
469,Groudon,19,50,80,38,-21,-9,11227
470,Groudon (Primal Groudon),19,80,100,88,-21,-9,25027
471,Rayquaza,24,50,30,88,-21,-4,12177
472,Rayquaza (Mega Rayquaza),24,80,40,118,-11,16,22877
473,Jirachi,19,0,40,38,-11,1,3527
474,Deoxys (Normal Forme),-31,50,-10,88,-61,51,17627
475,Deoxys (Attack Forme),-31,80,-40,118,-91,51,33767
476,Deoxys (Defense Forme),-31,-30,100,8,49,-9,14407
477,Deoxys (Speed Forme),-31,-5,30,33,-21,81,9977
478,Turtwig,-26,-32,4,-17,-56,-68,9765
479,Grotle,-6,-11,25,-7,-46,-63,6916
480,Torterra,14,9,45,13,-26,-43,4996
481,Chimchar,-37,-42,-16,-4,-67,-38,9338
482,Monferno,-17,-22,-8,16,-59,-18,4898
483,Infernape,-5,4,11,42,-40,9,3607
484,Piplup,-28,-49,-7,-1,-55,-59,9741
