Carla Betancourt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
44,Nidorino,-37,-30,-40,-30,-65,-48,11298
45,Nidoking,-17,0,-20,0,-45,-28,3498
46,Clefairy,-28,-57,-49,-25,-55,-78,16168
47,Clefable,-3,-32,-24,10,-30,-53,5418
48,Vulpix,-60,-61,-57,-35,-55,-48,17124
49,Vulpix (Alolan Vulpix),-60,-61,-57,-35,-55,-48,17124
50,Ninetales,-25,-26,-22,-4,-20,-13,2370
51,Ninetales (Alolan Ninetales),-25,-35,-22,-4,-20,-4,2766
52,Jigglypuff,17,-57,-77,-40,-95,-93,28741
53,Wigglytuff,42,-32,-52,0,-70,-68,15016
54,Zubat,-58,-57,-62,-55,-80,-58,23246
55,Golbat,-23,-22,-27,-20,-45,-23,4696
56,Oddish,-53,-52,-42,-10,-55,-83,17291
57,Gloom,-38,-37,-27,0,-45,-73,10896
58,Vileplume,-23,-22,-12,25,-30,-63,6651
59,Paras,-63,-32,-42,-40,-65,-88,20326
60,Parasect,-38,-7,-17,-25,-40,-83,10896
61,Venonat,-38,-47,-47,-45,-65,-68,16736
62,Venomoth,-28,-37,-37,5,-45,-23,6101
63,Diglett,-88,-47,-72,-50,-75,-18,23586
64,Diglett (Alolan Diglett),-88,-47,-67,-50,-75,-23,23096
65,Dugtrio,-63,-2,-47,-35,-50,7,9956
66,Dugtrio (Alolan Dugtrio),-63,-2,-37,-35,-50,-3,9076
67,Meowth,-58,-57,-62,-45,-80,-23,19411
68,Meowth (Alolan Meowth),-58,-67,-62,-35,-80,-23,19851
69,Meowth (Galarian Meowth),-48,-37,-42,-45,-80,-73,19191
70,Persian,-33,-32,-37,-20,-55,2,6911
71,Persian (Alolan Persian),-33,-42,-37,-10,-55,2,7351
72,Psyduck,-48,-50,-49,-20,-70,-58,15869
73,Golduck,-18,-20,-19,10,-40,-28,3569
74,Mankey,-58,-22,-62,-50,-75,-43,17666
75,Primeape,-33,3,-37,-25,-50,-18,5916
76,Growlithe,-43,-32,-52,-15,-70,-53,13511
77,Growlithe (Hisuian Growlithe),-38,-27,-52,-20,-70,-58,13541
78,Arcanine,-8,8,-17,15,-40,-18,2566
79,Arcanine (Hisuian Arcanine),-3,13,-17,10,-40,-23,2696
80,Poliwag,-58,-52,-57,-45,-80,-23,18271
81,Poliwhirl,-33,-37,-32,-35,-70,-23,10136
82,Poliwrath,-8,-7,-2,-15,-30,-43,3091
83,Abra,-73,-82,-82,20,-65,-23,23931
84,Kadabra,-58,-67,-67,35,-50,-8,16131
85,Alakazam,-43,-52,-52,50,-25,7,10431
86,Alakazam (Mega Alakazam),-43,-52,-32,90,-15,37,15271
87,Machop,-28,-22,-47,-50,-85,-78,19286
88,Machoke,-18,-2,-27,-35,-60,-68,10506
89,Machamp,-8,28,-17,-20,-35,-58,6126
90,Bellsprout,-48,-27,-62,-15,-90,-73,20531
91,Weepinbell,-33,-12,-47,0,-75,-58,12431
92,Victreebel,-18,3,-32,15,-50,-43,5931
93,Tentacool,-58,-62,-62,-35,-20,-43,14526
94,Tentacruel,-18,-32,-32,-5,0,-13,2566
95,Geodude,-58,-22,3,-55,-90,-93,23631
96,Geodude (Alolan Geodude),-58,-22,3,-55,-90,-93,23631
97,Graveler,-43,-7,18,-40,-75,-78,15531
98,Graveler (Alolan Graveler),-43,-7,18,-40,-75,-78,15531
99,Golem,-18,18,33,-30,-55,-68,10286
100,Golem (Alolan Golem),-18,18,33,-30,-55,-68,10286
101,Ponyta,-48,-17,-42,-20,-55,-23,8311
102,Ponyta (Galarian Ponyta),-48,-17,-42,-20,-55,-23,8311
103,Rapidash,-33,-2,-27,-5,-40,-8,3511
104,Rapidash (Galarian Rapidash),-33,-2,-27,-5,-40,-8,3511
105,Slowpoke,-8,-37,-32,-45,-80,-98,20486
106,Slowpoke (Galarian Slowpoke),-8,-37,-32,-45,-80,-98,20486
107,Slowbro,-3,-27,13,15,-40,-83,9621
108,Slowbro (Mega Slowbro),-3,-27,83,45,-40,-83,18141
109,Slowbro (Galarian Slowbro),-3,-2,-2,15,-50,-83,9631
110,Magnemite,-73,-67,-27,10,-65,-68,19496
111,Magneton,-48,-42,-2,35,-50,-43,9646
112,Farfetch'd,-46,-12,-42,-27,-58,-53,10926
113,Farfetch'd (Galarian Farfetch'd),-46,-7,-42,-27,-58,-58,11386
114,Doduo,-63,-17,-52,-50,-85,-38,18131
115,Dodrio,-38,8,-27,-25,-60,-3,6471
116,Seel,-33,-57,-42,-40,-50,-68,14826
117,Dewgong,-8,-32,-17,-15,-25,-43,4076
118,Grimer,-18,-22,-47,-45,-70,-88,17686
119,Grimer (Alolan Grimer),-18,-22,-47,-45,-70,-88,17686
120,Muk,7,3,-22,-20,-20,-63,5311
121,Muk (Alolan Muk),7,3,-22,-20,-20,-63,5311
122,Shellder,-68,-37,3,-40,-95,-73,21956
123,Cloyster,-48,-7,83,0,-75,-43,16716
124,Gastly,-68,-67,-67,15,-85,-33,22141
125,Haunter,-53,-52,-52,30,-65,-18,13666
126,Gengar,-38,-37,-37,45,-45,-3,8241
127,Gengar (Mega Gengar),-38,-37,-17,85,-25,17,11241
128,Onix,-63,-57,63,-55,-75,-43,21686
129,Drowzee,-38,-54,-52,-42,-30,-71,14769
130,Hypno,-13,-29,-27,-12,-5,-46,4024
131,Krabby,-68,3,-7,-60,-95,-63,21276
132,Kingler,-43,28,18,-35,-70,-38,10526
133,Voltorb,-58,-72,-47,-30,-65,-13,16051
134,Voltorb (Hisuian Voltorb),-58,-72,-47,-30,-65,-13,16051
135,Electrode,-38,-52,-27,-5,-40,37,7871
136,Electrode (Hisuian Electrode),-38,-52,-27,-5,-40,37,7871
137,Exeggcute,-38,-62,-17,-25,-75,-73,17156
138,Exeggutor,-3,-7,-12,40,-45,-58,7191
139,Exeggutor (Alolan Exeggutor),-3,3,-12,40,-45,-68,8411
140,Cubone,-48,-52,-2,-45,-70,-78,18021
141,Marowak,-38,-22,13,-35,-40,-68,9546
142,Marowak (Alolan Marowak),-38,-22,13,-35,-40,-68,9546
143,Hitmonlee,-48,18,-44,-50,-10,-26,7840
144,Hitmonchan,-48,3,-18,-50,-10,-37,6606
145,Lickitung,-8,-47,-22,-25,-45,-83,12296
146,Koffing,-58,-37,-2,-25,-75,-78,17071
147,Weezing,-33,-12,23,0,-50,-53,7071
148,Weezing (Galarian Weezing),-33,-12,23,0,-50,-53,7071
149,Rhyhorn,-18,-17,-2,-55,-90,-88,19486
150,Rhydon,7,28,23,-40,-75,-73,13916
151,Chansey,152,-97,-92,-50,-15,-63,47671
152,Tangela,-33,-47,18,15,-80,-53,13056
153,Kangaskhan,7,-7,-17,-45,-40,-23,4541
154,Kangaskhan (Mega Kangaskhan),7,23,3,-25,-20,-13,1781
155,Horsea,-68,-62,-27,-15,-95,-53,21256
156,Seadra,-43,-37,-2,10,-75,-28,9731
157,Goldeen,-53,-35,-37,-50,-70,-50,15303
158,Seaking,-18,-10,-32,-20,-40,-45,5473
159,Staryu,-68,-57,-42,-15,-65,-28,14871
160,Starmie,-38,-27,-12,15,-35,2,3771
161,Mr. Mime,-58,-57,-32,15,0,-23,8391
162,Mr. Mime (Galarian Mr. Mime),-48,-37,-32,5,-30,-13,5791
163,Scyther,-28,8,-17,-30,-40,-8,3701
164,Jynx,-33,-52,-62,30,-25,-18,9486
165,Electabuzz,-33,-19,-40,10,-35,-8,4439
166,Magmar,-33,-7,-40,15,-35,-20,4588
167,Pinsir,-33,23,3,-30,-50,-28,5811
168,Pinsir (Mega Pinsir),-33,53,23,-20,-30,-8,5791
169,Tauros,-23,-2,-2,-45,-50,-3,5071
170,Tauros (Paldean Tauros (Combat Breed)),-23,8,8,-55,-50,-13,6351
171,Tauros (Paldean Tauros (Blaze Breed)),-23,8,8,-55,-50,-13,6351
172,Tauros (Paldean Tauros (Aqua Breed)),-23,8,8,-55,-50,-13,6351
173,Magikarp,-78,-92,-42,-70,-100,-33,32301
174,Gyarados,-3,23,-18,-25,-20,-32,2911
175,Gyarados (Mega Gyarados),-3,53,12,-15,10,-32,4311
176,Lapras,32,-17,-17,0,-25,-53,5036
177,Ditto,-50,-54,-49,-37,-72,-65,18595
178,Eevee,-43,-47,-47,-40,-55,-58,14256
179,Eevee (Partner Eevee),-33,-27,-27,-20,-35,-38,5616
180,Vaporeon,32,-37,-37,25,-25,-48,7316
181,Jolteon,-33,-37,-37,25,-25,17,5366
182,Flareon,-33,28,-37,10,-10,-48,5746
183,Porygon,-33,-42,-27,0,-45,-73,10936
184,Omanyte,-63,-62,3,5,-65,-78,18156
185,Omastar,-28,-42,28,30,-50,-58,10096
186,Kabuto,-68,-22,-7,-30,-75,-58,15046
187,Kabutops,-38,13,8,-20,-50,-33,5666
188,Aerodactyl,-18,3,-32,-25,-45,17,4296
189,Aerodactyl (Mega Aerodactyl),-18,33,-12,-15,-25,37,3776
190,Snorlax,62,8,-32,-20,-10,-83,12321
191,Articuno,-8,-17,3,10,5,-28,1271
192,Articuno (Galarian Articuno),-8,-17,-12,40,-20,-18,2821
193,Zapdos,-8,-12,-12,40,-30,-13,3021
194,Zapdos (Galarian Zapdos),-8,23,-7,0,-30,-13,1711
195,Moltres,-8,-2,-7,40,-35,-23,3471
196,Moltres (Galarian Moltres),-8,-17,-7,15,5,-23,1181
197,Dratini,-57,-38,-52,-35,-70,-63,17491
198,Dragonair,-37,-18,-32,-15,-50,-43,7291
199,Dragonite,-7,32,-2,15,-20,-33,2791
200,Mewtwo,8,8,-7,69,-30,17,6127
201,Mewtwo (Mega Mewtwo X),8,88,3,69,-20,17,13267
202,Mewtwo (Mega Mewtwo Y),8,48,-27,109,0,27,15707
203,Mew,2,-2,3,15,-20,-13,811
204,Chikorita,-53,-53,-32,-36,-55,-68,15587
205,Bayleef,-38,-40,-17,-22,-40,-53,8226
206,Meganium,-18,-20,3,-2,-20,-33,2226
207,Cyndaquil,-59,-50,-54,-25,-70,-48,16726
208,Quilava,-40,-38,-39,-5,-55,-33,8704
209,Typhlosion,-20,-18,-19,24,-35,-13,3055
210,Typhlosion (Hisuian Typhlosion),-25,-18,-19,34,-35,-18,4015
211,Totodile,-48,-37,-33,-41,-72,-70,16527
212,Croconaw,-33,-22,-17,-26,-57,-55,8812
213,Feraligatr,-13,3,3,-6,-37,-35,2817
214,Sentret,-63,-56,-63,-50,-75,-93,27848
215,Furret,-13,-26,-33,-40,-65,-23,8288
216,Hoothoot,-38,-72,-67,-49,-64,-63,21583
217,Noctowl,2,-52,-47,1,-24,-43,7343
218,Ledyba,-58,-82,-67,-45,-40,-58,21566
219,Ledian,-43,-67,-47,-30,-10,-28,10331
220,Spinarak,-58,-42,-57,-45,-80,-83,23691
221,Ariados,-28,-12,-27,-25,-50,-73,10111
222,Crobat,-13,-12,-17,-15,-40,17,2716
223,Chinchou,-23,-64,-59,-29,-64,-46,15159
224,Lanturn,27,-44,-39,-9,-44,-46,8319
225,Pichu,-78,-62,-82,-50,-85,-53,29186
226,Cleffa,-48,-77,-69,-40,-65,-98,28423
227,Igglybuff,-8,-72,-82,-45,-100,-98,33601
228,Togepi,-63,-82,-32,-45,-55,-93,25416
229,Togetic,-43,-62,-12,-5,-15,-73,11416
230,Natu,-58,-52,-52,-15,-75,-43,16471
231,Xatu,-33,-27,-27,10,-50,-18,5471
232,Mareep,-43,-62,-57,-20,-75,-78,21051
233,Flaaffy,-28,-47,-42,-5,-60,-68,13006
234,Ampharos,-8,-27,-12,30,-30,-58,6101
235,Ampharos (Mega Ampharos),-8,-7,8,80,-10,-68,11301
236,Bellossom,-23,-22,-2,5,-20,-63,5411
237,Marill,-28,-82,-47,-65,-70,-73,24171
238,Azumarill,2,-52,-17,-25,-40,-63,9191
239,Sudowoodo,-28,-2,18,-55,-55,-83,14051
240,Politoed,-8,-27,-22,5,-20,-43,3551
241,Hoppip,-63,-67,-57,-50,-65,-63,22401
242,Skiploom,-43,-57,-47,-40,-55,-33,13021
243,Jumpluff,-23,-47,-27,-30,-25,-3,5001
244,Aipom,-43,-32,-42,-45,-65,-28,11671
245,Sunkern,-68,-72,-67,-55,-90,-83,32311
246,Sunflora,-23,-27,-42,20,-35,-83,11536
247,Yanma,-33,-37,-52,-10,-75,-18,11211
248,Wooper,-43,-57,-52,-60,-95,-98,30031
249,Wooper (Paldean Wooper),-43,-57,-52,-60,-95,-98,30031
250,Quagsire,-3,-17,-12,-20,-55,-78,9951
251,Espeon,-33,-37,-37,45,-25,-3,6486
252,Umbreon,-3,-37,13,-25,10,-48,4576
253,Murkrow,-38,-17,-55,0,-78,-22,11326
254,Slowking,-3,-27,-17,15,-10,-83,8241
255,Slowking (Galarian Slowking),-3,-37,-17,25,-10,-83,9281
256,Misdreavus,-38,-42,-37,0,-35,-28,6586
257,Unown,-50,-30,-49,-13,-72,-65,15379
258,Wobbuffet,92,-69,-39,-52,-62,-80,27694
259,Girafarig,-28,-22,-32,5,-55,-28,6126
260,Pineco,-48,-37,-7,-50,-85,-98,23051
261,Forretress,-23,-12,43,-25,-60,-73,12076
262,Dunsparce,2,-32,-27,-20,-55,-68,9806
263,Gligar,-33,-27,8,-50,-55,-28,8191
264,Steelix,-23,-17,103,-30,-55,-83,22241
265,Steelix (Mega Steelix),-23,23,133,-30,-25,-83,27161
266,Snubbull,-38,-22,-47,-45,-80,-83,19451
267,Granbull,-8,18,-22,-25,-60,-68,9721
268,Qwilfish,-33,-7,-12,-30,-65,-28,7191
269,Qwilfish (Hisuian Qwilfish),-33,-7,-12,-30,-65,-28,7191
270,Scizor,-28,28,3,-30,-40,-48,6381
271,Scizor (Mega Scizor),-28,48,43,-20,-20,-38,7181
272,Shuckle,-78,-92,133,-75,110,-108,61626
273,Heracross,-18,23,-22,-45,-25,-28,4771
274,Heracross (Mega Heracross),-18,83,18,-45,-15,-38,11231
275,Sneasel,-43,-7,-42,-50,-45,2,8191
276,Sneasel (Hisuian Sneasel),-43,-7,-42,-50,-45,2,8191
277,Teddiursa,-38,-22,-47,-35,-70,-73,15591
278,Ursaring,-8,28,-22,-10,-45,-58,6821
279,Slugma,-58,-62,-57,-15,-80,-93,25731
280,Magcargo,-38,-52,23,5,-40,-83,13191
281,Swinub,-48,-52,-57,-55,-90,-63,23351
282,Piloswine,2,-2,-17,-25,-60,-63,8491
283,Corsola,-33,-47,-2,-20,-25,-78,10411
284,Corsola (Galarian Corsola),-38,-47,3,-20,-20,-83,11351
285,Remoraid,-63,-37,-62,-20,-85,-48,19111
286,Octillery,-23,3,-22,20,-45,-68,8071
287,Delibird,-53,-47,-52,-20,-75,-38,15191
288,Mantine,-13,-62,-27,-5,20,-43,7016
289,Skarmory,-33,-22,43,-45,-50,-43,9796
290,Houndour,-53,-42,-67,-5,-70,-48,16291
291,Houndoom,-23,-12,-47,25,-40,-18,5431
292,Houndoom (Mega Houndoom),-23,-12,-7,55,-30,2,4651
293,Kingdra,-23,-7,-2,10,-25,-28,2091
294,Phanpy,-8,-42,-37,-45,-80,-73,16951
295,Donphan,-8,18,23,-25,-60,-63,9111
296,Porygon2,-13,-22,-7,20,-25,-53,4536
297,Stantler,-25,-7,-35,0,-55,-28,5708
298,Smeargle,-43,-82,-62,-65,-75,-38,23711
299,Tyrogue,-63,-67,-62,-50,-85,-78,28111
300,Hitmontop,-48,-7,-2,-50,-10,-43,6806
301,Smoochum,-53,-72,-82,0,-55,-48,20046
302,Elekid,-53,-39,-60,-20,-65,-18,12879
303,Magby,-53,-27,-60,-15,-65,-30,12488
304,Miltank,-3,-22,8,-45,-50,-13,5251
305,Blissey,157,-92,-87,-10,15,-58,44371
306,Raikou,-8,-17,-22,30,-20,2,2141
307,Entei,17,13,-12,5,-45,-13,2821
308,Suicune,2,-27,18,5,-5,-28,1891
309,Larvitar,-48,-38,-47,-40,-70,-72,17641
310,Pupitar,-28,-18,-27,-20,-50,-62,8581
311,Tyranitar,2,32,13,10,-20,-52,4401
312,Tyranitar (Mega Tyranitar),2,62,53,10,0,-42,8521
313,Lugia,8,-12,33,5,34,-3,2487
314,Ho-Oh,8,28,-7,25,34,-23,3207
315,Celebi,2,-2,3,15,-20,-13,811
316,Treecko,-58,-57,-62,-20,-65,-43,16931
317,Grovyle,-48,-37,-52,0,-55,-18,9726
318,Sceptile,-28,-17,-32,20,-35,7,3771
319,Sceptile (Mega Sceptile),-28,8,-22,60,-35,32,7181
320,Torchic,-53,-42,-57,-15,-70,-68,17571
321,Combusken,-38,-17,-37,0,-60,-58,10066
322,Blaziken,-18,18,-27,25,-50,-33,5591
323,Blaziken (Mega Blaziken),-18,58,-17,45,-40,-13,7771
324,Mudkip,-48,-32,-47,-35,-70,-73,16991
325,Marshtomp,-28,-17,-27,-25,-50,-63,8896
326,Swampert,2,8,-7,0,-30,-53,3826
327,Swampert (Mega Swampert),2,48,13,10,-10,-43,4526
328,Poochyena,-63,-47,-62,-55,-90,-78,27231
329,Mightyena,-28,-12,-27,-25,-60,-43,7731
330,Zigzagoon,-60,-72,-56,-55,-79,-53,23995
331,Zigzagoon (Galarian Zigzagoon),-60,-72,-56,-55,-79,-53,23995
332,Linoone,-20,-32,-36,-35,-59,-13,7595
333,Linoone (Galarian Linoone),-20,-32,-36,-35,-59,-13,7595
334,Wurmple,-53,-57,-62,-65,-90,-93,30876
335,Silcoon,-48,-67,-42,-60,-95,-98,30786
336,Beautifly,-38,-32,-47,15,-70,-48,12106
337,Cascoon,-48,-67,-42,-60,-95,-98,30786
338,Dustox,-38,-52,-27,-35,-30,-48,9306
339,Lotad,-58,-72,-67,-45,-70,-83,26851
340,Lombre,-38,-52,-47,-25,-50,-63,13451
341,Ludicolo,-18,-32,-27,5,-20,-43,4351
342,Seedot,-58,-62,-47,-55,-90,-83,27431
343,Nuzleaf,-28,-32,-57,-25,-80,-53,14891
344,Shiftry,-8,-2,-37,5,-60,-33,6151
345,Taillow,-58,-47,-67,-55,-90,-28,21971
346,Swellow,-38,-17,-37,-10,-70,12,8246
347,Wingull,-58,-72,-67,-30,-90,-28,22821
348,Pelipper,-38,-52,3,10,-50,-48,9061
349,Ralts,-70,-77,-72,-40,-85,-73,30167
350,Kirlia,-60,-67,-62,-20,-65,-63,20527
351,Gardevoir,-30,-37,-32,40,-5,-33,6007
352,Gardevoir (Mega Gardevoir),-30,-17,-32,80,15,-13,9007
353,Surskit,-58,-72,-65,-35,-68,-48,20926
354,Masquerain,-28,-42,-35,15,-38,-33,6531
355,Shroomish,-38,-62,-37,-45,-60,-78,18366
356,Breloom,-38,28,-17,-25,-60,-43,8591
357,Slakoth,-38,-42,-37,-50,-85,-83,21191
358,Vigoroth,-18,-22,-17,-30,-65,-23,6751
359,Slaking,52,58,3,10,-55,-13,9371
360,Nincada,-67,-57,-7,-55,-90,-73,24241
361,Ninjask,-37,-12,-52,-35,-70,47,12551
362,Shedinja,-97,-12,-52,-55,-90,-73,28711
363,Whismur,-34,-51,-74,-34,-97,-85,27023
364,Loudred,-14,-31,-54,-14,-77,-65,14423
365,Exploud,6,-11,-34,6,-47,-45,5583
366,Makuhita,-26,-42,-67,-65,-90,-88,26998
367,Hariyama,46,18,-37,-45,-60,-63,13403
368,Azurill,-48,-82,-57,-65,-80,-93,31551
369,Nosepass,-68,-57,38,-40,-30,-83,18706
370,Skitty,-48,-57,-52,-50,-85,-63,21951
371,Delcatty,-28,-37,-32,-30,-65,-23,8831
372,Sableye,-48,-27,-22,-20,-55,-63,10911
373,Sableye (Mega Sableye),-48,-17,28,0,-5,-93,12051
374,Mawile,-48,-17,-12,-30,-65,-63,11831
375,Mawile (Mega Mawile),-48,3,28,-30,-25,-63,8591
376,Aron,-48,-32,3,-45,-80,-83,18651
377,Lairon,-38,-12,43,-35,-70,-73,14891
378,Aggron,-28,8,83,-25,-60,-63,15931
379,Aggron (Mega Aggron),-28,38,133,-25,-40,-63,26111
380,Meditite,-68,-62,-42,-45,-65,-53,19291
381,Medicham,-38,-42,-22,-25,-45,-33,7431
382,Medicham (Mega Medicham),-38,-2,-12,-5,-35,-13,3011
383,Electrike,-58,-57,-57,-20,-80,-48,18966
384,Manectric,-28,-27,-37,20,-60,-8,6946
385,Manectric (Mega Manectric),-28,-27,-17,50,-40,22,6386
386,Plusle,-38,-52,-57,0,-45,-18,9746
387,Minun,-38,-62,-47,-10,-35,-18,9146
388,Volbeat,-33,-29,-22,-38,-35,-28,5867
389,Illumise,-33,-55,-22,-12,-35,-28,6751
390,Roselia,-48,-42,-52,15,-40,-48,10901
391,Gulpin,-28,-59,-44,-42,-67,-73,17783
392,Swalot,2,-29,-14,-12,-37,-58,5918
393,Carvanha,-53,-12,-77,-20,-100,-48,21586
394,Sharpedo,-28,18,-57,10,-80,-18,11181
395,Sharpedo (Mega Sharpedo),-28,38,-27,25,-55,-8,6671
396,Wailmer,32,-32,-62,-15,-85,-53,16151
397,Wailord,72,-12,-52,5,-75,-53,16491
398,Numel,-38,-42,-57,-20,-75,-78,18566
399,Camerupt,-28,-2,-27,20,-45,-73,9271
400,Camerupt (Mega Camerupt),-28,18,3,60,-15,-93,13591
401,Torkoal,-28,-17,43,0,-50,-93,14071
402,Spoink,-38,-77,-62,-15,-40,-53,15851
403,Grumpig,-18,-57,-32,5,-10,-33,5811
404,Spinda,-38,-42,-37,-25,-60,-53,11611
405,Trapinch,-53,-2,-52,-40,-75,-103,23351
406,Vibrava,-48,-32,-47,-35,-70,-43,13511
407,Flygon,-18,-2,-17,-5,-40,-13,2411
408,Cacnea,-48,-17,-57,0,-80,-78,18326
409,Cacturne,-28,13,-37,30,-60,-58,10186
410,Swablu,-53,-62,-37,-45,-45,-63,16041
411,Altaria,-23,-32,-7,-15,-15,-33,3141
412,Altaria (Mega Altaria),-23,8,13,25,-15,-33,2701
413,Zangoose,-25,13,-37,-25,-60,-23,6917
414,Seviper,-25,-2,-37,15,-60,-48,8127
415,Lunatone,-8,-47,-32,10,-35,-43,6471
416,Solrock,-8,-7,-12,-30,-55,-43,6031
417,Barboach,-48,-54,-54,-39,-79,-53,18707
418,Whiscash,12,-24,-24,-9,-49,-53,6587
419,Corphish,-55,-22,-32,-35,-85,-78,19067
420,Crawdaunt,-35,18,-12,5,-65,-58,9307
421,Baltoy,-58,-62,-42,-45,-50,-58,16861
422,Claydol,-38,-32,8,-15,0,-38,4201
423,Lileep,-32,-61,-20,-24,-33,-90,14910
424,Cradily,-12,-21,0,-4,-13,-70,5670
425,Anorith,-53,-7,-47,-45,-70,-38,13436
426,Armaldo,-23,23,3,-15,-40,-68,7516
427,Feebas,-78,-87,-77,-75,-65,-33,30521
428,Milotic,-3,-42,-18,15,5,-32,3371
429,Castform,-28,-32,-27,-15,-50,-43,7111
430,Kecleon,-38,-12,-27,-25,0,-73,8271
431,Shuppet,-54,-27,-62,-22,-87,-68,20166
432,Banette,-34,13,-32,-2,-57,-48,7906
433,Banette (Mega Banette),-34,63,-22,8,-37,-38,8486
434,Duskull,-78,-62,-7,-55,-30,-88,21646
435,Dusclops,-58,-32,33,-25,10,-88,13946
436,Tropius,1,-34,-14,-13,-33,-62,6455
437,Chimecho,-23,-52,-17,10,-30,-48,6826
438,Absol,-33,28,-37,-10,-60,-38,8386
439,Absol (Mega Absol),-33,48,-37,30,-60,2,9266
440,Wynaut,-3,-79,-49,-62,-72,-90,25779
441,Snorunt,-48,-52,-47,-35,-70,-63,17311
442,Glalie,-18,-22,-17,-5,-40,-33,3811
443,Glalie (Mega Glalie),-18,18,-17,35,-40,-13,3931
444,Spheal,-28,-62,-47,-30,-70,-88,20381
445,Sealeo,-8,-42,-27,-10,-50,-68,9781
446,Walrein,12,-22,-7,10,-30,-48,3981
447,Clamperl,-63,-38,-12,-11,-65,-81,16464
448,Huntail,-43,2,8,9,-45,-61,7744
449,Gorebyss,-43,-18,8,29,-45,-61,8824
450,Relicanth,2,-12,33,-40,-55,-58,9226
451,Luvdisc,-55,-72,-42,-45,-55,-16,15279
452,Bagon,-53,-27,-37,-45,-90,-63,19001
453,Shelgon,-33,-7,3,-25,-70,-63,10641
454,Salamence,-3,33,-17,25,-40,-13,3781
455,Salamence (Mega Salamence),-3,43,33,35,-30,7,5121
456,Beldum,-58,-47,-17,-50,-60,-83,18851
457,Metang,-38,-27,3,-30,-40,-63,8651
458,Metagross,-18,33,33,10,-30,-43,5351
459,Metagross (Mega Metagross),-18,43,53,20,-10,-3,5491
460,Regirock,-18,-2,103,-35,-20,-63,16531
461,Regice,-18,-52,3,15,80,-63,13631
462,Registeel,-18,-27,53,-10,30,-63,8831
463,Latias,-18,-22,-7,25,10,-3,1591
464,Latias (Mega Latias),-18,-2,23,55,30,-3,4791
465,Latios,-18,-12,-17,45,-10,-3,2891
466,Latios (Mega Latios),-18,28,3,75,0,-3,6751
467,Kyogre,2,-2,-7,65,20,-23,5211
468,Kyogre (Primal Kyogre),2,48,-7,95,40,-23,13511
469,Groudon,2,48,43,15,-30,-23,5811
