Piper Parker vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
72,Psyduck,-23,-53,-12,2,-49,-30,6787
73,Golduck,7,-23,18,32,-19,0,2287
74,Mankey,-33,-25,-25,-28,-54,-15,6264
75,Primeape,-8,0,0,-3,-29,10,1014
76,Growlithe,-18,-35,-15,7,-49,-25,4849
77,Growlithe (Hisuian Growlithe),-13,-30,-15,2,-49,-30,4599
78,Arcanine,17,5,20,37,-19,10,2544
79,Arcanine (Hisuian Arcanine),22,10,20,32,-19,5,2394
80,Poliwag,-33,-55,-20,-23,-59,5,8549
81,Poliwhirl,-8,-40,5,-13,-49,5,4284
82,Poliwrath,17,-10,35,7,-9,-15,1969
83,Abra,-48,-85,-45,42,-44,5,15279
84,Kadabra,-33,-70,-30,57,-29,20,11379
85,Alakazam,-18,-55,-15,72,-4,35,9999
86,Alakazam (Mega Alakazam),-18,-55,5,112,6,65,20179
87,Machop,-3,-25,-10,-28,-64,-50,8114
88,Machoke,7,-5,10,-13,-39,-40,3464
89,Machamp,17,25,20,2,-14,-30,2414
90,Bellsprout,-23,-30,-25,7,-69,-45,8889
91,Weepinbell,-8,-15,-10,22,-54,-30,4689
92,Victreebel,7,0,5,37,-29,-15,2509
93,Tentacool,-33,-65,-25,-13,1,-15,6334
94,Tentacruel,7,-35,5,17,21,15,2254
95,Geodude,-33,-25,40,-33,-69,-65,13389
96,Geodude (Alolan Geodude),-33,-25,40,-33,-69,-65,13389
97,Graveler,-18,-10,55,-18,-54,-50,9189
98,Graveler (Alolan Graveler),-18,-10,55,-18,-54,-50,9189
99,Golem,7,15,70,-8,-34,-40,7994
100,Golem (Alolan Golem),7,15,70,-8,-34,-40,7994
101,Ponyta,-23,-20,-5,2,-34,5,2139
102,Ponyta (Galarian Ponyta),-23,-20,-5,2,-34,5,2139
103,Rapidash,-8,-5,10,17,-19,20,1239
104,Rapidash (Galarian Rapidash),-8,-5,10,17,-19,20,1239
105,Slowpoke,17,-40,5,-23,-59,-70,10824
106,Slowpoke (Galarian Slowpoke),17,-40,5,-23,-59,-70,10824
107,Slowbro,22,-30,50,37,-19,-55,8639
108,Slowbro (Mega Slowbro),22,-30,120,67,-19,-55,23659
109,Slowbro (Galarian Slowbro),22,-5,35,37,-29,-55,6969
110,Magnemite,-48,-70,10,32,-44,-40,11864
111,Magneton,-23,-45,35,57,-29,-15,8094
112,Farfetch'd,-21,-15,-5,-5,-37,-25,2710
113,Farfetch'd (Galarian Farfetch'd),-21,-10,-5,-5,-37,-30,2860
114,Doduo,-38,-20,-15,-28,-64,-10,7049
115,Dodrio,-13,5,10,-3,-39,25,2449
116,Seel,-8,-60,-5,-18,-29,-40,6454
117,Dewgong,17,-35,20,7,-4,-15,2204
118,Grimer,7,-25,-10,-23,-49,-60,7304
119,Grimer (Alolan Grimer),7,-25,-10,-23,-49,-60,7304
120,Muk,32,0,15,2,1,-35,2479
121,Muk (Alolan Muk),32,0,15,2,1,-35,2479
122,Shellder,-43,-40,40,-18,-74,-45,12874
123,Cloyster,-23,-10,120,22,-54,-15,18654
124,Gastly,-43,-70,-30,37,-64,-5,13139
125,Haunter,-28,-55,-15,52,-44,10,8774
126,Gengar,-13,-40,0,67,-24,25,7459
127,Gengar (Mega Gengar),-13,-40,20,107,-4,45,15659
128,Onix,-38,-60,100,-33,-54,-15,19274
129,Drowzee,-13,-57,-15,-20,-9,-43,5973
130,Hypno,12,-32,10,10,16,-18,1948
131,Krabby,-43,0,30,-38,-74,-35,10894
132,Kingler,-18,25,55,-13,-49,-10,6644
133,Voltorb,-33,-75,-10,-8,-44,15,9039
134,Voltorb (Hisuian Voltorb),-33,-75,-10,-8,-44,15,9039
135,Electrode,-13,-55,10,17,-19,65,8169
136,Electrode (Hisuian Electrode),-13,-55,10,17,-19,65,8169
137,Exeggcute,-13,-65,20,-3,-54,-45,9744
138,Exeggutor,22,-10,25,62,-24,-30,6529
139,Exeggutor (Alolan Exeggutor),22,0,25,62,-24,-40,7129
140,Cubone,-23,-55,35,-23,-49,-50,10209
141,Marowak,-13,-25,50,-13,-19,-40,5424
142,Marowak (Alolan Marowak),-13,-25,50,-13,-19,-40,5424
143,Hitmonlee,-23,15,-7,-28,11,2,1712
144,Hitmonchan,-23,0,19,-28,11,-9,1876
145,Lickitung,17,-50,15,-3,-24,-55,6624
146,Koffing,-33,-40,35,-3,-54,-50,9339
147,Weezing,-8,-15,60,22,-29,-25,5839
148,Weezing (Galarian Weezing),-8,-15,60,22,-29,-25,5839
149,Rhyhorn,7,-20,35,-33,-69,-60,11124
150,Rhydon,32,25,60,-18,-54,-45,10514
151,Chansey,177,-100,-55,-28,6,-35,46399
152,Tangela,-8,-50,55,37,-59,-25,11064
153,Kangaskhan,32,-10,20,-23,-19,5,2439
154,Kangaskhan (Mega Kangaskhan),32,20,40,-3,1,15,3259
155,Horsea,-43,-65,10,7,-74,-25,12324
156,Seadra,-18,-40,35,32,-54,0,7089
157,Goldeen,-28,-38,0,-28,-49,-22,5897
158,Seaking,7,-13,5,2,-19,-17,897
159,Staryu,-43,-60,-5,7,-44,0,7459
160,Starmie,-13,-30,25,37,-14,30,4159
161,Mr. Mime,-33,-60,5,37,21,5,6549
162,Mr. Mime (Galarian Mr. Mime),-23,-40,5,27,-9,15,3189
163,Scyther,-3,5,20,-8,-19,20,1259
164,Jynx,-8,-55,-25,52,-4,10,6534
165,Electabuzz,-8,-22,-3,32,-14,20,2177
166,Magmar,-8,-10,-3,37,-14,8,1802
167,Pinsir,-8,20,40,-8,-29,0,2969
168,Pinsir (Mega Pinsir),-8,50,60,2,-9,20,6649
169,Tauros,2,-5,35,-23,-29,25,3249
170,Tauros (Paldean Tauros (Combat Breed)),2,5,45,-33,-29,15,4209
171,Tauros (Paldean Tauros (Blaze Breed)),2,5,45,-33,-29,15,4209
172,Tauros (Paldean Tauros (Aqua Breed)),2,5,45,-33,-29,15,4209
173,Magikarp,-53,-95,-5,-48,-79,-5,20429
174,Gyarados,22,20,19,-3,1,-4,1271
175,Gyarados (Mega Gyarados),22,50,49,7,31,-4,6411
176,Lapras,57,-20,20,22,-4,-25,5174
177,Ditto,-25,-57,-12,-15,-51,-37,8213
178,Eevee,-18,-50,-10,-18,-34,-30,5304
179,Eevee (Partner Eevee),-8,-30,10,2,-14,-10,1364
180,Vaporeon,57,-40,0,47,-4,-20,7474
181,Jolteon,-8,-40,0,47,-4,45,5914
182,Flareon,-8,25,0,32,11,-20,2234
183,Porygon,-8,-45,10,22,-24,-45,5274
184,Omanyte,-38,-65,40,27,-44,-50,12434
185,Omastar,-3,-45,65,52,-29,-30,10704
186,Kabuto,-43,-25,30,-8,-54,-30,7254
187,Kabutops,-13,10,45,2,-29,-5,3164
188,Aerodactyl,7,0,5,-3,-24,45,2684
189,Aerodactyl (Mega Aerodactyl),7,30,25,7,-4,65,5864
190,Snorlax,87,5,5,2,11,-55,10769
191,Articuno,17,-20,40,32,26,0,3989
192,Articuno (Galarian Articuno),17,-20,25,62,1,10,5259
193,Zapdos,17,-15,25,62,-9,15,5289
194,Zapdos (Galarian Zapdos),17,20,30,22,-9,15,2379
195,Moltres,17,-5,30,62,-14,5,5279
196,Moltres (Galarian Moltres),17,-20,30,37,26,5,3659
197,Dratini,-32,-41,-15,-13,-49,-35,6725
198,Dragonair,-12,-21,5,7,-29,-15,1725
199,Dragonite,18,29,35,37,1,-5,3785
200,Mewtwo,33,5,30,91,-9,45,12401
201,Mewtwo (Mega Mewtwo X),33,85,40,91,1,45,20221
202,Mewtwo (Mega Mewtwo Y),33,45,10,131,21,55,23841
203,Mew,27,-5,40,37,1,15,3949
204,Chikorita,-28,-56,5,-14,-34,-40,6897
205,Bayleef,-13,-43,20,0,-19,-25,3404
206,Meganium,7,-23,40,20,1,-5,2604
207,Cyndaquil,-34,-53,-17,-3,-49,-20,7064
208,Quilava,-15,-41,-2,17,-34,-5,3380
209,Typhlosion,5,-21,18,46,-14,15,3327
210,Typhlosion (Hisuian Typhlosion),0,-21,18,56,-14,10,4197
211,Totodile,-23,-40,4,-19,-51,-42,6871
212,Croconaw,-8,-25,20,-4,-36,-27,3130
213,Feraligatr,12,0,40,16,-16,-7,2305
214,Sentret,-38,-59,-26,-28,-54,-65,13526
215,Furret,12,-29,4,-18,-44,5,3286
216,Hoothoot,-13,-75,-30,-27,-43,-35,10497
217,Noctowl,27,-55,-10,23,-3,-15,4617
218,Ledyba,-33,-85,-30,-23,-19,-30,11004
219,Ledian,-18,-70,-10,-8,11,0,5509
220,Spinarak,-33,-45,-20,-23,-59,-55,10549
221,Ariados,-3,-15,10,-3,-29,-45,3209
222,Crobat,12,-15,20,7,-19,45,3204
223,Chinchou,2,-67,-22,-7,-43,-18,7199
224,Lanturn,52,-47,-2,13,-23,-18,5939
225,Pichu,-53,-65,-45,-28,-64,-25,14564
226,Cleffa,-23,-80,-32,-18,-44,-70,15113
227,Igglybuff,17,-75,-45,-23,-79,-70,19609
228,Togepi,-38,-85,5,-23,-34,-65,14604
229,Togetic,-18,-65,25,17,6,-45,7524
230,Natu,-33,-55,-15,7,-54,-15,7529
231,Xatu,-8,-30,10,32,-29,10,3029
232,Mareep,-18,-65,-20,2,-54,-50,10369
233,Flaaffy,-3,-50,-5,17,-39,-40,5944
234,Ampharos,17,-30,25,52,-9,-30,5499
235,Ampharos (Mega Ampharos),17,-10,45,102,11,-40,14539
236,Bellossom,2,-25,35,27,1,-35,3809
237,Marill,-3,-85,-10,-43,-49,-45,13609
238,Azumarill,27,-55,20,-3,-19,-35,5749
239,Sudowoodo,-3,-5,55,-33,-34,-55,8329
240,Politoed,17,-30,15,27,1,-15,2369
241,Hoppip,-38,-70,-20,-28,-44,-35,10689
242,Skiploom,-18,-60,-10,-18,-34,-5,5529
243,Jumpluff,2,-50,10,-8,-4,25,3309
244,Aipom,-18,-35,-5,-23,-44,0,4039
245,Sunkern,-43,-75,-30,-33,-69,-55,17249
246,Sunflora,2,-30,-5,42,-14,-55,5914
247,Yanma,-8,-40,-15,12,-54,10,5049
248,Wooper,-18,-60,-15,-38,-74,-70,15969
249,Wooper (Paldean Wooper),-18,-60,-15,-38,-74,-70,15969
250,Quagsire,22,-20,25,2,-34,-50,5169
251,Espeon,-8,-40,0,67,-4,25,6794
252,Umbreon,22,-40,50,-3,31,-20,5954
253,Murkrow,-13,-20,-18,22,-57,6,4662
254,Slowking,22,-30,20,37,11,-55,6299
255,Slowking (Galarian Slowking),22,-40,20,47,11,-55,7839
256,Misdreavus,-13,-45,0,22,-14,0,2874
257,Unown,-25,-33,-12,9,-51,-37,5909
258,Wobbuffet,117,-72,-2,-30,-41,-52,24162
259,Girafarig,-3,-25,5,27,-34,0,2544
260,Pineco,-23,-40,30,-28,-64,-70,12809
261,Forretress,2,-15,80,-3,-39,-45,10184
262,Dunsparce,27,-35,10,2,-34,-40,4814
263,Gligar,-8,-30,45,-28,-34,0,4929
264,Steelix,2,-20,140,-8,-34,-55,24249
265,Steelix (Mega Steelix),2,20,170,-8,-4,-55,32409
266,Snubbull,-13,-25,-10,-23,-59,-55,7929
267,Granbull,17,15,15,-3,-39,-40,3869
268,Qwilfish,-8,-10,25,-8,-44,0,2789
269,Qwilfish (Hisuian Qwilfish),-8,-10,25,-8,-44,0,2789
270,Scizor,-3,25,40,-8,-19,-20,3059
271,Scizor (Mega Scizor),-3,45,80,2,1,-10,8539
272,Shuckle,-53,-95,170,-53,131,-80,67104
273,Heracross,7,20,15,-23,-4,0,1219
274,Heracross (Mega Heracross),7,80,55,-23,6,-10,10139
275,Sneasel,-18,-10,-5,-28,-24,30,2709
276,Sneasel (Hisuian Sneasel),-18,-10,-5,-28,-24,30,2709
277,Teddiursa,-13,-25,-10,-13,-49,-45,5489
278,Ursaring,17,25,15,12,-24,-30,2759
279,Slugma,-33,-65,-20,7,-59,-65,13469
280,Magcargo,-13,-55,60,27,-19,-55,10909
281,Swinub,-23,-55,-20,-33,-69,-35,11029
282,Piloswine,27,-5,20,-3,-39,-35,3909
283,Corsola,-8,-50,35,2,-4,-50,6309
284,Corsola (Galarian Corsola),-13,-50,40,2,1,-55,7299
285,Remoraid,-38,-40,-25,2,-64,-20,8169
286,Octillery,2,0,15,42,-24,-40,4169
287,Delibird,-28,-50,-15,2,-54,-10,6529
288,Mantine,12,-65,10,17,41,-15,6664
289,Skarmory,-8,-25,80,-23,-29,-15,8684
290,Houndour,-28,-45,-30,17,-49,-20,6799
291,Houndoom,2,-15,-10,47,-19,10,2999
292,Houndoom (Mega Houndoom),2,-15,30,77,-9,30,8039
293,Kingdra,2,-10,35,32,-4,0,2369
294,Phanpy,17,-45,0,-23,-59,-45,8349
295,Donphan,17,15,60,-3,-39,-35,6869
296,Porygon2,12,-25,30,42,-4,-25,4074
297,Stantler,0,-10,2,22,-34,0,1744
298,Smeargle,-18,-85,-25,-43,-54,-10,13039
299,Tyrogue,-38,-70,-25,-28,-64,-50,14349
300,Hitmontop,-23,-10,35,-28,11,-15,2984
301,Smoochum,-28,-75,-45,22,-34,-20,10474
302,Elekid,-28,-42,-23,2,-44,10,5117
303,Magby,-28,-30,-23,7,-44,-2,4202
304,Miltank,22,-25,45,-23,-29,15,4729
305,Blissey,182,-95,-50,12,36,-30,46989
306,Raikou,17,-20,15,52,1,30,4519
307,Entei,42,10,25,27,-24,15,4019
308,Suicune,27,-30,55,27,16,0,5639
309,Larvitar,-23,-41,-10,-18,-49,-44,6971
310,Pupitar,-3,-21,10,2,-29,-34,2551
311,Tyranitar,27,29,50,32,1,-24,5671
312,Tyranitar (Mega Tyranitar),27,59,90,32,21,-14,13971
313,Lugia,33,-15,70,27,55,25,10593
314,Ho-Oh,33,25,30,47,55,5,7873
315,Celebi,27,-5,40,37,1,15,3949
316,Treecko,-33,-60,-25,2,-44,-15,7479
317,Grovyle,-23,-40,-15,22,-34,10,4094
318,Sceptile,-3,-20,5,42,-14,35,3619
319,Sceptile (Mega Sceptile),-3,5,15,82,-14,60,10779
320,Torchic,-28,-45,-20,7,-49,-40,7259
321,Combusken,-13,-20,0,22,-39,-30,3474
322,Blaziken,7,15,10,47,-29,-5,3449
323,Blaziken (Mega Blaziken),7,55,20,67,-19,15,8549
324,Mudkip,-23,-35,-10,-13,-49,-45,6449
325,Marshtomp,-3,-20,10,-3,-29,-35,2584
326,Swampert,27,5,30,22,-9,-25,2844
327,Swampert (Mega Swampert),27,45,50,32,11,-15,6624
328,Poochyena,-38,-50,-25,-33,-69,-50,12919
329,Mightyena,-3,-15,10,-3,-39,-15,2089
330,Zigzagoon,-35,-75,-19,-33,-58,-25,12289
331,Zigzagoon (Galarian Zigzagoon),-35,-75,-19,-33,-58,-25,12289
332,Linoone,5,-35,1,-13,-38,15,3089
333,Linoone (Galarian Linoone),5,-35,1,-13,-38,15,3089
334,Wurmple,-28,-60,-25,-43,-69,-65,15844
335,Silcoon,-23,-70,-5,-38,-74,-70,17274
336,Beautifly,-13,-35,-10,37,-49,-20,5664
337,Cascoon,-23,-70,-5,-38,-74,-70,17274
338,Dustox,-13,-55,10,-13,-9,-20,3944
339,Lotad,-33,-75,-30,-23,-49,-55,13569
340,Lombre,-13,-55,-10,-3,-29,-35,5369
341,Ludicolo,7,-35,10,27,1,-15,2329
342,Seedot,-33,-65,-10,-33,-69,-55,14289
343,Nuzleaf,-3,-35,-20,-3,-59,-25,5749
344,Shiftry,17,-5,0,27,-39,-5,2589
345,Taillow,-33,-50,-30,-33,-69,0,10339
346,Swellow,-13,-20,0,12,-49,40,4714
347,Wingull,-33,-75,-30,-8,-69,0,12439
348,Pelipper,-13,-55,40,32,-29,-20,7059
349,Ralts,-45,-80,-35,-18,-64,-45,16095
350,Kirlia,-35,-70,-25,2,-44,-35,9915
351,Gardevoir,-5,-40,5,62,16,-5,5775
352,Gardevoir (Mega Gardevoir),-5,-20,5,102,36,15,12375
353,Surskit,-33,-75,-28,-13,-47,-20,10276
354,Masquerain,-3,-45,2,37,-17,-5,3721
355,Shroomish,-13,-65,0,-23,-39,-50,8944
356,Breloom,-13,25,20,-3,-39,-15,2949
357,Slakoth,-13,-45,0,-28,-64,-55,10099
358,Vigoroth,7,-25,20,-8,-44,5,3099
359,Slaking,77,55,40,32,-34,15,12959
360,Nincada,-42,-60,30,-33,-69,-45,14139
361,Ninjask,-12,-15,-15,-13,-49,75,8789
362,Shedinja,-72,-15,-15,-33,-69,-45,13509
363,Whismur,-9,-54,-37,-12,-76,-57,13535
364,Loudred,11,-34,-17,8,-56,-37,6135
365,Exploud,31,-14,3,28,-26,-17,2915
366,Makuhita,-1,-45,-30,-43,-69,-60,13136
367,Hariyama,71,15,0,-23,-39,-35,8541
368,Azurill,-23,-85,-20,-43,-59,-65,17709
369,Nosepass,-43,-60,75,-18,-9,-55,14504
370,Skitty,-23,-60,-15,-28,-64,-35,10459
371,Delcatty,-3,-40,5,-8,-44,5,3659
372,Sableye,-23,-30,15,2,-34,-35,4039
373,Sableye (Mega Sableye),-23,-20,65,22,16,-65,10119
374,Mawile,-23,-20,25,-8,-44,-35,4779
375,Mawile (Mega Mawile),-23,0,65,-8,-4,-35,6059
376,Aron,-23,-35,40,-23,-59,-55,10389
377,Lairon,-13,-15,80,-13,-49,-45,11389
378,Aggron,-3,5,120,-3,-39,-35,17189
379,Aggron (Mega Aggron),-3,35,170,-3,-19,-35,31729
380,Meditite,-43,-65,-5,-23,-44,-25,9189
381,Medicham,-13,-45,15,-3,-24,-5,3029
382,Medicham (Mega Medicham),-13,-5,25,17,-14,15,1529
383,Electrike,-33,-60,-20,2,-59,-20,8974
384,Manectric,-3,-30,0,42,-39,20,4594
385,Manectric (Mega Manectric),-3,-30,20,72,-19,50,9354
386,Plusle,-13,-55,-20,22,-24,10,4754
387,Minun,-13,-65,-10,12,-14,10,4934
388,Volbeat,-8,-32,15,-16,-14,0,1765
389,Illumise,-8,-58,15,10,-14,0,3949
390,Roselia,-23,-45,-15,37,-19,-20,4909
391,Gulpin,-3,-62,-7,-20,-46,-45,8443
392,Swalot,27,-32,23,10,-16,-30,3538
393,Carvanha,-28,-15,-40,2,-79,-20,9254
394,Sharpedo,-3,15,-20,32,-59,10,5239
395,Sharpedo (Mega Sharpedo),-3,35,10,47,-34,20,5099
396,Wailmer,57,-35,-25,7,-64,-25,9869
397,Wailord,97,-15,-15,27,-54,-25,14129
398,Numel,-13,-45,-20,2,-54,-50,8014
399,Camerupt,-3,-5,10,42,-24,-45,4499
400,Camerupt (Mega Camerupt),-3,15,40,82,6,-65,12819
401,Torkoal,-3,-20,80,22,-29,-65,12359
402,Spoink,-13,-80,-25,7,-19,-25,8229
403,Grumpig,7,-60,5,27,11,-5,4549
404,Spinda,-13,-45,0,-3,-39,-25,4349
405,Trapinch,-28,-5,-15,-18,-54,-75,9899
406,Vibrava,-23,-35,-10,-13,-49,-15,4649
407,Flygon,7,-5,20,17,-19,15,1349
408,Cacnea,-23,-20,-20,22,-59,-50,7794
409,Cacturne,-3,10,0,52,-39,-30,5234
410,Swablu,-28,-65,0,-23,-24,-35,7339
411,Altaria,2,-35,30,7,6,-5,2239
412,Altaria (Mega Altaria),2,5,50,47,6,-5,4799
413,Zangoose,0,10,0,-3,-39,5,1655
414,Seviper,0,-5,0,37,-39,-20,3315
415,Lunatone,17,-50,5,32,-14,-15,4259
416,Solrock,17,-10,25,-8,-34,-15,2459
417,Barboach,-23,-57,-17,-17,-58,-25,8345
418,Whiscash,37,-27,13,13,-28,-25,3845
419,Corphish,-30,-25,5,-13,-64,-50,8315
420,Crawdaunt,-10,15,25,27,-44,-30,4515
421,Baltoy,-33,-65,-5,-23,-29,-30,7609
422,Claydol,-13,-35,45,7,21,-10,4009
423,Lileep,-7,-64,17,-2,-12,-62,8426
424,Cradily,13,-24,37,18,8,-42,4266
425,Anorith,-28,-10,-10,-23,-49,-10,4014
426,Armaldo,2,20,40,7,-19,-40,4014
427,Feebas,-53,-90,-40,-53,-44,-5,17279
428,Milotic,22,-45,19,37,26,-4,4931
429,Castform,-3,-35,10,7,-29,-15,2449
430,Kecleon,-13,-15,10,-3,21,-45,2969
431,Shuppet,-29,-30,-25,0,-66,-40,8322
432,Banette,-9,10,5,20,-36,-20,2302
433,Banette (Mega Banette),-9,60,15,30,-16,-10,5162
434,Duskull,-53,-65,30,-33,-9,-60,12704
435,Dusclops,-33,-35,70,-3,31,-60,11784
436,Tropius,26,-37,23,9,-12,-34,3955
437,Chimecho,2,-55,20,32,-9,-20,4934
438,Absol,-8,25,0,12,-39,-10,2454
439,Absol (Mega Absol),-8,45,0,52,-39,30,7214
440,Wynaut,22,-82,-12,-40,-51,-62,15397
441,Snorunt,-23,-55,-10,-13,-49,-35,7449
442,Glalie,7,-25,20,17,-19,-5,1749
443,Glalie (Mega Glalie),7,15,20,57,-19,15,4509
444,Spheal,-3,-65,-10,-8,-49,-60,10399
445,Sealeo,17,-45,10,12,-29,-40,4999
446,Walrein,37,-25,30,32,-9,-20,4399
447,Clamperl,-38,-41,25,11,-44,-53,8616
448,Huntail,-18,-1,45,31,-24,-33,4976
449,Gorebyss,-18,-21,45,51,-24,-33,7056
450,Relicanth,27,-15,70,-18,-34,-30,8234
451,Luvdisc,-30,-75,-5,-23,-34,12,8379
452,Bagon,-28,-30,0,-23,-69,-35,8199
453,Shelgon,-8,-10,40,-3,-49,-35,5399
454,Salamence,22,30,20,47,-19,15,4579
455,Salamence (Mega Salamence),22,40,70,57,-9,35,11539
456,Beldum,-33,-50,20,-28,-39,-55,9319
457,Metang,-13,-30,40,-8,-19,-35,4319
458,Metagross,7,30,70,32,-9,-15,7179
459,Metagross (Mega Metagross),7,40,90,42,11,25,12259
460,Regirock,7,-5,140,-13,1,-35,21069
461,Regice,7,-55,40,37,101,-35,17469
462,Registeel,7,-30,90,12,51,-35,13019
463,Latias,7,-25,30,47,31,25,5369
464,Latias (Mega Latias),7,-5,60,77,51,25,12829
465,Latios,7,-15,20,67,11,25,5909
466,Latios (Mega Latios),7,25,40,97,21,25,12749
467,Kyogre,27,-5,30,87,41,5,10929
468,Kyogre (Primal Kyogre),27,45,30,117,61,5,21089
469,Groudon,27,45,80,37,-9,5,10629
470,Groudon (Primal Groudon),27,75,100,87,-9,5,24029
471,Rayquaza,32,45,30,87,-9,10,11699
472,Rayquaza (Mega Rayquaza),32,75,40,117,1,30,22839
473,Jirachi,27,-5,40,37,1,15,3949
474,Deoxys (Normal Forme),-23,45,-10,87,-49,65,16849
475,Deoxys (Attack Forme),-23,75,-40,117,-79,65,31909
476,Deoxys (Defense Forme),-23,-35,100,7,61,5,15549
477,Deoxys (Speed Forme),-23,-10,30,32,-9,95,11659
478,Turtwig,-18,-37,4,-18,-44,-54,6885
479,Grotle,2,-16,25,-8,-34,-49,4506
480,Torterra,22,4,45,12,-14,-29,3706
481,Chimchar,-29,-47,-16,-5,-55,-24,6932
482,Monferno,-9,-27,-8,15,-47,-4,3324
483,Infernape,3,-1,11,41,-28,23,3125
484,Piplup,-20,-54,-7,-2,-43,-45,7243
485,Prinplup,-9,-39,8,18,-23,-35,3744
486,Empoleon,11,-19,28,48,2,-25,4199
487,Starly,-33,-50,-30,-33,-69,-25,10964
488,Staravia,-18,-30,-10,-23,-59,-5,5359
489,Staraptor,12,15,10,-13,-39,15,2384
490,Bidoof,-14,-60,-20,-28,-59,-54,11377
