Luke Woods vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
129,Drowzee,-8,-63,-70,-27,-17,-63,13920
130,Hypno,17,-38,-45,3,8,-38,5275
131,Krabby,-38,-6,-25,-45,-82,-55,13879
132,Kingler,-13,19,0,-20,-57,-30,5079
133,Voltorb,-28,-81,-65,-15,-52,-5,14524
134,Voltorb (Hisuian Voltorb),-28,-81,-65,-15,-52,-5,14524
135,Electrode,-8,-61,-45,10,-27,45,8664
136,Electrode (Hisuian Electrode),-8,-61,-45,10,-27,45,8664
137,Exeggcute,-8,-71,-35,-10,-62,-65,14499
138,Exeggutor,27,-16,-30,55,-32,-50,8434
139,Exeggutor (Alolan Exeggutor),27,-6,-30,55,-32,-60,9314
140,Cubone,-18,-61,-20,-30,-57,-70,13494
141,Marowak,-8,-31,-5,-20,-27,-60,5779
142,Marowak (Alolan Marowak),-8,-31,-5,-20,-27,-60,5779
143,Hitmonlee,-18,9,-62,-35,3,-18,5807
144,Hitmonchan,-18,-6,-36,-35,3,-29,3731
145,Lickitung,22,-56,-40,-10,-32,-75,11969
146,Koffing,-28,-46,-20,-10,-62,-70,12144
147,Weezing,-3,-21,5,15,-37,-45,4094
148,Weezing (Galarian Weezing),-3,-21,5,15,-37,-45,4094
149,Rhyhorn,12,-26,-20,-40,-77,-80,15149
150,Rhydon,37,19,5,-25,-62,-65,10449
151,Chansey,182,-106,-110,-35,-2,-55,60714
152,Tangela,-3,-56,0,30,-67,-45,10559
153,Kangaskhan,37,-16,-35,-30,-27,-15,4704
154,Kangaskhan (Mega Kangaskhan),37,14,-15,-10,-7,-5,1964
155,Horsea,-38,-71,-45,0,-82,-45,17259
156,Seadra,-13,-46,-20,25,-62,-20,7554
157,Goldeen,-23,-44,-55,-35,-57,-42,11728
158,Seaking,12,-19,-50,-5,-27,-37,5128
159,Staryu,-38,-66,-60,0,-52,-20,12504
160,Starmie,-8,-36,-30,30,-22,10,3744
161,Mr. Mime,-28,-66,-50,30,13,-15,8934
162,Mr. Mime (Galarian Mr. Mime),-18,-46,-50,20,-17,-5,5654
163,Scyther,2,-1,-35,-15,-27,0,2184
164,Jynx,-3,-61,-80,45,-12,-10,12399
165,Electabuzz,-3,-28,-58,25,-22,0,5266
166,Magmar,-3,-16,-58,30,-22,-12,5157
167,Pinsir,-3,14,-15,-15,-37,-20,2424
168,Pinsir (Mega Pinsir),-3,44,5,-5,-17,0,2284
169,Tauros,7,-11,-20,-30,-37,5,2864
170,Tauros (Paldean Tauros (Combat Breed)),7,-1,-10,-40,-37,-5,3144
171,Tauros (Paldean Tauros (Blaze Breed)),7,-1,-10,-40,-37,-5,3144
172,Tauros (Paldean Tauros (Aqua Breed)),7,-1,-10,-40,-37,-5,3144
173,Magikarp,-48,-101,-60,-55,-87,-25,27324
174,Gyarados,27,14,-36,-10,-7,-24,2946
175,Gyarados (Mega Gyarados),27,44,-6,0,23,-24,3806
176,Lapras,62,-26,-35,15,-12,-45,8139
177,Ditto,-20,-63,-67,-22,-59,-57,16072
178,Eevee,-13,-56,-65,-25,-42,-50,12419
179,Eevee (Partner Eevee),-3,-36,-45,-5,-22,-30,4739
180,Vaporeon,62,-46,-55,40,-12,-40,12329
181,Jolteon,-3,-46,-55,40,-12,25,7519
182,Flareon,-3,19,-55,25,3,-40,5629
183,Porygon,-3,-51,-45,15,-32,-65,10109
184,Omanyte,-33,-71,-15,20,-52,-70,14359
185,Omastar,2,-51,10,45,-37,-50,8599
186,Kabuto,-38,-31,-25,-15,-62,-50,9599
187,Kabutops,-8,4,-10,-5,-37,-25,2199
188,Aerodactyl,12,-6,-50,-10,-32,25,4429
189,Aerodactyl (Mega Aerodactyl),12,24,-30,0,-12,45,3789
190,Snorlax,92,-1,-50,-5,3,-75,16624
191,Articuno,22,-26,-15,25,18,-20,2734
192,Articuno (Galarian Articuno),22,-26,-30,55,-7,-10,5234
193,Zapdos,22,-21,-30,55,-17,-5,5164
194,Zapdos (Galarian Zapdos),22,14,-25,15,-17,-5,1844
195,Moltres,22,-11,-25,55,-22,-15,4964
196,Moltres (Galarian Moltres),22,-26,-25,30,18,-15,3234
197,Dratini,-27,-47,-70,-20,-57,-55,14512
198,Dragonair,-7,-27,-50,0,-37,-35,5872
199,Dragonite,23,23,-20,30,-7,-25,3032
200,Mewtwo,38,-1,-25,84,-17,25,10040
201,Mewtwo (Mega Mewtwo X),38,79,-15,84,-7,25,15640
202,Mewtwo (Mega Mewtwo Y),38,39,-45,124,13,35,21760
203,Mew,32,-11,-15,30,-7,-5,2344
204,Chikorita,-23,-62,-50,-21,-42,-60,12678
205,Bayleef,-8,-49,-35,-7,-27,-45,6493
206,Meganium,12,-29,-15,13,-7,-25,2053
207,Cyndaquil,-29,-59,-72,-10,-57,-40,14455
208,Quilava,-10,-47,-57,10,-42,-25,8047
209,Typhlosion,10,-27,-37,39,-22,-5,4228
210,Typhlosion (Hisuian Typhlosion),5,-27,-37,49,-22,-10,5108
211,Totodile,-18,-46,-51,-26,-59,-62,13042
212,Croconaw,-3,-31,-35,-11,-44,-47,6461
213,Feraligatr,17,-6,-15,9,-24,-27,1936
214,Sentret,-33,-65,-81,-35,-62,-85,24169
215,Furret,17,-35,-51,-25,-52,-15,7669
216,Hoothoot,-8,-81,-85,-34,-51,-55,20632
217,Noctowl,32,-61,-65,16,-11,-35,10572
218,Ledyba,-28,-91,-85,-30,-27,-50,20419
219,Ledian,-13,-76,-65,-15,3,-20,10804
220,Spinarak,-28,-51,-75,-30,-67,-75,20024
221,Ariados,2,-21,-45,-10,-37,-65,8164
222,Crobat,17,-21,-35,0,-27,25,3309
223,Chinchou,7,-73,-77,-14,-51,-38,15548
224,Lanturn,57,-53,-57,6,-31,-38,11748
225,Pichu,-48,-71,-100,-35,-72,-45,25779
226,Cleffa,-18,-86,-87,-25,-52,-90,26718
227,Igglybuff,22,-81,-100,-30,-87,-90,33614
228,Togepi,-33,-91,-50,-30,-42,-85,21759
229,Togetic,-13,-71,-30,10,-2,-65,10439
230,Natu,-28,-61,-70,0,-62,-35,14474
231,Xatu,-3,-36,-45,25,-37,-10,5424
232,Mareep,-13,-71,-75,-5,-62,-70,19604
233,Flaaffy,2,-56,-60,10,-47,-60,12649
234,Ampharos,22,-36,-30,45,-17,-50,7494
235,Ampharos (Mega Ampharos),22,-16,-10,95,3,-60,13474
236,Bellossom,7,-31,-20,20,-7,-55,4884
237,Marill,2,-91,-65,-50,-57,-65,22484
238,Azumarill,32,-61,-35,-10,-27,-55,9824
239,Sudowoodo,2,-11,0,-40,-42,-75,9114
240,Politoed,22,-36,-40,20,-7,-35,5054
241,Hoppip,-33,-76,-75,-35,-52,-55,19444
242,Skiploom,-13,-66,-65,-25,-42,-25,11764
243,Jumpluff,7,-56,-45,-15,-12,5,5604
244,Aipom,-13,-41,-60,-30,-52,-20,9454
245,Sunkern,-38,-81,-85,-40,-77,-75,28384
246,Sunflora,7,-36,-60,35,-22,-75,12279
247,Yanma,-3,-46,-70,5,-62,-10,10994
248,Wooper,-13,-66,-70,-45,-82,-90,26274
249,Wooper (Paldean Wooper),-13,-66,-70,-45,-82,-90,26274
250,Quagsire,27,-26,-30,-5,-42,-70,8994
251,Espeon,-3,-46,-55,60,-12,5,8919
252,Umbreon,27,-46,-5,-10,23,-40,5099
253,Murkrow,-8,-26,-73,15,-65,-14,10715
254,Slowking,27,-36,-35,30,3,-75,9784
255,Slowking (Galarian Slowking),27,-46,-35,40,3,-75,11304
256,Misdreavus,-8,-51,-55,15,-22,-20,6799
257,Unown,-20,-39,-67,2,-59,-57,13144
258,Wobbuffet,122,-78,-57,-37,-49,-72,33171
259,Girafarig,2,-31,-50,20,-42,-20,6029
260,Pineco,-18,-46,-25,-35,-72,-90,17574
261,Forretress,7,-21,25,-10,-47,-65,7649
262,Dunsparce,32,-41,-45,-5,-42,-60,10119
263,Gligar,-3,-36,-10,-35,-42,-20,4794
264,Steelix,7,-26,85,-15,-42,-75,15564
265,Steelix (Mega Steelix),7,14,115,-15,-12,-75,19464
266,Snubbull,-8,-31,-65,-30,-67,-75,16264
267,Granbull,22,9,-40,-10,-47,-60,8074
268,Qwilfish,-3,-16,-30,-15,-52,-20,4494
269,Qwilfish (Hisuian Qwilfish),-3,-16,-30,-15,-52,-20,4494
270,Scizor,2,19,-15,-15,-27,-40,3144
271,Scizor (Mega Scizor),2,39,25,-5,-7,-30,3124
272,Shuckle,-48,-101,115,-60,123,-100,54459
273,Heracross,12,14,-40,-30,-12,-20,3384
274,Heracross (Mega Heracross),12,74,0,-30,-2,-30,7424
275,Sneasel,-13,-16,-60,-35,-32,10,6374
276,Sneasel (Hisuian Sneasel),-13,-16,-60,-35,-32,10,6374
277,Teddiursa,-8,-31,-65,-20,-57,-65,13124
278,Ursaring,22,19,-40,5,-32,-50,5994
279,Slugma,-28,-71,-75,0,-67,-85,23164
280,Magcargo,-8,-61,5,20,-27,-75,10564
281,Swinub,-18,-61,-75,-40,-77,-55,20224
282,Piloswine,32,-11,-35,-10,-47,-55,7704
283,Corsola,-3,-56,-20,-5,-12,-70,8614
284,Corsola (Galarian Corsola),-8,-56,-15,-5,-7,-75,9124
285,Remoraid,-33,-46,-80,-5,-72,-40,16414
286,Octillery,7,-6,-40,35,-32,-60,7534
287,Delibird,-23,-56,-70,-5,-62,-30,13334
288,Mantine,17,-71,-45,10,33,-35,9769
289,Skarmory,-3,-31,25,-30,-37,-35,5089
290,Houndour,-23,-51,-85,10,-57,-40,15304
291,Houndoom,7,-21,-65,40,-27,-10,7144
292,Houndoom (Mega Houndoom),7,-21,-25,70,-17,10,6404
293,Kingdra,7,-16,-20,25,-12,-20,1874
294,Phanpy,22,-51,-55,-30,-67,-65,15724
295,Donphan,22,9,5,-10,-47,-55,5924
296,Porygon2,17,-31,-25,35,-12,-45,5269
297,Stantler,5,-16,-53,15,-42,-20,5479
298,Smeargle,-13,-91,-80,-50,-62,-30,22094
299,Tyrogue,-33,-76,-80,-35,-72,-70,24574
300,Hitmontop,-18,-16,-20,-35,3,-35,3439
301,Smoochum,-23,-81,-100,15,-42,-40,20679
302,Elekid,-23,-48,-78,-5,-52,-10,11746
303,Magby,-23,-36,-78,0,-52,-22,11097
304,Miltank,27,-31,-10,-30,-37,-5,4084
305,Blissey,187,-101,-105,5,28,-50,59504
306,Raikou,22,-26,-40,45,-7,10,4934
307,Entei,47,4,-30,20,-32,-5,4574
308,Suicune,32,-36,0,20,8,-20,3184
309,Larvitar,-18,-47,-65,-25,-57,-64,14728
310,Pupitar,2,-27,-45,-5,-37,-54,7068
311,Tyranitar,32,23,-5,25,-7,-44,4188
312,Tyranitar (Mega Tyranitar),32,53,35,25,13,-34,7008
313,Lugia,38,-21,15,20,47,5,4744
314,Ho-Oh,38,19,-25,40,47,-15,6464
315,Celebi,32,-11,-15,30,-7,-5,2344
316,Treecko,-28,-66,-80,-5,-52,-35,15494
317,Grovyle,-18,-46,-70,15,-42,-10,9429
318,Sceptile,2,-26,-50,35,-22,15,5114
319,Sceptile (Mega Sceptile),2,-1,-40,75,-22,40,9314
320,Torchic,-23,-51,-75,0,-57,-60,15604
321,Combusken,-8,-26,-55,15,-47,-50,8699
322,Blaziken,12,9,-45,40,-37,-25,5844
323,Blaziken (Mega Blaziken),12,49,-35,60,-27,-5,8124
324,Mudkip,-18,-41,-65,-20,-57,-65,14104
325,Marshtomp,2,-26,-45,-10,-37,-55,7199
326,Swampert,32,-1,-25,15,-17,-45,4189
327,Swampert (Mega Swampert),32,39,-5,25,3,-35,4429
328,Poochyena,-33,-56,-80,-40,-77,-70,23054
329,Mightyena,2,-21,-45,-10,-47,-35,6004
330,Zigzagoon,-30,-81,-74,-40,-66,-45,20918
331,Zigzagoon (Galarian Zigzagoon),-30,-81,-74,-40,-66,-45,20918
332,Linoone,10,-41,-54,-20,-46,-5,7238
333,Linoone (Galarian Linoone),10,-41,-54,-20,-46,-5,7238
334,Wurmple,-23,-66,-80,-50,-77,-85,26939
335,Silcoon,-18,-76,-60,-45,-82,-90,26549
336,Beautifly,-8,-41,-65,30,-57,-40,11719
337,Cascoon,-18,-76,-60,-45,-82,-90,26549
338,Dustox,-8,-61,-45,-20,-17,-40,8099
339,Lotad,-28,-81,-85,-30,-57,-75,24344
340,Lombre,-8,-61,-65,-10,-37,-55,12504
341,Ludicolo,12,-41,-45,20,-7,-35,5524
342,Seedot,-28,-71,-65,-40,-77,-75,23204
343,Nuzleaf,2,-41,-75,-10,-67,-45,13924
344,Shiftry,22,-11,-55,20,-47,-25,6864
345,Taillow,-28,-56,-85,-40,-77,-20,19074
346,Swellow,-8,-26,-55,5,-57,20,7439
347,Wingull,-28,-81,-85,-15,-77,-20,21124
348,Pelipper,-8,-61,-15,25,-37,-40,7604
349,Ralts,-40,-86,-90,-25,-72,-65,27130
350,Kirlia,-30,-76,-80,-5,-52,-55,18830
351,Gardevoir,0,-46,-50,55,8,-25,8330
352,Gardevoir (Mega Gardevoir),0,-26,-50,95,28,-5,13010
353,Surskit,-28,-81,-83,-20,-55,-40,19259
354,Masquerain,2,-51,-53,30,-25,-25,7564
355,Shroomish,-8,-71,-55,-30,-47,-70,16139
356,Breloom,-8,19,-35,-10,-47,-35,5184
357,Slakoth,-8,-51,-55,-35,-72,-75,17724
358,Vigoroth,12,-31,-35,-15,-52,-15,5484
359,Slaking,82,49,-15,25,-42,-5,11764
360,Nincada,-37,-66,-25,-40,-77,-65,18104
361,Ninjask,-7,-21,-70,-20,-57,55,12064
362,Shedinja,-67,-21,-70,-40,-77,-65,21584
363,Whismur,-4,-60,-92,-19,-84,-77,25426
364,Loudred,16,-40,-72,1,-64,-57,14386
365,Exploud,36,-20,-52,21,-34,-37,7366
366,Makuhita,4,-51,-85,-50,-77,-80,24671
367,Hariyama,76,9,-55,-30,-47,-55,15016
368,Azurill,-18,-91,-75,-50,-67,-85,28444
369,Nosepass,-38,-66,20,-25,-17,-75,12739
370,Skitty,-18,-66,-70,-35,-72,-55,19014
371,Delcatty,2,-46,-50,-15,-52,-15,7774
372,Sableye,-18,-36,-40,-5,-42,-55,8034
373,Sableye (Mega Sableye),-18,-26,10,15,8,-85,8614
374,Mawile,-18,-26,-30,-15,-52,-55,7854
375,Mawile (Mega Mawile),-18,-6,10,-15,-12,-55,3854
376,Aron,-18,-41,-15,-30,-67,-75,13244
377,Lairon,-8,-21,25,-20,-57,-65,9004
378,Aggron,2,-1,65,-10,-47,-55,9564
379,Aggron (Mega Aggron),2,29,115,-10,-27,-55,17924
380,Meditite,-38,-71,-60,-30,-52,-45,15714
381,Medicham,-8,-51,-40,-10,-32,-25,6014
382,Medicham (Mega Medicham),-8,-11,-30,10,-22,-5,1694
383,Electrike,-28,-66,-75,-5,-67,-40,16879
384,Manectric,2,-36,-55,35,-47,0,7759
385,Manectric (Mega Manectric),2,-36,-35,65,-27,30,8379
386,Plusle,-8,-61,-75,15,-32,-10,10759
387,Minun,-8,-71,-65,5,-22,-10,9939
388,Volbeat,-3,-38,-40,-23,-22,-20,4466
389,Illumise,-3,-64,-40,3,-22,-20,6598
390,Roselia,-18,-51,-70,30,-27,-40,11054
391,Gulpin,2,-68,-62,-27,-54,-65,16342
392,Swalot,32,-38,-32,3,-24,-50,6577
393,Carvanha,-23,-21,-95,-5,-87,-40,19189
394,Sharpedo,2,9,-75,25,-67,-10,10924
395,Sharpedo (Mega Sharpedo),2,29,-45,40,-42,0,6234
396,Wailmer,62,-41,-80,0,-72,-45,19134
397,Wailord,102,-21,-70,20,-62,-45,22014
398,Numel,-8,-51,-75,-5,-62,-70,17059
399,Camerupt,2,-11,-45,35,-32,-65,8624
400,Camerupt (Mega Camerupt),2,9,-15,75,-2,-85,13164
401,Torkoal,2,-26,25,15,-37,-85,10124
402,Spoink,-8,-86,-80,0,-27,-45,16614
403,Grumpig,12,-66,-50,20,3,-25,8034
404,Spinda,-8,-51,-55,-10,-47,-45,10024
405,Trapinch,-23,-11,-70,-25,-62,-95,19044
406,Vibrava,-18,-41,-65,-20,-57,-35,11104
407,Flygon,12,-11,-35,10,-27,-5,2344
408,Cacnea,-18,-26,-75,15,-67,-70,16239
409,Cacturne,2,4,-55,45,-47,-50,9779
410,Swablu,-23,-71,-55,-30,-32,-55,13544
411,Altaria,7,-41,-25,0,-2,-25,2984
412,Altaria (Mega Altaria),7,-1,-5,40,-2,-25,2304
413,Zangoose,5,4,-55,-10,-47,-15,5600
414,Seviper,5,-11,-55,30,-47,-40,7880
415,Lunatone,22,-56,-50,25,-22,-35,8454
416,Solrock,22,-16,-30,-15,-42,-35,4854
417,Barboach,-18,-63,-72,-24,-66,-45,16434
418,Whiscash,42,-33,-42,6,-36,-45,7974
419,Corphish,-25,-31,-50,-20,-72,-70,14570
420,Crawdaunt,-5,9,-30,20,-52,-50,6610
421,Baltoy,-28,-71,-60,-30,-37,-50,14194
422,Claydol,-8,-41,-10,0,13,-30,2914
423,Lileep,-2,-70,-38,-9,-20,-82,13553
424,Cradily,18,-30,-18,11,0,-62,5513
425,Anorith,-23,-16,-65,-30,-57,-30,10059
426,Armaldo,7,14,-15,0,-27,-60,4799
427,Feebas,-48,-96,-95,-60,-52,-25,27474
428,Milotic,27,-51,-36,30,18,-24,6426
429,Castform,2,-41,-45,0,-37,-35,6304
430,Kecleon,-8,-21,-45,-10,13,-65,7024
431,Shuppet,-24,-36,-80,-7,-74,-60,17397
432,Banette,-4,4,-50,13,-44,-40,6237
433,Banette (Mega Banette),-4,54,-40,23,-24,-30,6537
434,Duskull,-48,-71,-25,-40,-17,-80,16259
435,Dusclops,-28,-41,15,-10,23,-80,9719
436,Tropius,31,-43,-32,2,-20,-54,7154
437,Chimecho,7,-61,-35,25,-17,-40,7509
438,Absol,-3,19,-55,5,-47,-30,6529
439,Absol (Mega Absol),-3,39,-55,45,-47,10,8889
440,Wynaut,27,-88,-67,-47,-59,-82,25376
441,Snorunt,-18,-61,-65,-20,-57,-55,14944
442,Glalie,12,-31,-35,10,-27,-25,3784
443,Glalie (Mega Glalie),12,9,-35,50,-27,-5,4704
444,Spheal,2,-71,-65,-15,-57,-80,19144
445,Sealeo,22,-51,-45,5,-37,-60,10104
446,Walrein,42,-31,-25,25,-17,-40,5864
447,Clamperl,-33,-47,-30,4,-52,-73,12247
448,Huntail,-13,-7,-10,24,-32,-53,4727
449,Gorebyss,-13,-27,-10,44,-32,-53,6767
450,Relicanth,32,-21,15,-25,-42,-50,6579
451,Luvdisc,-25,-81,-60,-30,-42,-8,13514
452,Bagon,-23,-36,-55,-30,-77,-55,14704
453,Shelgon,-3,-16,-15,-10,-57,-55,6864
454,Salamence,27,24,-35,40,-27,-5,4884
455,Salamence (Mega Salamence),27,34,15,50,-17,15,5124
456,Beldum,-28,-56,-35,-35,-47,-75,14204
457,Metang,-8,-36,-15,-15,-27,-55,5564
458,Metagross,12,24,15,25,-17,-35,3084
459,Metagross (Mega Metagross),12,34,35,35,3,5,3784
460,Regirock,12,-11,85,-20,-7,-55,10964
461,Regice,12,-61,-15,30,93,-55,16664
462,Registeel,12,-36,35,5,43,-55,7564
463,Latias,12,-31,-25,40,23,5,3884
464,Latias (Mega Latias),12,-11,5,70,43,5,7064
465,Latios,12,-21,-35,60,3,5,5444
466,Latios (Mega Latios),12,19,-15,90,13,5,9024
467,Kyogre,32,-11,-25,80,33,-15,9484
468,Kyogre (Primal Kyogre),32,39,-25,110,53,-15,18304
469,Groudon,32,39,25,30,-17,-15,4584
470,Groudon (Primal Groudon),32,69,45,80,-17,-15,14724
471,Rayquaza,37,39,-25,80,-17,-10,10304
472,Rayquaza (Mega Rayquaza),37,69,-15,110,-7,10,18604
473,Jirachi,32,-11,-15,30,-7,-5,2344
474,Deoxys (Normal Forme),-18,39,-65,80,-57,45,17744
475,Deoxys (Attack Forme),-18,69,-95,110,-87,45,35804
