Bryce Taylor vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
66,Dugtrio (Alolan Dugtrio),-42,-8,-49,-16,-28,7,5318
67,Meowth,-37,-63,-74,-26,-58,-13,15023
68,Meowth (Alolan Meowth),-37,-73,-74,-16,-58,-13,15963
69,Meowth (Galarian Meowth),-27,-43,-54,-26,-58,-63,13503
70,Persian,-12,-38,-49,-1,-33,12,5223
71,Persian (Alolan Persian),-12,-48,-49,9,-33,12,6163
72,Psyduck,-27,-56,-61,-1,-48,-48,12195
73,Golduck,3,-26,-31,29,-18,-18,3135
74,Mankey,-37,-28,-74,-31,-53,-33,12488
75,Primeape,-12,-3,-49,-6,-28,-8,3438
76,Growlithe,-22,-38,-64,4,-48,-43,10193
77,Growlithe (Hisuian Growlithe),-17,-33,-64,-1,-48,-48,10083
78,Arcanine,13,2,-29,34,-18,-8,2558
79,Arcanine (Hisuian Arcanine),18,7,-29,29,-18,-13,2548
80,Poliwag,-37,-58,-69,-26,-58,-13,13703
81,Poliwhirl,-12,-43,-44,-16,-48,-13,6658
82,Poliwrath,13,-13,-14,4,-8,-33,1703
83,Abra,-52,-88,-94,39,-43,-13,22823
84,Kadabra,-37,-73,-79,54,-28,2,16643
85,Alakazam,-22,-58,-64,69,-3,17,13003
86,Alakazam (Mega Alakazam),-22,-58,-44,109,7,47,19923
87,Machop,-7,-28,-59,-31,-63,-68,13868
88,Machoke,3,-8,-39,-16,-38,-58,6658
89,Machamp,13,22,-29,-1,-13,-48,3968
90,Bellsprout,-27,-33,-74,4,-68,-63,15903
91,Weepinbell,-12,-18,-59,19,-53,-48,9423
92,Victreebel,3,-3,-44,34,-28,-33,4983
93,Tentacool,-37,-68,-74,-16,2,-33,12818
94,Tentacruel,3,-38,-44,14,22,-3,4078
95,Geodude,-37,-28,-9,-36,-68,-83,15043
96,Geodude (Alolan Geodude),-37,-28,-9,-36,-68,-83,15043
97,Graveler,-22,-13,6,-21,-53,-68,8563
98,Graveler (Alolan Graveler),-22,-13,6,-21,-53,-68,8563
99,Golem,3,12,21,-11,-33,-58,5168
100,Golem (Alolan Golem),3,12,21,-11,-33,-58,5168
101,Ponyta,-27,-23,-54,-1,-33,-13,5433
102,Ponyta (Galarian Ponyta),-27,-23,-54,-1,-33,-13,5433
103,Rapidash,-12,-8,-39,14,-18,2,2253
104,Rapidash (Galarian Rapidash),-12,-8,-39,14,-18,2,2253
105,Slowpoke,13,-43,-44,-26,-58,-88,15738
106,Slowpoke (Galarian Slowpoke),13,-43,-44,-26,-58,-88,15738
107,Slowbro,18,-33,1,34,-18,-73,8223
108,Slowbro (Mega Slowbro),18,-33,71,64,-18,-73,16203
109,Slowbro (Galarian Slowbro),18,-8,-14,34,-28,-73,7853
110,Magnemite,-52,-73,-39,29,-43,-58,15608
111,Magneton,-27,-48,-14,54,-28,-33,8018
112,Farfetch'd,-25,-18,-54,-8,-36,-43,7074
113,Farfetch'd (Galarian Farfetch'd),-25,-13,-54,-8,-36,-48,7374
114,Doduo,-42,-23,-64,-31,-63,-28,12103
115,Dodrio,-17,2,-39,-6,-38,7,3343
116,Seel,-12,-63,-54,-21,-28,-58,11618
117,Dewgong,13,-38,-29,4,-3,-33,3568
118,Grimer,3,-28,-59,-26,-48,-78,13338
119,Grimer (Alolan Grimer),3,-28,-59,-26,-48,-78,13338
120,Muk,28,-3,-34,-1,2,-53,4763
121,Muk (Alolan Muk),28,-3,-34,-1,2,-53,4763
122,Shellder,-47,-43,-9,-21,-73,-63,13878
123,Cloyster,-27,-13,71,19,-53,-33,10198
124,Gastly,-47,-73,-79,34,-63,-23,19433
125,Haunter,-32,-58,-64,49,-43,-8,12798
126,Gengar,-17,-43,-49,64,-23,7,9213
127,Gengar (Mega Gengar),-17,-43,-29,104,-3,27,14533
128,Onix,-42,-63,51,-36,-53,-33,13528
129,Drowzee,-17,-60,-64,-23,-8,-61,12299
130,Hypno,8,-35,-39,7,17,-36,4444
131,Krabby,-47,-3,-19,-41,-73,-53,12398
132,Kingler,-22,22,6,-16,-48,-28,4348
133,Voltorb,-37,-78,-59,-11,-43,-3,12913
134,Voltorb (Hisuian Voltorb),-37,-78,-59,-11,-43,-3,12913
135,Electrode,-17,-58,-39,14,-18,47,7903
136,Electrode (Hisuian Electrode),-17,-58,-39,14,-18,47,7903
137,Exeggcute,-17,-68,-29,-6,-53,-63,12568
138,Exeggutor,18,-13,-24,59,-23,-48,7383
139,Exeggutor (Alolan Exeggutor),18,-3,-24,59,-23,-58,8283
140,Cubone,-27,-58,-14,-26,-48,-68,11893
141,Marowak,-17,-28,1,-16,-18,-58,5018
142,Marowak (Alolan Marowak),-17,-28,1,-16,-18,-58,5018
143,Hitmonlee,-27,12,-56,-31,12,-16,5370
144,Hitmonchan,-27,-3,-30,-31,12,-27,3472
145,Lickitung,13,-53,-34,-6,-23,-73,10028
146,Koffing,-37,-43,-14,-6,-53,-68,10883
147,Weezing,-12,-18,11,19,-28,-43,3583
148,Weezing (Galarian Weezing),-12,-18,11,19,-28,-43,3583
149,Rhyhorn,3,-23,-14,-36,-68,-78,12738
150,Rhydon,28,22,11,-21,-53,-63,8608
151,Chansey,173,-103,-104,-31,7,-53,55173
152,Tangela,-12,-53,6,34,-58,-43,9358
153,Kangaskhan,28,-13,-29,-26,-18,-13,2963
154,Kangaskhan (Mega Kangaskhan),28,17,-9,-6,2,-3,1203
155,Horsea,-47,-68,-39,4,-73,-43,15548
156,Seadra,-22,-43,-14,29,-53,-18,6503
157,Goldeen,-32,-41,-49,-31,-48,-40,9971
158,Seaking,3,-16,-44,-1,-18,-35,3751
159,Staryu,-47,-63,-54,4,-43,-18,11283
160,Starmie,-17,-33,-24,34,-13,12,3423
161,Mr. Mime,-37,-63,-44,34,22,-13,9083
162,Mr. Mime (Galarian Mr. Mime),-27,-43,-44,24,-8,-3,5163
163,Scyther,-7,2,-29,-11,-18,2,1343
164,Jynx,-12,-58,-74,49,-3,-8,11458
165,Electabuzz,-12,-25,-52,29,-13,2,4487
166,Magmar,-12,-13,-52,34,-13,-10,4442
167,Pinsir,-12,17,-9,-11,-28,-18,1743
168,Pinsir (Mega Pinsir),-12,47,11,-1,-8,2,2543
169,Tauros,-2,-8,-14,-26,-28,7,1773
170,Tauros (Paldean Tauros (Combat Breed)),-2,2,-4,-36,-28,-3,2113
171,Tauros (Paldean Tauros (Blaze Breed)),-2,2,-4,-36,-28,-3,2113
172,Tauros (Paldean Tauros (Aqua Breed)),-2,2,-4,-36,-28,-3,2113
173,Magikarp,-57,-98,-54,-51,-78,-23,24983
174,Gyarados,18,17,-30,-6,2,-22,2037
175,Gyarados (Mega Gyarados),18,47,0,4,32,-22,4057
176,Lapras,53,-23,-29,19,-3,-43,6398
177,Ditto,-29,-60,-61,-18,-50,-55,14011
178,Eevee,-22,-53,-59,-21,-33,-48,10608
179,Eevee (Partner Eevee),-12,-33,-39,-1,-13,-28,3708
180,Vaporeon,53,-43,-49,44,-3,-38,10448
181,Jolteon,-12,-43,-49,44,-3,27,7068
182,Flareon,-12,22,-49,29,12,-38,5458
183,Porygon,-12,-48,-39,19,-23,-63,8828
184,Omanyte,-42,-68,-9,24,-43,-68,13518
185,Omastar,-7,-48,16,49,-28,-48,8098
186,Kabuto,-47,-28,-19,-11,-53,-48,8588
187,Kabutops,-17,7,-4,-1,-28,-23,1668
188,Aerodactyl,3,-3,-44,-6,-23,27,3248
189,Aerodactyl (Mega Aerodactyl),3,27,-24,4,-3,47,3548
190,Snorlax,83,2,-44,-1,12,-73,14303
191,Articuno,13,-23,-9,29,27,-18,2673
192,Articuno (Galarian Articuno),13,-23,-24,59,2,-8,4823
193,Zapdos,13,-18,-24,59,-8,-3,4623
194,Zapdos (Galarian Zapdos),13,17,-19,19,-8,-3,1253
195,Moltres,13,-8,-19,59,-13,-13,4413
196,Moltres (Galarian Moltres),13,-23,-19,34,27,-13,3113
197,Dratini,-36,-44,-64,-16,-48,-53,12697
198,Dragonair,-16,-24,-44,4,-28,-33,4657
199,Dragonite,14,26,-14,34,2,-23,2757
200,Mewtwo,29,2,-19,88,-8,27,9743
201,Mewtwo (Mega Mewtwo X),29,82,-9,88,2,27,16123
202,Mewtwo (Mega Mewtwo Y),29,42,-39,128,22,37,22363
203,Mew,23,-8,-9,34,2,-3,1843
204,Chikorita,-32,-59,-44,-17,-33,-58,11183
205,Bayleef,-17,-46,-29,-3,-18,-43,5428
206,Meganium,3,-26,-9,17,2,-23,1588
207,Cyndaquil,-38,-56,-66,-6,-48,-38,12720
208,Quilava,-19,-44,-51,14,-33,-23,6712
209,Typhlosion,1,-24,-31,43,-13,-3,3565
210,Typhlosion (Hisuian Typhlosion),-4,-24,-31,53,-13,-8,4595
211,Totodile,-27,-43,-45,-22,-50,-60,11187
212,Croconaw,-12,-28,-29,-7,-35,-45,5068
213,Feraligatr,8,-3,-9,13,-15,-25,1173
214,Sentret,-42,-62,-75,-31,-53,-83,21892
215,Furret,8,-32,-45,-21,-43,-13,5572
216,Hoothoot,-17,-78,-79,-30,-42,-53,18087
217,Noctowl,23,-58,-59,20,-2,-33,8867
218,Ledyba,-37,-88,-79,-26,-18,-48,18658
219,Ledian,-22,-73,-59,-11,12,-18,9883
220,Spinarak,-37,-48,-69,-26,-58,-73,17803
221,Ariados,-7,-18,-39,-6,-28,-63,6683
222,Crobat,8,-18,-29,4,-18,27,2298
223,Chinchou,-2,-70,-71,-10,-42,-36,13105
224,Lanturn,48,-50,-51,10,-22,-36,9285
225,Pichu,-57,-68,-94,-31,-63,-43,23488
226,Cleffa,-27,-83,-81,-21,-43,-88,24213
227,Igglybuff,13,-78,-94,-26,-78,-88,29593
228,Togepi,-42,-88,-44,-26,-33,-83,20098
229,Togetic,-22,-68,-24,14,7,-63,9898
230,Natu,-37,-58,-64,4,-53,-33,12743
231,Xatu,-12,-33,-39,29,-28,-8,4443
232,Mareep,-22,-68,-69,-1,-53,-68,17303
233,Flaaffy,-7,-53,-54,14,-38,-58,10778
234,Ampharos,13,-33,-24,49,-8,-48,6603
235,Ampharos (Mega Ampharos),13,-13,-4,99,12,-58,13663
236,Bellossom,-2,-28,-14,24,2,-53,4373
237,Marill,-7,-88,-59,-46,-48,-63,19663
238,Azumarill,23,-58,-29,-6,-18,-53,7903
239,Sudowoodo,-7,-8,6,-36,-33,-73,7863
240,Politoed,13,-33,-34,24,2,-33,4083
241,Hoppip,-42,-73,-69,-31,-43,-53,17473
242,Skiploom,-22,-63,-59,-21,-33,-23,9993
243,Jumpluff,-2,-53,-39,-11,-3,7,4513
244,Aipom,-22,-38,-54,-26,-43,-18,7693
245,Sunkern,-47,-78,-79,-36,-68,-73,25783
246,Sunflora,-2,-33,-54,39,-13,-73,11028
247,Yanma,-12,-43,-64,9,-53,-8,9043
248,Wooper,-22,-63,-64,-41,-73,-88,23303
249,Wooper (Paldean Wooper),-22,-63,-64,-41,-73,-88,23303
250,Quagsire,18,-23,-24,-1,-33,-68,7143
251,Espeon,-12,-43,-49,64,-3,7,8548
252,Umbreon,18,-43,1,-6,32,-38,4678
253,Murkrow,-17,-23,-67,19,-56,-12,8948
254,Slowking,18,-33,-29,34,12,-73,8883
255,Slowking (Galarian Slowking),18,-43,-29,44,12,-73,10423
256,Misdreavus,-17,-48,-49,19,-13,-18,5848
257,Unown,-29,-36,-61,6,-50,-55,11419
258,Wobbuffet,113,-75,-51,-33,-40,-70,28584
259,Girafarig,-7,-28,-44,24,-33,-18,4758
260,Pineco,-27,-43,-19,-31,-63,-88,15613
261,Forretress,-2,-18,31,-6,-38,-63,6738
262,Dunsparce,23,-38,-39,-1,-33,-58,7948
263,Gligar,-12,-33,-4,-31,-33,-18,3623
264,Steelix,-2,-23,91,-11,-33,-73,15353
265,Steelix (Mega Steelix),-2,17,121,-11,-3,-73,20393
266,Snubbull,-17,-28,-59,-26,-58,-73,13923
267,Granbull,13,12,-34,-6,-38,-58,6313
268,Qwilfish,-12,-13,-24,-11,-43,-18,3183
269,Qwilfish (Hisuian Qwilfish),-12,-13,-24,-11,-43,-18,3183
270,Scizor,-7,22,-9,-11,-18,-38,2503
271,Scizor (Mega Scizor),-7,42,31,-1,2,-28,3563
272,Shuckle,-57,-98,121,-56,132,-98,57658
273,Heracross,3,17,-34,-26,-3,-18,2463
274,Heracross (Mega Heracross),3,77,6,-26,7,-28,7483
275,Sneasel,-22,-13,-54,-31,-23,12,5203
276,Sneasel (Hisuian Sneasel),-22,-13,-54,-31,-23,12,5203
277,Teddiursa,-17,-28,-59,-16,-48,-63,11083
278,Ursaring,13,22,-34,9,-23,-48,4723
279,Slugma,-37,-68,-69,4,-58,-83,21023
280,Magcargo,-17,-58,11,24,-18,-73,10003
281,Swinub,-27,-58,-69,-36,-68,-53,17583
282,Piloswine,23,-8,-29,-6,-38,-53,5723
283,Corsola,-12,-53,-14,-1,-3,-68,7783
284,Corsola (Galarian Corsola),-17,-53,-9,-1,2,-73,8513
285,Remoraid,-42,-43,-74,-1,-63,-38,14503
286,Octillery,-2,-3,-34,39,-23,-58,6583
287,Delibird,-32,-53,-64,-1,-53,-28,11523
288,Mantine,8,-68,-39,14,42,-33,9258
289,Skarmory,-12,-28,31,-26,-28,-33,4438
290,Houndour,-32,-48,-79,14,-48,-38,13513
291,Houndoom,-2,-18,-59,44,-18,-8,6133
292,Houndoom (Mega Houndoom),-2,-18,-19,74,-8,12,6373
293,Kingdra,-2,-13,-14,29,-3,-18,1543
294,Phanpy,13,-48,-49,-26,-58,-63,12883
295,Donphan,13,12,11,-6,-38,-53,4723
296,Porygon2,8,-28,-19,39,-3,-43,4588
297,Stantler,-4,-13,-47,19,-33,-18,4168
298,Smeargle,-22,-88,-74,-46,-53,-28,19413
299,Tyrogue,-42,-73,-74,-31,-63,-68,22123
300,Hitmontop,-27,-13,-14,-31,12,-33,3288
301,Smoochum,-32,-78,-94,19,-33,-38,18838
302,Elekid,-32,-45,-72,-1,-43,-8,10147
303,Magby,-32,-33,-72,4,-43,-20,9562
304,Miltank,18,-28,-4,-26,-28,-3,2593
305,Blissey,178,-98,-99,9,37,-48,54843
306,Raikou,13,-23,-34,49,2,12,4403
307,Entei,38,7,-24,24,-23,-3,3183
308,Suicune,23,-33,6,24,17,-18,2843
309,Larvitar,-27,-44,-59,-21,-48,-62,12735
310,Pupitar,-7,-24,-39,-1,-28,-52,5635
311,Tyranitar,23,26,1,29,2,-42,3815
312,Tyranitar (Mega Tyranitar),23,56,41,29,22,-32,7695
313,Lugia,29,-18,21,24,56,7,5367
314,Ho-Oh,29,22,-19,44,56,-13,6927
315,Celebi,23,-8,-9,34,2,-3,1843
316,Treecko,-37,-63,-74,-1,-43,-33,13753
317,Grovyle,-27,-43,-64,19,-33,-8,8188
318,Sceptile,-7,-23,-44,39,-13,17,4493
319,Sceptile (Mega Sceptile),-7,2,-34,79,-13,42,9383
320,Torchic,-32,-48,-69,4,-48,-58,13773
321,Combusken,-17,-23,-49,19,-38,-48,7328
322,Blaziken,3,12,-39,44,-28,-23,4923
323,Blaziken (Mega Blaziken),3,52,-29,64,-18,-3,7983
324,Mudkip,-27,-38,-59,-16,-48,-63,12183
325,Marshtomp,-7,-23,-39,-6,-28,-53,5728
326,Swampert,23,2,-19,19,-8,-43,3168
327,Swampert (Mega Swampert),23,42,1,29,12,-33,4368
328,Poochyena,-42,-53,-74,-36,-68,-68,20593
329,Mightyena,-7,-18,-39,-6,-38,-33,4463
330,Zigzagoon,-39,-78,-68,-36,-57,-43,18623
331,Zigzagoon (Galarian Zigzagoon),-39,-78,-68,-36,-57,-43,18623
332,Linoone,1,-38,-48,-16,-37,-3,5383
333,Linoone (Galarian Linoone),1,-38,-48,-16,-37,-3,5383
334,Wurmple,-32,-63,-74,-46,-68,-83,24098
335,Silcoon,-27,-73,-54,-41,-73,-88,23728
336,Beautifly,-17,-38,-59,34,-48,-38,10118
337,Cascoon,-27,-73,-54,-41,-73,-88,23728
338,Dustox,-17,-58,-39,-16,-8,-38,6938
339,Lotad,-37,-78,-79,-26,-48,-73,22003
340,Lombre,-17,-58,-59,-6,-28,-53,10763
341,Ludicolo,3,-38,-39,24,2,-33,4643
342,Seedot,-37,-68,-59,-36,-68,-73,20723
343,Nuzleaf,-7,-38,-69,-6,-58,-43,11503
344,Shiftry,13,-8,-49,24,-38,-23,5183
345,Taillow,-37,-53,-79,-36,-68,-18,16663
346,Swellow,-17,-23,-49,9,-48,22,6088
347,Wingull,-37,-78,-79,-11,-68,-18,18763
348,Pelipper,-17,-58,-9,29,-28,-38,6803
349,Ralts,-49,-83,-84,-21,-63,-63,24725
350,Kirlia,-39,-73,-74,-1,-43,-53,16985
351,Gardevoir,-9,-43,-44,59,17,-23,8165
352,Gardevoir (Mega Gardevoir),-9,-23,-44,99,37,-3,13725
353,Surskit,-37,-78,-77,-16,-46,-38,17198
354,Masquerain,-7,-48,-47,34,-16,-23,6503
355,Shroomish,-17,-68,-49,-26,-38,-68,14058
356,Breloom,-17,22,-29,-6,-38,-33,4183
357,Slakoth,-17,-48,-49,-31,-63,-73,15253
358,Vigoroth,3,-28,-29,-11,-43,-13,3773
359,Slaking,73,52,-9,29,-33,-3,10053
360,Nincada,-46,-63,-19,-36,-68,-63,16335
361,Ninjask,-16,-18,-64,-16,-48,57,10485
362,Shedinja,-76,-18,-64,-36,-68,-63,20085
363,Whismur,-13,-57,-86,-15,-75,-75,22289
364,Loudred,7,-37,-66,5,-55,-55,11849
365,Exploud,27,-17,-46,25,-25,-35,5609
366,Makuhita,-5,-48,-79,-46,-68,-78,21394
367,Hariyama,67,12,-49,-26,-38,-53,11963
368,Azurill,-27,-88,-69,-46,-58,-83,25603
369,Nosepass,-47,-63,26,-21,-8,-73,12688
370,Skitty,-27,-63,-64,-31,-63,-53,16533
371,Delcatty,-7,-43,-44,-11,-43,-13,5973
372,Sableye,-27,-33,-34,-1,-33,-53,6873
373,Sableye (Mega Sableye),-27,-23,16,19,17,-83,9053
374,Mawile,-27,-23,-24,-11,-43,-53,6613
375,Mawile (Mega Mawile),-27,-3,16,-11,-3,-53,3933
376,Aron,-27,-38,-9,-26,-58,-73,11623
377,Lairon,-17,-18,31,-16,-48,-63,8103
378,Aggron,-7,2,71,-6,-38,-53,9383
379,Aggron (Mega Aggron),-7,32,121,-6,-18,-53,18883
380,Meditite,-47,-68,-54,-26,-43,-43,14123
381,Medicham,-17,-48,-34,-6,-23,-23,4843
382,Medicham (Mega Medicham),-17,-8,-24,14,-13,-3,1303
383,Electrike,-37,-63,-69,-1,-58,-38,14908
384,Manectric,-7,-33,-49,39,-38,2,6508
385,Manectric (Mega Manectric),-7,-33,-29,69,-18,32,8088
386,Plusle,-17,-58,-69,19,-23,-8,9368
387,Minun,-17,-68,-59,9,-13,-8,8708
388,Volbeat,-12,-35,-34,-19,-13,-18,3379
389,Illumise,-12,-61,-34,7,-13,-18,5563
390,Roselia,-27,-48,-64,34,-18,-38,10053
391,Gulpin,-7,-65,-56,-23,-45,-63,13933
392,Swalot,23,-35,-26,7,-15,-48,5008
393,Carvanha,-32,-18,-89,-1,-78,-38,16798
394,Sharpedo,-7,12,-69,29,-58,-8,9223
395,Sharpedo (Mega Sharpedo),-7,32,-39,44,-33,2,5623
396,Wailmer,53,-38,-74,4,-63,-43,15563
397,Wailord,93,-18,-64,24,-53,-43,18303
398,Numel,-17,-48,-69,-1,-53,-68,14788
399,Camerupt,-7,-8,-39,39,-23,-63,7653
400,Camerupt (Mega Camerupt),-7,12,-9,79,7,-83,13453
401,Torkoal,-7,-23,31,19,-28,-83,9573
402,Spoink,-17,-83,-74,4,-18,-43,14843
403,Grumpig,3,-63,-44,24,12,-23,7163
404,Spinda,-17,-48,-49,-6,-38,-43,8323
405,Trapinch,-32,-8,-64,-21,-53,-93,17083
406,Vibrava,-27,-38,-59,-16,-48,-33,9303
407,Flygon,3,-8,-29,14,-18,-3,1443
408,Cacnea,-27,-23,-69,19,-58,-68,14368
409,Cacturne,-7,7,-49,49,-38,-48,8648
410,Swablu,-32,-68,-49,-26,-23,-53,12063
411,Altaria,-2,-38,-19,4,7,-23,2403
412,Altaria (Mega Altaria),-2,2,1,44,7,-23,2523
413,Zangoose,-4,7,-49,-6,-38,-13,4115
414,Seviper,-4,-8,-49,34,-38,-38,6525
415,Lunatone,13,-53,-44,29,-13,-33,7013
416,Solrock,13,-13,-24,-11,-33,-33,3213
417,Barboach,-27,-60,-66,-20,-57,-43,14183
418,Whiscash,33,-30,-36,10,-27,-43,5963
419,Corphish,-34,-28,-44,-16,-63,-68,12725
420,Crawdaunt,-14,12,-24,24,-43,-48,5645
421,Baltoy,-37,-68,-54,-26,-28,-48,12673
422,Claydol,-17,-38,-4,4,22,-28,3033
423,Lileep,-11,-67,-32,-5,-11,-80,12180
424,Cradily,9,-27,-12,15,9,-60,4860
425,Anorith,-32,-13,-59,-26,-48,-28,8438
426,Armaldo,-2,17,-9,4,-18,-58,4078
427,Feebas,-57,-93,-89,-56,-43,-23,25333
428,Milotic,18,-48,-30,34,27,-22,5897
429,Castform,-7,-38,-39,4,-28,-33,4903
430,Kecleon,-17,-18,-39,-6,22,-63,6623
431,Shuppet,-33,-33,-74,-3,-65,-58,15252
432,Banette,-13,7,-44,17,-35,-38,5112
433,Banette (Mega Banette),-13,57,-34,27,-15,-28,6312
434,Duskull,-57,-68,-19,-36,-8,-78,15678
435,Dusclops,-37,-38,21,-6,32,-78,10398
436,Tropius,22,-40,-26,6,-11,-52,5621
437,Chimecho,-2,-58,-29,29,-8,-38,6558
438,Absol,-12,22,-49,9,-38,-28,5338
439,Absol (Mega Absol),-12,42,-49,49,-38,12,8298
440,Wynaut,18,-85,-61,-43,-50,-80,22019
441,Snorunt,-27,-58,-59,-16,-48,-53,12943
442,Glalie,3,-28,-29,14,-18,-23,2683
443,Glalie (Mega Glalie),3,12,-29,54,-18,-3,4243
444,Spheal,-7,-68,-59,-11,-48,-78,16663
445,Sealeo,13,-48,-39,9,-28,-58,8223
446,Walrein,33,-28,-19,29,-8,-38,4583
447,Clamperl,-42,-44,-24,8,-43,-71,11230
448,Huntail,-22,-4,-4,28,-23,-51,4430
449,Gorebyss,-22,-24,-4,48,-23,-51,6510
450,Relicanth,23,-18,21,-21,-33,-48,5128
451,Luvdisc,-34,-78,-54,-26,-33,-6,11957
452,Bagon,-32,-33,-49,-26,-68,-53,12623
453,Shelgon,-12,-13,-9,-6,-48,-53,5543
454,Salamence,18,27,-29,44,-18,-3,4163
455,Salamence (Mega Salamence),18,37,21,54,-8,17,5403
456,Beldum,-37,-53,-29,-31,-38,-73,12753
457,Metang,-17,-33,-9,-11,-18,-53,4713
458,Metagross,3,27,21,29,-8,-33,3173
459,Metagross (Mega Metagross),3,37,41,39,12,7,4773
460,Regirock,3,-8,91,-16,2,-53,11423
461,Regice,3,-58,-9,34,102,-53,17823
462,Registeel,3,-33,41,9,52,-53,8373
463,Latias,3,-28,-19,44,32,7,4163
464,Latias (Mega Latias),3,-8,11,74,52,7,8423
465,Latios,3,-18,-29,64,12,7,5463
466,Latios (Mega Latios),3,22,-9,94,22,7,9943
467,Kyogre,23,-8,-19,84,42,-13,9943
468,Kyogre (Primal Kyogre),23,42,-19,114,62,-13,19663
469,Groudon,23,42,31,34,-8,-13,4643
470,Groudon (Primal Groudon),23,72,51,84,-8,-13,15603
471,Rayquaza,28,42,-19,84,-8,-8,10093
472,Rayquaza (Mega Rayquaza),28,72,-9,114,2,12,19193
473,Jirachi,23,-8,-9,34,2,-3,1843
474,Deoxys (Normal Forme),-27,42,-59,84,-48,47,17543
475,Deoxys (Attack Forme),-27,72,-89,114,-78,47,35123
