Paul Bartenfeld vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
79,Arcanine (Hisuian Arcanine),5,31,20,29,3,-27,2965
80,Poliwag,-50,-34,-20,-26,-37,-27,6830
81,Poliwhirl,-25,-19,5,-16,-27,-27,2725
82,Poliwrath,0,11,35,4,13,-47,3740
83,Abra,-65,-64,-45,39,-22,-27,13080
84,Kadabra,-50,-49,-30,54,-7,-12,8910
85,Alakazam,-35,-34,-15,69,18,3,7700
86,Alakazam (Mega Alakazam),-35,-34,5,109,28,33,16160
87,Machop,-20,-4,-10,-31,-42,-82,9965
88,Machoke,-10,16,10,-16,-17,-72,6185
89,Machamp,0,46,20,-1,8,-62,6425
90,Bellsprout,-40,-9,-25,4,-47,-77,10460
91,Weepinbell,-25,6,-10,19,-32,-62,5990
92,Victreebel,-10,21,5,34,-7,-47,3980
93,Tentacool,-50,-44,-25,-16,23,-47,8055
94,Tentacruel,-10,-14,5,14,43,-17,2655
95,Geodude,-50,-4,40,-36,-47,-97,17030
96,Geodude (Alolan Geodude),-50,-4,40,-36,-47,-97,17030
97,Graveler,-35,11,55,-21,-32,-82,12560
98,Graveler (Alolan Graveler),-35,11,55,-21,-32,-82,12560
99,Golem,-10,36,70,-11,-12,-72,11745
100,Golem (Alolan Golem),-10,36,70,-11,-12,-72,11745
101,Ponyta,-40,1,-5,-1,-12,-27,2500
102,Ponyta (Galarian Ponyta),-40,1,-5,-1,-12,-27,2500
103,Rapidash,-25,16,10,14,3,-12,1330
104,Rapidash (Galarian Rapidash),-25,16,10,14,3,-12,1330
105,Slowpoke,0,-19,5,-26,-37,-102,12835
106,Slowpoke (Galarian Slowpoke),0,-19,5,-26,-37,-102,12835
107,Slowbro,5,-9,50,34,3,-87,11340
108,Slowbro (Mega Slowbro),5,-9,120,64,3,-87,26180
109,Slowbro (Galarian Slowbro),5,16,35,34,-7,-87,10280
110,Magnemite,-65,-49,10,29,-22,-72,13235
111,Magneton,-40,-24,35,54,-7,-47,8575
112,Farfetch'd,-38,6,-5,-8,-15,-57,5043
113,Farfetch'd (Galarian Farfetch'd),-38,11,-5,-8,-15,-62,5723
114,Doduo,-55,1,-15,-31,-42,-42,7740
115,Dodrio,-30,26,10,-6,-17,-7,2050
116,Seel,-25,-39,-5,-21,-7,-72,7845
117,Dewgong,0,-14,20,4,18,-47,3145
118,Grimer,-10,-4,-10,-26,-27,-92,10085
119,Grimer (Alolan Grimer),-10,-4,-10,-26,-27,-92,10085
120,Muk,15,21,15,-1,23,-67,5910
121,Muk (Alolan Muk),15,21,15,-1,23,-67,5910
122,Shellder,-60,-19,40,-21,-52,-77,14635
123,Cloyster,-40,11,120,19,-32,-47,19715
124,Gastly,-60,-49,-30,34,-42,-37,11190
125,Haunter,-45,-34,-15,49,-22,-22,6775
126,Gengar,-30,-19,0,64,-2,-7,5410
127,Gengar (Mega Gengar),-30,-19,20,104,18,13,12970
128,Onix,-55,-39,100,-36,-32,-47,19075
129,Drowzee,-30,-36,-15,-23,13,-75,8744
130,Hypno,-5,-11,10,7,38,-50,4239
131,Krabby,-60,21,30,-41,-52,-67,13815
132,Kingler,-35,46,55,-16,-27,-42,9115
133,Voltorb,-50,-54,-10,-11,-22,-17,6410
134,Voltorb (Hisuian Voltorb),-50,-54,-10,-11,-22,-17,6410
135,Electrode,-30,-34,10,14,3,33,3450
136,Electrode (Hisuian Electrode),-30,-34,10,14,3,33,3450
137,Exeggcute,-30,-44,20,-6,-32,-77,10225
138,Exeggutor,5,11,25,59,-2,-62,8100
139,Exeggutor (Alolan Exeggutor),5,21,25,59,-2,-72,9760
140,Cubone,-40,-34,35,-26,-27,-82,12110
141,Marowak,-30,-4,50,-16,3,-72,8865
142,Marowak (Alolan Marowak),-30,-4,50,-16,3,-72,8865
143,Hitmonlee,-40,36,-7,-31,33,-30,5895
144,Hitmonchan,-40,21,19,-31,33,-41,6133
145,Lickitung,0,-29,15,-6,-2,-87,8675
146,Koffing,-50,-19,35,-6,-32,-82,11870
147,Weezing,-25,6,60,19,-7,-57,7920
148,Weezing (Galarian Weezing),-25,6,60,19,-7,-57,7920
149,Rhyhorn,-10,1,35,-36,-47,-92,13295
150,Rhydon,15,46,60,-21,-32,-77,13335
151,Chansey,160,-79,-55,-31,28,-67,41100
152,Tangela,-25,-29,55,34,-37,-57,10265
153,Kangaskhan,15,11,20,-26,3,-27,2160
154,Kangaskhan (Mega Kangaskhan),15,41,40,-6,23,-17,4360
155,Horsea,-60,-44,10,4,-52,-57,11605
156,Seadra,-35,-19,35,29,-32,-32,5700
157,Goldeen,-45,-17,0,-31,-27,-54,6920
158,Seaking,-10,8,5,-1,3,-49,2600
159,Staryu,-60,-39,-5,4,-22,-32,6670
160,Starmie,-30,-9,25,34,8,-2,2830
161,Mr. Mime,-50,-39,5,34,43,-27,7780
162,Mr. Mime (Galarian Mr. Mime),-40,-19,5,24,13,-17,3020
163,Scyther,-20,26,20,-11,3,-12,1750
164,Jynx,-25,-34,-25,49,18,-22,5615
165,Electabuzz,-25,-1,-3,29,8,-12,1684
166,Magmar,-25,11,-3,34,8,-24,2551
167,Pinsir,-25,41,40,-11,-7,-32,5100
168,Pinsir (Mega Pinsir),-25,71,60,-1,13,-12,9580
169,Tauros,-15,16,35,-26,-7,-7,2480
170,Tauros (Paldean Tauros (Combat Breed)),-15,26,45,-36,-7,-17,4560
171,Tauros (Paldean Tauros (Blaze Breed)),-15,26,45,-36,-7,-17,4560
172,Tauros (Paldean Tauros (Aqua Breed)),-15,26,45,-36,-7,-17,4560
173,Magikarp,-70,-74,-5,-51,-57,-37,17620
174,Gyarados,5,41,19,-6,23,-36,3928
175,Gyarados (Mega Gyarados),5,71,49,4,53,-36,11588
176,Lapras,40,1,20,19,18,-57,5935
177,Ditto,-42,-36,-12,-18,-29,-69,9130
178,Eevee,-35,-29,-10,-21,-12,-62,6595
179,Eevee (Partner Eevee),-25,-9,10,-1,8,-42,2635
180,Vaporeon,40,-19,0,44,18,-52,6925
181,Jolteon,-25,-19,0,44,18,13,3415
182,Flareon,-25,46,0,29,33,-52,7375
183,Porygon,-25,-24,10,19,-2,-77,7595
184,Omanyte,-55,-44,40,24,-22,-82,14345
185,Omastar,-20,-24,65,49,-7,-62,11495
186,Kabuto,-60,-4,30,-11,-32,-62,9505
187,Kabutops,-30,31,45,-1,-7,-37,5305
188,Aerodactyl,-10,21,5,-6,-2,13,775
189,Aerodactyl (Mega Aerodactyl),-10,51,25,4,18,33,4755
190,Snorlax,70,26,5,-1,33,-87,14260
191,Articuno,0,1,40,29,48,-32,5770
192,Articuno (Galarian Articuno),0,1,25,59,23,-22,5120
193,Zapdos,0,6,25,59,13,-17,4600
194,Zapdos (Galarian Zapdos),0,41,30,19,13,-17,3400
195,Moltres,0,16,30,59,8,-27,5430
196,Moltres (Galarian Moltres),0,1,30,34,48,-27,5090
197,Dratini,-49,-20,-15,-16,-27,-67,8500
198,Dragonair,-29,0,5,4,-7,-47,3140
199,Dragonite,1,50,35,34,23,-37,6780
200,Mewtwo,16,26,30,88,13,13,9914
201,Mewtwo (Mega Mewtwo X),16,106,40,88,23,13,21534
202,Mewtwo (Mega Mewtwo Y),16,66,10,128,43,23,23474
203,Mew,10,16,40,34,23,-17,3930
204,Chikorita,-45,-35,5,-17,-12,-72,8892
205,Bayleef,-30,-22,20,-3,3,-57,5051
206,Meganium,-10,-2,40,17,23,-37,3891
207,Cyndaquil,-51,-32,-17,-6,-27,-52,7383
208,Quilava,-32,-20,-2,14,-12,-37,3137
209,Typhlosion,-12,0,18,43,8,-17,2670
210,Typhlosion (Hisuian Typhlosion),-17,0,18,53,8,-22,3970
211,Totodile,-40,-19,4,-22,-29,-74,8778
212,Croconaw,-25,-4,20,-7,-14,-59,4767
213,Feraligatr,-5,21,40,13,6,-39,3792
214,Sentret,-55,-38,-26,-31,-32,-97,16539
215,Furret,-5,-8,4,-21,-22,-27,1759
216,Hoothoot,-30,-54,-30,-30,-21,-67,10546
217,Noctowl,10,-34,-10,20,19,-47,4326
218,Ledyba,-50,-64,-30,-26,3,-62,12025
219,Ledian,-35,-49,-10,-11,33,-32,5960
220,Spinarak,-50,-24,-20,-26,-37,-87,13090
221,Ariados,-20,6,10,-6,-7,-77,6550
222,Crobat,-5,6,20,4,3,13,655
223,Chinchou,-15,-46,-22,-10,-21,-50,5866
224,Lanturn,35,-26,-2,10,-1,-50,4506
225,Pichu,-70,-44,-45,-31,-42,-57,14835
226,Cleffa,-40,-59,-32,-21,-22,-102,17434
227,Igglybuff,0,-54,-45,-26,-57,-102,19270
228,Togepi,-55,-64,5,-26,-12,-97,17375
229,Togetic,-35,-44,25,14,28,-77,10695
230,Natu,-50,-34,-15,4,-32,-47,7130
231,Xatu,-25,-9,10,29,-7,-22,2180
232,Mareep,-35,-44,-20,-1,-32,-82,11310
233,Flaaffy,-20,-29,-5,14,-17,-72,6935
234,Ampharos,0,-9,25,49,13,-62,7120
235,Ampharos (Mega Ampharos),0,11,45,99,33,-72,18220
236,Bellossom,-15,-4,35,24,23,-67,7060
237,Marill,-20,-64,-10,-46,-27,-77,13370
238,Azumarill,10,-34,20,-6,3,-67,6190
239,Sudowoodo,-20,16,55,-36,-12,-87,12690
240,Politoed,0,-9,15,24,23,-47,3620
241,Hoppip,-55,-49,-20,-31,-22,-67,11760
242,Skiploom,-35,-39,-10,-21,-12,-37,4800
243,Jumpluff,-15,-29,10,-11,18,-7,1660
244,Aipom,-35,-14,-5,-26,-22,-32,3630
245,Sunkern,-60,-54,-30,-36,-47,-87,18490
246,Sunflora,-15,-9,-5,39,8,-87,9485
247,Yanma,-25,-19,-15,9,-32,-22,2800
248,Wooper,-35,-39,-15,-41,-52,-102,17760
249,Wooper (Paldean Wooper),-35,-39,-15,-41,-52,-102,17760
250,Quagsire,5,1,25,-1,-12,-82,7520
251,Espeon,-25,-19,0,64,18,-7,5455
252,Umbreon,5,-19,50,-6,53,-52,8435
253,Murkrow,-30,1,-18,19,-35,-26,3487
254,Slowking,5,-9,20,34,33,-87,10320
255,Slowking (Galarian Slowking),5,-19,20,44,33,-87,11380
256,Misdreavus,-30,-24,0,19,8,-32,2925
257,Unown,-42,-12,-12,6,-29,-69,7690
258,Wobbuffet,100,-51,-2,-33,-19,-84,21111
259,Girafarig,-20,-4,5,24,-12,-32,2185
260,Pineco,-40,-19,30,-31,-42,-102,15990
261,Forretress,-15,6,80,-6,-17,-77,12915
262,Dunsparce,10,-14,10,-1,-12,-72,5725
263,Gligar,-25,-9,45,-31,-12,-32,4860
264,Steelix,-15,1,140,-11,-12,-87,27660
265,Steelix (Mega Steelix),-15,41,170,-11,18,-87,38820
266,Snubbull,-30,-4,-10,-26,-37,-87,10630
267,Granbull,0,36,15,-6,-17,-72,7030
268,Qwilfish,-25,11,25,-11,-22,-32,3000
269,Qwilfish (Hisuian Qwilfish),-25,11,25,-11,-22,-32,3000
270,Scizor,-20,46,40,-11,3,-52,6950
271,Scizor (Mega Scizor),-20,66,80,-1,23,-42,13450
272,Shuckle,-70,-74,170,-56,153,-112,78365
273,Heracross,-10,41,15,-26,18,-32,4030
274,Heracross (Mega Heracross),-10,101,55,-26,28,-42,16550
275,Sneasel,-35,11,-5,-31,-2,-2,2340
276,Sneasel (Hisuian Sneasel),-35,11,-5,-31,-2,-2,2340
277,Teddiursa,-30,-4,-10,-16,-27,-77,7930
278,Ursaring,0,46,15,9,-2,-62,6270
279,Slugma,-50,-44,-20,4,-37,-97,15630
280,Magcargo,-30,-34,60,24,3,-87,13810
281,Swinub,-40,-34,-20,-36,-47,-67,11150
282,Piloswine,10,16,20,-6,-17,-67,5570
283,Corsola,-25,-29,35,-1,18,-82,9740
284,Corsola (Galarian Corsola),-30,-29,40,-1,23,-87,11440
285,Remoraid,-55,-19,-25,-1,-42,-52,8480
286,Octillery,-15,21,15,39,-2,-72,7600
287,Delibird,-45,-29,-15,-1,-32,-42,5880
288,Mantine,-5,-44,10,14,63,-47,8435
289,Skarmory,-25,-4,80,-26,-7,-47,9975
290,Houndour,-45,-24,-30,14,-27,-52,7130
291,Houndoom,-15,6,-10,44,3,-22,2790
292,Houndoom (Mega Houndoom),-15,6,30,74,13,-2,6810
293,Kingdra,-15,11,35,29,18,-32,3760
294,Phanpy,0,-24,0,-26,-37,-77,8550
295,Donphan,0,36,60,-6,-17,-67,9710
296,Porygon2,-5,-4,30,39,18,-57,6035
297,Stantler,-17,11,2,19,-12,-32,1943
298,Smeargle,-35,-64,-25,-46,-32,-42,10850
299,Tyrogue,-55,-49,-25,-31,-42,-82,15500
300,Hitmontop,-40,11,35,-31,33,-47,7205
301,Smoochum,-45,-54,-45,19,-12,-52,10175
302,Elekid,-45,-21,-23,-1,-22,-22,3964
303,Magby,-45,-9,-23,4,-22,-34,4291
304,Miltank,5,-4,45,-26,-7,-17,3080
305,Blissey,165,-74,-50,9,58,-62,42490
306,Raikou,0,1,15,49,23,-2,3160
307,Entei,25,31,25,24,-2,-17,3080
308,Suicune,10,-9,55,24,38,-32,6250
309,Larvitar,-40,-20,-10,-21,-27,-76,9046
310,Pupitar,-20,0,10,-1,-7,-66,4906
311,Tyranitar,10,50,50,29,23,-56,9606
312,Tyranitar (Mega Tyranitar),10,80,90,29,43,-46,19406
313,Lugia,16,6,70,24,77,-7,11746
314,Ho-Oh,16,46,30,44,77,-27,11866
315,Celebi,10,16,40,34,23,-17,3930
316,Treecko,-50,-39,-25,-1,-22,-47,7340
317,Grovyle,-40,-19,-15,19,-12,-22,3175
318,Sceptile,-20,1,5,39,8,3,2020
319,Sceptile (Mega Sceptile),-20,26,15,79,8,28,8390
320,Torchic,-45,-24,-20,4,-27,-72,8930
321,Combusken,-30,1,0,19,-17,-62,5395
322,Blaziken,-10,36,10,44,-7,-37,4850
323,Blaziken (Mega Blaziken),-10,76,20,64,3,-17,10670
324,Mudkip,-40,-14,-10,-16,-27,-77,8810
325,Marshtomp,-20,1,10,-6,-7,-67,5075
326,Swampert,10,26,30,19,13,-57,5455
327,Swampert (Mega Swampert),10,66,50,29,33,-47,11095
328,Poochyena,-55,-29,-25,-36,-47,-82,14720
329,Mightyena,-20,6,10,-6,-17,-47,3070
330,Zigzagoon,-52,-54,-19,-36,-36,-57,11822
331,Zigzagoon (Galarian Zigzagoon),-52,-54,-19,-36,-36,-57,11822
332,Linoone,-12,-14,1,-16,-16,-17,1142
333,Linoone (Galarian Linoone),-12,-14,1,-16,-16,-17,1142
334,Wurmple,-45,-39,-25,-46,-47,-97,17905
335,Silcoon,-40,-49,-5,-41,-52,-102,18815
336,Beautifly,-30,-14,-10,34,-27,-52,5785
337,Cascoon,-40,-49,-5,-41,-52,-102,18815
338,Dustox,-30,-34,10,-16,13,-52,5285
339,Lotad,-50,-54,-30,-26,-27,-87,15290
340,Lombre,-30,-34,-10,-6,-7,-67,6730
341,Ludicolo,-10,-14,10,24,23,-47,3710
342,Seedot,-50,-44,-10,-36,-47,-87,15610
343,Nuzleaf,-20,-14,-20,-6,-37,-57,5650
344,Shiftry,0,16,0,24,-17,-37,2490
345,Taillow,-50,-29,-30,-36,-47,-32,8770
346,Swellow,-30,1,0,9,-27,8,1775
347,Wingull,-50,-54,-30,-11,-47,-32,9670
348,Pelipper,-30,-34,40,29,-7,-52,7250
349,Ralts,-62,-59,-35,-21,-42,-77,16684
350,Kirlia,-52,-49,-25,-1,-22,-67,10704
351,Gardevoir,-22,-19,5,59,38,-37,7164
352,Gardevoir (Mega Gardevoir),-22,1,5,99,58,-17,13964
353,Surskit,-50,-54,-28,-16,-25,-52,9785
354,Masquerain,-20,-24,2,34,5,-37,3530
355,Shroomish,-30,-44,0,-26,-17,-82,10525
356,Breloom,-30,46,20,-6,-17,-47,5950
357,Slakoth,-30,-24,0,-31,-42,-87,11770
358,Vigoroth,-10,-4,20,-11,-22,-27,1850
359,Slaking,60,76,40,29,-12,-17,12250
360,Nincada,-59,-39,30,-36,-47,-77,15336
361,Ninjask,-29,6,-15,-16,-27,43,3936
362,Shedinja,-89,6,-15,-36,-47,-77,17616
363,Whismur,-26,-33,-37,-15,-54,-89,14196
364,Loudred,-6,-13,-17,5,-34,-69,6436
365,Exploud,14,7,3,25,-4,-49,3296
366,Makuhita,-18,-24,-30,-46,-47,-92,14589
367,Hariyama,54,36,0,-26,-17,-67,9666
368,Azurill,-40,-64,-20,-46,-37,-97,18990
369,Nosepass,-60,-39,75,-21,13,-87,18925
370,Skitty,-40,-39,-15,-31,-42,-67,10560
371,Delcatty,-20,-19,5,-11,-22,-27,2120
372,Sableye,-40,-9,15,-1,-12,-67,6540
373,Sableye (Mega Sableye),-40,1,65,19,38,-97,17040
374,Mawile,-40,1,25,-11,-22,-67,7320
375,Mawile (Mega Mawile),-40,21,65,-11,18,-67,11200
376,Aron,-40,-14,40,-26,-37,-87,13010
377,Lairon,-30,6,80,-16,-27,-77,14250
378,Aggron,-20,26,120,-6,-17,-67,20290
379,Aggron (Mega Aggron),-20,56,170,-6,3,-67,36970
380,Meditite,-60,-44,-5,-26,-22,-57,9970
381,Medicham,-30,-24,15,-6,-2,-37,3110
382,Medicham (Mega Medicham),-30,16,25,14,8,-17,2330
383,Electrike,-50,-39,-20,-1,-37,-52,8495
384,Manectric,-20,-9,0,39,-17,-12,2435
385,Manectric (Mega Manectric),-20,-9,20,69,3,18,5975
386,Plusle,-30,-34,-20,19,-2,-22,3305
387,Minun,-30,-44,-10,9,8,-22,3565
388,Volbeat,-25,-11,15,-19,8,-32,2420
389,Illumise,-25,-37,15,7,8,-32,3356
390,Roselia,-40,-24,-15,34,3,-52,6270
391,Gulpin,-20,-41,-7,-23,-24,-77,9164
392,Swalot,10,-11,23,7,6,-62,4679
393,Carvanha,-45,6,-40,-1,-57,-52,9615
394,Sharpedo,-20,36,-20,29,-37,-22,4790
395,Sharpedo (Mega Sharpedo),-20,56,10,44,-12,-12,5860
396,Wailmer,40,-14,-25,4,-42,-57,7450
397,Wailord,80,6,-15,24,-32,-57,11510
398,Numel,-30,-24,-20,-1,-32,-82,9625
399,Camerupt,-20,16,10,39,-2,-77,8210
400,Camerupt (Mega Camerupt),-20,36,40,79,28,-97,19730
401,Torkoal,-20,1,80,19,-7,-97,16620
402,Spoink,-30,-59,-25,4,3,-57,8280
403,Grumpig,-10,-39,5,24,33,-37,4680
404,Spinda,-30,-24,0,-6,-17,-57,5050
405,Trapinch,-45,16,-15,-21,-32,-107,15420
406,Vibrava,-40,-14,-10,-16,-27,-47,5090
407,Flygon,-10,16,20,14,3,-17,1250
408,Cacnea,-40,1,-20,19,-37,-82,10455
409,Cacturne,-20,31,0,49,-17,-62,7895
410,Swablu,-45,-44,0,-26,-2,-67,9130
411,Altaria,-15,-14,30,4,28,-37,3490
412,Altaria (Mega Altaria),-15,26,50,44,28,-37,7490
413,Zangoose,-17,31,0,-6,-17,-27,2304
414,Seviper,-17,16,0,34,-17,-52,4694
415,Lunatone,0,-29,5,29,8,-47,3980
416,Solrock,0,11,25,-11,-12,-47,3220
417,Barboach,-40,-36,-17,-20,-36,-57,8130
418,Whiscash,20,-6,13,10,-6,-57,3990
419,Corphish,-47,-4,5,-16,-42,-82,10994
420,Crawdaunt,-27,36,25,24,-22,-62,7554
421,Baltoy,-50,-44,-5,-26,-7,-62,9030
422,Claydol,-30,-14,45,4,43,-42,6750
423,Lileep,-24,-43,17,-5,10,-94,11675
424,Cradily,-4,-3,37,15,30,-74,7995
425,Anorith,-45,11,-10,-26,-27,-42,5415
426,Armaldo,-15,41,40,4,3,-72,8715
427,Feebas,-70,-69,-40,-56,-22,-37,16250
428,Milotic,5,-24,19,34,48,-36,5718
429,Castform,-20,-14,10,4,-7,-47,2970
430,Kecleon,-30,6,10,-6,43,-77,8850
431,Shuppet,-46,-9,-25,-3,-44,-72,9951
432,Banette,-26,31,5,17,-14,-52,4851
433,Banette (Mega Banette),-26,81,15,27,6,-42,9991
434,Duskull,-70,-44,30,-36,13,-92,17665
435,Dusclops,-50,-14,70,-6,53,-92,18905
436,Tropius,9,-16,23,6,10,-66,5358
437,Chimecho,-15,-34,20,29,13,-52,5495
438,Absol,-25,46,0,9,-17,-42,4875
439,Absol (Mega Absol),-25,66,0,49,-17,-2,7675
440,Wynaut,5,-61,-12,-43,-29,-94,15416
441,Snorunt,-40,-34,-10,-16,-27,-67,8330
442,Glalie,-10,-4,20,14,3,-37,2090
443,Glalie (Mega Glalie),-10,36,20,54,3,-17,5010
444,Spheal,-20,-44,-10,-11,-27,-92,11750
445,Sealeo,0,-24,10,9,-7,-72,5990
446,Walrein,20,-4,30,29,13,-52,5030
447,Clamperl,-55,-20,25,8,-22,-85,11823
448,Huntail,-35,20,45,28,-2,-65,8663
449,Gorebyss,-35,0,45,48,-2,-65,9783
450,Relicanth,10,6,70,-21,-12,-62,9465
451,Luvdisc,-47,-54,-5,-26,-12,-20,6370
452,Bagon,-45,-9,0,-26,-47,-67,9480
453,Shelgon,-25,11,40,-6,-27,-67,7600
454,Salamence,5,51,20,44,3,-17,5260
455,Salamence (Mega Salamence),5,61,70,54,13,3,11740
456,Beldum,-50,-29,20,-31,-17,-87,12560
457,Metang,-30,-9,40,-11,3,-67,7200
458,Metagross,-10,51,70,29,13,-47,10820
459,Metagross (Mega Metagross),-10,61,90,39,33,-7,14580
460,Regirock,-10,16,140,-16,23,-67,25230
461,Regice,-10,-34,40,34,123,-67,23630
462,Registeel,-10,-9,90,9,73,-67,18180
463,Latias,-10,-4,30,44,53,-7,5810
464,Latias (Mega Latias),-10,16,60,74,73,-7,14810
465,Latios,-10,6,20,64,33,-7,5770
466,Latios (Mega Latios),-10,46,40,94,43,-7,14550
467,Kyogre,10,16,30,84,63,-27,13010
468,Kyogre (Primal Kyogre),10,66,30,114,83,-27,25970
469,Groudon,10,66,80,34,13,-27,12910
470,Groudon (Primal Groudon),10,96,100,84,13,-27,27270
471,Rayquaza,15,66,30,84,13,-22,13190
472,Rayquaza (Mega Rayquaza),15,96,40,114,23,-2,24570
473,Jirachi,10,16,40,34,23,-17,3930
474,Deoxys (Normal Forme),-40,66,-10,84,-27,33,14930
475,Deoxys (Attack Forme),-40,96,-40,114,-57,33,29750
476,Deoxys (Defense Forme),-40,-14,100,4,83,-27,19430
477,Deoxys (Speed Forme),-40,11,30,29,13,63,7600
478,Turtwig,-35,-16,4,-21,-22,-86,9818
479,Grotle,-15,5,25,-11,-12,-81,7701
480,Torterra,5,25,45,9,8,-61,6541
481,Chimchar,-46,-26,-16,-8,-33,-56,7337
482,Monferno,-26,-6,-8,12,-25,-36,2841
483,Infernape,-14,20,11,38,-6,-9,2278
484,Piplup,-37,-33,-7,-5,-21,-77,8902
485,Prinplup,-26,-18,8,15,-1,-67,5779
486,Empoleon,-6,2,28,45,24,-57,6674
487,Starly,-50,-29,-30,-36,-47,-57,10995
488,Staravia,-35,-9,-10,-26,-37,-37,4820
489,Staraptor,-5,36,10,-16,-17,-17,2255
