Matthew Werfel vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
72,Psyduck,-24,-54,-49,-1,-53,-50,11203
73,Golduck,6,-24,-19,29,-23,-20,2743
74,Mankey,-34,-26,-62,-31,-58,-35,11226
75,Primeape,-9,-1,-37,-6,-33,-10,2676
76,Growlithe,-19,-36,-52,4,-53,-45,9211
77,Growlithe (Hisuian Growlithe),-14,-31,-52,-1,-53,-50,9171
78,Arcanine,16,4,-17,34,-23,-10,2346
79,Arcanine (Hisuian Arcanine),21,9,-17,29,-23,-15,2406
80,Poliwag,-34,-56,-57,-26,-63,-15,12411
81,Poliwhirl,-9,-41,-32,-16,-53,-15,6076
82,Poliwrath,16,-11,-2,4,-13,-35,1791
83,Abra,-49,-86,-82,39,-48,-15,20571
84,Kadabra,-34,-71,-67,54,-33,0,14691
85,Alakazam,-19,-56,-52,69,-8,15,11251
86,Alakazam (Mega Alakazam),-19,-56,-32,109,2,45,18431
87,Machop,-4,-26,-47,-31,-68,-70,13386
88,Machoke,6,-6,-27,-16,-43,-60,6506
89,Machamp,16,24,-17,-1,-18,-50,3946
90,Bellsprout,-24,-31,-62,4,-73,-65,14951
91,Weepinbell,-9,-16,-47,19,-58,-50,8771
92,Victreebel,6,-1,-32,34,-33,-35,4531
93,Tentacool,-34,-66,-62,-16,-3,-35,10846
94,Tentacruel,6,-36,-32,14,17,-5,2866
95,Geodude,-34,-26,3,-36,-73,-85,15691
96,Geodude (Alolan Geodude),-34,-26,3,-36,-73,-85,15691
97,Graveler,-19,-11,18,-21,-58,-70,9511
98,Graveler (Alolan Graveler),-19,-11,18,-21,-58,-70,9511
99,Golem,6,14,33,-11,-38,-60,6486
100,Golem (Alolan Golem),6,14,33,-11,-38,-60,6486
101,Ponyta,-24,-21,-42,-1,-38,-15,4451
102,Ponyta (Galarian Ponyta),-24,-21,-42,-1,-38,-15,4451
103,Rapidash,-9,-6,-27,14,-23,0,1571
104,Rapidash (Galarian Rapidash),-9,-6,-27,14,-23,0,1571
105,Slowpoke,16,-41,-32,-26,-63,-90,15706
106,Slowpoke (Galarian Slowpoke),16,-41,-32,-26,-63,-90,15706
107,Slowbro,21,-31,13,34,-23,-75,8881
108,Slowbro (Mega Slowbro),21,-31,83,64,-23,-75,18541
109,Slowbro (Galarian Slowbro),21,-6,-2,34,-33,-75,8351
110,Magnemite,-49,-71,-27,29,-48,-60,14916
111,Magneton,-24,-46,-2,54,-33,-35,7926
112,Farfetch'd,-22,-16,-42,-8,-41,-45,6274
113,Farfetch'd (Galarian Farfetch'd),-22,-11,-42,-8,-41,-50,6614
114,Doduo,-39,-21,-52,-31,-68,-30,11151
115,Dodrio,-14,4,-27,-6,-43,5,2851
116,Seel,-9,-61,-42,-21,-33,-60,10696
117,Dewgong,16,-36,-17,4,-8,-35,3146
118,Grimer,6,-26,-47,-26,-53,-80,12806
119,Grimer (Alolan Grimer),6,-26,-47,-26,-53,-80,12806
120,Muk,31,-1,-22,-1,-3,-55,4481
121,Muk (Alolan Muk),31,-1,-22,-1,-3,-55,4481
122,Shellder,-44,-41,3,-21,-78,-65,14376
123,Cloyster,-24,-11,83,19,-58,-35,12536
124,Gastly,-44,-71,-67,34,-68,-25,17871
125,Haunter,-29,-56,-52,49,-48,-10,11486
126,Gengar,-14,-41,-37,64,-28,5,8151
127,Gengar (Mega Gengar),-14,-41,-17,104,-8,25,13671
128,Onix,-39,-61,63,-36,-58,-35,15096
129,Drowzee,-14,-58,-52,-23,-13,-63,10931
130,Hypno,11,-33,-27,7,12,-38,3576
131,Krabby,-44,-1,-7,-41,-78,-55,12776
132,Kingler,-19,24,18,-16,-53,-30,5226
133,Voltorb,-34,-76,-47,-11,-48,-5,11591
134,Voltorb (Hisuian Voltorb),-34,-76,-47,-11,-48,-5,11591
135,Electrode,-14,-56,-27,14,-23,45,6811
136,Electrode (Hisuian Electrode),-14,-56,-27,14,-23,45,6811
137,Exeggcute,-14,-66,-17,-6,-58,-65,12466
138,Exeggutor,21,-11,-12,59,-28,-50,7471
139,Exeggutor (Alolan Exeggutor),21,-1,-12,59,-28,-60,8451
140,Cubone,-24,-56,-2,-26,-53,-70,12101
141,Marowak,-14,-26,13,-16,-23,-60,5426
142,Marowak (Alolan Marowak),-14,-26,13,-16,-23,-60,5426
143,Hitmonlee,-24,14,-44,-31,7,-18,4042
144,Hitmonchan,-24,-1,-18,-31,7,-29,2752
145,Lickitung,16,-51,-22,-6,-28,-75,9786
146,Koffing,-34,-41,-2,-6,-58,-70,11141
147,Weezing,-9,-16,23,19,-33,-45,4341
148,Weezing (Galarian Weezing),-9,-16,23,19,-33,-45,4341
149,Rhyhorn,6,-21,-2,-36,-73,-80,13506
150,Rhydon,31,24,23,-21,-58,-65,10096
151,Chansey,176,-101,-92,-31,2,-55,53631
152,Tangela,-9,-51,18,34,-63,-45,10156
153,Kangaskhan,31,-11,-17,-26,-23,-15,2801
154,Kangaskhan (Mega Kangaskhan),31,19,3,-6,-3,-5,1401
155,Horsea,-44,-66,-27,4,-78,-45,15146
156,Seadra,-19,-41,-2,29,-58,-20,6651
157,Goldeen,-29,-39,-37,-31,-53,-42,9265
158,Seaking,6,-14,-32,-1,-23,-37,3155
159,Staryu,-44,-61,-42,4,-48,-20,10141
160,Starmie,-14,-31,-12,34,-18,10,2881
161,Mr. Mime,-34,-61,-32,34,17,-15,7571
162,Mr. Mime (Galarian Mr. Mime),-24,-41,-32,24,-13,-5,4051
163,Scyther,-4,4,-17,-11,-23,0,971
164,Jynx,-9,-56,-62,49,-8,-10,9626
165,Electabuzz,-9,-23,-40,29,-18,0,3375
166,Magmar,-9,-11,-40,34,-18,-12,3426
167,Pinsir,-9,19,3,-11,-33,-20,2061
168,Pinsir (Mega Pinsir),-9,49,23,-1,-13,0,3181
169,Tauros,1,-6,-2,-26,-33,5,1831
170,Tauros (Paldean Tauros (Combat Breed)),1,4,8,-36,-33,-5,2491
171,Tauros (Paldean Tauros (Blaze Breed)),1,4,8,-36,-33,-5,2491
172,Tauros (Paldean Tauros (Aqua Breed)),1,4,8,-36,-33,-5,2491
173,Magikarp,-54,-96,-42,-51,-83,-25,24011
174,Gyarados,21,19,-18,-6,-3,-24,1747
175,Gyarados (Mega Gyarados),21,49,12,4,27,-24,4307
176,Lapras,56,-21,-17,19,-8,-45,6316
177,Ditto,-26,-58,-49,-18,-55,-57,13039
178,Eevee,-19,-51,-47,-21,-38,-50,9556
179,Eevee (Partner Eevee),-9,-31,-27,-1,-18,-30,2996
180,Vaporeon,56,-41,-37,44,-8,-40,9786
181,Jolteon,-9,-41,-37,44,-8,25,5756
182,Flareon,-9,24,-37,29,7,-40,4516
183,Porygon,-9,-46,-27,19,-28,-65,8296
184,Omanyte,-39,-66,3,24,-48,-70,13666
185,Omastar,-4,-46,28,49,-33,-50,8906
186,Kabuto,-44,-26,-7,-11,-58,-50,8646
187,Kabutops,-14,9,8,-1,-33,-25,2056
188,Aerodactyl,6,-1,-32,-6,-28,25,2506
189,Aerodactyl (Mega Aerodactyl),6,29,-12,4,-8,45,3126
190,Snorlax,86,4,-32,-1,7,-75,14111
191,Articuno,16,-21,3,29,22,-20,2431
192,Articuno (Galarian Articuno),16,-21,-12,59,-3,-10,4431
193,Zapdos,16,-16,-12,59,-13,-5,4331
194,Zapdos (Galarian Zapdos),16,19,-7,19,-13,-5,1221
195,Moltres,16,-6,-7,59,-18,-15,4371
196,Moltres (Galarian Moltres),16,-21,-7,34,22,-15,2611
197,Dratini,-33,-42,-52,-16,-53,-55,11647
198,Dragonair,-13,-22,-32,4,-33,-35,4007
199,Dragonite,17,28,-2,34,-3,-25,2867
200,Mewtwo,32,4,-7,88,-13,25,9627
201,Mewtwo (Mega Mewtwo X),32,84,3,88,-3,25,16467
202,Mewtwo (Mega Mewtwo Y),32,44,-27,128,17,35,21587
203,Mew,26,-6,3,34,-3,-5,1911
204,Chikorita,-29,-57,-32,-17,-38,-60,10447
205,Bayleef,-14,-44,-17,-3,-23,-45,4984
206,Meganium,6,-24,3,17,-3,-25,1544
207,Cyndaquil,-35,-54,-54,-6,-53,-40,11502
208,Quilava,-16,-42,-39,14,-38,-25,5806
209,Typhlosion,4,-22,-19,43,-18,-5,3059
210,Typhlosion (Hisuian Typhlosion),-1,-22,-19,53,-18,-10,4079
211,Totodile,-24,-41,-33,-22,-55,-62,10699
212,Croconaw,-9,-26,-17,-7,-40,-47,4904
213,Feraligatr,11,-1,3,13,-20,-27,1429
214,Sentret,-39,-60,-63,-31,-58,-85,20640
215,Furret,11,-30,-33,-21,-48,-15,5080
216,Hoothoot,-14,-76,-67,-30,-47,-55,16595
217,Noctowl,26,-56,-47,20,-7,-35,7695
218,Ledyba,-34,-86,-67,-26,-23,-50,16746
219,Ledian,-19,-71,-47,-11,7,-20,8181
220,Spinarak,-34,-46,-57,-26,-63,-75,16791
221,Ariados,-4,-16,-27,-6,-33,-65,6351
222,Crobat,11,-16,-17,4,-23,25,1836
223,Chinchou,1,-68,-59,-10,-47,-38,11859
224,Lanturn,51,-48,-39,10,-27,-38,8699
225,Pichu,-54,-66,-82,-31,-68,-45,21606
226,Cleffa,-24,-81,-69,-21,-48,-90,22743
227,Igglybuff,16,-76,-82,-26,-83,-90,28421
228,Togepi,-39,-86,-32,-26,-38,-85,19286
229,Togetic,-19,-66,-12,14,2,-65,9286
230,Natu,-34,-56,-52,4,-58,-35,11601
231,Xatu,-9,-31,-27,29,-33,-10,3801
232,Mareep,-19,-66,-57,-1,-58,-70,16231
233,Flaaffy,-4,-51,-42,14,-43,-60,10026
234,Ampharos,16,-31,-12,49,-13,-50,6431
235,Ampharos (Mega Ampharos),16,-11,8,99,7,-60,13891
236,Bellossom,1,-26,-2,24,-3,-55,4291
237,Marill,-4,-86,-47,-46,-53,-65,18771
238,Azumarill,26,-56,-17,-6,-23,-55,7691
239,Sudowoodo,-4,-6,18,-36,-38,-75,8741
240,Politoed,16,-31,-22,24,-3,-35,3511
241,Hoppip,-39,-71,-57,-31,-48,-55,16101
242,Skiploom,-19,-61,-47,-21,-38,-25,8801
243,Jumpluff,1,-51,-27,-11,-8,5,3541
244,Aipom,-19,-36,-42,-26,-48,-20,6801
245,Sunkern,-44,-76,-67,-36,-73,-75,24451
246,Sunflora,1,-31,-42,39,-18,-75,10196
247,Yanma,-9,-41,-52,9,-58,-10,8011
248,Wooper,-19,-61,-52,-41,-78,-90,22651
249,Wooper (Paldean Wooper),-19,-61,-52,-41,-78,-90,22651
250,Quagsire,21,-21,-12,-1,-38,-70,7371
251,Espeon,-9,-41,-37,64,-8,5,7316
252,Umbreon,21,-41,13,-6,27,-40,4656
253,Murkrow,-14,-21,-55,19,-61,-14,7940
254,Slowking,21,-31,-17,34,7,-75,8521
255,Slowking (Galarian Slowking),21,-41,-17,44,7,-75,10021
256,Misdreavus,-14,-46,-37,19,-18,-20,4766
257,Unown,-26,-34,-49,6,-55,-57,10543
258,Wobbuffet,116,-73,-39,-33,-45,-72,28604
259,Girafarig,-4,-26,-32,24,-38,-20,4136
260,Pineco,-24,-41,-7,-31,-68,-90,15991
261,Forretress,1,-16,43,-6,-43,-65,8216
262,Dunsparce,26,-36,-27,-1,-38,-60,7746
263,Gligar,-9,-31,8,-31,-38,-20,3911
264,Steelix,1,-21,103,-11,-38,-75,18241
265,Steelix (Mega Steelix),1,19,133,-11,-8,-75,23861
266,Snubbull,-14,-26,-47,-26,-63,-75,13351
267,Granbull,16,14,-22,-6,-43,-60,6421
268,Qwilfish,-9,-11,-12,-11,-48,-20,3171
269,Qwilfish (Hisuian Qwilfish),-9,-11,-12,-11,-48,-20,3171
270,Scizor,-4,24,3,-11,-23,-40,2851
271,Scizor (Mega Scizor),-4,44,43,-1,-3,-30,4711
272,Shuckle,-54,-96,133,-56,127,-100,59086
273,Heracross,6,19,-22,-26,-8,-20,2021
274,Heracross (Mega Heracross),6,79,18,-26,2,-30,8181
275,Sneasel,-19,-11,-42,-31,-28,10,4091
276,Sneasel (Hisuian Sneasel),-19,-11,-42,-31,-28,10,4091
277,Teddiursa,-14,-26,-47,-16,-53,-65,10371
278,Ursaring,16,24,-22,9,-28,-50,4681
279,Slugma,-34,-66,-57,4,-63,-85,19971
280,Magcargo,-14,-56,23,24,-23,-75,10591
281,Swinub,-24,-56,-57,-36,-73,-55,16611
282,Piloswine,26,-6,-17,-6,-43,-55,5911
283,Corsola,-9,-51,-2,-1,-8,-70,7651
284,Corsola (Galarian Corsola),-14,-51,3,-1,-3,-75,8441
285,Remoraid,-39,-41,-62,-1,-68,-40,13271
286,Octillery,1,-1,-22,39,-28,-60,6391
287,Delibird,-29,-51,-52,-1,-58,-30,10411
288,Mantine,11,-66,-27,14,37,-35,7996
289,Skarmory,-9,-26,43,-26,-33,-35,5596
290,Houndour,-29,-46,-67,14,-53,-40,12051
291,Houndoom,1,-16,-47,44,-23,-10,5031
292,Houndoom (Mega Houndoom),1,-16,-7,74,-13,10,6051
293,Kingdra,1,-11,-2,29,-8,-20,1431
294,Phanpy,16,-46,-37,-26,-63,-65,12611
295,Donphan,16,14,23,-6,-43,-55,5891
296,Porygon2,11,-26,-7,39,-8,-45,4456
297,Stantler,-1,-11,-35,19,-38,-20,3552
298,Smeargle,-19,-86,-62,-46,-58,-30,17981
299,Tyrogue,-39,-71,-62,-31,-68,-70,20891
300,Hitmontop,-24,-11,-2,-31,7,-35,2936
301,Smoochum,-29,-76,-82,19,-38,-40,16746
302,Elekid,-29,-43,-60,-1,-48,-10,8695
303,Magby,-29,-31,-60,4,-48,-22,8206
304,Miltank,21,-26,8,-26,-33,-5,2971
305,Blissey,181,-96,-87,9,32,-50,53151
306,Raikou,16,-21,-22,49,-3,10,3691
307,Entei,41,9,-12,24,-28,-5,3291
308,Suicune,26,-31,18,24,12,-20,3081
309,Larvitar,-24,-42,-47,-21,-53,-64,11895
310,Pupitar,-4,-22,-27,-1,-33,-54,5235
311,Tyranitar,26,28,13,29,-3,-44,4415
312,Tyranitar (Mega Tyranitar),26,58,53,29,17,-34,9135
313,Lugia,32,-16,33,24,51,5,5571
314,Ho-Oh,32,24,-7,44,51,-15,6411
315,Celebi,26,-6,3,34,-3,-5,1911
316,Treecko,-34,-61,-62,-1,-48,-35,12251
317,Grovyle,-24,-41,-52,19,-38,-10,6866
318,Sceptile,-4,-21,-32,39,-18,15,3551
319,Sceptile (Mega Sceptile),-4,4,-22,79,-18,40,8681
320,Torchic,-29,-46,-57,4,-53,-60,12631
321,Combusken,-14,-21,-37,19,-43,-50,6716
322,Blaziken,6,14,-27,44,-33,-25,4611
323,Blaziken (Mega Blaziken),6,54,-17,64,-23,-5,7891
324,Mudkip,-24,-36,-47,-16,-53,-65,11371
325,Marshtomp,-4,-21,-27,-6,-33,-55,5336
326,Swampert,26,4,-7,19,-13,-45,3296
327,Swampert (Mega Swampert),26,44,13,29,7,-35,4896
328,Poochyena,-39,-51,-62,-36,-73,-70,19491
329,Mightyena,-4,-16,-27,-6,-43,-35,4111
330,Zigzagoon,-36,-76,-56,-36,-62,-45,17373
331,Zigzagoon (Galarian Zigzagoon),-36,-76,-56,-36,-62,-45,17373
332,Linoone,4,-36,-36,-16,-42,-5,4653
333,Linoone (Galarian Linoone),4,-36,-36,-16,-42,-5,4653
334,Wurmple,-29,-61,-62,-46,-73,-85,23076
335,Silcoon,-24,-71,-42,-41,-78,-90,23246
336,Beautifly,-14,-36,-47,34,-53,-40,9266
337,Cascoon,-24,-71,-42,-41,-78,-90,23246
338,Dustox,-14,-56,-27,-16,-13,-40,6086
339,Lotad,-34,-76,-67,-26,-53,-75,20531
340,Lombre,-14,-56,-47,-6,-33,-55,9691
341,Ludicolo,6,-36,-27,24,-3,-35,3871
342,Seedot,-34,-66,-47,-36,-73,-75,19971
343,Nuzleaf,-4,-36,-57,-6,-63,-45,10591
344,Shiftry,16,-6,-37,24,-43,-25,4711
345,Taillow,-34,-51,-67,-36,-73,-20,15271
346,Swellow,-14,-21,-37,9,-53,20,5296
347,Wingull,-34,-76,-67,-11,-73,-20,17271
348,Pelipper,-14,-56,3,29,-33,-40,6871
349,Ralts,-46,-81,-72,-21,-68,-65,23151
350,Kirlia,-36,-71,-62,-1,-48,-55,15511
351,Gardevoir,-6,-41,-32,59,12,-25,6991
352,Gardevoir (Mega Gardevoir),-6,-21,-32,99,32,-5,12351
353,Surskit,-34,-76,-65,-16,-51,-40,15614
354,Masquerain,-4,-46,-35,34,-21,-25,5579
355,Shroomish,-14,-66,-37,-26,-43,-70,13346
356,Breloom,-14,24,-17,-6,-43,-35,4171
357,Slakoth,-14,-46,-37,-31,-68,-75,14891
358,Vigoroth,6,-26,-17,-11,-48,-15,3651
359,Slaking,76,54,3,29,-38,-5,11011
360,Nincada,-43,-61,-7,-36,-73,-65,16469
361,Ninjask,-13,-16,-52,-16,-53,55,9219
362,Shedinja,-73,-16,-52,-36,-73,-65,19139
363,Whismur,-10,-55,-74,-15,-80,-77,21155
364,Loudred,10,-35,-54,5,-60,-57,11115
365,Exploud,30,-15,-34,25,-30,-37,5175
366,Makuhita,-2,-46,-67,-46,-73,-80,20454
367,Hariyama,70,14,-37,-26,-43,-55,12015
368,Azurill,-24,-86,-57,-46,-63,-85,24531
369,Nosepass,-44,-61,38,-21,-13,-75,13336
370,Skitty,-24,-61,-52,-31,-68,-55,15611
371,Delcatty,-4,-41,-32,-11,-48,-15,5371
372,Sableye,-24,-31,-22,-1,-38,-55,6491
373,Sableye (Mega Sableye),-24,-21,28,19,12,-85,9531
374,Mawile,-24,-21,-12,-11,-48,-55,6611
375,Mawile (Mega Mawile),-24,-1,28,-11,-8,-55,4571
376,Aron,-24,-36,3,-26,-63,-75,12151
377,Lairon,-14,-16,43,-16,-53,-65,9591
378,Aggron,-4,4,83,-6,-43,-55,11831
379,Aggron (Mega Aggron),-4,34,133,-6,-23,-55,22451
380,Meditite,-44,-66,-42,-26,-48,-45,13061
381,Medicham,-14,-46,-22,-6,-28,-25,4241
382,Medicham (Mega Medicham),-14,-6,-12,14,-18,-5,921
383,Electrike,-34,-61,-57,-1,-63,-40,13696
384,Manectric,-4,-31,-37,39,-43,0,5716
385,Manectric (Mega Manectric),-4,-31,-17,69,-23,30,7456
386,Plusle,-14,-56,-57,19,-28,-10,7826
387,Minun,-14,-66,-47,9,-18,-10,7266
388,Volbeat,-9,-33,-22,-19,-18,-20,2739
389,Illumise,-9,-59,-22,7,-18,-20,4819
390,Roselia,-24,-46,-52,34,-23,-40,8681
391,Gulpin,-4,-63,-44,-23,-50,-65,13175
392,Swalot,26,-33,-14,7,-20,-50,4910
393,Carvanha,-29,-16,-77,-1,-83,-40,15516
394,Sharpedo,-4,14,-57,29,-63,-10,8371
395,Sharpedo (Mega Sharpedo),-4,34,-27,44,-38,0,5281
396,Wailmer,56,-36,-62,4,-68,-45,14941
397,Wailord,96,-16,-52,24,-58,-45,18141
398,Numel,-14,-46,-57,-1,-58,-70,13826
399,Camerupt,-4,-6,-27,39,-28,-65,7311
400,Camerupt (Mega Camerupt),-4,14,3,79,2,-85,13691
401,Torkoal,-4,-21,43,19,-33,-85,10981
402,Spoink,-14,-81,-62,4,-23,-45,13171
403,Grumpig,6,-61,-32,24,7,-25,6031
404,Spinda,-14,-46,-37,-6,-43,-45,7591
405,Trapinch,-29,-6,-52,-21,-58,-95,16411
406,Vibrava,-24,-36,-47,-16,-53,-35,8371
407,Flygon,6,-6,-17,14,-23,-5,1111
408,Cacnea,-24,-21,-57,19,-63,-70,13496
409,Cacturne,-4,9,-37,49,-43,-50,8216
410,Swablu,-29,-66,-37,-26,-28,-55,11051
411,Altaria,1,-36,-7,4,2,-25,1991
412,Altaria (Mega Altaria),1,4,13,44,2,-25,2751
413,Zangoose,-1,9,-37,-6,-43,-15,3561
414,Seviper,-1,-6,-37,34,-43,-40,6011
415,Lunatone,16,-51,-32,29,-18,-35,6271
416,Solrock,16,-11,-12,-11,-38,-35,3311
417,Barboach,-24,-58,-54,-20,-62,-45,13125
418,Whiscash,36,-28,-24,10,-32,-45,5805
419,Corphish,-31,-26,-32,-16,-68,-70,12441
420,Crawdaunt,-11,14,-12,24,-48,-50,5841
421,Baltoy,-34,-66,-42,-26,-33,-50,11541
422,Claydol,-14,-36,8,4,17,-30,2761
423,Lileep,-8,-65,-20,-5,-16,-82,11694
424,Cradily,12,-25,0,15,4,-62,4854
425,Anorith,-29,-11,-47,-26,-53,-30,7556
426,Armaldo,1,19,3,4,-23,-60,4516
427,Feebas,-54,-91,-77,-56,-48,-25,23191
428,Milotic,21,-46,-18,34,22,-24,5097
429,Castform,-4,-36,-27,4,-33,-35,4371
430,Kecleon,-14,-16,-27,-6,17,-65,5731
431,Shuppet,-30,-31,-62,-3,-70,-60,14214
432,Banette,-10,9,-32,17,-40,-40,4694
433,Banette (Mega Banette),-10,59,-22,27,-20,-30,6094
434,Duskull,-54,-66,-7,-36,-13,-80,15186
435,Dusclops,-34,-36,33,-6,27,-80,10706
436,Tropius,25,-38,-14,6,-16,-54,5473
437,Chimecho,1,-56,-17,29,-13,-40,6036
438,Absol,-9,24,-37,9,-43,-30,4856
439,Absol (Mega Absol),-9,44,-37,49,-43,10,7736
440,Wynaut,21,-83,-49,-43,-55,-82,21329
441,Snorunt,-24,-56,-47,-16,-53,-55,12011
442,Glalie,6,-26,-17,14,-23,-25,2351
443,Glalie (Mega Glalie),6,14,-17,54,-23,-5,3991
444,Spheal,-4,-66,-47,-11,-53,-80,15911
445,Sealeo,16,-46,-27,9,-33,-60,7871
446,Walrein,36,-26,-7,29,-13,-40,4631
447,Clamperl,-39,-42,-12,8,-48,-73,11126
448,Huntail,-19,-2,8,28,-28,-53,4806
449,Gorebyss,-19,-22,8,48,-28,-53,6806
450,Relicanth,26,-16,33,-21,-38,-50,6406
451,Luvdisc,-31,-76,-42,-26,-38,-8,10685
452,Bagon,-29,-31,-37,-26,-73,-55,12201
453,Shelgon,-9,-11,3,-6,-53,-55,6081
454,Salamence,21,29,-17,44,-23,-5,4061
455,Salamence (Mega Salamence),21,39,33,54,-13,15,6361
456,Beldum,-34,-51,-17,-31,-43,-75,12481
457,Metang,-14,-31,3,-11,-23,-55,4841
458,Metagross,6,29,33,29,-13,-35,4201
459,Metagross (Mega Metagross),6,39,53,39,7,5,5961
460,Regirock,6,-6,103,-16,-3,-55,13971
461,Regice,6,-56,3,34,97,-55,16771
462,Registeel,6,-31,53,9,47,-55,9121
463,Latias,6,-26,-7,44,27,5,3451
464,Latias (Mega Latias),6,-6,23,74,47,5,8311
465,Latios,6,-16,-17,64,7,5,4751
466,Latios (Mega Latios),6,24,3,94,17,5,9771
467,Kyogre,26,-6,-7,84,37,-15,9411
468,Kyogre (Primal Kyogre),26,44,-7,114,57,-15,19131
469,Groudon,26,44,43,34,-13,-15,6011
470,Groudon (Primal Groudon),26,74,63,84,-13,-15,17571
471,Rayquaza,31,44,-7,84,-13,-10,10271
472,Rayquaza (Mega Rayquaza),31,74,3,114,-3,10,19551
473,Jirachi,26,-6,3,34,-3,-5,1911
474,Deoxys (Normal Forme),-24,44,-47,84,-53,45,16611
475,Deoxys (Attack Forme),-24,74,-77,114,-83,45,33891
476,Deoxys (Defense Forme),-24,-36,63,4,57,-15,9331
