Julie Jackson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
35,Raichu (Alolan Raichu),-29,-12,-35,30,0,13,3279
36,Sandshrew,-39,-22,0,-45,-55,-57,10304
37,Sandshrew (Alolan Sandshrew),-39,-22,5,-55,-50,-57,10804
38,Sandslash,-14,3,25,-20,-30,-32,3154
39,Sandslash (Alolan Sandslash),-14,3,35,-40,-20,-32,4454
40,Nidoran♀,-34,-50,-33,-25,-45,-56,10531
41,Nidorina,-19,-35,-18,-10,-30,-41,4591
42,Nidoqueen,1,-5,2,10,0,-21,571
43,Nidoran♂,-43,-40,-45,-25,-45,-47,10333
44,Nidorino,-28,-25,-28,-10,-30,-32,4217
45,Nidoking,-8,5,-8,20,-10,-12,797
46,Clefairy,-19,-52,-37,-5,-20,-62,8703
47,Clefable,6,-27,-12,30,5,-37,3203
48,Vulpix,-51,-56,-45,-15,-20,-32,9411
49,Vulpix (Alolan Vulpix),-51,-56,-45,-15,-20,-32,9411
50,Ninetales,-16,-21,-10,16,15,3,1287
51,Ninetales (Alolan Ninetales),-16,-30,-10,16,15,12,1881
52,Jigglypuff,26,-52,-65,-20,-60,-77,17534
53,Wigglytuff,51,-27,-40,20,-35,-52,9259
54,Zubat,-49,-52,-50,-35,-45,-42,12619
55,Golbat,-14,-17,-15,0,-10,-7,859
56,Oddish,-44,-47,-30,10,-20,-67,10034
57,Gloom,-29,-32,-15,20,-10,-57,5839
58,Vileplume,-14,-17,0,45,5,-47,4744
59,Paras,-54,-27,-30,-20,-30,-72,11029
60,Parasect,-29,-2,-5,-5,-5,-67,5409
61,Venonat,-29,-42,-35,-25,-30,-52,8059
62,Venomoth,-19,-32,-25,25,-10,-7,2784
63,Diglett,-79,-42,-60,-30,-40,-2,14109
64,Diglett (Alolan Diglett),-79,-42,-55,-30,-40,-7,13579
65,Dugtrio,-54,3,-35,-15,-15,23,5129
66,Dugtrio (Alolan Dugtrio),-54,3,-25,-15,-15,13,4169
67,Meowth,-49,-52,-50,-25,-45,-7,10304
68,Meowth (Alolan Meowth),-49,-62,-50,-15,-45,-7,11044
69,Meowth (Galarian Meowth),-39,-32,-30,-25,-45,-57,9344
70,Persian,-24,-27,-25,0,-20,18,2654
71,Persian (Alolan Persian),-24,-37,-25,10,-20,18,3394
72,Psyduck,-39,-45,-37,0,-35,-42,7904
73,Golduck,-9,-15,-7,30,-5,-12,1424
74,Mankey,-49,-17,-50,-30,-40,-27,8419
75,Primeape,-24,8,-25,-5,-15,-2,1519
76,Growlithe,-34,-27,-40,5,-35,-37,6104
77,Growlithe (Hisuian Growlithe),-29,-22,-40,0,-35,-42,5914
78,Arcanine,1,13,-5,35,-5,-2,1449
79,Arcanine (Hisuian Arcanine),6,18,-5,30,-5,-7,1359
80,Poliwag,-49,-47,-45,-25,-45,-7,9334
81,Poliwhirl,-24,-32,-20,-15,-35,-7,3499
82,Poliwrath,1,-2,10,5,5,-27,884
83,Abra,-64,-77,-70,40,-30,-7,17474
84,Kadabra,-49,-62,-55,55,-15,8,12584
85,Alakazam,-34,-47,-40,70,10,23,10494
86,Alakazam (Mega Alakazam),-34,-47,-20,110,20,53,19074
87,Machop,-19,-17,-35,-30,-50,-62,9119
88,Machoke,-9,3,-15,-15,-25,-52,3869
89,Machamp,1,33,-5,0,0,-42,2879
90,Bellsprout,-39,-22,-50,5,-55,-57,10804
91,Weepinbell,-24,-7,-35,20,-40,-42,5614
92,Victreebel,-9,8,-20,35,-15,-27,2724
93,Tentacool,-49,-57,-50,-15,15,-27,9329
94,Tentacruel,-9,-27,-20,15,35,3,2669
95,Geodude,-49,-17,15,-35,-55,-77,13094
96,Geodude (Alolan Geodude),-49,-17,15,-35,-55,-77,13094
97,Graveler,-34,-2,30,-20,-40,-62,7904
98,Graveler (Alolan Graveler),-34,-2,30,-20,-40,-62,7904
99,Golem,-9,23,45,-10,-20,-52,5839
100,Golem (Alolan Golem),-9,23,45,-10,-20,-52,5839
101,Ponyta,-39,-12,-30,0,-20,-7,3014
102,Ponyta (Galarian Ponyta),-39,-12,-30,0,-20,-7,3014
103,Rapidash,-24,3,-15,15,-5,8,1124
104,Rapidash (Galarian Rapidash),-24,3,-15,15,-5,8,1124
105,Slowpoke,1,-32,-20,-25,-45,-82,10799
106,Slowpoke (Galarian Slowpoke),1,-32,-20,-25,-45,-82,10799
107,Slowbro,6,-22,25,35,-5,-67,6884
108,Slowbro (Mega Slowbro),6,-22,95,65,-5,-67,18284
109,Slowbro (Galarian Slowbro),6,3,10,35,-15,-67,6084
110,Magnemite,-64,-62,-15,30,-30,-52,12669
111,Magneton,-39,-37,10,55,-15,-27,6969
112,Farfetch'd,-37,-7,-30,-7,-23,-37,4265
113,Farfetch'd (Galarian Farfetch'd),-37,-2,-30,-7,-23,-42,4615
114,Doduo,-54,-12,-40,-30,-50,-22,8544
115,Dodrio,-29,13,-15,-5,-25,13,2054
116,Seel,-24,-52,-30,-20,-15,-52,7509
117,Dewgong,1,-27,-5,5,10,-27,1609
118,Grimer,-9,-17,-35,-25,-35,-72,8629
119,Grimer (Alolan Grimer),-9,-17,-35,-25,-35,-72,8629
120,Muk,16,8,-10,0,15,-47,2854
121,Muk (Alolan Muk),16,8,-10,0,15,-47,2854
122,Shellder,-59,-32,15,-20,-60,-57,11979
123,Cloyster,-39,-2,95,20,-40,-27,13279
124,Gastly,-59,-62,-55,35,-50,-17,14364
125,Haunter,-44,-47,-40,50,-30,-2,9149
126,Gengar,-29,-32,-25,65,-10,13,6984
127,Gengar (Mega Gengar),-29,-32,-5,105,10,33,14104
128,Onix,-54,-52,75,-35,-40,-27,14799
129,Drowzee,-29,-49,-40,-22,5,-55,8376
130,Hypno,-4,-24,-15,8,30,-30,2681
131,Krabby,-59,8,5,-40,-60,-47,10979
132,Kingler,-34,33,30,-15,-35,-22,5079
133,Voltorb,-49,-67,-35,-10,-30,3,9124
134,Voltorb (Hisuian Voltorb),-49,-67,-35,-10,-30,3,9124
135,Electrode,-29,-47,-15,15,-5,53,6334
136,Electrode (Hisuian Electrode),-29,-47,-15,15,-5,53,6334
137,Exeggcute,-29,-57,-5,-5,-40,-57,8989
138,Exeggutor,6,-2,0,60,-10,-42,5504
139,Exeggutor (Alolan Exeggutor),6,8,0,60,-10,-52,6504
140,Cubone,-39,-47,10,-25,-35,-62,9524
141,Marowak,-29,-17,25,-15,-5,-52,4709
142,Marowak (Alolan Marowak),-29,-17,25,-15,-5,-52,4709
143,Hitmonlee,-39,23,-32,-30,25,-10,4699
144,Hitmonchan,-39,8,-6,-30,25,-21,3587
145,Lickitung,1,-42,-10,-5,-10,-67,6479
146,Koffing,-49,-32,10,-5,-40,-62,8994
147,Weezing,-24,-7,35,20,-15,-37,3844
148,Weezing (Galarian Weezing),-24,-7,35,20,-15,-37,3844
149,Rhyhorn,-9,-12,10,-35,-55,-72,9759
150,Rhydon,16,33,35,-20,-40,-57,7819
151,Chansey,161,-92,-80,-30,20,-47,44294
152,Tangela,-24,-42,30,35,-45,-37,7859
153,Kangaskhan,16,-2,-5,-25,-5,-7,984
154,Kangaskhan (Mega Kangaskhan),16,28,15,-5,15,3,1524
155,Horsea,-59,-57,-15,5,-60,-37,11949
156,Seadra,-34,-32,10,30,-40,-12,4924
157,Goldeen,-44,-30,-25,-30,-35,-34,6742
158,Seaking,-9,-5,-20,0,-5,-29,1372
159,Staryu,-59,-52,-30,5,-30,-12,8154
160,Starmie,-29,-22,0,35,0,18,2874
161,Mr. Mime,-49,-52,-20,35,35,-7,8004
162,Mr. Mime (Galarian Mr. Mime),-39,-32,-20,25,5,3,3604
163,Scyther,-19,13,-5,-10,-5,8,744
164,Jynx,-24,-47,-50,50,10,-2,7889
165,Electabuzz,-24,-14,-28,30,0,8,2520
166,Magmar,-24,-2,-28,35,0,-4,2605
167,Pinsir,-24,28,15,-10,-15,-12,2054
168,Pinsir (Mega Pinsir),-24,58,35,0,5,8,5254
169,Tauros,-14,3,10,-25,-15,13,1324
170,Tauros (Paldean Tauros (Combat Breed)),-14,13,20,-35,-15,3,2224
171,Tauros (Paldean Tauros (Blaze Breed)),-14,13,20,-35,-15,3,2224
172,Tauros (Paldean Tauros (Aqua Breed)),-14,13,20,-35,-15,3,2224
173,Magikarp,-69,-87,-30,-50,-65,-17,20244
174,Gyarados,6,28,-6,-5,15,-16,1362
175,Gyarados (Mega Gyarados),6,58,24,5,45,-16,6282
176,Lapras,41,-12,-5,20,10,-37,3719
177,Ditto,-41,-49,-37,-17,-37,-49,9510
178,Eevee,-34,-42,-35,-20,-20,-42,6709
179,Eevee (Partner Eevee),-24,-22,-15,0,0,-22,1769
180,Vaporeon,41,-32,-25,45,10,-32,6479
181,Jolteon,-24,-32,-25,45,10,33,5439
182,Flareon,-24,33,-25,30,25,-32,4839
183,Porygon,-24,-37,-15,20,-10,-57,5919
184,Omanyte,-54,-57,15,25,-30,-62,11759
185,Omastar,-19,-37,40,50,-15,-42,7819
186,Kabuto,-59,-17,5,-10,-40,-42,7259
187,Kabutops,-29,18,20,0,-15,-17,2079
188,Aerodactyl,-9,8,-20,-5,-10,33,1759
189,Aerodactyl (Mega Aerodactyl),-9,38,0,5,10,53,4459
190,Snorlax,71,13,-20,0,25,-67,10724
191,Articuno,1,-12,15,30,40,-12,3014
192,Articuno (Galarian Articuno),1,-12,0,60,15,-2,3974
193,Zapdos,1,-7,0,60,5,3,3684
194,Zapdos (Galarian Zapdos),1,28,5,20,5,3,1244
195,Moltres,1,3,5,60,0,-7,3684
196,Moltres (Galarian Moltres),1,-12,5,35,40,-7,3044
197,Dratini,-48,-33,-40,-15,-35,-47,8652
198,Dragonair,-28,-13,-20,5,-15,-27,2332
199,Dragonite,2,37,10,35,15,-17,3212
200,Mewtwo,17,13,5,89,5,33,9518
201,Mewtwo (Mega Mewtwo X),17,93,15,89,15,33,18398
202,Mewtwo (Mega Mewtwo Y),17,53,-15,129,35,43,23038
203,Mew,11,3,15,35,15,3,1814
204,Chikorita,-44,-48,-20,-16,-20,-52,8000
205,Bayleef,-29,-35,-5,-2,-5,-37,3489
206,Meganium,-9,-15,15,18,15,-17,1369
207,Cyndaquil,-50,-45,-42,-5,-35,-32,8563
208,Quilava,-31,-33,-27,15,-20,-17,3693
209,Typhlosion,-11,-13,-7,44,0,3,2284
210,Typhlosion (Hisuian Typhlosion),-16,-13,-7,54,0,-2,3394
211,Totodile,-39,-32,-21,-21,-37,-54,7712
212,Croconaw,-24,-17,-5,-6,-22,-39,2931
213,Feraligatr,-4,8,15,14,-2,-19,866
214,Sentret,-54,-51,-51,-30,-40,-77,16547
215,Furret,-4,-21,-21,-20,-30,-7,2247
216,Hoothoot,-29,-67,-55,-29,-29,-47,12246
217,Noctowl,11,-47,-35,21,11,-27,4846
218,Ledyba,-49,-77,-55,-25,-5,-42,13769
219,Ledian,-34,-62,-35,-10,25,-12,7094
220,Spinarak,-49,-37,-45,-25,-45,-67,12934
221,Ariados,-19,-7,-15,-5,-15,-57,4134
222,Crobat,-4,-7,-5,5,-5,33,1229
223,Chinchou,-14,-59,-47,-9,-29,-30,7708
224,Lanturn,36,-39,-27,11,-9,-30,4648
225,Pichu,-69,-57,-70,-30,-50,-37,17679
226,Cleffa,-39,-72,-57,-20,-30,-82,17978
227,Igglybuff,1,-67,-70,-25,-65,-82,20964
228,Togepi,-54,-77,-20,-25,-20,-77,16199
229,Togetic,-34,-57,0,15,20,-57,8279
230,Natu,-49,-47,-40,5,-40,-27,8564
231,Xatu,-24,-22,-15,30,-15,-2,2414
232,Mareep,-34,-57,-45,0,-40,-62,11874
233,Flaaffy,-19,-42,-30,15,-25,-52,6579
234,Ampharos,1,-22,0,50,5,-42,4774
235,Ampharos (Mega Ampharos),1,-2,20,100,25,-52,13734
236,Bellossom,-14,-17,10,25,15,-47,3644
237,Marill,-19,-77,-35,-45,-35,-57,14014
238,Azumarill,11,-47,-5,-5,-5,-47,4614
239,Sudowoodo,-19,3,30,-35,-20,-67,7384
240,Politoed,1,-22,-10,25,15,-27,2164
241,Hoppip,-54,-62,-45,-30,-30,-47,12794
242,Skiploom,-34,-52,-35,-20,-20,-17,6174
243,Jumpluff,-14,-42,-15,-10,10,13,2554
244,Aipom,-34,-27,-30,-25,-30,-12,4454
245,Sunkern,-59,-67,-55,-35,-55,-67,19734
246,Sunflora,-14,-22,-30,40,0,-67,7669
247,Yanma,-24,-32,-40,10,-40,-2,4904
248,Wooper,-34,-52,-40,-40,-60,-82,17384
249,Wooper (Paldean Wooper),-34,-52,-40,-40,-60,-82,17384
250,Quagsire,6,-12,0,0,-20,-62,4424
251,Espeon,-24,-32,-25,65,10,13,6719
252,Umbreon,6,-32,25,-5,45,-32,4759
253,Murkrow,-29,-12,-43,20,-43,-6,5119
254,Slowking,6,-22,-5,35,25,-67,6884
255,Slowking (Galarian Slowking),6,-32,-5,45,25,-67,8224
256,Misdreavus,-29,-37,-25,20,0,-12,3379
257,Unown,-41,-25,-37,7,-37,-49,7494
258,Wobbuffet,101,-64,-27,-32,-27,-64,20875
259,Girafarig,-19,-17,-20,25,-20,-12,2219
260,Pineco,-39,-32,5,-30,-50,-82,12694
261,Forretress,-14,-7,55,-5,-25,-57,7169
262,Dunsparce,11,-27,-15,0,-20,-52,4179
263,Gligar,-24,-22,20,-30,-20,-12,2904
264,Steelix,-14,-12,115,-10,-20,-67,18554
265,Steelix (Mega Steelix),-14,28,145,-10,10,-67,26694
266,Snubbull,-29,-17,-35,-25,-45,-67,9494
267,Granbull,1,23,-10,-5,-25,-52,3984
268,Qwilfish,-24,-2,0,-10,-30,-12,1724
269,Qwilfish (Hisuian Qwilfish),-24,-2,0,-10,-30,-12,1724
270,Scizor,-19,33,15,-10,-5,-32,2824
271,Scizor (Mega Scizor),-19,53,55,0,15,-22,6904
272,Shuckle,-69,-87,145,-55,145,-92,65869
273,Heracross,-9,28,-10,-25,10,-12,1834
274,Heracross (Mega Heracross),-9,88,30,-25,20,-22,10234
275,Sneasel,-34,-2,-30,-30,-10,18,3384
276,Sneasel (Hisuian Sneasel),-34,-2,-30,-30,-10,18,3384
277,Teddiursa,-29,-17,-35,-15,-35,-57,7054
278,Ursaring,1,33,-10,10,-10,-42,3154
279,Slugma,-49,-57,-45,5,-45,-77,15654
280,Magcargo,-29,-47,35,25,-5,-67,9414
281,Swinub,-39,-47,-45,-35,-55,-47,12214
282,Piloswine,11,3,-5,-5,-25,-47,3014
283,Corsola,-24,-42,10,0,10,-62,6384
284,Corsola (Galarian Corsola),-29,-42,15,0,15,-67,7544
285,Remoraid,-54,-32,-50,0,-50,-32,9964
286,Octillery,-14,8,-10,40,-10,-52,4764
287,Delibird,-44,-42,-40,0,-40,-22,7384
288,Mantine,-4,-57,-15,15,55,-27,7469
289,Skarmory,-24,-17,55,-25,-15,-27,5469
290,Houndour,-44,-37,-55,15,-35,-32,8804
291,Houndoom,-14,-7,-35,45,-5,-2,3524
292,Houndoom (Mega Houndoom),-14,-7,5,75,5,18,6244
293,Kingdra,-14,-2,10,30,10,-12,1444
294,Phanpy,1,-37,-25,-25,-45,-57,7894
295,Donphan,1,23,35,-5,-25,-47,4614
296,Porygon2,-4,-17,5,40,10,-37,3399
297,Stantler,-16,-2,-23,20,-20,-12,1733
298,Smeargle,-34,-77,-50,-45,-40,-22,13694
299,Tyrogue,-54,-62,-50,-30,-50,-62,16504
300,Hitmontop,-39,-2,10,-30,25,-27,3879
301,Smoochum,-44,-67,-70,20,-20,-32,13149
302,Elekid,-44,-34,-48,0,-30,-2,6300
303,Magby,-44,-22,-48,5,-30,-14,5845
304,Miltank,6,-17,20,-25,-15,3,1584
305,Blissey,166,-87,-75,10,50,-42,45114
306,Raikou,1,-12,-10,50,15,18,3294
307,Entei,26,18,0,25,-10,3,1734
308,Suicune,11,-22,30,25,30,-12,3174
309,Larvitar,-39,-33,-35,-20,-35,-56,8596
310,Pupitar,-19,-13,-15,0,-15,-46,3096
311,Tyranitar,11,37,25,30,15,-36,4536
312,Tyranitar (Mega Tyranitar),11,67,65,30,35,-26,11636
313,Lugia,17,-7,45,25,69,13,7918
314,Ho-Oh,17,33,5,45,69,-7,8238
315,Celebi,11,3,15,35,15,3,1814
316,Treecko,-49,-52,-50,0,-30,-27,9234
317,Grovyle,-39,-32,-40,20,-20,-2,4949
318,Sceptile,-19,-12,-20,40,0,23,3034
319,Sceptile (Mega Sceptile),-19,13,-10,80,0,48,9334
320,Torchic,-44,-37,-45,5,-35,-52,9284
321,Combusken,-29,-12,-25,20,-25,-42,4399
322,Blaziken,-9,23,-15,45,-15,-17,3374
323,Blaziken (Mega Blaziken),-9,63,-5,65,-5,3,8334
324,Mudkip,-39,-27,-35,-15,-35,-57,8174
325,Marshtomp,-19,-12,-15,-5,-15,-47,3189
326,Swampert,11,13,5,20,5,-37,2109
327,Swampert (Mega Swampert),11,53,25,30,25,-27,5809
328,Poochyena,-54,-42,-50,-35,-55,-62,15274
329,Mightyena,-19,-7,-15,-5,-25,-27,2014
330,Zigzagoon,-51,-67,-44,-35,-44,-37,13556
331,Zigzagoon (Galarian Zigzagoon),-51,-67,-44,-35,-44,-37,13556
332,Linoone,-11,-27,-24,-15,-24,3,2236
333,Linoone (Galarian Linoone),-11,-27,-24,-15,-24,3,2236
334,Wurmple,-44,-52,-50,-45,-55,-77,18119
335,Silcoon,-39,-62,-30,-40,-60,-82,18189
336,Beautifly,-29,-27,-35,35,-35,-32,6269
337,Cascoon,-39,-62,-30,-40,-60,-82,18189
338,Dustox,-29,-47,-15,-15,5,-32,4549
339,Lotad,-49,-67,-55,-25,-35,-67,16254
340,Lombre,-29,-47,-35,-5,-15,-47,6734
341,Ludicolo,-9,-27,-15,25,15,-27,2614
342,Seedot,-49,-57,-35,-35,-55,-67,15614
343,Nuzleaf,-19,-27,-45,-5,-45,-37,6534
344,Shiftry,1,3,-25,25,-25,-17,2174
345,Taillow,-49,-42,-55,-35,-55,-12,11584
346,Swellow,-29,-12,-25,10,-35,28,3719
347,Wingull,-49,-67,-55,-10,-55,-12,13184
348,Pelipper,-29,-47,15,30,-15,-32,5424
349,Ralts,-61,-72,-60,-20,-50,-57,18654
350,Kirlia,-51,-62,-50,0,-30,-47,12054
351,Gardevoir,-21,-32,-20,60,30,-17,6654
352,Gardevoir (Mega Gardevoir),-21,-12,-20,100,50,3,13494
353,Surskit,-49,-67,-53,-15,-33,-32,12037
354,Masquerain,-19,-37,-23,35,-3,-17,3782
355,Shroomish,-29,-57,-25,-25,-25,-62,9809
356,Breloom,-29,33,-5,-5,-25,-27,3334
357,Slakoth,-29,-37,-25,-30,-50,-67,10724
358,Vigoroth,-9,-17,-5,-10,-30,-7,1444
359,Slaking,61,63,15,30,-20,3,9224
360,Nincada,-58,-52,5,-35,-55,-57,13592
361,Ninjask,-28,-7,-40,-15,-35,63,7852
362,Shedinja,-88,-7,-40,-35,-55,-57,16892
363,Whismur,-25,-46,-62,-14,-62,-69,15386
364,Loudred,-5,-26,-42,6,-42,-49,6666
365,Exploud,15,-6,-22,26,-12,-29,2406
366,Makuhita,-17,-37,-55,-45,-55,-72,14917
367,Hariyama,55,23,-25,-25,-25,-47,7638
368,Azurill,-39,-77,-45,-45,-45,-77,19454
369,Nosepass,-59,-52,50,-20,5,-67,13599
370,Skitty,-39,-52,-40,-30,-50,-47,11434
371,Delcatty,-19,-32,-20,-10,-30,-7,2834
372,Sableye,-39,-22,-10,0,-20,-47,4714
373,Sableye (Mega Sableye),-39,-12,40,20,30,-77,10494
374,Mawile,-39,-12,0,-10,-30,-47,4874
375,Mawile (Mega Mawile),-39,8,40,-10,10,-47,5594
376,Aron,-39,-27,15,-25,-45,-67,9614
377,Lairon,-29,-7,55,-15,-35,-57,8614
378,Aggron,-19,13,95,-5,-25,-47,12414
379,Aggron (Mega Aggron),-19,43,145,-5,-5,-47,25494
380,Meditite,-59,-57,-30,-25,-30,-37,10524
381,Medicham,-29,-37,-10,-5,-10,-17,2724
382,Medicham (Mega Medicham),-29,3,0,15,0,3,1084
383,Electrike,-49,-52,-45,0,-45,-32,10179
384,Manectric,-19,-22,-25,40,-25,8,3759
385,Manectric (Mega Manectric),-19,-22,-5,70,-5,38,7239
386,Plusle,-29,-47,-45,20,-10,-2,5579
387,Minun,-29,-57,-35,10,0,-2,5419
388,Volbeat,-24,-24,-10,-18,0,-12,1720
389,Illumise,-24,-50,-10,8,0,-12,3384
390,Roselia,-39,-37,-40,35,-5,-32,6764
391,Gulpin,-19,-54,-32,-22,-32,-57,9058
392,Swalot,11,-24,-2,8,-2,-42,2533
393,Carvanha,-44,-7,-65,0,-65,-32,11459
394,Sharpedo,-19,23,-45,30,-45,-2,5844
395,Sharpedo (Mega Sharpedo),-19,43,-15,45,-20,8,4924
396,Wailmer,41,-27,-50,5,-50,-37,8804
397,Wailord,81,-7,-40,25,-40,-37,11804
398,Numel,-29,-37,-45,0,-40,-62,9679
399,Camerupt,-19,3,-15,40,-10,-57,5544
400,Camerupt (Mega Camerupt),-19,23,15,80,20,-77,13844
401,Torkoal,-19,-12,55,20,-15,-77,10084
402,Spoink,-29,-72,-50,5,-5,-37,9944
403,Grumpig,-9,-52,-20,25,25,-17,4724
404,Spinda,-29,-37,-25,-5,-25,-37,4854
405,Trapinch,-44,3,-40,-20,-40,-87,13114
406,Vibrava,-39,-27,-35,-15,-35,-27,5654
407,Flygon,-9,3,-5,15,-5,3,374
408,Cacnea,-39,-12,-45,20,-45,-62,9959
409,Cacturne,-19,18,-25,50,-25,-42,6199
410,Swablu,-44,-57,-25,-25,-10,-47,8744
411,Altaria,-14,-27,5,5,20,-17,1664
412,Altaria (Mega Altaria),-14,13,25,45,20,-17,3704
413,Zangoose,-16,18,-25,-5,-25,-7,1904
414,Seviper,-16,3,-25,35,-25,-32,3764
415,Lunatone,1,-42,-20,30,0,-27,3794
416,Solrock,1,-2,0,-10,-20,-27,1234
417,Barboach,-39,-49,-42,-19,-44,-37,9352
418,Whiscash,21,-19,-12,11,-14,-37,2632
419,Corphish,-46,-17,-20,-15,-50,-62,9374
420,Crawdaunt,-26,23,0,25,-30,-42,4494
421,Baltoy,-49,-57,-30,-25,-15,-42,9164
422,Claydol,-29,-27,20,5,35,-22,3704
423,Lileep,-23,-56,-8,-4,2,-74,9225
424,Cradily,-3,-16,12,16,22,-54,4065
425,Anorith,-44,-2,-35,-25,-35,-22,5499
426,Armaldo,-14,28,15,5,-5,-52,3959
427,Feebas,-69,-82,-65,-55,-30,-17,19924
428,Milotic,6,-37,-6,35,40,-16,4522
429,Castform,-19,-27,-15,5,-15,-27,2294
430,Kecleon,-29,-7,-15,-5,35,-57,5614
431,Shuppet,-45,-22,-50,-2,-52,-52,10421
432,Banette,-25,18,-20,18,-22,-32,3181
433,Banette (Mega Banette),-25,68,-10,28,-2,-22,6621
434,Duskull,-69,-57,5,-35,5,-72,14469
435,Dusclops,-49,-27,45,-5,45,-72,12389
436,Tropius,10,-29,-2,7,2,-46,3114
437,Chimecho,-14,-47,-5,30,5,-32,4379
438,Absol,-24,33,-25,10,-25,-22,3499
439,Absol (Mega Absol),-24,53,-25,50,-25,18,7459
440,Wynaut,6,-74,-37,-42,-37,-74,15490
441,Snorunt,-39,-47,-35,-15,-35,-47,8614
442,Glalie,-9,-17,-5,15,-5,-17,934
443,Glalie (Mega Glalie),-9,23,-5,55,-5,3,3694
444,Spheal,-19,-57,-35,-10,-35,-72,11344
445,Sealeo,1,-37,-15,10,-15,-52,4624
446,Walrein,21,-17,5,30,5,-32,2704
447,Clamperl,-54,-33,0,9,-30,-65,9211
448,Huntail,-34,7,20,29,-10,-45,4571
449,Gorebyss,-34,-13,20,49,-10,-45,6251
450,Relicanth,11,-7,45,-20,-20,-42,4759
451,Luvdisc,-46,-67,-30,-25,-20,0,8530
452,Bagon,-44,-22,-25,-25,-55,-47,8904
453,Shelgon,-24,-2,15,-5,-35,-47,4264
454,Salamence,6,38,-5,45,-5,3,3564
455,Salamence (Mega Salamence),6,48,45,55,5,23,7944
456,Beldum,-49,-42,-5,-30,-25,-67,10204
457,Metang,-29,-22,15,-10,-5,-47,3884
458,Metagross,-9,38,45,30,5,-27,5204
459,Metagross (Mega Metagross),-9,48,65,40,25,13,9004
460,Regirock,-9,3,115,-15,15,-47,15974
461,Regice,-9,-47,15,35,115,-47,19174
462,Registeel,-9,-22,65,10,65,-47,11324
463,Latias,-9,-17,5,45,45,13,4614
464,Latias (Mega Latias),-9,3,35,75,65,13,11334
465,Latios,-9,-7,-5,65,25,13,5174
466,Latios (Mega Latios),-9,33,15,95,35,13,11814
467,Kyogre,11,3,5,85,55,-7,10454
468,Kyogre (Primal Kyogre),11,53,5,115,75,-7,21854
469,Groudon,11,53,55,35,5,-7,7254
470,Groudon (Primal Groudon),11,83,75,85,5,-7,19934
471,Rayquaza,16,53,5,85,5,-2,10344
472,Rayquaza (Mega Rayquaza),16,83,15,115,15,18,21144
473,Jirachi,11,3,15,35,15,3,1814
474,Deoxys (Normal Forme),-39,53,-35,85,-35,53,16814
475,Deoxys (Attack Forme),-39,83,-65,115,-65,53,32894
476,Deoxys (Defense Forme),-39,-27,75,5,75,-7,13574
477,Deoxys (Speed Forme),-39,-2,5,30,5,83,9364
478,Turtwig,-34,-29,-21,-20,-30,-66,8094
479,Grotle,-14,-8,0,-10,-20,-61,4481
480,Torterra,6,12,20,10,0,-41,2361
481,Chimchar,-45,-39,-41,-7,-41,-36,8253
482,Monferno,-25,-19,-33,13,-33,-16,3589
