Alex LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
103,Rapidash,7,2,-27,17,1,5,1097
104,Rapidash (Galarian Rapidash),7,2,-27,17,1,5,1097
105,Slowpoke,32,-33,-32,-23,-39,-85,12412
106,Slowpoke (Galarian Slowpoke),32,-33,-32,-23,-39,-85,12412
107,Slowbro,37,-23,13,37,1,-70,8337
108,Slowbro (Mega Slowbro),37,-23,83,67,1,-70,18177
109,Slowbro (Galarian Slowbro),37,2,-2,37,-9,-70,7727
110,Magnemite,-33,-63,-27,32,-24,-55,10412
111,Magneton,-8,-38,-2,57,-9,-30,5742
112,Farfetch'd,-6,-8,-42,-5,-17,-40,3778
113,Farfetch'd (Galarian Farfetch'd),-6,-3,-42,-5,-17,-45,4148
114,Doduo,-23,-13,-52,-28,-44,-25,6747
115,Dodrio,2,12,-27,-3,-19,10,1347
116,Seel,7,-53,-42,-18,-9,-55,8052
117,Dewgong,32,-28,-17,7,16,-30,3302
118,Grimer,22,-18,-47,-23,-29,-75,10012
119,Grimer (Alolan Grimer),22,-18,-47,-23,-29,-75,10012
120,Muk,47,7,-22,2,21,-50,5687
121,Muk (Alolan Muk),47,7,-22,2,21,-50,5687
122,Shellder,-28,-33,3,-18,-54,-60,8722
123,Cloyster,-8,-3,83,22,-34,-30,9502
124,Gastly,-28,-63,-67,37,-44,-20,12947
125,Haunter,-13,-48,-52,52,-24,-5,8482
126,Gengar,2,-33,-37,67,-4,10,7067
127,Gengar (Mega Gengar),2,-33,-17,107,16,30,13987
128,Onix,-23,-53,63,-33,-34,-30,10452
129,Drowzee,2,-50,-52,-20,11,-58,9093
130,Hypno,27,-25,-27,10,36,-33,4568
131,Krabby,-28,7,-7,-38,-54,-50,7742
132,Kingler,-3,32,18,-13,-29,-25,2992
133,Voltorb,-18,-68,-47,-8,-24,0,7797
134,Voltorb (Hisuian Voltorb),-18,-68,-47,-8,-24,0,7797
135,Electrode,2,-48,-27,17,1,50,5827
136,Electrode (Hisuian Electrode),2,-48,-27,17,1,50,5827
137,Exeggcute,2,-58,-17,-3,-34,-60,8422
138,Exeggutor,37,-3,-12,62,-4,-45,7407
139,Exeggutor (Alolan Exeggutor),37,7,-12,62,-4,-55,8447
140,Cubone,-8,-48,-2,-23,-29,-65,7967
141,Marowak,2,-18,13,-13,1,-55,3692
142,Marowak (Alolan Marowak),2,-18,13,-13,1,-55,3692
143,Hitmonlee,-8,22,-44,-28,31,-13,4398
144,Hitmonchan,-8,7,-18,-28,31,-24,2758
145,Lickitung,32,-43,-22,-3,-4,-70,8282
146,Koffing,-18,-33,-2,-3,-34,-65,6807
147,Weezing,7,-8,23,22,-9,-40,2807
148,Weezing (Galarian Weezing),7,-8,23,22,-9,-40,2807
149,Rhyhorn,22,-13,-2,-33,-49,-75,9772
150,Rhydon,47,32,23,-18,-34,-60,8842
151,Chansey,192,-93,-92,-28,26,-50,57937
152,Tangela,7,-43,18,37,-39,-40,6712
153,Kangaskhan,47,-3,-17,-23,1,-10,3137
154,Kangaskhan (Mega Kangaskhan),47,27,3,-3,21,0,3397
155,Horsea,-28,-58,-27,7,-54,-40,9442
156,Seadra,-3,-33,-2,32,-34,-15,3507
157,Goldeen,-13,-31,-37,-28,-29,-37,5493
158,Seaking,22,-6,-32,2,1,-32,2573
159,Staryu,-28,-53,-42,7,-24,-15,6207
160,Starmie,2,-23,-12,37,6,15,2307
161,Mr. Mime,-18,-53,-32,37,41,-10,7307
162,Mr. Mime (Galarian Mr. Mime),-8,-33,-32,27,11,0,3027
163,Scyther,12,12,-17,-8,1,5,667
164,Jynx,7,-48,-62,52,16,-5,9182
165,Electabuzz,7,-15,-40,32,6,5,2959
166,Magmar,7,-3,-40,37,6,-7,3112
167,Pinsir,7,27,3,-8,-9,-15,1157
168,Pinsir (Mega Pinsir),7,57,23,2,11,5,3977
169,Tauros,17,2,-2,-23,-9,10,1007
170,Tauros (Paldean Tauros (Combat Breed)),17,12,8,-33,-9,0,1667
171,Tauros (Paldean Tauros (Blaze Breed)),17,12,8,-33,-9,0,1667
172,Tauros (Paldean Tauros (Aqua Breed)),17,12,8,-33,-9,0,1667
173,Magikarp,-38,-88,-42,-48,-59,-20,17137
174,Gyarados,37,27,-18,-3,21,-19,3233
175,Gyarados (Mega Gyarados),37,57,12,7,51,-19,7773
176,Lapras,72,-13,-17,22,16,-40,7982
177,Ditto,-10,-50,-49,-15,-31,-52,8891
178,Eevee,-3,-43,-47,-18,-14,-45,6612
179,Eevee (Partner Eevee),7,-23,-27,2,6,-25,1972
180,Vaporeon,72,-33,-37,47,16,-35,11332
181,Jolteon,7,-33,-37,47,16,30,5872
182,Flareon,7,32,-37,32,31,-35,5652
183,Porygon,7,-38,-27,22,-4,-60,6322
184,Omanyte,-23,-58,3,27,-24,-65,9432
185,Omastar,12,-38,28,52,-9,-45,7182
186,Kabuto,-28,-18,-7,-8,-34,-45,4402
187,Kabutops,2,17,8,2,-9,-20,842
188,Aerodactyl,22,7,-32,-3,-4,30,2482
189,Aerodactyl (Mega Aerodactyl),22,37,-12,7,16,50,4802
190,Snorlax,102,12,-32,2,31,-70,17437
191,Articuno,32,-13,3,32,46,-15,4567
192,Articuno (Galarian Articuno),32,-13,-12,62,21,-5,5647
193,Zapdos,32,-8,-12,62,11,0,5197
194,Zapdos (Galarian Zapdos),32,27,-7,22,11,0,2407
195,Moltres,32,2,-7,62,6,-10,5057
196,Moltres (Galarian Moltres),32,-13,-7,37,46,-10,4827
197,Dratini,-17,-34,-52,-13,-29,-50,7659
198,Dragonair,3,-14,-32,7,-9,-30,2259
199,Dragonite,33,36,-2,37,21,-20,4599
200,Mewtwo,48,12,-7,91,11,30,11799
201,Mewtwo (Mega Mewtwo X),48,92,3,91,21,30,20399
202,Mewtwo (Mega Mewtwo Y),48,52,-27,131,41,40,26179
203,Mew,42,2,3,37,21,0,3587
204,Chikorita,-13,-49,-32,-14,-14,-55,7011
205,Bayleef,2,-36,-17,0,1,-40,3190
206,Meganium,22,-16,3,20,21,-20,1990
207,Cyndaquil,-19,-46,-54,-3,-29,-35,7468
208,Quilava,0,-34,-39,17,-14,-20,3562
209,Typhlosion,20,-14,-19,46,6,0,3109
210,Typhlosion (Hisuian Typhlosion),15,-14,-19,56,6,-5,3979
211,Totodile,-8,-33,-33,-19,-31,-57,6813
212,Croconaw,7,-18,-17,-4,-16,-42,2698
213,Feraligatr,27,7,3,16,4,-22,1543
214,Sentret,-23,-52,-63,-28,-34,-80,15542
215,Furret,27,-22,-33,-18,-24,-10,3302
216,Hoothoot,2,-68,-67,-27,-23,-50,12875
217,Noctowl,42,-48,-47,23,17,-30,7995
218,Ledyba,-18,-78,-67,-23,1,-45,13452
219,Ledian,-3,-63,-47,-8,31,-15,7437
220,Spinarak,-18,-38,-57,-23,-39,-70,11967
221,Ariados,12,-8,-27,-3,-9,-60,4627
222,Crobat,27,-8,-17,7,1,30,2032
223,Chinchou,17,-60,-59,-7,-23,-33,9037
224,Lanturn,67,-40,-39,13,-3,-33,8877
225,Pichu,-38,-58,-82,-28,-44,-40,15852
226,Cleffa,-8,-73,-69,-18,-24,-85,18279
227,Igglybuff,32,-68,-82,-23,-59,-85,23607
228,Togepi,-23,-78,-32,-23,-14,-80,14762
229,Togetic,-3,-58,-12,17,26,-60,8082
230,Natu,-18,-48,-52,7,-34,-30,7437
231,Xatu,7,-23,-27,32,-9,-5,2437
232,Mareep,-3,-58,-57,2,-34,-65,12007
233,Flaaffy,12,-43,-42,17,-19,-55,7432
234,Ampharos,32,-23,-12,52,11,-45,6547
235,Ampharos (Mega Ampharos),32,-3,8,102,31,-55,15487
236,Bellossom,17,-18,-2,27,21,-50,4287
237,Marill,12,-78,-47,-43,-29,-60,14727
238,Azumarill,42,-48,-17,-3,1,-50,6867
239,Sudowoodo,12,2,18,-33,-14,-70,6657
240,Politoed,32,-23,-22,27,21,-30,4107
241,Hoppip,-23,-63,-57,-28,-24,-50,11607
242,Skiploom,-3,-53,-47,-18,-14,-20,5947
243,Jumpluff,17,-43,-27,-8,16,10,3287
244,Aipom,-3,-28,-42,-23,-24,-15,3887
245,Sunkern,-28,-68,-67,-33,-49,-70,18287
246,Sunflora,17,-23,-42,42,6,-70,9282
247,Yanma,7,-33,-52,12,-34,-5,5167
248,Wooper,-3,-53,-52,-38,-54,-85,17107
249,Wooper (Paldean Wooper),-3,-53,-52,-38,-54,-85,17107
250,Quagsire,37,-13,-12,2,-14,-65,6107
251,Espeon,7,-33,-37,67,16,10,7352
252,Umbreon,37,-33,13,-3,51,-35,6462
253,Murkrow,2,-13,-55,22,-37,-9,5132
254,Slowking,37,-23,-17,37,31,-70,9417
255,Slowking (Galarian Slowking),37,-33,-17,47,31,-70,10817
256,Misdreavus,2,-38,-37,22,6,-15,3562
257,Unown,-10,-26,-49,9,-31,-52,6923
258,Wobbuffet,132,-65,-39,-30,-21,-67,29000
259,Girafarig,12,-18,-32,27,-14,-15,2642
260,Pineco,-8,-33,-7,-28,-44,-85,11147
261,Forretress,17,-8,43,-3,-19,-60,6172
262,Dunsparce,42,-28,-27,2,-14,-55,6502
263,Gligar,7,-23,8,-28,-14,-15,1847
264,Steelix,17,-13,103,-8,-14,-70,16227
265,Steelix (Mega Steelix),17,27,133,-8,16,-70,23927
266,Snubbull,2,-18,-47,-23,-39,-70,9487
267,Granbull,32,22,-22,-3,-19,-55,5387
268,Qwilfish,7,-3,-12,-8,-24,-15,1067
269,Qwilfish (Hisuian Qwilfish),7,-3,-12,-8,-24,-15,1067
270,Scizor,12,32,3,-8,1,-35,2467
271,Scizor (Mega Scizor),12,52,43,2,21,-25,5767
272,Shuckle,-38,-88,133,-53,151,-95,61512
273,Heracross,22,27,-22,-23,16,-15,2707
274,Heracross (Mega Heracross),22,87,18,-23,26,-25,10207
275,Sneasel,-3,-3,-42,-28,-4,15,2807
276,Sneasel (Hisuian Sneasel),-3,-3,-42,-28,-4,15,2807
277,Teddiursa,2,-18,-47,-13,-29,-60,7147
278,Ursaring,32,32,-22,12,-4,-45,4717
279,Slugma,-18,-58,-57,7,-39,-80,14907
280,Magcargo,2,-48,23,27,1,-70,8467
281,Swinub,-8,-48,-57,-33,-49,-50,11607
282,Piloswine,42,2,-17,-3,-19,-50,4927
283,Corsola,7,-43,-2,2,16,-65,6387
284,Corsola (Galarian Corsola),2,-43,3,2,21,-70,7207
285,Remoraid,-23,-33,-62,2,-44,-35,8627
286,Octillery,17,7,-22,42,-4,-55,5627
287,Delibird,-13,-43,-52,2,-34,-25,6507
288,Mantine,27,-58,-27,17,61,-30,9732
289,Skarmory,7,-18,43,-23,-9,-30,3732
290,Houndour,-13,-38,-67,17,-29,-35,8457
291,Houndoom,17,-8,-47,47,1,-5,4797
292,Houndoom (Mega Houndoom),17,-8,-7,77,11,15,6677
293,Kingdra,17,-3,-2,32,16,-15,1807
294,Phanpy,32,-38,-37,-23,-39,-60,9487
295,Donphan,32,22,23,-3,-19,-50,4907
296,Porygon2,27,-18,-7,42,16,-40,4722
297,Stantler,15,-3,-35,22,-14,-15,2364
298,Smeargle,-3,-78,-62,-43,-34,-25,13567
299,Tyrogue,-23,-63,-62,-28,-44,-65,15287
300,Hitmontop,-8,-3,-2,-28,31,-30,2722
301,Smoochum,-13,-68,-82,22,-14,-35,13422
302,Elekid,-13,-35,-60,2,-24,-5,5599
303,Magby,-13,-23,-60,7,-24,-17,5212
304,Miltank,37,-18,8,-23,-9,0,2367
305,Blissey,197,-88,-87,12,56,-45,59427
306,Raikou,32,-13,-22,52,21,15,5047
307,Entei,57,17,-12,27,-4,0,4427
308,Suicune,42,-23,18,27,36,-15,4867
309,Larvitar,-8,-34,-47,-18,-29,-59,8075
310,Pupitar,12,-14,-27,2,-9,-49,3555
311,Tyranitar,42,36,13,32,21,-39,6215
312,Tyranitar (Mega Tyranitar),42,66,53,32,41,-29,12475
313,Lugia,48,-8,33,27,75,10,9911
314,Ho-Oh,48,32,-7,47,75,-10,11311
315,Celebi,42,2,3,37,21,0,3587
316,Treecko,-18,-53,-62,2,-24,-30,8457
317,Grovyle,-8,-33,-52,22,-14,-5,4562
318,Sceptile,12,-13,-32,42,6,20,3537
319,Sceptile (Mega Sceptile),12,12,-22,82,6,45,9557
320,Torchic,-13,-38,-57,7,-29,-55,8777
321,Combusken,2,-13,-37,22,-19,-45,4412
322,Blaziken,22,22,-27,47,-9,-20,4387
323,Blaziken (Mega Blaziken),22,62,-17,67,1,0,9107
324,Mudkip,-8,-28,-47,-13,-29,-60,7667
325,Marshtomp,12,-13,-27,-3,-9,-50,3632
326,Swampert,42,12,-7,22,11,-40,4162
327,Swampert (Mega Swampert),42,52,13,32,31,-30,7522
328,Poochyena,-23,-43,-62,-33,-49,-65,13937
329,Mightyena,12,-8,-27,-3,-19,-30,2207
330,Zigzagoon,-20,-68,-56,-33,-38,-40,12293
331,Zigzagoon (Galarian Zigzagoon),-20,-68,-56,-33,-38,-40,12293
332,Linoone,20,-28,-36,-13,-18,0,2973
333,Linoone (Galarian Linoone),20,-28,-36,-13,-18,0,2973
334,Wurmple,-13,-53,-62,-43,-49,-80,17472
335,Silcoon,-8,-63,-42,-38,-54,-85,17382
336,Beautifly,2,-28,-47,37,-29,-35,6432
337,Cascoon,-8,-63,-42,-38,-54,-85,17382
338,Dustox,2,-48,-27,-13,11,-35,4552
339,Lotad,-18,-68,-67,-23,-29,-70,15707
340,Lombre,2,-48,-47,-3,-9,-50,7107
341,Ludicolo,22,-28,-27,27,21,-30,4067
342,Seedot,-18,-58,-47,-33,-49,-70,14287
343,Nuzleaf,12,-28,-57,-3,-39,-40,7307
344,Shiftry,32,2,-37,27,-19,-20,3887
345,Taillow,-18,-43,-67,-33,-49,-15,10377
346,Swellow,2,-13,-37,12,-29,25,3152
347,Wingull,-18,-68,-67,-8,-49,-15,12127
348,Pelipper,2,-48,3,32,-9,-35,4647
349,Ralts,-30,-73,-72,-18,-44,-60,17273
350,Kirlia,-20,-63,-62,2,-24,-50,11293
351,Gardevoir,10,-33,-32,62,36,-20,7753
352,Gardevoir (Mega Gardevoir),10,-13,-32,102,56,0,14833
353,Surskit,-18,-68,-65,-13,-27,-35,11296
354,Masquerain,12,-38,-35,37,3,-20,4591
355,Shroomish,2,-58,-37,-23,-19,-65,9852
356,Breloom,2,32,-17,-3,-19,-30,2587
357,Slakoth,2,-38,-37,-28,-44,-70,10437
358,Vigoroth,22,-18,-17,-8,-24,-10,1837
359,Slaking,92,62,3,32,-14,0,13537
360,Nincada,-27,-53,-7,-33,-49,-60,10677
361,Ninjask,3,-8,-52,-13,-29,60,7387
362,Shedinja,-57,-8,-52,-33,-49,-60,13107
363,Whismur,6,-47,-74,-12,-56,-72,16185
364,Loudred,26,-27,-54,8,-36,-52,8385
365,Exploud,46,-7,-34,28,-6,-32,5165
366,Makuhita,14,-38,-67,-43,-49,-75,16004
367,Hariyama,86,22,-37,-23,-19,-50,12639
368,Azurill,-8,-78,-57,-43,-39,-80,19167
369,Nosepass,-28,-53,38,-18,11,-70,10382
370,Skitty,-8,-53,-52,-28,-44,-50,10797
371,Delcatty,12,-33,-32,-8,-24,-10,2997
372,Sableye,-8,-23,-22,2,-14,-50,3777
373,Sableye (Mega Sableye),-8,-13,28,22,36,-80,9197
374,Mawile,-8,-13,-12,-8,-24,-50,3517
375,Mawile (Mega Mawile),-8,7,28,-8,16,-50,3717
376,Aron,-8,-28,3,-23,-39,-70,7807
377,Lairon,2,-8,43,-13,-29,-60,6527
378,Aggron,12,12,83,-3,-19,-50,10047
379,Aggron (Mega Aggron),12,42,133,-3,1,-50,22107
380,Meditite,-28,-58,-42,-23,-24,-40,8617
381,Medicham,2,-38,-22,-3,-4,-20,2357
382,Medicham (Mega Medicham),2,2,-12,17,6,0,477
383,Electrike,-18,-53,-57,2,-39,-35,9132
384,Manectric,12,-23,-37,42,-19,5,4192
385,Manectric (Mega Manectric),12,-23,-17,72,1,35,7372
386,Plusle,2,-48,-57,22,-4,-5,6082
387,Minun,2,-58,-47,12,6,-5,5782
388,Volbeat,7,-25,-22,-16,6,-15,1675
389,Illumise,7,-51,-22,10,6,-15,3495
390,Roselia,-8,-38,-52,37,1,-35,6807
391,Gulpin,12,-55,-44,-20,-26,-60,9781
392,Swalot,42,-25,-14,10,4,-45,4726
393,Carvanha,-13,-8,-77,2,-59,-35,10872
394,Sharpedo,12,22,-57,32,-39,-5,6447
395,Sharpedo (Mega Sharpedo),12,42,-27,47,-14,5,5067
396,Wailmer,72,-28,-62,7,-44,-40,13397
397,Wailord,112,-8,-52,27,-34,-40,18797
398,Numel,2,-38,-57,2,-34,-65,10082
399,Camerupt,12,2,-27,42,-4,-60,6257
400,Camerupt (Mega Camerupt),12,22,3,82,26,-80,14437
401,Torkoal,12,-13,43,22,-9,-80,9127
402,Spoink,2,-73,-62,7,1,-40,10827
403,Grumpig,22,-53,-32,27,31,-20,6407
404,Spinda,2,-38,-37,-3,-19,-40,4787
405,Trapinch,-13,2,-52,-18,-34,-90,12457
406,Vibrava,-8,-28,-47,-13,-29,-30,4967
407,Flygon,22,2,-17,17,1,0,1067
408,Cacnea,-8,-13,-57,22,-39,-65,9712
409,Cacturne,12,17,-37,52,-19,-45,6892
410,Swablu,-13,-58,-37,-23,-4,-50,7947
411,Altaria,17,-28,-7,7,26,-20,2247
412,Altaria (Mega Altaria),17,12,13,47,26,-20,3887
413,Zangoose,15,17,-37,-3,-19,-10,2353
414,Seviper,15,2,-37,37,-19,-35,4553
415,Lunatone,32,-43,-32,32,6,-30,5857
416,Solrock,32,-3,-12,-8,-14,-30,2337
417,Barboach,-8,-50,-54,-17,-38,-40,8813
418,Whiscash,52,-20,-24,13,-8,-40,5513
419,Corphish,-15,-18,-32,-13,-44,-65,7903
420,Crawdaunt,5,22,-12,27,-24,-45,3983
421,Baltoy,-18,-58,-42,-23,-9,-45,8087
422,Claydol,2,-28,8,7,41,-25,3207
423,Lileep,8,-57,-20,-2,8,-77,9710
424,Cradily,28,-17,0,18,28,-57,5430
425,Anorith,-13,-3,-47,-23,-29,-25,4382
426,Armaldo,17,27,3,7,1,-55,4102
427,Feebas,-38,-83,-77,-53,-24,-20,18047
428,Milotic,37,-38,-18,37,46,-19,6983
429,Castform,12,-28,-27,7,-9,-30,2687
430,Kecleon,2,-8,-27,-3,41,-60,6087
431,Shuppet,-14,-23,-62,0,-46,-55,9710
432,Banette,6,17,-32,20,-16,-35,3230
433,Banette (Mega Banette),6,67,-22,30,4,-25,6550
434,Duskull,-38,-58,-7,-33,11,-75,11692
435,Dusclops,-18,-28,33,-3,51,-75,10432
436,Tropius,41,-30,-14,9,8,-49,5323
437,Chimecho,17,-48,-17,32,11,-35,5252
438,Absol,7,32,-37,12,-19,-25,3572
439,Absol (Mega Absol),7,52,-37,52,-19,15,7412
440,Wynaut,37,-75,-49,-40,-31,-77,17885
441,Snorunt,-8,-48,-47,-13,-29,-50,8087
442,Glalie,22,-18,-17,17,1,-20,1787
443,Glalie (Mega Glalie),22,22,-17,57,1,0,4507
444,Spheal,12,-58,-47,-8,-29,-75,12247
445,Sealeo,32,-38,-27,12,-9,-55,6447
446,Walrein,52,-18,-7,32,11,-35,5447
447,Clamperl,-23,-34,-12,11,-24,-68,7150
448,Huntail,-3,6,8,31,-4,-48,3390
449,Gorebyss,-3,-14,8,51,-4,-48,5190
450,Relicanth,42,-8,33,-18,-14,-45,5462
451,Luvdisc,-15,-68,-42,-23,-14,-3,7347
452,Bagon,-13,-23,-37,-23,-49,-50,7497
453,Shelgon,7,-3,3,-3,-29,-50,3417
454,Salamence,37,37,-17,47,1,0,5237
455,Salamence (Mega Salamence),37,47,33,57,11,20,8437
456,Beldum,-18,-43,-17,-28,-19,-70,8507
457,Metang,2,-23,3,-8,1,-50,3107
458,Metagross,22,37,33,32,11,-30,4987
459,Metagross (Mega Metagross),22,47,53,42,31,10,8327
460,Regirock,22,2,103,-13,21,-50,14207
461,Regice,22,-48,3,37,121,-50,21307
462,Registeel,22,-23,53,12,71,-50,11507
463,Latias,22,-18,-7,47,51,10,5767
464,Latias (Mega Latias),22,2,23,77,71,10,12087
465,Latios,22,-8,-17,67,31,10,6387
466,Latios (Mega Latios),22,32,3,97,41,10,12707
467,Kyogre,42,2,-7,87,61,-10,13207
468,Kyogre (Primal Kyogre),42,52,-7,117,81,-10,24867
469,Groudon,42,52,43,37,11,-10,7907
470,Groudon (Primal Groudon),42,82,63,87,11,-10,20247
471,Rayquaza,47,52,-7,87,11,-5,12677
472,Rayquaza (Mega Rayquaza),47,82,3,117,21,15,23297
473,Jirachi,42,2,3,37,21,0,3587
474,Deoxys (Normal Forme),-8,52,-47,87,-29,50,15887
475,Deoxys (Attack Forme),-8,82,-77,117,-59,50,32387
476,Deoxys (Defense Forme),-8,-28,63,7,81,-10,11527
477,Deoxys (Speed Forme),-8,-3,-7,32,11,80,7667
478,Turtwig,-3,-30,-33,-18,-24,-69,7659
479,Grotle,17,-9,-12,-8,-14,-64,4870
480,Torterra,37,11,8,12,6,-44,3670
481,Chimchar,-14,-40,-53,-5,-35,-39,7376
482,Monferno,6,-20,-45,15,-27,-19,3776
483,Infernape,18,6,-26,41,-8,8,2845
484,Piplup,-5,-47,-44,-2,-23,-60,8303
485,Prinplup,6,-32,-29,18,-3,-50,4734
486,Empoleon,26,-12,-9,48,22,-40,5289
487,Starly,-18,-43,-67,-33,-49,-40,11752
488,Staravia,-3,-23,-47,-23,-39,-20,5197
489,Staraptor,27,22,-27,-13,-19,0,2472
490,Bidoof,1,-53,-57,-28,-39,-69,13125
