Rasmi Tangirala vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
31,Arbok,-24,-2,-28,3,0,-21,1814
32,Pikachu,-49,-42,-57,-12,-29,-11,8520
33,Pikachu (Partner Pikachu),-39,-17,-47,13,-19,19,4910
34,Raichu,-24,-7,-42,28,1,9,3255
35,Raichu (Alolan Raichu),-24,-12,-47,33,6,9,4135
36,Sandshrew,-34,-22,-12,-42,-49,-61,9670
37,Sandshrew (Alolan Sandshrew),-34,-22,-7,-52,-44,-61,10050
38,Sandslash,-9,3,13,-17,-24,-36,2420
39,Sandslash (Alolan Sandslash),-9,3,23,-37,-14,-36,3480
40,Nidoran♀,-29,-50,-45,-22,-39,-60,10971
41,Nidorina,-14,-35,-30,-7,-24,-45,4971
42,Nidoqueen,6,-5,-10,13,6,-25,991
43,Nidoran♂,-38,-40,-57,-22,-39,-51,10899
44,Nidorino,-23,-25,-40,-7,-24,-36,4675
45,Nidoking,-3,5,-20,23,-4,-16,1235
46,Clefairy,-14,-52,-49,-2,-14,-66,9857
47,Clefable,11,-27,-24,33,11,-41,4317
48,Vulpix,-46,-56,-57,-12,-14,-36,10137
49,Vulpix (Alolan Vulpix),-46,-56,-57,-12,-14,-36,10137
50,Ninetales,-11,-21,-22,19,21,-1,1849
51,Ninetales (Alolan Ninetales),-11,-30,-22,19,21,8,2371
52,Jigglypuff,31,-52,-77,-17,-54,-81,19360
53,Wigglytuff,56,-27,-52,23,-29,-56,11075
54,Zubat,-44,-52,-62,-32,-39,-46,13145
55,Golbat,-9,-17,-27,3,-4,-11,1245
56,Oddish,-39,-47,-42,13,-14,-71,10900
57,Gloom,-24,-32,-27,23,-4,-61,6595
58,Vileplume,-9,-17,-12,48,11,-51,5540
59,Paras,-49,-27,-42,-17,-24,-76,11535
60,Parasect,-24,-2,-17,-2,1,-71,5915
61,Venonat,-24,-42,-47,-22,-24,-56,8745
62,Venomoth,-14,-32,-37,28,-4,-11,3510
63,Diglett,-74,-42,-72,-27,-34,-6,14345
64,Diglett (Alolan Diglett),-74,-42,-67,-27,-34,-11,13735
65,Dugtrio,-49,3,-47,-12,-9,19,5205
66,Dugtrio (Alolan Dugtrio),-49,3,-37,-12,-9,9,4085
67,Meowth,-44,-52,-62,-22,-39,-11,10610
68,Meowth (Alolan Meowth),-44,-62,-62,-12,-39,-11,11410
69,Meowth (Galarian Meowth),-34,-32,-42,-22,-39,-61,9670
70,Persian,-19,-27,-37,3,-14,14,2860
71,Persian (Alolan Persian),-19,-37,-37,13,-14,14,3660
72,Psyduck,-34,-45,-49,3,-29,-46,8548
73,Golduck,-4,-15,-19,33,1,-16,1948
74,Mankey,-44,-17,-62,-27,-34,-31,8915
75,Primeape,-19,8,-37,-2,-9,-6,1915
76,Growlithe,-29,-27,-52,8,-29,-41,6860
77,Growlithe (Hisuian Growlithe),-24,-22,-52,3,-29,-46,6730
78,Arcanine,6,13,-17,38,1,-6,1975
79,Arcanine (Hisuian Arcanine),11,18,-17,33,1,-11,1945
80,Poliwag,-44,-47,-57,-22,-39,-11,9520
81,Poliwhirl,-19,-32,-32,-12,-29,-11,3515
82,Poliwrath,6,-2,-2,8,11,-31,1190
83,Abra,-59,-77,-82,43,-24,-11,18680
84,Kadabra,-44,-62,-67,58,-9,4,13730
85,Alakazam,-29,-47,-52,73,16,19,11700
86,Alakazam (Mega Alakazam),-29,-47,-32,113,26,49,19920
87,Machop,-14,-17,-47,-27,-44,-66,9715
88,Machoke,-4,3,-27,-12,-19,-56,4395
89,Machamp,6,33,-17,3,6,-46,3575
90,Bellsprout,-34,-22,-62,8,-49,-61,11670
91,Weepinbell,-19,-7,-47,23,-34,-46,6420
92,Victreebel,-4,8,-32,38,-9,-31,3590
93,Tentacool,-44,-57,-62,-12,21,-31,10575
94,Tentacruel,-4,-27,-32,18,41,-1,3775
95,Geodude,-44,-17,3,-32,-49,-81,12220
96,Geodude (Alolan Geodude),-44,-17,3,-32,-49,-81,12220
97,Graveler,-29,-2,18,-17,-34,-66,6970
98,Graveler (Alolan Graveler),-29,-2,18,-17,-34,-66,6970
99,Golem,-4,23,33,-7,-14,-56,5015
100,Golem (Alolan Golem),-4,23,33,-7,-14,-56,5015
101,Ponyta,-34,-12,-42,3,-14,-11,3390
102,Ponyta (Galarian Ponyta),-34,-12,-42,3,-14,-11,3390
103,Rapidash,-19,3,-27,18,1,4,1440
104,Rapidash (Galarian Rapidash),-19,3,-27,18,1,4,1440
105,Slowpoke,6,-32,-32,-22,-39,-86,11485
106,Slowpoke (Galarian Slowpoke),6,-32,-32,-22,-39,-86,11485
107,Slowbro,11,-22,13,38,1,-71,7260
108,Slowbro (Mega Slowbro),11,-22,83,68,1,-71,17160
109,Slowbro (Galarian Slowbro),11,3,-2,38,-9,-71,6700
110,Magnemite,-59,-62,-27,33,-24,-56,12855
111,Magneton,-34,-37,-2,58,-9,-31,6935
112,Farfetch'd,-32,-7,-42,-4,-17,-41,4823
113,Farfetch'd (Galarian Farfetch'd),-32,-2,-42,-4,-17,-46,5213
114,Doduo,-49,-12,-52,-27,-44,-26,8590
115,Dodrio,-24,13,-27,-2,-19,9,1920
116,Seel,-19,-52,-42,-17,-9,-56,8335
117,Dewgong,6,-27,-17,8,16,-31,2335
118,Grimer,-4,-17,-47,-22,-29,-76,9615
119,Grimer (Alolan Grimer),-4,-17,-47,-22,-29,-76,9615
120,Muk,21,8,-22,3,21,-51,4040
121,Muk (Alolan Muk),21,8,-22,3,21,-51,4040
122,Shellder,-54,-32,3,-17,-54,-61,10875
123,Cloyster,-34,-2,83,23,-34,-31,10695
124,Gastly,-54,-62,-67,38,-44,-21,15070
125,Haunter,-39,-47,-52,53,-24,-6,9855
126,Gengar,-24,-32,-37,68,-4,9,7690
127,Gengar (Mega Gengar),-24,-32,-17,108,16,29,14650
128,Onix,-49,-52,63,-32,-34,-31,12215
129,Drowzee,-24,-49,-52,-19,11,-59,9644
130,Hypno,1,-24,-27,11,36,-34,3879
131,Krabby,-54,8,-7,-37,-54,-51,9915
132,Kingler,-29,33,18,-12,-29,-26,3915
133,Voltorb,-44,-67,-47,-7,-24,-1,9260
134,Voltorb (Hisuian Voltorb),-44,-67,-47,-7,-24,-1,9260
135,Electrode,-24,-47,-27,18,1,49,6240
136,Electrode (Hisuian Electrode),-24,-47,-27,18,1,49,6240
137,Exeggcute,-24,-57,-17,-2,-34,-61,8995
138,Exeggutor,11,-2,-12,63,-4,-46,6370
139,Exeggutor (Alolan Exeggutor),11,8,-12,63,-4,-56,7450
140,Cubone,-34,-47,-2,-22,-29,-66,9050
141,Marowak,-24,-17,13,-12,1,-56,4315
142,Marowak (Alolan Marowak),-24,-17,13,-12,1,-56,4315
143,Hitmonlee,-34,23,-44,-27,31,-14,5507
144,Hitmonchan,-34,8,-18,-27,31,-25,3859
145,Lickitung,6,-42,-22,-2,-4,-71,7345
146,Koffing,-44,-32,-2,-2,-34,-66,8480
147,Weezing,-19,-7,23,23,-9,-41,3230
148,Weezing (Galarian Weezing),-19,-7,23,23,-9,-41,3230
149,Rhyhorn,-4,-12,-2,-32,-49,-76,9365
150,Rhydon,21,33,23,-17,-34,-61,7225
151,Chansey,166,-92,-92,-27,26,-51,48490
152,Tangela,-19,-42,18,38,-39,-41,7095
153,Kangaskhan,21,-2,-17,-22,1,-11,1340
154,Kangaskhan (Mega Kangaskhan),21,28,3,-2,21,-1,1680
155,Horsea,-54,-57,-27,8,-54,-41,11555
156,Seadra,-29,-32,-2,33,-34,-16,4370
157,Goldeen,-39,-30,-37,-27,-29,-38,6804
158,Seaking,-4,-5,-32,3,1,-33,2164
159,Staryu,-54,-52,-42,8,-24,-16,8280
160,Starmie,-24,-22,-12,38,6,14,2880
161,Mr. Mime,-44,-52,-32,38,41,-11,8910
162,Mr. Mime (Galarian Mr. Mime),-34,-32,-32,28,11,-1,4110
163,Scyther,-14,13,-17,-7,1,4,720
164,Jynx,-19,-47,-62,53,16,-6,9515
165,Electabuzz,-19,-14,-40,33,6,4,3298
166,Magmar,-19,-2,-40,38,6,-8,3509
167,Pinsir,-19,28,3,-7,-9,-16,1540
168,Pinsir (Mega Pinsir),-19,58,23,3,11,4,4400
169,Tauros,-9,3,-2,-22,-9,9,740
170,Tauros (Paldean Tauros (Combat Breed)),-9,13,8,-32,-9,-1,1420
171,Tauros (Paldean Tauros (Blaze Breed)),-9,13,8,-32,-9,-1,1420
172,Tauros (Paldean Tauros (Aqua Breed)),-9,13,8,-32,-9,-1,1420
173,Magikarp,-64,-87,-42,-47,-59,-21,19560
174,Gyarados,11,28,-18,-2,21,-20,2074
175,Gyarados (Mega Gyarados),11,58,12,8,51,-20,6694
176,Lapras,46,-12,-17,23,16,-41,5015
177,Ditto,-36,-49,-49,-14,-31,-53,10064
178,Eevee,-29,-42,-47,-17,-14,-46,7415
179,Eevee (Partner Eevee),-19,-22,-27,3,6,-26,2295
180,Vaporeon,46,-32,-37,48,16,-36,8365
181,Jolteon,-19,-32,-37,48,16,29,6155
182,Flareon,-19,33,-37,33,31,-36,6165
183,Porygon,-19,-37,-27,23,-4,-61,6725
184,Omanyte,-49,-57,3,28,-24,-66,11375
185,Omastar,-14,-37,28,53,-9,-46,7355
186,Kabuto,-54,-17,-7,-7,-34,-46,6575
187,Kabutops,-24,18,8,3,-9,-21,1495
188,Aerodactyl,-4,8,-32,-2,-4,29,1965
189,Aerodactyl (Mega Aerodactyl),-4,38,-12,8,16,49,4325
190,Snorlax,76,13,-32,3,31,-71,12980
191,Articuno,6,-12,3,33,46,-16,3650
192,Articuno (Galarian Articuno),6,-12,-12,63,21,-6,4770
193,Zapdos,6,-7,-12,63,11,-1,4320
194,Zapdos (Galarian Zapdos),6,28,-7,23,11,-1,1520
195,Moltres,6,3,-7,63,6,-11,4220
196,Moltres (Galarian Moltres),6,-12,-7,38,46,-11,3910
197,Dratini,-43,-33,-52,-12,-29,-51,9228
198,Dragonair,-23,-13,-32,8,-9,-31,2828
199,Dragonite,7,37,-2,38,21,-21,3748
200,Mewtwo,22,13,-7,92,11,29,10128
201,Mewtwo (Mega Mewtwo X),22,93,3,92,21,29,18888
202,Mewtwo (Mega Mewtwo Y),22,53,-27,132,41,39,24648
203,Mew,16,3,3,38,21,-1,2160
204,Chikorita,-39,-48,-32,-13,-14,-56,8350
205,Bayleef,-24,-35,-17,1,1,-41,3773
206,Meganium,-4,-15,3,21,21,-21,1573
207,Cyndaquil,-45,-45,-54,-2,-29,-36,9107
208,Quilava,-26,-33,-39,18,-14,-21,4247
209,Typhlosion,-6,-13,-19,47,6,-1,2812
210,Typhlosion (Hisuian Typhlosion),-11,-13,-19,57,6,-6,3972
211,Totodile,-34,-32,-33,-18,-31,-58,7918
212,Croconaw,-19,-17,-17,-3,-16,-43,3053
213,Feraligatr,1,8,3,17,4,-23,908
214,Sentret,-49,-51,-63,-27,-34,-81,17417
215,Furret,1,-21,-33,-17,-24,-11,2517
216,Hoothoot,-24,-67,-67,-26,-23,-51,13360
217,Noctowl,16,-47,-47,24,17,-31,6500
218,Ledyba,-44,-77,-67,-22,1,-46,14955
219,Ledian,-29,-62,-47,-7,31,-16,8160
220,Spinarak,-44,-37,-57,-22,-39,-71,13600
221,Ariados,-14,-7,-27,-2,-9,-61,4780
222,Crobat,1,-7,-17,8,1,29,1245
223,Chinchou,-9,-59,-59,-6,-23,-34,8764
224,Lanturn,41,-39,-39,14,-3,-34,6084
225,Pichu,-64,-57,-82,-27,-44,-41,18415
226,Cleffa,-34,-72,-69,-17,-24,-86,19362
227,Igglybuff,6,-67,-82,-22,-59,-86,22610
228,Togepi,-49,-77,-32,-22,-14,-81,16595
229,Togetic,-29,-57,-12,18,26,-61,8955
230,Natu,-44,-47,-52,8,-34,-31,9030
231,Xatu,-19,-22,-27,33,-9,-6,2780
232,Mareep,-29,-57,-57,3,-34,-66,12860
233,Flaaffy,-14,-42,-42,18,-19,-56,7545
234,Ampharos,6,-22,-12,53,11,-46,5710
235,Ampharos (Mega Ampharos),6,-2,8,103,31,-56,14810
236,Bellossom,-9,-17,-2,28,21,-51,4200
237,Marill,-14,-77,-47,-42,-29,-61,14660
238,Azumarill,16,-47,-17,-2,1,-51,5360
239,Sudowoodo,-14,3,18,-32,-14,-71,6790
240,Politoed,6,-22,-22,28,21,-31,3190
241,Hoppip,-49,-62,-57,-27,-24,-51,13400
242,Skiploom,-29,-52,-47,-17,-14,-21,6680
243,Jumpluff,-9,-42,-27,-7,16,9,2960
244,Aipom,-29,-27,-42,-22,-24,-16,4650
245,Sunkern,-54,-67,-67,-32,-49,-71,20360
246,Sunflora,-9,-22,-42,43,6,-71,9255
247,Yanma,-19,-32,-52,13,-34,-6,5450
248,Wooper,-29,-52,-52,-37,-54,-86,17930
249,Wooper (Paldean Wooper),-29,-52,-52,-37,-54,-86,17930
250,Quagsire,11,-12,-12,3,-14,-66,4970
251,Espeon,-19,-32,-37,68,16,9,7715
252,Umbreon,11,-32,13,-2,51,-36,5215
253,Murkrow,-24,-12,-55,23,-37,-10,5743
254,Slowking,11,-22,-17,38,31,-71,8340
255,Slowking (Galarian Slowking),11,-32,-17,48,31,-71,9740
256,Misdreavus,-24,-37,-37,23,6,-16,4135
257,Unown,-36,-25,-49,10,-31,-53,8192
258,Wobbuffet,106,-64,-39,-29,-21,-68,22759
259,Girafarig,-14,-17,-32,28,-14,-16,2745
260,Pineco,-34,-32,-7,-27,-44,-86,12290
261,Forretress,-9,-7,43,-2,-19,-61,6065
262,Dunsparce,16,-27,-27,3,-14,-56,5055
263,Gligar,-19,-22,8,-27,-14,-16,2090
264,Steelix,-9,-12,103,-7,-14,-71,16120
265,Steelix (Mega Steelix),-9,28,133,-7,16,-71,23900
266,Snubbull,-24,-17,-47,-22,-39,-71,10120
267,Granbull,6,23,-22,-2,-19,-56,4550
268,Qwilfish,-19,-2,-12,-7,-24,-16,1390
269,Qwilfish (Hisuian Qwilfish),-19,-2,-12,-7,-24,-16,1390
270,Scizor,-14,33,3,-7,1,-36,2640
271,Scizor (Mega Scizor),-14,53,43,3,21,-26,5980
272,Shuckle,-64,-87,133,-52,151,-96,64075
273,Heracross,-4,28,-22,-22,16,-16,2280
274,Heracross (Mega Heracross),-4,88,18,-22,26,-26,9920
275,Sneasel,-29,-2,-42,-27,-4,14,3550
276,Sneasel (Hisuian Sneasel),-29,-2,-42,-27,-4,14,3550
277,Teddiursa,-24,-17,-47,-12,-29,-61,7780
278,Ursaring,6,33,-22,13,-4,-46,3910
279,Slugma,-44,-57,-57,8,-39,-81,16580
280,Magcargo,-24,-47,23,28,1,-71,9140
281,Swinub,-34,-47,-57,-32,-49,-51,12640
282,Piloswine,16,3,-17,-2,-19,-51,3520
283,Corsola,-19,-42,-2,3,16,-66,6750
284,Corsola (Galarian Corsola),-24,-42,3,3,21,-71,7840
285,Remoraid,-49,-32,-62,3,-44,-36,10510
286,Octillery,-9,8,-22,43,-4,-56,5630
287,Delibird,-39,-42,-52,3,-34,-26,7830
288,Mantine,1,-57,-27,18,61,-31,8985
289,Skarmory,-19,-17,43,-22,-9,-31,4025
290,Houndour,-39,-37,-67,18,-29,-36,9840
291,Houndoom,-9,-7,-47,48,1,-6,4680
292,Houndoom (Mega Houndoom),-9,-7,-7,78,11,14,6580
293,Kingdra,-9,-2,-2,33,16,-16,1690
294,Phanpy,6,-37,-37,-22,-39,-61,8500
295,Donphan,6,23,23,-2,-19,-51,4060
296,Porygon2,1,-17,-7,43,16,-41,4125
297,Stantler,-11,-2,-35,23,-14,-16,2331
298,Smeargle,-29,-77,-62,-42,-34,-26,14210
299,Tyrogue,-49,-62,-62,-27,-44,-66,17110
300,Hitmontop,-34,-2,-2,-27,31,-31,3815
301,Smoochum,-39,-67,-82,23,-14,-36,14755
302,Elekid,-39,-34,-60,3,-24,-6,6898
303,Magby,-39,-22,-60,8,-24,-18,6569
304,Miltank,11,-17,8,-22,-9,-1,1040
305,Blissey,171,-87,-87,13,56,-46,49800
306,Raikou,6,-12,-22,53,21,14,4110
307,Entei,31,18,-12,28,-4,-1,2230
308,Suicune,16,-22,18,28,36,-16,3400
309,Larvitar,-34,-33,-47,-17,-29,-60,9184
310,Pupitar,-14,-13,-27,3,-9,-50,3684
311,Tyranitar,16,37,13,33,21,-40,4924
312,Tyranitar (Mega Tyranitar),16,67,53,33,41,-30,11224
313,Lugia,22,-7,33,28,75,9,8112
314,Ho-Oh,22,33,-7,48,75,-11,9672
315,Celebi,16,3,3,38,21,-1,2160
316,Treecko,-44,-52,-62,3,-24,-31,10030
317,Grovyle,-34,-32,-52,23,-14,-6,5645
318,Sceptile,-14,-12,-32,43,6,19,3610
319,Sceptile (Mega Sceptile),-14,13,-22,83,6,44,9710
320,Torchic,-39,-37,-57,8,-29,-56,10180
321,Combusken,-24,-12,-37,23,-19,-46,5095
322,Blaziken,-4,23,-27,48,-9,-21,4100
323,Blaziken (Mega Blaziken),-4,63,-17,68,1,-1,8900
324,Mudkip,-34,-27,-47,-12,-29,-61,8800
325,Marshtomp,-14,-12,-27,-2,-9,-51,3755
326,Swampert,16,13,-7,23,11,-41,2805
327,Swampert (Mega Swampert),16,53,13,33,31,-31,6245
328,Poochyena,-49,-42,-62,-32,-49,-66,15790
329,Mightyena,-14,-7,-27,-2,-19,-31,2300
330,Zigzagoon,-46,-67,-56,-32,-38,-41,13890
331,Zigzagoon (Galarian Zigzagoon),-46,-67,-56,-32,-38,-41,13890
332,Linoone,-6,-27,-36,-12,-18,-1,2530
333,Linoone (Galarian Linoone),-6,-27,-36,-12,-18,-1,2530
334,Wurmple,-39,-52,-62,-42,-49,-81,18795
335,Silcoon,-34,-62,-42,-37,-54,-86,18445
336,Beautifly,-24,-27,-47,38,-29,-36,7095
337,Cascoon,-34,-62,-42,-37,-54,-86,18445
338,Dustox,-24,-47,-27,-12,11,-36,5075
339,Lotad,-44,-67,-67,-22,-29,-71,17280
340,Lombre,-24,-47,-47,-2,-9,-51,7680
341,Ludicolo,-4,-27,-27,28,21,-31,3660
342,Seedot,-44,-57,-47,-32,-49,-71,15860
343,Nuzleaf,-14,-27,-57,-2,-39,-41,7380
344,Shiftry,6,3,-37,28,-19,-21,3000
345,Taillow,-44,-42,-67,-32,-49,-16,11870
346,Swellow,-24,-12,-37,13,-29,24,3675
347,Wingull,-44,-67,-67,-7,-49,-16,13620
348,Pelipper,-24,-47,3,33,-9,-36,5260
349,Ralts,-56,-72,-72,-17,-44,-61,19450
350,Kirlia,-46,-62,-62,3,-24,-51,12990
351,Gardevoir,-16,-32,-32,63,36,-21,8010
352,Gardevoir (Mega Gardevoir),-16,-12,-32,103,56,-1,15170
353,Surskit,-44,-67,-65,-12,-27,-36,12819
354,Masquerain,-14,-37,-35,38,3,-21,4684
355,Shroomish,-24,-57,-37,-22,-19,-66,10395
356,Breloom,-24,33,-17,-2,-19,-31,3280
357,Slakoth,-24,-37,-37,-27,-44,-71,11020
358,Vigoroth,-4,-17,-17,-7,-24,-11,1340
359,Slaking,66,63,3,33,-14,-1,9620
360,Nincada,-53,-52,-7,-32,-49,-61,12708
361,Ninjask,-23,-7,-52,-12,-29,59,7748
362,Shedinja,-83,-7,-52,-32,-49,-61,16788
363,Whismur,-20,-46,-74,-11,-56,-73,16578
364,Loudred,0,-26,-54,9,-36,-53,7778
365,Exploud,20,-6,-34,29,-6,-33,3558
366,Makuhita,-12,-37,-67,-42,-49,-76,15943
367,Hariyama,60,23,-37,-22,-19,-51,8944
368,Azurill,-34,-77,-57,-42,-39,-81,20180
369,Nosepass,-54,-52,38,-17,11,-71,12515
370,Skitty,-34,-52,-52,-27,-44,-51,11830
371,Delcatty,-14,-32,-32,-7,-24,-11,2990
372,Sableye,-34,-22,-22,3,-14,-51,4930
373,Sableye (Mega Sableye),-34,-12,28,23,36,-81,10470
374,Mawile,-34,-12,-12,-7,-24,-51,4670
375,Mawile (Mega Mawile),-34,8,28,-7,16,-51,4910
376,Aron,-34,-27,3,-22,-39,-71,8940
377,Lairon,-24,-7,43,-12,-29,-61,7180
378,Aggron,-14,13,83,-2,-19,-51,10220
379,Aggron (Mega Aggron),-14,43,133,-2,1,-51,22340
380,Meditite,-54,-57,-42,-22,-24,-41,10670
381,Medicham,-24,-37,-22,-2,-4,-21,2890
382,Medicham (Mega Medicham),-24,3,-12,18,6,-1,1090
383,Electrike,-44,-52,-57,3,-39,-36,10715
384,Manectric,-14,-22,-37,43,-19,4,4275
385,Manectric (Mega Manectric),-14,-22,-17,73,1,34,7455
386,Plusle,-24,-47,-57,23,-4,-6,6615
387,Minun,-24,-57,-47,13,6,-6,6275
388,Volbeat,-19,-24,-22,-15,6,-16,1938
389,Illumise,-19,-50,-22,11,6,-16,3758
390,Roselia,-34,-37,-52,38,1,-36,7970
391,Gulpin,-14,-54,-44,-19,-26,-61,9806
392,Swalot,16,-24,-14,11,4,-46,3281
393,Carvanha,-39,-7,-77,3,-59,-36,12285
394,Sharpedo,-14,23,-57,33,-39,-6,6620
395,Sharpedo (Mega Sharpedo),-14,43,-27,48,-14,4,5290
396,Wailmer,46,-27,-62,8,-44,-41,10370
397,Wailord,86,-7,-52,28,-34,-41,13770
398,Numel,-24,-37,-57,3,-34,-66,10715
399,Camerupt,-14,3,-27,43,-4,-61,6520
400,Camerupt (Mega Camerupt),-14,23,3,83,26,-81,14860
401,Torkoal,-14,-12,43,23,-9,-81,9360
402,Spoink,-24,-72,-62,8,1,-41,11350
403,Grumpig,-4,-52,-32,28,31,-21,5930
404,Spinda,-24,-37,-37,-2,-19,-41,5360
405,Trapinch,-39,3,-52,-17,-34,-91,13960
406,Vibrava,-34,-27,-47,-12,-29,-31,6040
407,Flygon,-4,3,-17,18,1,-1,640
408,Cacnea,-34,-12,-57,23,-39,-66,10955
409,Cacturne,-14,18,-37,53,-19,-46,7175
410,Swablu,-39,-57,-37,-22,-4,-51,9240
411,Altaria,-9,-27,-7,8,26,-21,2040
412,Altaria (Mega Altaria),-9,13,13,48,26,-21,3840
413,Zangoose,-11,18,-37,-2,-19,-11,2300
414,Seviper,-11,3,-37,38,-19,-36,4600
415,Lunatone,6,-42,-32,33,6,-31,4910
416,Solrock,6,-2,-12,-7,-14,-31,1390
417,Barboach,-34,-49,-54,-16,-38,-41,9854
418,Whiscash,26,-19,-24,14,-8,-41,3554
419,Corphish,-41,-17,-32,-12,-44,-66,9430
420,Crawdaunt,-21,23,-12,28,-24,-46,4590
421,Baltoy,-44,-57,-42,-22,-9,-46,9630
422,Claydol,-24,-27,8,8,41,-26,3790
423,Lileep,-18,-56,-20,-1,8,-78,10009
424,Cradily,2,-16,0,19,28,-58,4769
425,Anorith,-39,-2,-47,-22,-29,-26,5735
426,Armaldo,-9,28,3,8,1,-56,4075
427,Feebas,-64,-82,-77,-52,-24,-21,20470
428,Milotic,11,-37,-18,38,46,-20,5774
429,Castform,-14,-27,-27,8,-9,-31,2760
430,Kecleon,-24,-7,-27,-2,41,-61,6760
431,Shuppet,-40,-22,-62,1,-46,-56,11181
432,Banette,-20,18,-32,21,-16,-36,3741
433,Banette (Mega Banette),-20,68,-22,31,4,-26,7161
434,Duskull,-64,-57,-7,-32,11,-76,14315
435,Dusclops,-44,-27,33,-2,51,-76,12135
436,Tropius,15,-29,-14,10,8,-50,3926
437,Chimecho,-9,-47,-17,33,11,-36,5085
438,Absol,-19,33,-37,13,-19,-26,4025
439,Absol (Mega Absol),-19,53,-37,53,-19,14,7905
440,Wynaut,11,-74,-49,-39,-31,-78,16564
441,Snorunt,-34,-47,-47,-12,-29,-51,9160
442,Glalie,-4,-17,-17,18,1,-21,1360
443,Glalie (Mega Glalie),-4,23,-17,58,1,-1,4200
444,Spheal,-14,-57,-47,-7,-29,-76,12320
445,Sealeo,6,-37,-27,13,-9,-56,5520
446,Walrein,26,-17,-7,33,11,-36,3520
447,Clamperl,-49,-33,-12,12,-24,-69,9115
448,Huntail,-29,7,8,32,-4,-49,4395
449,Gorebyss,-29,-13,8,52,-4,-49,6195
450,Relicanth,16,-7,33,-17,-14,-46,3995
451,Luvdisc,-41,-67,-42,-22,-14,-4,8630
452,Bagon,-39,-22,-37,-22,-49,-51,8860
453,Shelgon,-19,-2,3,-2,-29,-51,3820
454,Salamence,11,38,-17,48,1,-1,4160
455,Salamence (Mega Salamence),11,48,33,58,11,19,7360
456,Beldum,-44,-42,-17,-27,-19,-71,10120
457,Metang,-24,-22,3,-7,1,-51,3720
458,Metagross,-4,38,33,33,11,-31,4720
459,Metagross (Mega Metagross),-4,48,53,43,31,9,8020
460,Regirock,-4,3,103,-12,21,-51,13820
461,Regice,-4,-47,3,38,121,-51,20920
462,Registeel,-4,-22,53,13,71,-51,11120
463,Latias,-4,-17,-7,48,51,9,5340
464,Latias (Mega Latias),-4,3,23,78,71,9,11760
465,Latios,-4,-7,-17,68,31,9,6020
466,Latios (Mega Latios),-4,33,3,98,41,9,12480
467,Kyogre,16,3,-7,88,61,-11,11900
468,Kyogre (Primal Kyogre),16,53,-7,118,81,-11,23720
469,Groudon,16,53,43,38,11,-11,6600
470,Groudon (Primal Groudon),16,83,63,88,11,-11,19100
471,Rayquaza,21,53,-7,88,11,-6,11200
472,Rayquaza (Mega Rayquaza),21,83,3,118,21,14,21900
473,Jirachi,16,3,3,38,21,-1,2160
474,Deoxys (Normal Forme),-34,53,-47,88,-29,49,17160
475,Deoxys (Attack Forme),-34,83,-77,118,-59,49,33780
476,Deoxys (Defense Forme),-34,-27,63,8,81,-11,12600
477,Deoxys (Speed Forme),-34,-2,-7,33,11,79,8660
478,Turtwig,-29,-29,-33,-17,-24,-70,8536
479,Grotle,-9,-8,-12,-7,-14,-65,4759
480,Torterra,11,12,8,13,6,-45,2559
481,Chimchar,-40,-39,-53,-4,-35,-40,8771
