Matthew Kish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
92,Victreebel,-1,-2,-39,30,-32,-33,4539
93,Tentacool,-41,-67,-69,-20,-2,-33,12424
94,Tentacruel,-1,-37,-39,10,18,-3,3324
95,Geodude,-41,-27,-4,-40,-72,-83,16099
96,Geodude (Alolan Geodude),-41,-27,-4,-40,-72,-83,16099
97,Graveler,-26,-12,11,-25,-57,-68,9439
98,Graveler (Alolan Graveler),-26,-12,11,-25,-57,-68,9439
99,Golem,-1,13,26,-15,-37,-58,5804
100,Golem (Alolan Golem),-1,13,26,-15,-37,-58,5804
101,Ponyta,-31,-22,-49,-5,-37,-13,5409
102,Ponyta (Galarian Ponyta),-31,-22,-49,-5,-37,-13,5409
103,Rapidash,-16,-7,-34,10,-22,2,2049
104,Rapidash (Galarian Rapidash),-16,-7,-34,10,-22,2,2049
105,Slowpoke,9,-42,-39,-30,-62,-88,15854
106,Slowpoke (Galarian Slowpoke),9,-42,-39,-30,-62,-88,15854
107,Slowbro,14,-32,6,30,-22,-73,7969
108,Slowbro (Mega Slowbro),14,-32,76,60,-22,-73,16409
109,Slowbro (Galarian Slowbro),14,-7,-9,30,-32,-73,7579
110,Magnemite,-56,-72,-34,25,-47,-58,15674
111,Magneton,-31,-47,-9,50,-32,-33,7864
112,Farfetch'd,-29,-17,-49,-12,-40,-43,7124
113,Farfetch'd (Galarian Farfetch'd),-29,-12,-49,-12,-40,-48,7434
114,Doduo,-46,-22,-59,-35,-67,-28,12579
115,Dodrio,-21,3,-34,-10,-42,7,3519
116,Seel,-16,-62,-49,-25,-32,-58,11514
117,Dewgong,9,-37,-24,0,-7,-33,3164
118,Grimer,-1,-27,-54,-30,-52,-78,13334
119,Grimer (Alolan Grimer),-1,-27,-54,-30,-52,-78,13334
120,Muk,24,-2,-29,-5,-2,-53,4259
121,Muk (Alolan Muk),24,-2,-29,-5,-2,-53,4259
122,Shellder,-51,-42,-4,-25,-77,-63,14904
123,Cloyster,-31,-12,76,15,-57,-33,11444
124,Gastly,-51,-72,-74,30,-67,-23,19179
125,Haunter,-36,-57,-59,45,-47,-8,12324
126,Gengar,-21,-42,-44,60,-27,7,8519
127,Gengar (Mega Gengar),-21,-42,-24,100,-7,27,13559
128,Onix,-46,-62,56,-40,-57,-33,15034
129,Drowzee,-21,-59,-59,-27,-12,-61,11997
130,Hypno,4,-34,-34,3,13,-36,3802
131,Krabby,-51,-2,-14,-45,-77,-53,13564
132,Kingler,-26,23,11,-20,-52,-28,5214
133,Voltorb,-41,-77,-54,-15,-47,-3,12969
134,Voltorb (Hisuian Voltorb),-41,-77,-54,-15,-47,-3,12969
135,Electrode,-21,-57,-34,10,-22,47,7639
136,Electrode (Hisuian Electrode),-21,-57,-34,10,-22,47,7639
137,Exeggcute,-21,-67,-24,-10,-57,-63,12824
138,Exeggutor,14,-12,-19,55,-27,-48,6759
139,Exeggutor (Alolan Exeggutor),14,-2,-19,55,-27,-58,7679
140,Cubone,-31,-57,-9,-30,-52,-68,12519
141,Marowak,-21,-27,6,-20,-22,-58,5454
142,Marowak (Alolan Marowak),-21,-27,6,-20,-22,-58,5454
143,Hitmonlee,-31,13,-51,-35,8,-16,5276
144,Hitmonchan,-31,-2,-25,-35,8,-27,3608
145,Lickitung,9,-52,-29,-10,-27,-73,9784
146,Koffing,-41,-42,-9,-10,-57,-68,11499
147,Weezing,-16,-17,16,15,-32,-43,3899
148,Weezing (Galarian Weezing),-16,-17,16,15,-32,-43,3899
149,Rhyhorn,-1,-22,-9,-40,-72,-78,13434
150,Rhydon,24,23,16,-25,-57,-63,9204
151,Chansey,169,-102,-99,-35,3,-53,52809
152,Tangela,-16,-52,11,30,-62,-43,9674
153,Kangaskhan,24,-12,-24,-30,-22,-13,2849
154,Kangaskhan (Mega Kangaskhan),24,18,-4,-10,-2,-3,1029
155,Horsea,-51,-67,-34,0,-77,-43,16024
156,Seadra,-26,-42,-9,25,-57,-18,6719
157,Goldeen,-36,-40,-44,-35,-52,-40,10361
158,Seaking,-1,-15,-39,-5,-22,-35,3481
159,Staryu,-51,-62,-49,0,-47,-18,11379
160,Starmie,-21,-32,-19,30,-17,12,3159
161,Mr. Mime,-41,-62,-39,30,18,-13,8439
162,Mr. Mime (Galarian Mr. Mime),-31,-42,-39,20,-12,-3,4799
163,Scyther,-11,3,-24,-15,-22,2,1419
164,Jynx,-16,-57,-69,45,-7,-8,10404
165,Electabuzz,-16,-24,-47,25,-17,2,3959
166,Magmar,-16,-12,-47,30,-17,-10,3898
167,Pinsir,-16,18,-4,-15,-32,-18,2169
168,Pinsir (Mega Pinsir),-16,48,16,-5,-12,2,2989
169,Tauros,-6,-7,-9,-30,-32,7,2139
170,Tauros (Paldean Tauros (Combat Breed)),-6,3,1,-40,-32,-3,2679
171,Tauros (Paldean Tauros (Blaze Breed)),-6,3,1,-40,-32,-3,2679
172,Tauros (Paldean Tauros (Aqua Breed)),-6,3,1,-40,-32,-3,2679
173,Magikarp,-61,-97,-49,-55,-82,-23,25809
174,Gyarados,14,18,-25,-10,-2,-22,1733
175,Gyarados (Mega Gyarados),14,48,5,0,28,-22,3793
176,Lapras,49,-22,-24,15,-7,-43,5584
177,Ditto,-33,-59,-56,-22,-54,-55,14131
178,Eevee,-26,-52,-54,-25,-37,-48,10594
179,Eevee (Partner Eevee),-16,-32,-34,-5,-17,-28,3534
180,Vaporeon,49,-42,-44,40,-7,-38,9194
181,Jolteon,-16,-42,-44,40,-7,27,6334
182,Flareon,-16,23,-44,25,8,-38,4854
183,Porygon,-16,-47,-34,15,-27,-63,8544
184,Omanyte,-46,-67,-4,20,-47,-68,13854
185,Omastar,-11,-47,21,45,-32,-48,8124
186,Kabuto,-51,-27,-14,-15,-57,-48,9304
187,Kabutops,-21,8,1,-5,-32,-23,2084
188,Aerodactyl,-1,-2,-39,-10,-27,27,3084
189,Aerodactyl (Mega Aerodactyl),-1,28,-19,0,-7,47,3404
190,Snorlax,79,3,-39,-5,8,-73,13189
191,Articuno,9,-22,-4,25,23,-18,2059
192,Articuno (Galarian Articuno),9,-22,-19,55,-2,-8,4019
193,Zapdos,9,-17,-19,55,-12,-3,3909
194,Zapdos (Galarian Zapdos),9,18,-14,15,-12,-3,979
195,Moltres,9,-7,-14,55,-17,-13,3809
196,Moltres (Galarian Moltres),9,-22,-14,30,23,-13,2359
197,Dratini,-40,-43,-59,-20,-52,-53,12843
198,Dragonair,-20,-23,-39,0,-32,-33,4563
199,Dragonite,10,27,-9,30,-2,-23,2343
200,Mewtwo,25,3,-14,84,-12,27,8759
201,Mewtwo (Mega Mewtwo X),25,83,-4,84,-2,27,15319
202,Mewtwo (Mega Mewtwo Y),25,43,-34,124,18,37,20699
203,Mew,19,-7,-4,30,-2,-3,1339
204,Chikorita,-36,-58,-39,-21,-37,-58,11355
205,Bayleef,-21,-45,-24,-7,-22,-43,5424
206,Meganium,-1,-25,-4,13,-2,-23,1344
207,Cyndaquil,-42,-55,-61,-10,-52,-38,12758
208,Quilava,-23,-43,-46,10,-37,-23,6492
209,Typhlosion,-3,-23,-26,39,-17,-3,3033
210,Typhlosion (Hisuian Typhlosion),-8,-23,-26,49,-17,-8,4023
211,Totodile,-31,-42,-40,-26,-54,-60,11517
212,Croconaw,-16,-27,-24,-11,-39,-45,5228
213,Feraligatr,4,-2,-4,9,-19,-25,1103
214,Sentret,-46,-61,-70,-35,-57,-83,22100
215,Furret,4,-31,-40,-25,-47,-13,5580
216,Hoothoot,-21,-77,-74,-34,-46,-53,17927
217,Noctowl,19,-57,-54,16,-6,-33,7907
218,Ledyba,-41,-87,-74,-30,-22,-48,18414
219,Ledian,-26,-72,-54,-15,8,-18,9389
220,Spinarak,-41,-47,-64,-30,-62,-73,18059
221,Ariados,-11,-17,-34,-10,-32,-63,6659
222,Crobat,4,-17,-24,0,-22,27,2094
223,Chinchou,-6,-69,-66,-14,-46,-36,12761
224,Lanturn,44,-49,-46,6,-26,-36,8461
225,Pichu,-61,-67,-89,-35,-67,-43,23694
226,Cleffa,-31,-82,-76,-25,-47,-88,24039
227,Igglybuff,9,-77,-89,-30,-82,-88,29299
228,Togepi,-46,-87,-39,-30,-37,-83,20364
229,Togetic,-26,-67,-19,10,3,-63,9604
230,Natu,-41,-57,-59,0,-57,-33,12749
231,Xatu,-16,-32,-34,25,-32,-8,4149
232,Mareep,-26,-67,-64,-5,-57,-68,17159
233,Flaaffy,-11,-52,-49,10,-42,-58,10454
234,Ampharos,9,-32,-19,45,-12,-48,5939
235,Ampharos (Mega Ampharos),9,-12,1,95,8,-58,12679
236,Bellossom,-6,-27,-9,20,-2,-53,4059
237,Marill,-11,-87,-54,-50,-52,-63,19779
238,Azumarill,19,-57,-24,-10,-22,-53,7579
239,Sudowoodo,-11,-7,11,-40,-37,-73,8589
240,Politoed,9,-32,-29,20,-2,-33,3439
241,Hoppip,-46,-72,-64,-35,-47,-53,17639
242,Skiploom,-26,-62,-54,-25,-37,-23,9959
243,Jumpluff,-6,-52,-34,-15,-7,7,4219
244,Aipom,-26,-37,-49,-30,-47,-18,7879
245,Sunkern,-51,-77,-74,-40,-72,-73,26119
246,Sunflora,-6,-32,-49,35,-17,-73,10304
247,Yanma,-16,-42,-59,5,-57,-8,8839
248,Wooper,-26,-62,-59,-45,-77,-88,23699
249,Wooper (Paldean Wooper),-26,-62,-59,-45,-77,-88,23699
250,Quagsire,14,-22,-19,-5,-37,-68,7059
251,Espeon,-16,-42,-44,60,-7,7,7654
252,Umbreon,14,-42,6,-10,28,-38,4324
253,Murkrow,-21,-22,-62,15,-60,-12,8738
254,Slowking,14,-32,-24,30,8,-73,8089
255,Slowking (Galarian Slowking),14,-42,-24,40,8,-73,9529
256,Misdreavus,-21,-47,-44,15,-17,-18,5424
257,Unown,-33,-35,-56,2,-54,-55,11395
258,Wobbuffet,109,-74,-46,-37,-44,-70,27678
259,Girafarig,-11,-27,-39,20,-37,-18,4464
260,Pineco,-31,-42,-14,-35,-67,-88,16379
261,Forretress,-6,-17,36,-10,-42,-63,7454
262,Dunsparce,19,-37,-34,-5,-37,-58,7644
263,Gligar,-16,-32,1,-35,-37,-18,4199
264,Steelix,-6,-22,96,-15,-37,-73,16659
265,Steelix (Mega Steelix),-6,18,126,-15,-7,-73,21839
266,Snubbull,-21,-27,-54,-30,-62,-73,14159
267,Granbull,9,13,-29,-10,-42,-58,6319
268,Qwilfish,-16,-12,-19,-15,-47,-18,3519
269,Qwilfish (Hisuian Qwilfish),-16,-12,-19,-15,-47,-18,3519
270,Scizor,-11,23,-4,-15,-22,-38,2819
271,Scizor (Mega Scizor),-11,43,36,-5,-2,-28,4079
272,Shuckle,-61,-97,126,-60,128,-98,58594
273,Heracross,-1,18,-29,-30,-7,-18,2439
274,Heracross (Mega Heracross),-1,78,11,-30,3,-28,7899
275,Sneasel,-26,-12,-49,-35,-27,12,5319
276,Sneasel (Hisuian Sneasel),-26,-12,-49,-35,-27,12,5319
277,Teddiursa,-21,-27,-54,-20,-52,-63,11159
278,Ursaring,9,23,-29,5,-27,-48,4509
279,Slugma,-41,-67,-64,0,-62,-83,20999
280,Magcargo,-21,-57,16,20,-22,-73,10159
281,Swinub,-31,-57,-64,-40,-72,-53,17899
282,Piloswine,19,-7,-24,-10,-42,-53,5659
283,Corsola,-16,-52,-9,-5,-7,-68,7739
284,Corsola (Galarian Corsola),-21,-52,-4,-5,-2,-73,8519
285,Remoraid,-46,-42,-69,-5,-67,-38,14599
286,Octillery,-6,-2,-29,35,-27,-58,6199
287,Delibird,-36,-52,-59,-5,-57,-28,11539
288,Mantine,4,-67,-34,10,38,-33,8294
289,Skarmory,-16,-27,36,-30,-32,-33,5294
290,Houndour,-36,-47,-74,10,-52,-38,13229
291,Houndoom,-6,-17,-54,40,-22,-8,5389
292,Houndoom (Mega Houndoom),-6,-17,-14,70,-12,12,5709
293,Kingdra,-6,-12,-9,25,-7,-18,1259
294,Phanpy,9,-47,-44,-30,-62,-63,12939
295,Donphan,9,13,16,-10,-42,-53,5179
296,Porygon2,4,-27,-14,35,-7,-43,4064
297,Stantler,-8,-12,-42,15,-37,-18,3890
298,Smeargle,-26,-87,-69,-50,-57,-28,19539
299,Tyrogue,-46,-72,-69,-35,-67,-68,22399
300,Hitmontop,-31,-12,-9,-35,8,-33,3564
301,Smoochum,-36,-77,-89,15,-37,-38,18184
302,Elekid,-36,-44,-67,-5,-47,-8,10019
303,Magby,-36,-32,-67,0,-47,-20,9418
304,Miltank,14,-27,1,-30,-32,-3,2859
305,Blissey,174,-97,-94,5,33,-48,51939
306,Raikou,9,-22,-29,45,-2,12,3579
307,Entei,34,8,-19,20,-27,-3,2719
308,Suicune,19,-32,11,20,13,-18,2399
309,Larvitar,-31,-43,-54,-25,-52,-62,12899
310,Pupitar,-11,-23,-34,-5,-32,-52,5559
311,Tyranitar,19,27,6,25,-2,-42,3519
312,Tyranitar (Mega Tyranitar),19,57,46,25,18,-32,7699
313,Lugia,25,-17,26,20,52,7,4743
314,Ho-Oh,25,23,-14,40,52,-13,5823
315,Celebi,19,-7,-4,30,-2,-3,1339
316,Treecko,-41,-62,-69,-5,-47,-33,13609
317,Grovyle,-31,-42,-59,15,-37,-8,7864
318,Sceptile,-11,-22,-39,35,-17,17,3929
319,Sceptile (Mega Sceptile),-11,3,-29,75,-17,42,8649
320,Torchic,-36,-47,-64,0,-52,-58,13669
321,Combusken,-21,-22,-44,15,-42,-48,7154
322,Blaziken,-1,13,-34,40,-32,-23,4479
323,Blaziken (Mega Blaziken),-1,53,-24,60,-22,-3,7479
324,Mudkip,-31,-37,-54,-20,-52,-63,12319
325,Marshtomp,-11,-22,-34,-10,-32,-53,5694
326,Swampert,19,3,-14,15,-12,-43,2784
327,Swampert (Mega Swampert),19,43,6,25,8,-33,4024
328,Poochyena,-46,-52,-69,-40,-72,-68,20989
329,Mightyena,-11,-17,-34,-10,-42,-33,4519
330,Zigzagoon,-43,-77,-63,-40,-61,-43,18917
331,Zigzagoon (Galarian Zigzagoon),-43,-77,-63,-40,-61,-43,18917
332,Linoone,-3,-37,-43,-20,-41,-3,5317
333,Linoone (Galarian Linoone),-3,-37,-43,-20,-41,-3,5317
334,Wurmple,-36,-62,-69,-50,-72,-83,24474
335,Silcoon,-31,-72,-49,-45,-77,-88,24244
336,Beautifly,-21,-37,-54,30,-52,-38,9774
337,Cascoon,-31,-72,-49,-45,-77,-88,24244
338,Dustox,-21,-57,-34,-20,-12,-38,6834
339,Lotad,-41,-77,-74,-30,-52,-73,22019
340,Lombre,-21,-57,-54,-10,-32,-53,10539
341,Ludicolo,-1,-37,-34,20,-2,-33,4019
342,Seedot,-41,-67,-54,-40,-72,-73,21199
343,Nuzleaf,-11,-37,-64,-10,-62,-43,11379
344,Shiftry,9,-7,-44,20,-42,-23,4759
345,Taillow,-41,-52,-74,-40,-72,-18,16969
346,Swellow,-21,-22,-44,5,-52,22,6074
347,Wingull,-41,-77,-74,-15,-72,-18,18819
348,Pelipper,-21,-57,-4,25,-32,-38,6799
349,Ralts,-53,-82,-79,-25,-67,-63,24857
350,Kirlia,-43,-72,-69,-5,-47,-53,16837
351,Gardevoir,-13,-42,-39,55,13,-23,7177
352,Gardevoir (Mega Gardevoir),-13,-22,-39,95,33,-3,12297
353,Surskit,-41,-77,-72,-20,-50,-38,17138
354,Masquerain,-11,-47,-42,30,-20,-23,5923
355,Shroomish,-21,-67,-44,-30,-42,-68,14154
356,Breloom,-21,23,-24,-10,-42,-33,4499
357,Slakoth,-21,-47,-44,-35,-67,-73,15629
358,Vigoroth,-1,-27,-24,-15,-47,-13,3909
359,Slaking,69,53,-4,25,-37,-3,9589
360,Nincada,-50,-62,-14,-40,-72,-63,17293
361,Ninjask,-20,-17,-59,-20,-52,57,10523
362,Shedinja,-80,-17,-59,-40,-72,-63,20923
363,Whismur,-17,-56,-81,-19,-79,-75,22213
364,Loudred,3,-36,-61,1,-59,-55,11533
365,Exploud,23,-16,-41,21,-29,-35,4973
366,Makuhita,-9,-47,-74,-50,-72,-78,21534
367,Hariyama,63,13,-44,-30,-42,-53,11547
368,Azurill,-31,-87,-64,-50,-62,-83,25859
369,Nosepass,-51,-62,31,-25,-12,-73,13504
370,Skitty,-31,-62,-59,-35,-67,-53,16809
371,Delcatty,-11,-42,-39,-15,-47,-13,6009
372,Sableye,-31,-32,-29,-5,-37,-53,7029
373,Sableye (Mega Sableye),-31,-22,21,15,13,-83,9169
374,Mawile,-31,-22,-19,-15,-47,-53,7049
375,Mawile (Mega Mawile),-31,-2,21,-15,-7,-53,4489
376,Aron,-31,-37,-4,-30,-62,-73,12419
377,Lairon,-21,-17,36,-20,-52,-63,9099
378,Aggron,-11,3,76,-10,-42,-53,10579
379,Aggron (Mega Aggron),-11,33,126,-10,-22,-53,20479
380,Meditite,-51,-67,-49,-30,-47,-43,14449
381,Medicham,-21,-47,-29,-10,-27,-23,4849
382,Medicham (Mega Medicham),-21,-7,-19,10,-17,-3,1249
383,Electrike,-41,-62,-64,-5,-62,-38,14934
384,Manectric,-11,-32,-44,35,-42,2,6074
385,Manectric (Mega Manectric),-11,-32,-24,65,-22,32,7454
386,Plusle,-21,-57,-64,15,-27,-8,8804
387,Minun,-21,-67,-54,5,-17,-8,8224
388,Volbeat,-16,-34,-29,-23,-17,-18,3395
389,Illumise,-16,-60,-29,3,-17,-18,5319
390,Roselia,-31,-47,-59,30,-22,-38,9479
391,Gulpin,-11,-64,-51,-27,-49,-63,13917
392,Swalot,19,-34,-21,3,-19,-48,4632
393,Carvanha,-36,-17,-84,-5,-82,-38,16834
394,Sharpedo,-11,13,-64,25,-62,-8,8919
395,Sharpedo (Mega Sharpedo),-11,33,-34,40,-37,2,5339
396,Wailmer,49,-37,-69,0,-67,-43,14869
397,Wailord,89,-17,-59,20,-57,-43,17189
398,Numel,-21,-47,-64,-5,-57,-68,14644
399,Camerupt,-11,-7,-34,35,-27,-63,7249
400,Camerupt (Mega Camerupt),-11,13,-4,75,3,-83,12829
401,Torkoal,-11,-22,36,15,-32,-83,10039
402,Spoink,-21,-82,-69,0,-22,-43,14259
403,Grumpig,-1,-62,-39,20,8,-23,6359
404,Spinda,-21,-47,-44,-10,-42,-43,8299
405,Trapinch,-36,-7,-59,-25,-57,-93,17349
406,Vibrava,-31,-37,-54,-20,-52,-33,9439
407,Flygon,-1,-7,-24,10,-22,-3,1219
408,Cacnea,-31,-22,-64,15,-62,-68,14234
409,Cacturne,-11,8,-44,45,-42,-48,8214
410,Swablu,-36,-67,-44,-30,-27,-53,12159
411,Altaria,-6,-37,-14,0,3,-23,2139
412,Altaria (Mega Altaria),-6,3,6,40,3,-23,2219
413,Zangoose,-8,8,-44,-10,-42,-13,4097
414,Seviper,-8,-7,-44,30,-42,-38,6157
415,Lunatone,9,-52,-39,25,-17,-33,6309
416,Solrock,9,-12,-19,-15,-37,-33,3269
417,Barboach,-31,-59,-61,-24,-61,-43,14309
418,Whiscash,29,-29,-31,6,-31,-43,5489
419,Corphish,-38,-27,-39,-20,-67,-68,13207
420,Crawdaunt,-18,13,-19,20,-47,-48,5767
421,Baltoy,-41,-67,-49,-30,-32,-48,12799
422,Claydol,-21,-37,1,0,18,-28,2919
423,Lileep,-15,-66,-27,-9,-15,-80,12016
424,Cradily,5,-26,-7,11,5,-60,4496
425,Anorith,-36,-12,-54,-30,-52,-28,8744
426,Armaldo,-6,18,-4,0,-22,-58,4224
427,Feebas,-61,-92,-84,-60,-47,-23,25579
428,Milotic,14,-47,-25,30,23,-22,4943
429,Castform,-11,-37,-34,0,-32,-33,4759
430,Kecleon,-21,-17,-34,-10,18,-63,6279
431,Shuppet,-37,-32,-69,-7,-69,-58,15328
432,Banette,-17,8,-39,13,-39,-38,5008
433,Banette (Mega Banette),-17,58,-29,23,-19,-28,6168
434,Duskull,-61,-67,-14,-40,-12,-78,16234
435,Dusclops,-41,-37,26,-10,28,-78,10694
436,Tropius,18,-39,-21,2,-15,-52,5219
437,Chimecho,-6,-57,-24,25,-12,-38,6074
438,Absol,-16,23,-44,5,-42,-28,5294
439,Absol (Mega Absol),-16,43,-44,45,-42,12,7974
440,Wynaut,14,-84,-56,-47,-54,-80,21913
441,Snorunt,-31,-57,-54,-20,-52,-53,13039
442,Glalie,-1,-27,-24,10,-22,-23,2419
443,Glalie (Mega Glalie),-1,13,-24,50,-22,-3,3739
444,Spheal,-11,-67,-54,-15,-52,-78,16539
445,Sealeo,9,-47,-34,5,-32,-58,7859
446,Walrein,29,-27,-14,25,-12,-38,3979
447,Clamperl,-46,-43,-19,4,-47,-71,11592
448,Huntail,-26,-3,1,24,-27,-51,4592
449,Gorebyss,-26,-23,1,44,-27,-51,6472
450,Relicanth,19,-17,26,-25,-37,-48,5624
451,Luvdisc,-38,-77,-49,-30,-37,-6,12079
452,Bagon,-36,-32,-44,-30,-72,-53,13149
453,Shelgon,-16,-12,-4,-10,-52,-53,6029
454,Salamence,14,28,-24,40,-22,-3,3649
455,Salamence (Mega Salamence),14,38,26,50,-12,17,5249
456,Beldum,-41,-52,-24,-35,-42,-73,13279
457,Metang,-21,-32,-4,-15,-22,-53,4999
458,Metagross,-1,28,26,25,-12,-33,3319
459,Metagross (Mega Metagross),-1,38,46,35,8,7,4899
460,Regirock,-1,-7,96,-20,-2,-53,12479
461,Regice,-1,-57,-4,30,98,-53,16579
462,Registeel,-1,-32,46,5,48,-53,8279
463,Latias,-1,-27,-14,40,28,7,3359
464,Latias (Mega Latias),-1,-7,16,70,48,7,7559
465,Latios,-1,-17,-24,60,8,7,4579
466,Latios (Mega Latios),-1,23,-4,90,18,7,9019
467,Kyogre,19,-7,-14,80,38,-13,8619
468,Kyogre (Primal Kyogre),19,43,-14,110,58,-13,18039
469,Groudon,19,43,36,30,-12,-13,4719
470,Groudon (Primal Groudon),19,73,56,80,-12,-13,15539
471,Rayquaza,24,43,-14,80,-12,-8,9229
472,Rayquaza (Mega Rayquaza),24,73,-4,110,-2,12,18169
473,Jirachi,19,-7,-4,30,-2,-3,1339
