Charles Myersberg vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
113,Farfetch'd (Galarian Farfetch'd),-21,-2,-5,-2,-13,-27,1372
114,Doduo,-38,-12,-15,-25,-40,-7,4087
115,Dodrio,-13,13,10,0,-15,28,1447
116,Seel,-8,-52,-5,-15,-5,-37,4412
117,Dewgong,17,-27,20,10,20,-12,2062
118,Grimer,7,-17,-10,-20,-25,-57,4712
119,Grimer (Alolan Grimer),7,-17,-10,-20,-25,-57,4712
120,Muk,32,8,15,5,25,-32,2987
121,Muk (Alolan Muk),32,8,15,5,25,-32,2987
122,Shellder,-43,-32,40,-15,-50,-42,8962
123,Cloyster,-23,-2,120,25,-30,-12,16602
124,Gastly,-43,-62,-30,40,-40,-2,9797
125,Haunter,-28,-47,-15,55,-20,13,6812
126,Gengar,-13,-32,0,70,0,28,6877
127,Gengar (Mega Gengar),-13,-32,20,110,20,48,16397
128,Onix,-38,-52,100,-30,-30,-12,16092
129,Drowzee,-13,-49,-15,-17,15,-40,4909
130,Hypno,12,-24,10,13,40,-15,2814
131,Krabby,-43,8,30,-35,-50,-32,7562
132,Kingler,-18,33,55,-10,-25,-7,5212
133,Voltorb,-33,-67,-10,-5,-20,18,6427
134,Voltorb (Hisuian Voltorb),-33,-67,-10,-5,-20,18,6427
135,Electrode,-13,-47,10,20,5,68,7527
136,Electrode (Hisuian Electrode),-13,-47,10,20,5,68,7527
137,Exeggcute,-13,-57,20,0,-30,-42,6482
138,Exeggutor,22,-2,25,65,0,-27,6067
139,Exeggutor (Alolan Exeggutor),22,8,25,65,0,-37,6767
140,Cubone,-23,-47,35,-20,-25,-47,7197
141,Marowak,-13,-17,50,-10,5,-37,4452
142,Marowak (Alolan Marowak),-13,-17,50,-10,5,-37,4452
143,Hitmonlee,-23,23,-7,-25,35,5,2982
144,Hitmonchan,-23,8,19,-25,35,-6,2840
145,Lickitung,17,-42,15,0,0,-52,4982
146,Koffing,-33,-32,35,0,-30,-47,6447
147,Weezing,-8,-7,60,25,-5,-22,4847
148,Weezing (Galarian Weezing),-8,-7,60,25,-5,-22,4847
149,Rhyhorn,7,-12,35,-30,-45,-57,7592
150,Rhydon,32,33,60,-15,-30,-42,8602
151,Chansey,177,-92,-55,-25,30,-32,45367
152,Tangela,-8,-42,55,40,-35,-22,8162
153,Kangaskhan,32,-2,20,-20,5,8,1917
154,Kangaskhan (Mega Kangaskhan),32,28,40,0,25,18,4357
155,Horsea,-43,-57,10,10,-50,-22,8282
156,Seadra,-18,-32,35,35,-30,3,4707
157,Goldeen,-28,-30,0,-25,-25,-19,3295
158,Seaking,7,-5,5,5,5,-14,345
159,Staryu,-43,-52,-5,10,-20,3,5087
160,Starmie,-13,-22,25,40,10,33,4067
161,Mr. Mime,-33,-52,5,40,45,8,7507
162,Mr. Mime (Galarian Mr. Mime),-23,-32,5,30,15,18,3027
163,Scyther,-3,13,20,-5,5,23,1157
164,Jynx,-8,-47,-25,55,20,13,6492
165,Electabuzz,-8,-14,-3,35,10,23,2123
166,Magmar,-8,-2,-3,40,10,11,1898
167,Pinsir,-8,28,40,-5,-5,3,2507
168,Pinsir (Mega Pinsir),-8,58,60,5,15,23,7807
169,Tauros,2,3,35,-20,-5,28,2447
170,Tauros (Paldean Tauros (Combat Breed)),2,13,45,-30,-5,18,3447
171,Tauros (Paldean Tauros (Blaze Breed)),2,13,45,-30,-5,18,3447
172,Tauros (Paldean Tauros (Aqua Breed)),2,13,45,-30,-5,18,3447
173,Magikarp,-53,-87,-5,-45,-55,-2,15457
174,Gyarados,22,28,19,0,25,-1,2255
175,Gyarados (Mega Gyarados),22,58,49,10,55,-1,9375
176,Lapras,57,-12,20,25,20,-22,5302
177,Ditto,-25,-49,-12,-12,-27,-34,5199
178,Eevee,-18,-42,-10,-15,-10,-27,3242
179,Eevee (Partner Eevee),-8,-22,10,5,10,-7,822
180,Vaporeon,57,-32,0,50,20,-17,7462
181,Jolteon,-8,-32,0,50,20,48,6292
182,Flareon,-8,33,0,35,35,-17,3892
183,Porygon,-8,-37,10,25,0,-42,3922
184,Omanyte,-38,-57,40,30,-20,-47,9802
185,Omastar,-3,-37,65,55,-5,-27,9382
186,Kabuto,-43,-17,30,-5,-30,-27,4692
187,Kabutops,-13,18,45,5,-5,-2,2572
188,Aerodactyl,7,8,5,0,0,48,2442
189,Aerodactyl (Mega Aerodactyl),7,38,25,10,20,68,7242
190,Snorlax,87,13,5,5,35,-52,11717
191,Articuno,17,-12,40,35,50,3,5767
192,Articuno (Galarian Articuno),17,-12,25,65,25,13,6077
193,Zapdos,17,-7,25,65,15,18,5737
194,Zapdos (Galarian Zapdos),17,28,30,25,15,18,3147
195,Moltres,17,3,30,65,10,8,5587
196,Moltres (Galarian Moltres),17,-12,30,40,50,8,5497
197,Dratini,-32,-33,-15,-10,-25,-32,4087
198,Dragonair,-12,-13,5,10,-5,-12,607
199,Dragonite,18,37,35,40,25,-2,5147
200,Mewtwo,33,13,30,94,15,48,13523
201,Mewtwo (Mega Mewtwo X),33,93,40,94,25,48,23103
202,Mewtwo (Mega Mewtwo Y),33,53,10,134,45,58,27343
203,Mew,27,3,40,40,25,18,4887
204,Chikorita,-28,-48,5,-11,-10,-37,4703
205,Bayleef,-13,-35,20,3,5,-22,2312
206,Meganium,7,-15,40,23,25,-2,3032
207,Cyndaquil,-34,-45,-17,0,-25,-17,4384
208,Quilava,-15,-33,-2,20,-10,-2,1822
209,Typhlosion,5,-13,18,49,10,18,3343
210,Typhlosion (Hisuian Typhlosion),0,-13,18,59,10,13,4243
211,Totodile,-23,-32,4,-16,-27,-39,4075
212,Croconaw,-8,-17,20,-1,-12,-24,1474
213,Feraligatr,12,8,40,19,8,-4,2249
214,Sentret,-38,-51,-26,-25,-30,-62,10090
215,Furret,12,-21,4,-15,-20,8,1290
216,Hoothoot,-13,-67,-30,-24,-19,-32,7519
217,Noctowl,27,-47,-10,26,21,-12,4299
218,Ledyba,-33,-77,-30,-20,5,-27,9072
219,Ledian,-18,-62,-10,-5,35,3,5527
220,Spinarak,-33,-37,-20,-20,-35,-52,7187
221,Ariados,-3,-7,10,0,-5,-42,1947
222,Crobat,12,-7,20,10,5,48,3022
223,Chinchou,2,-59,-22,-4,-19,-15,4571
224,Lanturn,52,-39,-2,16,1,-15,4711
225,Pichu,-53,-57,-45,-25,-40,-22,10792
226,Cleffa,-23,-72,-32,-15,-20,-67,11851
227,Igglybuff,17,-67,-45,-20,-55,-67,14717
228,Togepi,-38,-77,5,-20,-10,-62,11742
229,Togetic,-18,-57,25,20,30,-42,7262
230,Natu,-33,-47,-15,10,-30,-12,4667
231,Xatu,-8,-22,10,35,-5,13,2067
232,Mareep,-18,-57,-20,5,-30,-47,7107
233,Flaaffy,-3,-42,-5,20,-15,-37,3792
234,Ampharos,17,-22,25,55,15,-27,5377
235,Ampharos (Mega Ampharos),17,-2,45,105,35,-37,15937
236,Bellossom,2,-17,35,30,25,-32,4067
237,Marill,-3,-77,-10,-40,-25,-42,10027
238,Azumarill,27,-47,20,0,5,-32,4387
239,Sudowoodo,-3,3,55,-30,-10,-52,6747
240,Politoed,17,-22,15,30,25,-12,2667
241,Hoppip,-38,-62,-20,-25,-20,-32,7737
242,Skiploom,-18,-52,-10,-15,-10,-2,3457
243,Jumpluff,2,-42,10,-5,20,28,3077
244,Aipom,-18,-27,-5,-20,-20,3,1887
245,Sunkern,-43,-67,-30,-30,-45,-52,12867
246,Sunflora,2,-22,-5,45,10,-52,5342
247,Yanma,-8,-32,-15,15,-30,13,2607
248,Wooper,-18,-52,-15,-35,-50,-67,11467
249,Wooper (Paldean Wooper),-18,-52,-15,-35,-50,-67,11467
250,Quagsire,22,-12,25,5,-10,-47,3587
251,Espeon,-8,-32,0,70,20,28,7172
252,Umbreon,22,-32,50,0,55,-17,7322
253,Murkrow,-13,-12,-18,25,-33,9,2432
254,Slowking,22,-22,20,40,35,-52,6897
255,Slowking (Galarian Slowking),22,-32,20,50,35,-52,8337
256,Misdreavus,-13,-37,0,25,10,3,2272
257,Unown,-25,-25,-12,12,-27,-34,3423
258,Wobbuffet,117,-64,-2,-27,-17,-49,21208
259,Girafarig,-3,-17,5,30,-10,3,1332
260,Pineco,-23,-32,30,-25,-40,-67,9167
261,Forretress,2,-7,80,0,-15,-42,8442
262,Dunsparce,27,-27,10,5,-10,-37,3052
263,Gligar,-8,-22,45,-25,-10,3,3307
264,Steelix,2,-12,140,-5,-10,-52,22577
265,Steelix (Mega Steelix),2,28,170,-5,20,-52,32817
266,Snubbull,-13,-17,-10,-20,-35,-52,4887
267,Granbull,17,23,15,0,-15,-37,2637
268,Qwilfish,-8,-2,25,-5,-20,3,1127
269,Qwilfish (Hisuian Qwilfish),-8,-2,25,-5,-20,3,1127
270,Scizor,-3,33,40,-5,5,-17,3037
271,Scizor (Mega Scizor),-3,53,80,5,25,-7,9917
272,Shuckle,-53,-87,170,-50,155,-77,71732
273,Heracross,7,28,15,-20,20,3,1867
274,Heracross (Mega Heracross),7,88,55,-20,30,-7,12167
275,Sneasel,-18,-2,-5,-25,0,33,2067
276,Sneasel (Hisuian Sneasel),-18,-2,-5,-25,0,33,2067
277,Teddiursa,-13,-17,-10,-10,-25,-42,3047
278,Ursaring,17,33,15,15,0,-27,2557
279,Slugma,-33,-57,-20,10,-35,-62,9907
280,Magcargo,-13,-47,60,30,5,-52,9607
281,Swinub,-23,-47,-20,-30,-45,-32,7087
282,Piloswine,27,3,20,0,-15,-32,2387
283,Corsola,-8,-42,35,5,20,-47,5687
284,Corsola (Galarian Corsola),-13,-42,40,5,25,-52,6887
285,Remoraid,-38,-32,-25,5,-40,-17,5007
286,Octillery,2,8,15,45,0,-37,3687
287,Delibird,-28,-42,-15,5,-30,-7,3747
288,Mantine,12,-57,10,20,65,-12,8262
289,Skarmory,-8,-17,80,-20,-5,-12,7322
290,Houndour,-28,-37,-30,20,-25,-17,4367
291,Houndoom,2,-7,-10,50,5,13,2847
292,Houndoom (Mega Houndoom),2,-7,30,80,15,33,8667
293,Kingdra,2,-2,35,35,20,3,2867
294,Phanpy,17,-37,0,-20,-35,-42,5047
295,Donphan,17,23,60,0,-15,-32,5667
296,Porygon2,12,-17,30,45,20,-22,4242
297,Stantler,0,-2,2,25,-10,3,742
298,Smeargle,-18,-77,-25,-40,-30,-7,9427
299,Tyrogue,-38,-62,-25,-25,-40,-47,10347
300,Hitmontop,-23,-2,35,-25,35,-12,3752
301,Smoochum,-28,-67,-45,25,-10,-17,8312
302,Elekid,-28,-34,-23,5,-20,13,3063
303,Magby,-28,-22,-23,10,-20,1,2298
304,Miltank,22,-17,45,-20,-5,18,3547
305,Blissey,182,-87,-50,15,60,-27,47747
306,Raikou,17,-12,15,55,25,33,5397
307,Entei,42,18,25,30,0,18,3937
308,Suicune,27,-22,55,30,40,3,6747
309,Larvitar,-23,-33,-10,-15,-25,-41,4249
310,Pupitar,-3,-13,10,5,-5,-31,1289
311,Tyranitar,27,37,50,35,25,-21,6889
312,Tyranitar (Mega Tyranitar),27,67,90,35,45,-11,16689
313,Lugia,33,-7,70,30,79,28,13963
314,Ho-Oh,33,33,30,50,79,8,11883
315,Celebi,27,3,40,40,25,18,4887
316,Treecko,-33,-52,-25,5,-20,-12,4987
317,Grovyle,-23,-32,-15,25,-10,13,2672
318,Sceptile,-3,-12,5,45,10,38,3747
319,Sceptile (Mega Sceptile),-3,13,15,85,10,63,11697
320,Torchic,-28,-37,-20,10,-25,-37,4647
321,Combusken,-13,-12,0,25,-15,-27,1892
322,Blaziken,7,23,10,50,-5,-2,3207
323,Blaziken (Mega Blaziken),7,63,20,70,5,18,9667
324,Mudkip,-23,-27,-10,-10,-25,-42,3847
325,Marshtomp,-3,-12,10,0,-5,-32,1302
326,Swampert,27,13,30,25,15,-22,3132
327,Swampert (Mega Swampert),27,53,50,35,35,-12,8632
328,Poochyena,-38,-42,-25,-30,-45,-47,8967
329,Mightyena,-3,-7,10,0,-15,-12,527
330,Zigzagoon,-35,-67,-19,-30,-34,-22,8615
331,Zigzagoon (Galarian Zigzagoon),-35,-67,-19,-30,-34,-22,8615
332,Linoone,5,-27,1,-10,-14,18,1375
333,Linoone (Galarian Linoone),5,-27,1,-10,-14,18,1375
334,Wurmple,-28,-52,-25,-40,-45,-62,11582
335,Silcoon,-23,-62,-5,-35,-50,-67,12612
336,Beautifly,-13,-27,-10,40,-25,-17,3512
337,Cascoon,-23,-62,-5,-35,-50,-67,12612
338,Dustox,-13,-47,10,-10,15,-17,3092
339,Lotad,-33,-67,-30,-20,-25,-52,10207
340,Lombre,-13,-47,-10,0,-5,-32,3527
341,Ludicolo,7,-27,10,30,25,-12,2547
342,Seedot,-33,-57,-10,-30,-45,-52,10067
343,Nuzleaf,-3,-27,-20,0,-35,-22,2847
344,Shiftry,17,3,0,30,-15,-2,1427
345,Taillow,-33,-42,-30,-30,-45,3,6687
346,Swellow,-13,-12,0,15,-25,43,3012
347,Wingull,-33,-67,-30,-5,-45,3,8537
348,Pelipper,-13,-47,40,35,-5,-17,5517
349,Ralts,-45,-72,-35,-15,-40,-42,12023
350,Kirlia,-35,-62,-25,5,-20,-32,7143
351,Gardevoir,-5,-32,5,65,40,-2,6903
352,Gardevoir (Mega Gardevoir),-5,-12,5,105,60,18,15143
353,Surskit,-33,-67,-28,-10,-23,-17,7280
354,Masquerain,-3,-37,2,40,7,-2,3035
355,Shroomish,-13,-57,0,-20,-15,-47,6252
356,Breloom,-13,33,20,0,-15,-12,2027
357,Slakoth,-13,-37,0,-25,-40,-52,6467
358,Vigoroth,7,-17,20,-5,-20,8,1227
359,Slaking,77,63,40,35,-10,18,13147
360,Nincada,-42,-52,30,-30,-45,-42,10057
361,Ninjask,-12,-7,-15,-10,-25,78,7227
362,Shedinja,-72,-7,-15,-30,-45,-42,10147
363,Whismur,-9,-46,-37,-9,-52,-54,9267
364,Loudred,11,-26,-17,11,-32,-34,3387
365,Exploud,31,-6,3,31,-2,-14,2167
366,Makuhita,-1,-37,-30,-40,-45,-57,9144
367,Hariyama,71,23,0,-20,-15,-32,7219
368,Azurill,-23,-77,-20,-40,-35,-62,13527
369,Nosepass,-43,-52,75,-15,15,-52,13332
370,Skitty,-23,-52,-15,-25,-40,-32,6707
371,Delcatty,-3,-32,5,-5,-20,8,1547
372,Sableye,-23,-22,15,5,-10,-32,2387
373,Sableye (Mega Sableye),-23,-12,65,25,40,-62,10967
374,Mawile,-23,-12,25,-5,-20,-32,2747
375,Mawile (Mega Mawile),-23,8,65,-5,20,-32,6267
376,Aron,-23,-27,40,-20,-35,-52,7187
377,Lairon,-13,-7,80,-10,-25,-42,9107
378,Aggron,-3,13,120,0,-15,-32,15827
379,Aggron (Mega Aggron),-3,43,170,0,5,-32,31807
380,Meditite,-43,-57,-5,-20,-20,-22,6407
381,Medicham,-13,-37,15,0,0,-2,1767
382,Medicham (Mega Medicham),-13,3,25,20,10,18,1627
383,Electrike,-33,-52,-20,5,-35,-17,5732
384,Manectric,-3,-22,0,45,-15,23,3272
385,Manectric (Mega Manectric),-3,-22,20,75,5,53,9352
386,Plusle,-13,-47,-20,25,0,13,3572
387,Minun,-13,-57,-10,15,10,13,4012
388,Volbeat,-8,-24,15,-13,10,3,1143
389,Illumise,-8,-50,15,13,10,3,3067
390,Roselia,-23,-37,-15,40,5,-17,4037
391,Gulpin,-3,-54,-7,-17,-22,-42,5511
392,Swalot,27,-24,23,13,8,-27,2796
393,Carvanha,-28,-7,-40,5,-55,-17,5772
394,Sharpedo,-3,23,-20,35,-35,13,3557
395,Sharpedo (Mega Sharpedo),-3,43,10,50,-10,23,5087
396,Wailmer,57,-27,-25,10,-40,-22,6787
397,Wailord,97,-7,-15,30,-30,-22,11967
398,Numel,-13,-37,-20,5,-30,-47,5072
399,Camerupt,-3,3,10,45,0,-42,3907
400,Camerupt (Mega Camerupt),-3,23,40,85,30,-62,14107
401,Torkoal,-3,-12,80,25,-5,-62,11047
402,Spoink,-13,-72,-25,10,5,-22,6587
403,Grumpig,7,-52,5,30,35,-2,4907
404,Spinda,-13,-37,0,0,-15,-22,2247
405,Trapinch,-28,3,-15,-15,-30,-72,7327
406,Vibrava,-23,-27,-10,-10,-25,-12,2227
407,Flygon,7,3,20,20,5,18,1207
408,Cacnea,-23,-12,-20,25,-35,-47,5132
409,Cacturne,-3,18,0,55,-15,-27,4312
410,Swablu,-28,-57,0,-20,0,-32,5457
411,Altaria,2,-27,30,10,30,-2,2637
412,Altaria (Mega Altaria),2,13,50,50,30,-2,6077
413,Zangoose,0,18,0,0,-15,8,613
414,Seviper,0,3,0,40,-15,-17,2123
415,Lunatone,17,-42,5,35,10,-12,3547
416,Solrock,17,-2,25,-5,-10,-12,1187
417,Barboach,-23,-49,-17,-14,-34,-22,5055
418,Whiscash,37,-19,13,16,-4,-22,2655
419,Corphish,-30,-17,5,-10,-40,-47,5123
420,Crawdaunt,-10,23,25,30,-20,-27,3283
421,Baltoy,-33,-57,-5,-20,-5,-27,5517
422,Claydol,-13,-27,45,10,45,-7,5097
423,Lileep,-7,-56,17,1,12,-59,7100
424,Cradily,13,-16,37,21,32,-39,4780
425,Anorith,-28,-2,-10,-20,-25,-7,1962
426,Armaldo,2,28,40,10,5,-37,3882
427,Feebas,-53,-82,-40,-50,-20,-2,14037
428,Milotic,22,-37,19,40,50,-1,6315
429,Castform,-3,-27,10,10,-5,-12,1107
430,Kecleon,-13,-7,10,0,45,-42,4107
431,Shuppet,-29,-22,-25,3,-42,-37,5092
432,Banette,-9,18,5,23,-12,-17,1392
433,Banette (Mega Banette),-9,68,15,33,8,-7,6132
434,Duskull,-53,-57,30,-30,15,-57,11332
435,Dusclops,-33,-27,70,0,55,-57,12992
436,Tropius,26,-29,23,12,12,-31,3295
437,Chimecho,2,-47,20,35,15,-17,4352
438,Absol,-8,33,0,15,-15,-7,1652
439,Absol (Mega Absol),-8,53,0,55,-15,33,7212
440,Wynaut,22,-74,-12,-37,-27,-59,11683
441,Snorunt,-23,-47,-10,-10,-25,-32,4587
442,Glalie,7,-17,20,20,5,-2,1167
443,Glalie (Mega Glalie),7,23,20,60,5,18,4927
444,Spheal,-3,-57,-10,-5,-25,-57,7257
445,Sealeo,17,-37,10,15,-5,-37,3377
446,Walrein,37,-17,30,35,15,-17,4297
447,Clamperl,-38,-33,25,14,-20,-50,6254
448,Huntail,-18,7,45,34,0,-30,4454
449,Gorebyss,-18,-13,45,54,0,-30,6334
450,Relicanth,27,-7,70,-15,-10,-27,6732
451,Luvdisc,-30,-67,-5,-20,-10,15,6139
452,Bagon,-28,-22,0,-20,-45,-32,4717
453,Shelgon,-8,-2,40,0,-25,-32,3317
454,Salamence,22,38,20,50,5,18,5177
455,Salamence (Mega Salamence),22,48,70,60,15,38,12957
456,Beldum,-33,-42,20,-25,-15,-52,6807
457,Metang,-13,-22,40,-5,5,-32,3327
458,Metagross,7,38,70,35,15,-12,7987
459,Metagross (Mega Metagross),7,48,90,45,35,28,14487
460,Regirock,7,3,140,-10,25,-32,21407
461,Regice,7,-47,40,40,125,-32,22107
462,Registeel,7,-22,90,15,75,-32,15507
463,Latias,7,-17,30,50,55,28,7547
464,Latias (Mega Latias),7,3,60,80,75,28,16467
465,Latios,7,-7,20,70,35,28,7407
466,Latios (Mega Latios),7,33,40,100,45,28,15547
467,Kyogre,27,3,30,90,65,8,14027
468,Kyogre (Primal Kyogre),27,53,30,120,85,8,26127
469,Groudon,27,53,80,40,15,8,11827
470,Groudon (Primal Groudon),27,83,100,90,15,8,26007
471,Rayquaza,32,53,30,90,15,13,13227
472,Rayquaza (Mega Rayquaza),32,83,40,120,25,33,25627
473,Jirachi,27,3,40,40,25,18,4887
474,Deoxys (Normal Forme),-23,53,-10,90,-25,68,16787
475,Deoxys (Attack Forme),-23,83,-40,120,-55,68,31067
476,Deoxys (Defense Forme),-23,-27,100,10,85,8,18647
477,Deoxys (Speed Forme),-23,-2,30,35,15,98,12487
478,Turtwig,-18,-29,4,-15,-20,-51,4407
479,Grotle,2,-8,25,-5,-10,-46,2934
480,Torterra,22,12,45,15,10,-26,3654
481,Chimchar,-29,-39,-16,-2,-31,-21,4024
482,Monferno,-9,-19,-8,18,-23,-1,1360
483,Infernape,3,7,11,44,-4,26,2807
484,Piplup,-20,-46,-7,1,-19,-42,4691
485,Prinplup,-9,-31,8,21,1,-32,2572
486,Empoleon,11,-11,28,51,26,-22,4787
487,Starly,-33,-42,-30,-30,-45,-22,7162
488,Staravia,-18,-22,-10,-20,-35,-2,2537
489,Staraptor,12,23,10,-10,-15,18,1422
490,Bidoof,-14,-52,-20,-25,-35,-51,7751
491,Bibarel,6,-12,0,-5,-15,-11,551
492,Kricketot,-36,-72,-19,-35,-34,-57,12471
493,Kricketune,4,-12,-9,-5,-24,-17,1131
494,Shinx,-28,-32,-26,-20,-41,-37,5934
495,Luxio,-13,-12,-11,0,-26,-22,1594
496,Luxray,7,23,19,35,4,-12,2324
497,Budew,-33,-67,-25,-10,-5,-27,7057
498,Roserade,-13,-27,5,65,30,8,6112
