Anna Brown vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
65,Dugtrio,-42,-2,-47,-26,-23,23,5711
66,Dugtrio (Alolan Dugtrio),-42,-2,-37,-26,-23,13,4511
67,Meowth,-37,-57,-62,-36,-53,-7,12616
68,Meowth (Alolan Meowth),-37,-67,-62,-26,-53,-7,13236
69,Meowth (Galarian Meowth),-27,-37,-42,-36,-53,-57,11216
70,Persian,-12,-32,-37,-11,-28,18,3766
71,Persian (Alolan Persian),-12,-42,-37,-1,-28,18,4386
72,Psyduck,-27,-50,-49,-11,-43,-42,9364
73,Golduck,3,-20,-19,19,-13,-12,1444
74,Mankey,-37,-22,-62,-41,-48,-27,10411
75,Primeape,-12,3,-37,-16,-23,-2,2311
76,Growlithe,-22,-32,-52,-6,-43,-37,7466
77,Growlithe (Hisuian Growlithe),-17,-27,-52,-11,-43,-42,7456
78,Arcanine,13,8,-17,24,-13,-2,1271
79,Arcanine (Hisuian Arcanine),18,13,-17,19,-13,-7,1361
80,Poliwag,-37,-52,-57,-36,-53,-7,11476
81,Poliwhirl,-12,-37,-32,-26,-43,-7,5111
82,Poliwrath,13,-7,-2,-6,-3,-27,996
83,Abra,-52,-82,-82,29,-38,-7,18486
84,Kadabra,-37,-67,-67,44,-23,8,12876
85,Alakazam,-22,-52,-52,59,2,23,9906
86,Alakazam (Mega Alakazam),-22,-52,-32,99,12,53,16966
87,Machop,-7,-22,-47,-41,-58,-62,11631
88,Machoke,3,-2,-27,-26,-33,-52,5211
89,Machamp,13,28,-17,-11,-8,-42,3191
90,Bellsprout,-27,-27,-62,-6,-63,-57,12556
91,Weepinbell,-12,-12,-47,9,-48,-42,6646
92,Victreebel,3,3,-32,24,-23,-27,2876
93,Tentacool,-37,-62,-62,-26,7,-27,10511
94,Tentacruel,3,-32,-32,4,27,3,2811
95,Geodude,-37,-22,3,-46,-63,-77,13876
96,Geodude (Alolan Geodude),-37,-22,3,-46,-63,-77,13876
97,Graveler,-22,-7,18,-31,-48,-62,7966
98,Graveler (Alolan Graveler),-22,-7,18,-31,-48,-62,7966
99,Golem,3,18,33,-21,-28,-52,5351
100,Golem (Alolan Golem),3,18,33,-21,-28,-52,5351
101,Ponyta,-27,-17,-42,-11,-28,-7,3736
102,Ponyta (Galarian Ponyta),-27,-17,-42,-11,-28,-7,3736
103,Rapidash,-12,-2,-27,4,-13,8,1126
104,Rapidash (Galarian Rapidash),-12,-2,-27,4,-13,8,1126
105,Slowpoke,13,-37,-32,-36,-53,-82,13391
106,Slowpoke (Galarian Slowpoke),13,-37,-32,-36,-53,-82,13391
107,Slowbro,18,-27,13,24,-13,-67,6456
108,Slowbro (Mega Slowbro),18,-27,83,54,-13,-67,15516
109,Slowbro (Galarian Slowbro),18,-2,-2,24,-23,-67,5926
110,Magnemite,-52,-67,-27,19,-38,-52,12431
111,Magneton,-27,-42,-2,44,-23,-27,5691
112,Farfetch'd,-25,-12,-42,-18,-31,-37,5187
113,Farfetch'd (Galarian Farfetch'd),-25,-7,-42,-18,-31,-42,5487
114,Doduo,-42,-17,-52,-41,-58,-22,10286
115,Dodrio,-17,8,-27,-16,-33,13,2596
116,Seel,-12,-57,-42,-31,-23,-52,9351
117,Dewgong,13,-32,-17,-6,2,-27,2251
118,Grimer,3,-22,-47,-36,-43,-72,11031
119,Grimer (Alolan Grimer),3,-22,-47,-36,-43,-72,11031
120,Muk,28,3,-22,-11,7,-47,3656
121,Muk (Alolan Muk),28,3,-22,-11,7,-47,3656
122,Shellder,-47,-37,3,-31,-68,-57,12421
123,Cloyster,-27,-7,83,9,-48,-27,10781
124,Gastly,-47,-67,-67,24,-58,-17,15416
125,Haunter,-32,-52,-52,39,-38,-2,9401
126,Gengar,-17,-37,-37,54,-18,13,6436
127,Gengar (Mega Gengar),-17,-37,-17,94,2,33,11876
128,Onix,-42,-57,63,-46,-48,-27,14131
129,Drowzee,-17,-54,-52,-33,-3,-55,10032
130,Hypno,8,-29,-27,-3,22,-30,3027
131,Krabby,-47,3,-7,-51,-68,-47,11701
132,Kingler,-22,28,18,-26,-43,-22,4601
133,Voltorb,-37,-72,-47,-21,-38,3,10656
134,Voltorb (Hisuian Voltorb),-37,-72,-47,-21,-38,3,10656
135,Electrode,-17,-52,-27,4,-13,53,6716
136,Electrode (Hisuian Electrode),-17,-52,-27,4,-13,53,6716
137,Exeggcute,-17,-62,-17,-16,-48,-57,10231
138,Exeggutor,18,-7,-12,49,-18,-42,5006
139,Exeggutor (Alolan Exeggutor),18,3,-12,49,-18,-52,5906
140,Cubone,-27,-52,-2,-36,-43,-62,10426
141,Marowak,-17,-22,13,-26,-13,-52,4491
142,Marowak (Alolan Marowak),-17,-22,13,-26,-13,-52,4491
143,Hitmonlee,-27,18,-44,-41,17,-10,5059
144,Hitmonchan,-27,3,-18,-41,17,-21,3473
145,Lickitung,13,-47,-22,-16,-18,-67,7931
146,Koffing,-37,-37,-2,-16,-48,-62,9146
147,Weezing,-12,-12,23,9,-23,-37,2796
148,Weezing (Galarian Weezing),-12,-12,23,9,-23,-37,2796
149,Rhyhorn,3,-17,-2,-46,-63,-72,11571
150,Rhydon,28,28,23,-31,-48,-57,8611
151,Chansey,173,-97,-92,-41,12,-47,51836
152,Tangela,-12,-47,18,24,-53,-37,7431
153,Kangaskhan,28,-7,-17,-36,-13,-7,2636
154,Kangaskhan (Mega Kangaskhan),28,23,3,-16,7,3,1636
155,Horsea,-47,-62,-27,-6,-68,-37,12811
156,Seadra,-22,-37,-2,19,-48,-12,4666
157,Goldeen,-32,-35,-37,-41,-43,-34,8304
158,Seaking,3,-10,-32,-11,-13,-29,2264
159,Staryu,-47,-57,-42,-6,-38,-12,8846
160,Starmie,-17,-27,-12,24,-8,18,2126
161,Mr. Mime,-37,-57,-32,24,27,-7,6996
162,Mr. Mime (Galarian Mr. Mime),-27,-37,-32,14,-3,3,3336
163,Scyther,-7,8,-17,-21,-13,8,1076
164,Jynx,-12,-52,-62,39,2,-2,8221
165,Electabuzz,-12,-19,-40,19,-8,8,2594
166,Magmar,-12,-7,-40,24,-8,-4,2449
167,Pinsir,-12,23,3,-21,-23,-12,1796
168,Pinsir (Mega Pinsir),-12,53,23,-11,-3,8,3676
169,Tauros,-2,-2,-2,-36,-23,13,2006
170,Tauros (Paldean Tauros (Combat Breed)),-2,8,8,-46,-23,3,2786
171,Tauros (Paldean Tauros (Blaze Breed)),-2,8,8,-46,-23,3,2786
172,Tauros (Paldean Tauros (Aqua Breed)),-2,8,8,-46,-23,3,2786
173,Magikarp,-57,-92,-42,-61,-73,-17,22816
174,Gyarados,18,23,-18,-16,7,-16,1738
175,Gyarados (Mega Gyarados),18,53,12,-6,37,-16,4938
176,Lapras,53,-17,-17,9,2,-37,4841
177,Ditto,-29,-54,-49,-28,-45,-49,11368
178,Eevee,-22,-47,-47,-31,-28,-42,8411
179,Eevee (Partner Eevee),-12,-27,-27,-11,-8,-22,2271
180,Vaporeon,53,-37,-37,34,2,-32,7731
181,Jolteon,-12,-37,-37,34,2,33,5131
182,Flareon,-12,28,-37,19,17,-32,3971
183,Porygon,-12,-42,-27,9,-18,-57,6291
184,Omanyte,-42,-62,3,14,-38,-62,11101
185,Omastar,-7,-42,28,39,-23,-42,6411
186,Kabuto,-47,-22,-7,-21,-48,-42,7251
187,Kabutops,-17,13,8,-11,-23,-17,1461
188,Aerodactyl,3,3,-32,-16,-18,33,2711
189,Aerodactyl (Mega Aerodactyl),3,33,-12,-6,2,53,4091
190,Snorlax,83,8,-32,-11,17,-67,12876
191,Articuno,13,-17,3,19,32,-12,1996
192,Articuno (Galarian Articuno),13,-17,-12,49,7,-2,3056
193,Zapdos,13,-12,-12,49,-3,3,2876
194,Zapdos (Galarian Zapdos),13,23,-7,9,-3,3,846
195,Moltres,13,-2,-7,49,-8,-7,2736
196,Moltres (Galarian Moltres),13,-17,-7,24,32,-7,2156
197,Dratini,-36,-38,-52,-26,-43,-47,10178
198,Dragonair,-16,-18,-32,-6,-23,-27,2898
199,Dragonite,14,32,-2,24,7,-17,2138
200,Mewtwo,29,8,-7,78,-3,33,8136
201,Mewtwo (Mega Mewtwo X),29,88,3,78,7,33,15816
202,Mewtwo (Mega Mewtwo Y),29,48,-27,118,27,43,20376
203,Mew,23,-2,3,24,7,3,1176
204,Chikorita,-32,-53,-32,-27,-28,-52,9074
205,Bayleef,-17,-40,-17,-13,-13,-37,3885
206,Meganium,3,-20,3,7,7,-17,805
207,Cyndaquil,-38,-50,-54,-16,-43,-32,9989
208,Quilava,-19,-38,-39,4,-28,-17,4415
209,Typhlosion,1,-18,-19,33,-8,3,1848
210,Typhlosion (Hisuian Typhlosion),-4,-18,-19,43,-8,-2,2618
211,Totodile,-27,-37,-33,-32,-45,-54,9152
212,Croconaw,-12,-22,-17,-17,-30,-39,3627
213,Feraligatr,8,3,3,3,-10,-19,552
214,Sentret,-42,-56,-63,-41,-48,-77,18783
215,Furret,8,-26,-33,-31,-38,-7,4283
216,Hoothoot,-17,-72,-67,-40,-37,-47,15140
217,Noctowl,23,-52,-47,10,3,-27,6280
218,Ledyba,-37,-82,-67,-36,-13,-42,15811
219,Ledian,-22,-67,-47,-21,17,-12,8056
220,Spinarak,-37,-42,-57,-36,-53,-67,14976
221,Ariados,-7,-12,-27,-16,-23,-57,4956
222,Crobat,8,-12,-17,-6,-13,33,1791
223,Chinchou,-2,-64,-59,-20,-37,-30,10250
224,Lanturn,48,-44,-39,0,-17,-30,6950
225,Pichu,-57,-62,-82,-41,-58,-37,20231
226,Cleffa,-27,-77,-69,-31,-38,-82,20548
227,Igglybuff,13,-72,-82,-36,-73,-82,25426
228,Togepi,-42,-82,-32,-36,-28,-77,17521
229,Togetic,-22,-62,-12,4,12,-57,7881
230,Natu,-37,-52,-52,-6,-48,-27,9846
231,Xatu,-12,-27,-27,19,-23,-2,2496
232,Mareep,-22,-62,-57,-11,-48,-62,13846
233,Flaaffy,-7,-47,-42,4,-33,-52,7831
234,Ampharos,13,-27,-12,39,-3,-42,4336
235,Ampharos (Mega Ampharos),13,-7,8,89,17,-52,11196
236,Bellossom,-2,-22,-2,14,7,-47,2946
237,Marill,-7,-82,-47,-56,-43,-57,17216
238,Azumarill,23,-52,-17,-16,-13,-47,6156
239,Sudowoodo,-7,-2,18,-46,-28,-67,7766
240,Politoed,13,-27,-22,14,7,-27,2356
241,Hoppip,-42,-67,-57,-41,-38,-47,14836
242,Skiploom,-22,-57,-47,-31,-28,-17,7976
243,Jumpluff,-2,-47,-27,-21,2,13,3556
244,Aipom,-22,-32,-42,-36,-38,-12,6156
245,Sunkern,-47,-72,-67,-46,-63,-67,22456
246,Sunflora,-2,-27,-42,29,-8,-67,7891
247,Yanma,-12,-37,-52,-1,-48,-2,6526
248,Wooper,-22,-57,-52,-51,-68,-82,20386
249,Wooper (Paldean Wooper),-22,-57,-52,-51,-68,-82,20386
250,Quagsire,18,-17,-12,-11,-28,-62,5506
251,Espeon,-12,-37,-37,54,2,13,5971
252,Umbreon,18,-37,13,-16,37,-32,4511
253,Murkrow,-17,-17,-55,9,-51,-6,6321
254,Slowking,18,-27,-17,24,17,-67,6696
255,Slowking (Galarian Slowking),18,-37,-17,34,17,-67,7916
256,Misdreavus,-17,-42,-37,9,-8,-12,3711
257,Unown,-29,-30,-49,-4,-45,-49,8584
258,Wobbuffet,113,-69,-39,-43,-35,-64,26221
259,Girafarig,-7,-22,-32,14,-28,-12,2681
260,Pineco,-27,-37,-7,-41,-58,-82,13916
261,Forretress,-2,-12,43,-16,-33,-57,6591
262,Dunsparce,23,-32,-27,-11,-28,-52,5891
263,Gligar,-12,-27,8,-41,-28,-12,3546
264,Steelix,-2,-17,103,-21,-28,-67,16616
265,Steelix (Mega Steelix),-2,23,133,-21,2,-67,23156
266,Snubbull,-17,-22,-47,-36,-53,-67,11576
267,Granbull,13,18,-22,-16,-33,-52,5026
268,Qwilfish,-12,-7,-12,-21,-38,-12,2366
269,Qwilfish (Hisuian Qwilfish),-12,-7,-12,-21,-38,-12,2366
270,Scizor,-7,28,3,-21,-13,-32,2476
271,Scizor (Mega Scizor),-7,48,43,-11,7,-22,4856
272,Shuckle,-57,-92,133,-66,137,-92,60991
273,Heracross,3,23,-22,-36,2,-12,2466
274,Heracross (Mega Heracross),3,83,18,-36,12,-22,9146
275,Sneasel,-22,-7,-42,-41,-18,18,4626
276,Sneasel (Hisuian Sneasel),-22,-7,-42,-41,-18,18,4626
277,Teddiursa,-17,-22,-47,-26,-43,-57,8756
278,Ursaring,13,28,-22,-1,-18,-42,3526
279,Slugma,-37,-62,-57,-6,-53,-77,17236
280,Magcargo,-17,-52,23,14,-13,-67,8376
281,Swinub,-27,-52,-57,-46,-63,-47,14976
282,Piloswine,23,-2,-17,-16,-33,-47,4376
283,Corsola,-12,-47,-2,-11,2,-62,6326
284,Corsola (Galarian Corsola),-17,-47,3,-11,7,-67,7166
285,Remoraid,-42,-37,-62,-11,-58,-32,11486
286,Octillery,-2,3,-22,29,-18,-52,4366
287,Delibird,-32,-47,-52,-11,-48,-22,8846
288,Mantine,8,-62,-27,4,47,-27,7591
289,Skarmory,-12,-22,43,-36,-23,-27,5031
290,Houndour,-32,-42,-67,4,-43,-32,10166
291,Houndoom,-2,-12,-47,34,-13,-2,3686
292,Houndoom (Mega Houndoom),-2,-12,-7,64,-3,18,4626
293,Kingdra,-2,-7,-2,19,2,-12,566
294,Phanpy,13,-42,-37,-36,-53,-57,10656
295,Donphan,13,18,23,-16,-33,-47,4576
296,Porygon2,8,-22,-7,29,2,-37,2811
297,Stantler,-4,-7,-35,9,-28,-12,2299
298,Smeargle,-22,-82,-62,-56,-48,-22,16976
299,Tyrogue,-42,-67,-62,-41,-58,-62,18986
300,Hitmontop,-27,-7,-2,-41,17,-27,3481
301,Smoochum,-32,-72,-82,9,-28,-32,14821
302,Elekid,-32,-39,-60,-11,-38,-2,7714
303,Magby,-32,-27,-60,-6,-38,-14,7029
304,Miltank,18,-22,8,-36,-23,3,2706
305,Blissey,178,-92,-87,-1,42,-42,51246
306,Raikou,13,-17,-22,39,7,18,2836
307,Entei,38,13,-12,14,-18,3,2286
308,Suicune,23,-27,18,14,22,-12,2406
309,Larvitar,-27,-38,-47,-31,-43,-56,10328
310,Pupitar,-7,-18,-27,-11,-23,-46,3868
311,Tyranitar,23,32,13,19,7,-36,3428
312,Tyranitar (Mega Tyranitar),23,62,53,19,27,-26,8948
313,Lugia,29,-12,33,14,61,13,6160
314,Ho-Oh,29,28,-7,34,61,-7,6600
315,Celebi,23,-2,3,24,7,3,1176
316,Treecko,-37,-57,-62,-11,-38,-27,10756
317,Grovyle,-27,-37,-52,9,-28,-2,5671
318,Sceptile,-7,-17,-32,29,-8,23,2796
319,Sceptile (Mega Sceptile),-7,8,-22,69,-8,48,7726
320,Torchic,-32,-42,-57,-6,-43,-52,10626
321,Combusken,-17,-17,-37,9,-33,-42,4881
322,Blaziken,3,18,-27,34,-23,-17,3036
323,Blaziken (Mega Blaziken),3,58,-17,54,-13,3,6756
324,Mudkip,-27,-32,-47,-26,-43,-57,9736
325,Marshtomp,-7,-17,-27,-16,-23,-47,4061
326,Swampert,23,8,-7,9,-3,-37,2101
327,Swampert (Mega Swampert),23,48,13,19,17,-27,4381
328,Poochyena,-42,-47,-62,-46,-63,-62,17746
329,Mightyena,-7,-12,-27,-16,-33,-27,2996
330,Zigzagoon,-39,-72,-56,-46,-52,-37,16030
331,Zigzagoon (Galarian Zigzagoon),-39,-72,-56,-46,-52,-37,16030
332,Linoone,1,-32,-36,-26,-32,3,4030
333,Linoone (Galarian Linoone),1,-32,-36,-26,-32,3,4030
334,Wurmple,-32,-57,-62,-56,-63,-77,21151
335,Silcoon,-27,-67,-42,-51,-68,-82,20931
336,Beautifly,-17,-32,-47,24,-43,-32,6971
337,Cascoon,-27,-67,-42,-51,-68,-82,20931
338,Dustox,-17,-52,-27,-26,-3,-32,5431
339,Lotad,-37,-72,-67,-36,-43,-67,18676
340,Lombre,-17,-52,-47,-16,-23,-47,8196
341,Ludicolo,3,-32,-27,14,7,-27,2736
342,Seedot,-37,-62,-47,-46,-63,-67,17996
343,Nuzleaf,-7,-32,-57,-16,-53,-37,8756
344,Shiftry,13,-2,-37,14,-33,-17,3116
345,Taillow,-37,-47,-67,-46,-63,-12,14296
346,Swellow,-17,-17,-37,-1,-43,28,4581
347,Wingull,-37,-72,-67,-21,-63,-12,15596
348,Pelipper,-17,-52,3,19,-23,-32,4916
349,Ralts,-49,-77,-72,-31,-58,-57,21088
350,Kirlia,-39,-67,-62,-11,-38,-47,13628
351,Gardevoir,-9,-37,-32,49,22,-17,5648
352,Gardevoir (Mega Gardevoir),-9,-17,-32,89,42,3,11088
353,Surskit,-37,-72,-65,-26,-41,-32,14159
354,Masquerain,-7,-42,-35,24,-11,-17,4024
355,Shroomish,-17,-62,-37,-36,-33,-62,11731
356,Breloom,-17,28,-17,-16,-33,-27,3436
357,Slakoth,-17,-42,-37,-41,-58,-67,12956
358,Vigoroth,3,-22,-17,-21,-38,-7,2716
359,Slaking,73,58,3,19,-28,3,9856
360,Nincada,-46,-57,-7,-46,-63,-57,14748
361,Ninjask,-16,-12,-52,-26,-43,63,9598
362,Shedinja,-76,-12,-52,-46,-63,-57,17958
363,Whismur,-13,-51,-74,-25,-70,-69,18532
364,Loudred,7,-31,-54,-5,-50,-49,8852
365,Exploud,27,-11,-34,15,-20,-29,3472
366,Makuhita,-5,-42,-67,-56,-63,-72,18567
367,Hariyama,67,18,-37,-36,-33,-47,10776
368,Azurill,-27,-82,-57,-56,-53,-77,22576
369,Nosepass,-47,-57,38,-31,-3,-67,12361
370,Skitty,-27,-57,-52,-41,-58,-47,13936
371,Delcatty,-7,-37,-32,-21,-38,-7,4376
372,Sableye,-27,-27,-22,-11,-28,-47,5056
373,Sableye (Mega Sableye),-27,-17,28,9,22,-77,8296
374,Mawile,-27,-17,-12,-21,-38,-47,5256
375,Mawile (Mega Mawile),-27,3,28,-21,2,-47,4176
376,Aron,-27,-32,3,-36,-53,-67,10356
377,Lairon,-17,-12,43,-26,-43,-57,8056
378,Aggron,-7,8,83,-16,-33,-47,10556
379,Aggron (Mega Aggron),-7,38,133,-16,-13,-47,21816
380,Meditite,-47,-62,-42,-36,-38,-37,11926
381,Medicham,-17,-42,-22,-16,-18,-17,3406
382,Medicham (Mega Medicham),-17,-2,-12,4,-8,3,526
383,Electrike,-37,-57,-57,-11,-53,-32,11821
384,Manectric,-7,-27,-37,29,-33,8,4141
385,Manectric (Mega Manectric),-7,-27,-17,59,-13,38,6161
386,Plusle,-17,-52,-57,9,-18,-2,6651
387,Minun,-17,-62,-47,-1,-8,-2,6411
388,Volbeat,-12,-29,-22,-29,-8,-12,2518
389,Illumise,-12,-55,-22,-3,-8,-12,3870
390,Roselia,-27,-42,-52,24,-13,-32,6966
391,Gulpin,-7,-59,-44,-33,-40,-57,11404
392,Swalot,23,-29,-14,-3,-10,-42,3439
393,Carvanha,-32,-12,-77,-11,-73,-32,13571
394,Sharpedo,-7,18,-57,19,-53,-2,6796
395,Sharpedo (Mega Sharpedo),-7,38,-27,34,-28,8,4226
396,Wailmer,53,-32,-62,-6,-58,-37,12446
397,Wailord,93,-12,-52,14,-48,-37,15366
398,Numel,-17,-42,-57,-11,-48,-62,11571
399,Camerupt,-7,-2,-27,29,-18,-57,5196
400,Camerupt (Mega Camerupt),-7,18,3,69,12,-77,11216
401,Torkoal,-7,-17,43,9,-23,-77,8726
402,Spoink,-17,-77,-62,-6,-13,-37,11636
403,Grumpig,3,-57,-32,14,17,-17,5056
404,Spinda,-17,-42,-37,-16,-33,-37,6136
405,Trapinch,-32,-2,-52,-31,-48,-87,14566
406,Vibrava,-27,-32,-47,-26,-43,-27,7216
407,Flygon,3,-2,-17,4,-13,3,496
408,Cacnea,-27,-17,-57,9,-53,-62,11001
409,Cacturne,-7,13,-37,39,-33,-42,5961
410,Swablu,-32,-62,-37,-36,-18,-47,10066
411,Altaria,-2,-32,-7,-6,12,-17,1546
412,Altaria (Mega Altaria),-2,8,13,34,12,-17,1826
413,Zangoose,-4,13,-37,-16,-33,-7,2948
414,Seviper,-4,-2,-37,24,-33,-32,4078
415,Lunatone,13,-47,-32,19,-8,-27,4556
416,Solrock,13,-7,-12,-21,-28,-27,2316
417,Barboach,-27,-54,-54,-30,-52,-37,11534
418,Whiscash,33,-24,-24,0,-22,-37,4094
419,Corphish,-34,-22,-32,-26,-58,-62,10548
420,Crawdaunt,-14,18,-12,14,-38,-42,4068
421,Baltoy,-37,-62,-42,-36,-23,-42,10566
422,Claydol,-17,-32,8,-6,27,-22,2626
423,Lileep,-11,-61,-20,-15,-6,-74,9979
424,Cradily,9,-21,0,5,14,-54,3659
425,Anorith,-32,-7,-47,-36,-43,-22,6911
426,Armaldo,-2,23,3,-6,-13,-52,3451
427,Feebas,-57,-87,-77,-66,-38,-17,22836
428,Milotic,18,-42,-18,24,32,-16,4268
429,Castform,-7,-32,-27,-6,-23,-27,3096
430,Kecleon,-17,-12,-27,-16,27,-57,5396
431,Shuppet,-33,-27,-62,-13,-60,-52,12135
432,Banette,-13,13,-32,7,-30,-32,3335
433,Banette (Mega Banette),-13,63,-22,17,-10,-22,5495
434,Duskull,-57,-62,-7,-46,-3,-72,14451
435,Dusclops,-37,-32,33,-16,37,-72,10291
436,Tropius,22,-34,-14,-4,-6,-46,4004
437,Chimecho,-2,-52,-17,19,-3,-32,4391
438,Absol,-12,28,-37,-1,-33,-22,3871
439,Absol (Mega Absol),-12,48,-37,39,-33,18,6751
440,Wynaut,18,-79,-49,-53,-45,-74,19276
441,Snorunt,-27,-52,-47,-26,-43,-47,10376
442,Glalie,3,-22,-17,4,-13,-17,1256
443,Glalie (Mega Glalie),3,18,-17,44,-13,3,2736
444,Spheal,-7,-62,-47,-21,-43,-72,13576
445,Sealeo,13,-42,-27,-1,-23,-52,5896
446,Walrein,33,-22,-7,19,-3,-32,3016
447,Clamperl,-42,-38,-12,-2,-38,-65,9025
448,Huntail,-22,2,8,18,-18,-45,3225
449,Gorebyss,-22,-18,8,38,-18,-45,4665
450,Relicanth,23,-12,33,-31,-28,-42,5271
451,Luvdisc,-34,-72,-42,-36,-28,0,10184
452,Bagon,-32,-27,-37,-36,-63,-47,10596
453,Shelgon,-12,-7,3,-16,-43,-47,4516
454,Salamence,18,33,-17,34,-13,3,3036
455,Salamence (Mega Salamence),18,43,33,44,-3,23,5736
456,Beldum,-37,-47,-17,-41,-33,-67,11126
457,Metang,-17,-27,3,-21,-13,-47,3846
458,Metagross,3,33,33,19,-3,-27,3286
459,Metagross (Mega Metagross),3,43,53,29,17,13,5966
460,Regirock,3,-2,103,-26,7,-47,13556
461,Regice,3,-52,3,24,107,-47,16956
462,Registeel,3,-27,53,-1,57,-47,9006
463,Latias,3,-22,-7,34,37,13,3236
464,Latias (Mega Latias),3,-2,23,64,57,13,8056
465,Latios,3,-12,-17,54,17,13,3816
466,Latios (Mega Latios),3,28,3,84,27,13,8756
467,Kyogre,23,-2,-7,74,47,-7,8316
468,Kyogre (Primal Kyogre),23,48,-7,104,67,-7,18236
469,Groudon,23,48,43,24,-3,-7,5316
470,Groudon (Primal Groudon),23,78,63,74,-3,-7,16116
471,Rayquaza,28,48,-7,74,-3,-2,8626
472,Rayquaza (Mega Rayquaza),28,78,3,104,7,18,18066
473,Jirachi,23,-2,3,24,7,3,1176
474,Deoxys (Normal Forme),-27,48,-47,74,-43,53,15376
475,Deoxys (Attack Forme),-27,78,-77,104,-73,53,31696
476,Deoxys (Defense Forme),-27,-32,63,-6,67,-7,10296
477,Deoxys (Speed Forme),-27,-7,-7,19,-3,83,8086
