Will Simpson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
85,Alakazam,-33,-60,-61,30,-10,21,9851
86,Alakazam (Mega Alakazam),-33,-60,-41,70,0,51,13871
87,Machop,-18,-30,-56,-70,-70,-64,18256
88,Machoke,-8,-10,-36,-55,-45,-54,9426
89,Machamp,2,20,-26,-40,-20,-44,5016
90,Bellsprout,-38,-35,-71,-35,-75,-59,18041
91,Weepinbell,-23,-20,-56,-20,-60,-44,10001
92,Victreebel,-8,-5,-41,-5,-35,-29,3861
93,Tentacool,-48,-70,-71,-55,-5,-29,16136
94,Tentacruel,-8,-40,-41,-25,15,1,4196
95,Geodude,-48,-30,-6,-75,-75,-79,20731
96,Geodude (Alolan Geodude),-48,-30,-6,-75,-75,-79,20731
97,Graveler,-33,-15,9,-60,-60,-64,12691
98,Graveler (Alolan Graveler),-33,-15,9,-60,-60,-64,12691
99,Golem,-8,10,24,-50,-40,-54,7756
100,Golem (Alolan Golem),-8,10,24,-50,-40,-54,7756
101,Ponyta,-38,-25,-51,-40,-40,-9,7951
102,Ponyta (Galarian Ponyta),-38,-25,-51,-40,-40,-9,7951
103,Rapidash,-23,-10,-36,-25,-25,6,3211
104,Rapidash (Galarian Rapidash),-23,-10,-36,-25,-25,6,3211
105,Slowpoke,2,-45,-41,-65,-65,-84,19216
106,Slowpoke (Galarian Slowpoke),2,-45,-41,-65,-65,-84,19216
107,Slowbro,7,-35,4,-5,-25,-69,6701
108,Slowbro (Mega Slowbro),7,-35,74,25,-25,-69,12761
109,Slowbro (Galarian Slowbro),7,-10,-11,-5,-35,-69,6281
110,Magnemite,-63,-75,-36,-10,-50,-54,16406
111,Magneton,-38,-50,-11,15,-35,-29,6356
112,Farfetch'd,-36,-20,-51,-47,-43,-39,9876
113,Farfetch'd (Galarian Farfetch'd),-36,-15,-51,-47,-43,-44,10116
114,Doduo,-53,-25,-61,-70,-70,-24,17531
115,Dodrio,-28,0,-36,-45,-45,11,6251
116,Seel,-23,-65,-51,-60,-35,-54,15096
117,Dewgong,2,-40,-26,-35,-10,-29,4446
118,Grimer,-8,-30,-56,-65,-55,-74,16826
119,Grimer (Alolan Grimer),-8,-30,-56,-65,-55,-74,16826
120,Muk,17,-5,-31,-40,-5,-49,5301
121,Muk (Alolan Muk),17,-5,-31,-40,-5,-49,5301
122,Shellder,-58,-45,-6,-60,-80,-59,18906
123,Cloyster,-38,-15,74,-20,-60,-29,11986
124,Gastly,-58,-75,-76,-5,-70,-19,20051
125,Haunter,-43,-60,-61,10,-50,-4,11786
126,Gengar,-28,-45,-46,25,-30,11,6571
127,Gengar (Mega Gengar),-28,-45,-26,65,-10,31,8771
128,Onix,-53,-65,54,-75,-60,-29,20016
129,Drowzee,-28,-62,-61,-62,-15,-57,15667
130,Hypno,-3,-37,-36,-32,10,-32,4822
131,Krabby,-58,-5,-16,-80,-80,-49,18846
132,Kingler,-33,20,9,-55,-55,-24,8196
133,Voltorb,-48,-80,-56,-50,-50,1,16841
134,Voltorb (Hisuian Voltorb),-48,-80,-56,-50,-50,1,16841
135,Electrode,-28,-60,-36,-25,-25,51,9531
136,Electrode (Hisuian Electrode),-28,-60,-36,-25,-25,51,9531
137,Exeggcute,-28,-70,-26,-45,-60,-59,15466
138,Exeggutor,7,-15,-21,20,-30,-44,3951
139,Exeggutor (Alolan Exeggutor),7,-5,-21,20,-30,-54,4731
140,Cubone,-38,-60,-11,-65,-55,-64,16511
141,Marowak,-28,-30,4,-55,-25,-54,8266
142,Marowak (Alolan Marowak),-28,-30,4,-55,-25,-54,8266
143,Hitmonlee,-38,10,-53,-70,5,-12,9422
144,Hitmonchan,-38,-5,-27,-70,5,-23,7652
145,Lickitung,2,-55,-31,-45,-30,-69,11676
146,Koffing,-48,-45,-11,-45,-60,-64,14171
147,Weezing,-23,-20,14,-20,-35,-39,4271
148,Weezing (Galarian Weezing),-23,-20,14,-20,-35,-39,4271
149,Rhyhorn,-8,-25,-11,-75,-75,-74,17536
150,Rhydon,17,20,14,-60,-60,-59,11566
151,Chansey,162,-105,-101,-70,0,-49,54771
152,Tangela,-23,-55,9,-5,-65,-39,9406
153,Kangaskhan,17,-15,-26,-65,-25,-9,6121
154,Kangaskhan (Mega Kangaskhan),17,15,-6,-45,-5,1,2601
155,Horsea,-58,-70,-36,-35,-80,-39,18706
156,Seadra,-33,-45,-11,-10,-60,-14,7131
157,Goldeen,-43,-43,-46,-70,-55,-36,15035
158,Seaking,-8,-18,-41,-40,-25,-31,5255
159,Staryu,-58,-65,-51,-35,-50,-14,14111
160,Starmie,-28,-35,-21,-5,-20,16,3131
161,Mr. Mime,-48,-65,-41,-5,15,-9,8541
162,Mr. Mime (Galarian Mr. Mime),-38,-45,-41,-15,-15,1,5601
163,Scyther,-18,0,-26,-50,-25,6,4161
164,Jynx,-23,-60,-71,10,-10,-4,9386
165,Electabuzz,-23,-27,-49,-10,-20,6,4195
166,Magmar,-23,-15,-49,-5,-20,-6,3616
167,Pinsir,-23,15,-6,-50,-35,-14,4711
168,Pinsir (Mega Pinsir),-23,45,14,-40,-15,6,4611
169,Tauros,-13,-10,-11,-65,-35,11,5961
170,Tauros (Paldean Tauros (Combat Breed)),-13,0,-1,-75,-35,1,7021
171,Tauros (Paldean Tauros (Blaze Breed)),-13,0,-1,-75,-35,1,7021
172,Tauros (Paldean Tauros (Aqua Breed)),-13,0,-1,-75,-35,1,7021
173,Magikarp,-68,-100,-51,-90,-85,-19,32911
174,Gyarados,7,15,-27,-45,-5,-18,3377
175,Gyarados (Mega Gyarados),7,45,3,-35,25,-18,4257
176,Lapras,42,-25,-26,-20,-10,-39,5086
177,Ditto,-40,-62,-58,-57,-57,-51,17907
178,Eevee,-33,-55,-56,-60,-40,-44,14386
179,Eevee (Partner Eevee),-23,-35,-36,-40,-20,-24,5626
180,Vaporeon,42,-45,-46,5,-10,-34,7186
181,Jolteon,-23,-45,-46,5,-10,31,5756
182,Flareon,-23,20,-46,-10,5,-34,4326
183,Porygon,-23,-50,-36,-20,-30,-59,9106
184,Omanyte,-53,-70,-6,-15,-50,-64,14566
185,Omastar,-18,-50,19,10,-35,-44,6446
186,Kabuto,-58,-30,-16,-50,-60,-44,12556
187,Kabutops,-28,5,-1,-40,-35,-19,3996
188,Aerodactyl,-8,-5,-41,-45,-30,31,5656
189,Aerodactyl (Mega Aerodactyl),-8,25,-21,-35,-10,51,5056
190,Snorlax,72,0,-41,-40,5,-69,13251
191,Articuno,2,-25,-6,-10,20,-14,1361
192,Articuno (Galarian Articuno),2,-25,-21,20,-5,-4,1511
193,Zapdos,2,-20,-21,20,-15,1,1471
194,Zapdos (Galarian Zapdos),2,15,-16,-20,-15,1,1111
195,Moltres,2,-10,-16,20,-20,-9,1241
196,Moltres (Galarian Moltres),2,-25,-16,-5,20,-9,1391
197,Dratini,-47,-46,-61,-55,-55,-49,16497
198,Dragonair,-27,-26,-41,-35,-35,-29,6377
199,Dragonite,3,24,-11,-5,-5,-19,1117
200,Mewtwo,18,0,-16,49,-15,31,4167
201,Mewtwo (Mega Mewtwo X),18,80,-6,49,-5,31,10147
202,Mewtwo (Mega Mewtwo Y),18,40,-36,89,15,41,13047
203,Mew,12,-10,-6,-5,-5,1,331
204,Chikorita,-43,-61,-41,-56,-40,-54,14903
205,Bayleef,-28,-48,-26,-42,-25,-39,7674
206,Meganium,-8,-28,-6,-22,-5,-19,1754
207,Cyndaquil,-49,-58,-63,-45,-55,-34,15940
208,Quilava,-30,-46,-48,-25,-40,-19,7906
209,Typhlosion,-10,-26,-28,4,-20,1,1977
210,Typhlosion (Hisuian Typhlosion),-15,-26,-28,14,-20,-4,2297
211,Totodile,-38,-45,-42,-61,-57,-56,15339
212,Croconaw,-23,-30,-26,-46,-42,-41,7666
213,Feraligatr,-3,-5,-6,-26,-22,-21,1671
214,Sentret,-53,-64,-72,-70,-60,-79,26830
215,Furret,-3,-34,-42,-60,-50,-9,9110
216,Hoothoot,-28,-80,-76,-69,-49,-49,22523
217,Noctowl,12,-60,-56,-19,-9,-29,8163
218,Ledyba,-48,-90,-76,-65,-25,-44,22966
219,Ledian,-33,-75,-56,-50,5,-14,12571
220,Spinarak,-48,-50,-66,-65,-65,-69,22371
221,Ariados,-18,-20,-36,-45,-35,-59,8751
222,Crobat,-3,-20,-26,-35,-25,31,3896
223,Chinchou,-13,-72,-68,-49,-49,-32,15803
224,Lanturn,37,-52,-48,-29,-29,-32,9083
225,Pichu,-68,-70,-91,-70,-70,-39,29126
226,Cleffa,-38,-85,-78,-60,-50,-84,27909
227,Igglybuff,2,-80,-91,-65,-85,-84,33191
228,Togepi,-53,-90,-41,-65,-40,-79,24656
229,Togetic,-33,-70,-21,-25,0,-59,10536
230,Natu,-48,-60,-61,-35,-60,-29,15291
231,Xatu,-23,-35,-36,-10,-35,-4,4391
232,Mareep,-33,-70,-66,-40,-60,-64,19641
233,Flaaffy,-18,-55,-51,-25,-45,-54,11516
234,Ampharos,2,-35,-21,10,-15,-44,3931
235,Ampharos (Mega Ampharos),2,-15,-1,60,5,-54,6771
236,Bellossom,-13,-30,-11,-15,-5,-49,3841
237,Marill,-18,-90,-56,-85,-55,-59,25291
238,Azumarill,12,-60,-26,-45,-25,-49,9471
239,Sudowoodo,-18,-10,9,-75,-40,-69,12491
240,Politoed,2,-35,-31,-15,-5,-29,3281
241,Hoppip,-53,-75,-66,-70,-50,-49,22591
242,Skiploom,-33,-65,-56,-60,-40,-19,14011
243,Jumpluff,-13,-55,-36,-50,-10,11,7211
244,Aipom,-33,-40,-51,-65,-50,-14,12211
245,Sunkern,-58,-80,-76,-75,-75,-69,31551
246,Sunflora,-13,-35,-51,0,-20,-69,9156
247,Yanma,-23,-45,-61,-30,-60,-4,10791
248,Wooper,-33,-65,-61,-80,-80,-84,28891
249,Wooper (Paldean Wooper),-33,-65,-61,-80,-80,-84,28891
250,Quagsire,7,-25,-21,-40,-40,-64,8411
251,Espeon,-23,-45,-46,25,-10,11,5516
252,Umbreon,7,-45,4,-45,25,-34,5896
253,Murkrow,-28,-25,-64,-20,-63,-8,9938
254,Slowking,7,-35,-26,-5,5,-69,6761
255,Slowking (Galarian Slowking),7,-45,-26,5,5,-69,7561
256,Misdreavus,-28,-50,-46,-20,-20,-14,6396
257,Unown,-40,-38,-58,-33,-57,-51,13347
258,Wobbuffet,102,-77,-48,-72,-47,-66,30386
259,Girafarig,-18,-30,-41,-15,-40,-14,4926
260,Pineco,-38,-45,-16,-70,-70,-84,20581
261,Forretress,-13,-20,34,-45,-45,-59,9256
262,Dunsparce,12,-40,-36,-40,-40,-54,9156
263,Gligar,-23,-35,-1,-70,-40,-14,8451
264,Steelix,-13,-25,94,-50,-40,-69,18491
265,Steelix (Mega Steelix),-13,15,124,-50,-10,-69,23131
266,Snubbull,-28,-30,-56,-65,-65,-69,18031
267,Granbull,2,10,-31,-45,-45,-54,8031
268,Qwilfish,-23,-15,-21,-50,-50,-14,6391
269,Qwilfish (Hisuian Qwilfish),-23,-15,-21,-50,-50,-14,6391
270,Scizor,-18,20,-6,-50,-25,-34,5041
271,Scizor (Mega Scizor),-18,40,34,-40,-5,-24,5281
272,Shuckle,-68,-100,124,-95,125,-94,63486
273,Heracross,-8,15,-31,-65,-10,-14,5771
274,Heracross (Mega Heracross),-8,75,9,-65,0,-24,10571
275,Sneasel,-33,-15,-51,-70,-30,16,9971
276,Sneasel (Hisuian Sneasel),-33,-15,-51,-70,-30,16,9971
277,Teddiursa,-28,-30,-56,-55,-55,-59,14351
278,Ursaring,2,20,-31,-30,-30,-44,5101
279,Slugma,-48,-70,-66,-35,-65,-79,23251
280,Magcargo,-28,-60,14,-15,-25,-69,10191
281,Swinub,-38,-60,-66,-75,-75,-49,23051
282,Piloswine,12,-10,-26,-45,-45,-49,7371
283,Corsola,-23,-55,-11,-40,-10,-64,9471
284,Corsola (Galarian Corsola),-28,-55,-6,-40,-5,-69,10231
285,Remoraid,-53,-45,-71,-40,-70,-34,17531
286,Octillery,-13,-5,-31,0,-30,-54,4971
287,Delibird,-43,-55,-61,-40,-60,-24,14371
288,Mantine,-3,-70,-36,-25,35,-29,8896
289,Skarmory,-23,-30,34,-65,-35,-29,8876
290,Houndour,-43,-50,-76,-25,-55,-34,14931
291,Houndoom,-13,-20,-56,5,-25,-4,4371
292,Houndoom (Mega Houndoom),-13,-20,-16,35,-15,16,2531
293,Kingdra,-13,-15,-11,-10,-10,-14,911
294,Phanpy,2,-50,-46,-65,-65,-59,16551
295,Donphan,2,10,14,-45,-45,-49,6751
296,Porygon2,-3,-30,-16,0,-10,-39,2786
297,Stantler,-15,-15,-44,-20,-40,-14,4582
298,Smeargle,-33,-90,-71,-85,-60,-24,25631
299,Tyrogue,-53,-75,-71,-70,-70,-64,27371
300,Hitmontop,-38,-15,-11,-70,5,-29,7556
301,Smoochum,-43,-80,-91,-20,-40,-34,19686
302,Elekid,-43,-47,-69,-40,-50,-4,12935
303,Magby,-43,-35,-69,-35,-50,-16,11816
304,Miltank,7,-30,-1,-65,-35,1,6401
305,Blissey,167,-100,-96,-30,30,-44,50841
306,Raikou,2,-25,-31,10,-5,16,1971
307,Entei,27,5,-21,-15,-30,1,2321
308,Suicune,12,-35,9,-15,10,-14,1971
309,Larvitar,-38,-46,-56,-60,-55,-58,16685
310,Pupitar,-18,-26,-36,-40,-35,-48,7425
311,Tyranitar,12,24,4,-10,-5,-38,2305
312,Tyranitar (Mega Tyranitar),12,54,44,-10,15,-28,6105
313,Lugia,18,-20,24,-15,49,11,4047
314,Ho-Oh,18,20,-16,5,49,-9,3487
315,Celebi,12,-10,-6,-5,-5,1,331
316,Treecko,-48,-65,-71,-40,-50,-29,16511
317,Grovyle,-38,-45,-61,-20,-40,-4,9206
318,Sceptile,-18,-25,-41,0,-20,21,3471
319,Sceptile (Mega Sceptile),-18,0,-31,40,-20,46,5401
320,Torchic,-43,-50,-66,-35,-55,-54,15871
321,Combusken,-28,-25,-46,-20,-45,-44,7886
322,Blaziken,-8,10,-36,5,-35,-19,3071
323,Blaziken (Mega Blaziken),-8,50,-26,25,-25,1,4491
324,Mudkip,-38,-40,-56,-55,-55,-59,15711
325,Marshtomp,-18,-25,-36,-45,-35,-49,7896
326,Swampert,12,0,-16,-20,-15,-39,2546
327,Swampert (Mega Swampert),12,40,4,-10,5,-29,2726
328,Poochyena,-53,-55,-71,-75,-75,-64,26221
329,Mightyena,-18,-20,-36,-45,-45,-29,6911
330,Zigzagoon,-50,-80,-65,-75,-64,-39,24367
331,Zigzagoon (Galarian Zigzagoon),-50,-80,-65,-75,-64,-39,24367
332,Linoone,-10,-40,-45,-55,-44,1,8687
333,Linoone (Galarian Linoone),-10,-40,-45,-55,-44,1,8687
334,Wurmple,-43,-65,-71,-85,-75,-79,30206
335,Silcoon,-38,-75,-51,-80,-80,-84,29526
336,Beautifly,-28,-40,-56,-5,-55,-34,9726
337,Cascoon,-38,-75,-51,-80,-80,-84,29526
338,Dustox,-28,-60,-36,-55,-15,-34,10086
339,Lotad,-48,-80,-76,-65,-55,-69,26491
340,Lombre,-28,-60,-56,-45,-35,-49,13171
341,Ludicolo,-8,-40,-36,-15,-5,-29,4051
342,Seedot,-48,-70,-56,-75,-75,-69,26351
343,Nuzleaf,-18,-40,-66,-45,-65,-39,14051
344,Shiftry,2,-10,-46,-15,-45,-19,4831
345,Taillow,-48,-55,-76,-75,-75,-14,22551
346,Swellow,-28,-25,-46,-30,-55,26,8126
347,Wingull,-48,-80,-76,-50,-75,-14,22801
348,Pelipper,-28,-60,-6,-10,-35,-34,6901
349,Ralts,-60,-85,-81,-60,-70,-59,29367
350,Kirlia,-50,-75,-71,-40,-50,-49,19667
351,Gardevoir,-20,-45,-41,20,10,-19,4967
352,Gardevoir (Mega Gardevoir),-20,-25,-41,60,30,1,7207
353,Surskit,-48,-80,-74,-55,-53,-34,21170
354,Masquerain,-18,-50,-44,-5,-23,-19,5675
355,Shroomish,-28,-70,-46,-65,-45,-64,18146
356,Breloom,-28,20,-26,-45,-45,-29,6751
357,Slakoth,-28,-50,-46,-70,-70,-69,19961
358,Vigoroth,-8,-30,-26,-50,-50,-9,6721
359,Slaking,62,50,-6,-10,-40,1,8081
360,Nincada,-57,-65,-16,-75,-75,-59,22461
361,Ninjask,-27,-20,-61,-55,-55,61,14621
362,Shedinja,-87,-20,-61,-75,-75,-59,26421
363,Whismur,-24,-59,-83,-54,-82,-71,25627
364,Loudred,-4,-39,-63,-34,-62,-51,13107
365,Exploud,16,-19,-43,-14,-32,-31,4647
366,Makuhita,-16,-50,-76,-85,-75,-74,26858
367,Hariyama,56,10,-46,-65,-45,-49,14003
368,Azurill,-38,-90,-66,-85,-65,-79,31591
369,Nosepass,-58,-65,29,-60,-15,-69,17016
370,Skitty,-38,-65,-61,-70,-70,-49,21591
371,Delcatty,-18,-45,-41,-50,-50,-9,9111
372,Sableye,-38,-35,-31,-40,-40,-49,9231
373,Sableye (Mega Sableye),-38,-25,19,-20,10,-79,9171
374,Mawile,-38,-25,-21,-50,-50,-49,9911
375,Mawile (Mega Mawile),-38,-5,19,-50,-10,-49,6831
376,Aron,-38,-40,-6,-65,-65,-69,16291
377,Lairon,-28,-20,34,-55,-55,-59,11871
378,Aggron,-18,0,74,-45,-45,-49,12251
379,Aggron (Mega Aggron),-18,30,124,-45,-25,-49,21651
380,Meditite,-58,-70,-51,-65,-50,-39,19111
381,Medicham,-28,-50,-31,-45,-30,-19,7531
382,Medicham (Mega Medicham),-28,-10,-21,-25,-20,1,2351
383,Electrike,-48,-65,-66,-40,-65,-34,17866
384,Manectric,-18,-35,-46,0,-45,6,5726
385,Manectric (Mega Manectric),-18,-35,-26,30,-25,36,5046
386,Plusle,-28,-60,-66,-20,-30,-4,10056
387,Minun,-28,-70,-56,-30,-20,-4,10136
388,Volbeat,-23,-37,-31,-58,-20,-14,6819
389,Illumise,-23,-63,-31,-32,-20,-14,7079
390,Roselia,-38,-50,-61,-5,-25,-34,9471
391,Gulpin,-18,-67,-53,-62,-52,-59,17651
392,Swalot,12,-37,-23,-32,-22,-44,5486
393,Carvanha,-43,-20,-86,-40,-85,-34,19626
394,Sharpedo,-18,10,-66,-10,-65,-4,9121
395,Sharpedo (Mega Sharpedo),-18,30,-36,5,-40,6,4181
396,Wailmer,42,-40,-71,-35,-70,-39,16051
397,Wailord,82,-20,-61,-15,-60,-39,16191
398,Numel,-28,-50,-66,-40,-60,-64,16936
399,Camerupt,-18,-10,-36,0,-30,-59,6101
400,Camerupt (Mega Camerupt),-18,10,-6,40,0,-79,8301
401,Torkoal,-18,-25,34,-20,-35,-79,9971
402,Spoink,-28,-85,-71,-35,-25,-39,16421
403,Grumpig,-8,-65,-41,-15,5,-19,6581
404,Spinda,-28,-50,-46,-45,-45,-39,10971
405,Trapinch,-43,-10,-61,-60,-60,-89,20791
406,Vibrava,-38,-40,-56,-55,-55,-29,13071
407,Flygon,-8,-10,-26,-25,-25,1,2091
408,Cacnea,-38,-25,-66,-20,-65,-64,15146
409,Cacturne,-18,5,-46,10,-45,-44,6526
410,Swablu,-43,-70,-46,-65,-30,-49,16391
411,Altaria,-13,-40,-16,-35,0,-19,3611
412,Altaria (Mega Altaria),-13,0,4,5,0,-19,571
413,Zangoose,-15,5,-46,-45,-45,-9,6497
414,Seviper,-15,-10,-46,-5,-45,-34,5647
415,Lunatone,2,-55,-41,-10,-20,-29,6051
416,Solrock,2,-15,-21,-50,-40,-29,5611
417,Barboach,-38,-62,-63,-59,-64,-39,18355
418,Whiscash,22,-32,-33,-29,-34,-39,6115
419,Corphish,-45,-30,-41,-55,-70,-64,16627
420,Crawdaunt,-25,10,-21,-15,-50,-44,5827
421,Baltoy,-48,-70,-51,-65,-35,-44,17191
422,Claydol,-28,-40,-1,-35,15,-24,4411
423,Lileep,-22,-69,-29,-44,-18,-76,14122
424,Cradily,-2,-29,-9,-24,2,-56,4642
425,Anorith,-43,-15,-56,-65,-55,-24,13036
426,Armaldo,-13,15,-6,-35,-25,-54,5196
427,Feebas,-68,-95,-86,-95,-50,-19,32931
428,Milotic,7,-50,-27,-5,20,-18,4027
429,Castform,-18,-40,-36,-35,-35,-29,6511
430,Kecleon,-28,-20,-36,-45,15,-59,8211
431,Shuppet,-44,-35,-71,-42,-72,-54,18066
432,Banette,-24,5,-41,-22,-42,-34,5686
433,Banette (Mega Banette),-24,55,-31,-12,-22,-24,5766
434,Duskull,-68,-70,-16,-75,-15,-74,21106
435,Dusclops,-48,-40,24,-45,25,-74,12606
436,Tropius,11,-42,-23,-33,-18,-48,6131
437,Chimecho,-13,-60,-26,-10,-15,-34,5926
438,Absol,-23,20,-46,-30,-45,-24,6546
439,Absol (Mega Absol),-23,40,-46,10,-45,16,6626
440,Wynaut,7,-87,-58,-82,-57,-76,26731
441,Snorunt,-38,-60,-56,-55,-55,-49,16631
442,Glalie,-8,-30,-26,-25,-25,-19,3251
443,Glalie (Mega Glalie),-8,10,-26,15,-25,1,1691
444,Spheal,-18,-70,-56,-50,-55,-74,19361
445,Sealeo,2,-50,-36,-30,-35,-54,8841
446,Walrein,22,-30,-16,-10,-15,-34,3121
447,Clamperl,-53,-46,-21,-31,-50,-67,13316
448,Huntail,-33,-6,-1,-11,-30,-47,4356
449,Gorebyss,-33,-26,-1,9,-30,-47,4956
450,Relicanth,12,-20,24,-60,-40,-44,8256
451,Luvdisc,-45,-80,-51,-65,-40,-2,16855
452,Bagon,-43,-35,-46,-65,-75,-49,17441
453,Shelgon,-23,-15,-6,-45,-55,-49,8241
454,Salamence,7,25,-26,5,-25,1,2001
455,Salamence (Mega Salamence),7,35,24,15,-15,21,2741
456,Beldum,-48,-55,-26,-70,-45,-69,17691
457,Metang,-28,-35,-6,-50,-25,-49,7571
458,Metagross,-8,25,24,-10,-15,-29,2431
459,Metagross (Mega Metagross),-8,35,44,0,5,11,3371
460,Regirock,-8,-10,94,-55,-5,-49,14451
461,Regice,-8,-60,-6,-5,95,-49,15151
462,Registeel,-8,-35,44,-30,45,-49,8551
463,Latias,-8,-30,-16,5,25,11,1991
464,Latias (Mega Latias),-8,-10,14,35,45,11,3731
465,Latios,-8,-20,-26,25,5,11,1911
466,Latios (Mega Latios),-8,20,-6,55,15,11,3871
467,Kyogre,12,-10,-16,45,35,-9,3831
468,Kyogre (Primal Kyogre),12,40,-16,75,55,-9,10731
469,Groudon,12,40,34,-5,-15,-9,3231
