Levin Lee vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
39,Sandslash (Alolan Sandslash),-4,-20,11,-79,-42,25,9167
40,Nidoran♀,-24,-73,-57,-64,-67,1,17740
41,Nidorina,-9,-58,-42,-49,-52,16,10570
42,Nidoqueen,11,-28,-22,-29,-22,36,4010
43,Nidoran♂,-33,-63,-69,-64,-67,10,18504
44,Nidorino,-18,-48,-52,-49,-52,25,11062
45,Nidoking,2,-18,-32,-19,-32,45,4762
46,Clefairy,-9,-75,-61,-44,-42,-5,13152
47,Clefable,16,-50,-36,-9,-17,20,4822
48,Vulpix,-41,-79,-69,-54,-42,25,17988
49,Vulpix (Alolan Vulpix),-41,-79,-69,-54,-42,25,17988
50,Ninetales,-6,-44,-34,-23,-7,60,7306
51,Ninetales (Alolan Ninetales),-6,-53,-34,-23,-7,69,9340
52,Jigglypuff,36,-75,-89,-59,-82,-20,25447
53,Wigglytuff,61,-50,-64,-19,-57,5,13952
54,Zubat,-39,-75,-74,-74,-67,15,22812
55,Golbat,-4,-40,-39,-39,-32,50,8182
56,Oddish,-34,-70,-54,-29,-42,-10,11677
57,Gloom,-19,-55,-39,-19,-32,0,6292
58,Vileplume,-4,-40,-24,6,-17,10,2617
59,Paras,-44,-50,-54,-59,-52,-15,13762
60,Parasect,-19,-25,-29,-44,-27,-10,4592
61,Venonat,-19,-65,-59,-64,-52,5,14892
62,Venomoth,-9,-55,-49,-14,-32,50,9227
63,Diglett,-69,-65,-84,-69,-62,55,27672
64,Diglett (Alolan Diglett),-69,-65,-79,-69,-62,50,26332
65,Dugtrio,-44,-20,-59,-54,-37,80,16502
66,Dugtrio (Alolan Dugtrio),-44,-20,-49,-54,-37,70,13922
67,Meowth,-39,-75,-74,-64,-67,50,23707
68,Meowth (Alolan Meowth),-39,-85,-74,-54,-67,50,24127
69,Meowth (Galarian Meowth),-29,-55,-54,-64,-67,0,15367
70,Persian,-14,-50,-49,-39,-42,75,14007
71,Persian (Alolan Persian),-14,-60,-49,-29,-42,75,14427
72,Psyduck,-29,-68,-61,-39,-57,15,14181
73,Golduck,1,-38,-31,-9,-27,45,5241
74,Mankey,-39,-40,-74,-69,-62,30,18102
75,Primeape,-14,-15,-49,-44,-37,55,9152
76,Growlithe,-24,-50,-64,-34,-57,20,11977
77,Growlithe (Hisuian Growlithe),-19,-45,-64,-39,-57,15,11477
78,Arcanine,11,-10,-29,-4,-27,55,4832
79,Arcanine (Hisuian Arcanine),16,-5,-29,-9,-27,50,4432
80,Poliwag,-39,-70,-69,-64,-67,50,22267
81,Poliwhirl,-14,-55,-44,-54,-57,50,13822
82,Poliwrath,11,-25,-14,-34,-17,30,3287
83,Abra,-54,-100,-94,1,-52,50,26957
84,Kadabra,-39,-85,-79,16,-37,65,20837
85,Alakazam,-24,-70,-64,31,-12,80,17077
86,Alakazam (Mega Alakazam),-24,-70,-44,71,-2,110,24557
87,Machop,-9,-40,-59,-69,-72,-5,15132
88,Machoke,1,-20,-39,-54,-47,5,7072
89,Machamp,11,10,-29,-39,-22,15,3292
90,Bellsprout,-29,-45,-74,-34,-77,0,15427
91,Weepinbell,-14,-30,-59,-19,-62,15,9007
92,Victreebel,1,-15,-44,-4,-37,30,4447
93,Tentacool,-39,-80,-74,-54,-7,30,17262
94,Tentacruel,1,-50,-44,-24,13,60,8782
95,Geodude,-39,-40,-9,-74,-77,-20,15007
96,Geodude (Alolan Geodude),-39,-40,-9,-74,-77,-20,15007
97,Graveler,-24,-25,6,-59,-62,-5,8587
98,Graveler (Alolan Graveler),-24,-25,6,-59,-62,-5,8587
99,Golem,1,0,21,-49,-42,5,4632
100,Golem (Alolan Golem),1,0,21,-49,-42,5,4632
101,Ponyta,-29,-35,-54,-39,-42,50,10767
102,Ponyta (Galarian Ponyta),-29,-35,-54,-39,-42,50,10767
103,Rapidash,-14,-20,-39,-24,-27,65,7647
104,Rapidash (Galarian Rapidash),-14,-20,-39,-24,-27,65,7647
105,Slowpoke,11,-55,-44,-64,-67,-25,14292
106,Slowpoke (Galarian Slowpoke),11,-55,-44,-64,-67,-25,14292
107,Slowbro,16,-45,1,-4,-27,-10,3127
108,Slowbro (Mega Slowbro),16,-45,71,26,-27,-10,8827
109,Slowbro (Galarian Slowbro),16,-20,-14,-4,-37,-10,2337
110,Magnemite,-54,-85,-39,-9,-52,5,14472
111,Magneton,-29,-60,-14,16,-37,30,7162
112,Farfetch'd,-27,-30,-54,-46,-45,20,9086
113,Farfetch'd (Galarian Farfetch'd),-27,-25,-54,-46,-45,15,8636
114,Doduo,-44,-35,-64,-69,-72,35,18427
115,Dodrio,-19,-10,-39,-44,-47,70,11027
116,Seel,-14,-75,-54,-59,-37,5,13612
117,Dewgong,11,-50,-29,-34,-12,30,5662
118,Grimer,1,-40,-59,-64,-57,-15,12652
119,Grimer (Alolan Grimer),1,-40,-59,-64,-57,-15,12652
120,Muk,26,-15,-34,-39,-7,10,3727
121,Muk (Alolan Muk),26,-15,-34,-39,-7,10,3727
122,Shellder,-49,-55,-9,-59,-82,0,15712
123,Cloyster,-29,-25,71,-19,-62,30,11612
124,Gastly,-49,-85,-79,-4,-72,40,22667
125,Haunter,-34,-70,-64,11,-52,55,16002
126,Gengar,-19,-55,-49,26,-32,70,12387
127,Gengar (Mega Gengar),-19,-55,-29,66,-12,90,16827
128,Onix,-44,-75,51,-74,-62,30,20382
129,Drowzee,-19,-72,-64,-61,-17,2,13655
130,Hypno,6,-47,-39,-31,8,27,5520
131,Krabby,-49,-15,-19,-79,-82,10,16052
132,Kingler,-24,10,6,-54,-57,35,8102
133,Voltorb,-39,-90,-59,-49,-52,60,21807
134,Voltorb (Hisuian Voltorb),-39,-90,-59,-49,-52,60,21807
135,Electrode,-19,-70,-39,-24,-27,110,20187
136,Electrode (Hisuian Electrode),-19,-70,-39,-24,-27,110,20187
137,Exeggcute,-19,-80,-29,-44,-62,0,13382
138,Exeggutor,16,-25,-24,21,-32,15,3147
139,Exeggutor (Alolan Exeggutor),16,-15,-24,21,-32,5,2547
140,Cubone,-29,-70,-14,-64,-57,-5,13307
141,Marowak,-19,-40,1,-54,-27,5,5632
142,Marowak (Alolan Marowak),-19,-40,1,-54,-27,5,5632
143,Hitmonlee,-29,0,-56,-69,3,47,10956
144,Hitmonchan,-29,-15,-30,-69,3,36,8032
145,Lickitung,11,-65,-34,-44,-32,-10,8562
146,Koffing,-39,-55,-14,-44,-62,-5,10547
147,Weezing,-14,-30,11,-19,-37,20,3347
148,Weezing (Galarian Weezing),-14,-30,11,-19,-37,20,3347
149,Rhyhorn,1,-35,-14,-74,-77,-15,13052
150,Rhydon,26,10,11,-59,-62,0,8222
151,Chansey,171,-115,-104,-69,-2,10,58147
152,Tangela,-14,-65,6,-4,-67,20,9362
153,Kangaskhan,26,-25,-29,-64,-27,50,9467
154,Kangaskhan (Mega Kangaskhan),26,5,-9,-44,-7,60,6367
155,Horsea,-49,-80,-39,-34,-82,20,18602
156,Seadra,-24,-55,-14,-9,-62,45,9747
157,Goldeen,-34,-53,-49,-69,-57,23,14905
158,Seaking,1,-28,-44,-39,-27,28,5755
159,Staryu,-49,-75,-54,-34,-52,45,16827
160,Starmie,-19,-45,-24,-4,-22,75,9087
161,Mr. Mime,-39,-75,-44,-4,13,50,11767
162,Mr. Mime (Galarian Mr. Mime),-29,-55,-44,-14,-17,60,9887
163,Scyther,-9,-10,-29,-49,-27,65,8377
164,Jynx,-14,-70,-74,11,-12,55,13862
165,Electabuzz,-14,-37,-52,-9,-22,65,9059
166,Magmar,-14,-25,-52,-4,-22,53,6834
167,Pinsir,-14,5,-9,-49,-37,45,6097
168,Pinsir (Mega Pinsir),-14,35,11,-39,-17,65,7577
169,Tauros,-4,-20,-14,-64,-37,70,10977
170,Tauros (Paldean Tauros (Combat Breed)),-4,-10,-4,-74,-37,60,10577
171,Tauros (Paldean Tauros (Blaze Breed)),-4,-10,-4,-74,-37,60,10577
172,Tauros (Paldean Tauros (Aqua Breed)),-4,-10,-4,-74,-37,60,10577
173,Magikarp,-59,-110,-54,-89,-87,40,35587
174,Gyarados,16,5,-30,-44,-7,41,4847
175,Gyarados (Mega Gyarados),16,35,0,-34,23,41,4847
176,Lapras,51,-35,-29,-19,-12,20,5572
177,Ditto,-31,-72,-61,-56,-59,8,16547
178,Eevee,-24,-65,-59,-59,-42,15,13752
179,Eevee (Partner Eevee),-14,-45,-39,-39,-22,35,6972
180,Vaporeon,51,-55,-49,6,-12,25,8832
181,Jolteon,-14,-55,-49,6,-12,90,13902
182,Flareon,-14,10,-49,-9,3,25,3412
183,Porygon,-14,-60,-39,-19,-32,0,6702
184,Omanyte,-44,-80,-9,-14,-52,-5,11342
185,Omastar,-9,-60,16,11,-37,15,5652
186,Kabuto,-49,-40,-19,-49,-62,15,10832
187,Kabutops,-19,-5,-4,-39,-37,40,4892
188,Aerodactyl,1,-15,-44,-44,-32,90,13222
189,Aerodactyl (Mega Aerodactyl),1,15,-24,-34,-12,110,14202
190,Snorlax,81,-10,-44,-39,3,-10,10227
191,Articuno,11,-35,-9,-9,18,45,3857
192,Articuno (Galarian Articuno),11,-35,-24,21,-7,55,5437
193,Zapdos,11,-30,-24,21,-17,60,5927
194,Zapdos (Galarian Zapdos),11,5,-19,-19,-17,60,4757
195,Moltres,11,-20,-19,21,-22,50,4307
196,Moltres (Galarian Moltres),11,-35,-19,-4,18,50,4547
197,Dratini,-38,-56,-64,-54,-57,10,14941
198,Dragonair,-18,-36,-44,-34,-37,30,6981
199,Dragonite,12,14,-14,-4,-7,40,2201
200,Mewtwo,27,-10,-19,50,-17,90,12079
201,Mewtwo (Mega Mewtwo X),27,70,-9,50,-7,90,16359
202,Mewtwo (Mega Mewtwo Y),27,30,-39,90,13,100,21419
203,Mew,21,-20,-9,-4,-7,60,4587
204,Chikorita,-34,-71,-44,-55,-42,5,12947
205,Bayleef,-19,-58,-29,-41,-27,20,7376
206,Meganium,1,-38,-9,-21,-7,40,3616
207,Cyndaquil,-40,-68,-66,-44,-57,25,16390
208,Quilava,-21,-56,-51,-24,-42,40,10118
209,Typhlosion,-1,-36,-31,5,-22,60,6367
210,Typhlosion (Hisuian Typhlosion),-6,-36,-31,15,-22,55,6027
211,Totodile,-29,-55,-45,-60,-59,3,12981
212,Croconaw,-14,-40,-29,-45,-44,18,6922
213,Feraligatr,6,-15,-9,-25,-24,38,2987
214,Sentret,-44,-74,-75,-69,-62,-20,22042
215,Furret,6,-44,-45,-59,-52,50,12682
216,Hoothoot,-19,-90,-79,-68,-51,10,22027
217,Noctowl,21,-70,-59,-18,-11,30,10167
218,Ledyba,-39,-100,-79,-64,-27,15,22812
219,Ledian,-24,-85,-59,-49,3,45,15717
220,Spinarak,-39,-60,-69,-64,-67,-10,18567
221,Ariados,-9,-30,-39,-44,-37,0,5807
222,Crobat,6,-30,-29,-34,-27,90,11762
223,Chinchou,-4,-82,-71,-48,-51,27,17415
224,Lanturn,46,-62,-51,-28,-31,27,11035
225,Pichu,-59,-80,-94,-69,-72,20,29062
226,Cleffa,-29,-95,-81,-59,-52,-25,23237
227,Igglybuff,11,-90,-94,-64,-87,-25,29347
228,Togepi,-44,-100,-44,-64,-42,-20,20132
229,Togetic,-24,-80,-24,-24,-2,0,8132
230,Natu,-39,-70,-64,-34,-62,30,16417
231,Xatu,-14,-45,-39,-9,-37,55,8217
232,Mareep,-24,-80,-69,-39,-62,-5,17127
233,Flaaffy,-9,-65,-54,-24,-47,5,10032
234,Ampharos,11,-45,-24,11,-17,15,3357
235,Ampharos (Mega Ampharos),11,-25,-4,61,3,5,4517
236,Bellossom,-4,-40,-14,-14,-7,10,2157
237,Marill,-9,-100,-59,-84,-57,0,23867
238,Azumarill,21,-70,-29,-44,-27,10,8947
239,Sudowoodo,-9,-20,6,-74,-42,-10,7857
240,Politoed,11,-45,-34,-14,-7,30,4447
241,Hoppip,-44,-85,-69,-69,-52,10,21487
242,Skiploom,-24,-75,-59,-59,-42,40,16527
243,Jumpluff,-4,-65,-39,-49,-12,70,13207
244,Aipom,-24,-50,-54,-64,-52,45,14817
245,Sunkern,-49,-90,-79,-74,-77,-10,28247
246,Sunflora,-4,-45,-54,1,-22,-10,5542
247,Yanma,-14,-55,-64,-29,-62,55,15027
248,Wooper,-24,-75,-64,-79,-82,-25,23887
249,Wooper (Paldean Wooper),-24,-75,-64,-79,-82,-25,23887
250,Quagsire,16,-35,-24,-39,-42,-5,5367
251,Espeon,-14,-55,-49,26,-12,70,11342
252,Umbreon,16,-55,1,-44,23,25,6372
253,Murkrow,-19,-35,-67,-19,-65,51,13262
254,Slowking,16,-45,-29,-4,3,-10,3247
255,Slowking (Galarian Slowking),16,-55,-29,6,3,-10,4267
256,Misdreavus,-19,-60,-49,-19,-22,45,9232
257,Unown,-31,-48,-61,-32,-59,8,11555
258,Wobbuffet,111,-87,-51,-71,-49,-7,29982
259,Girafarig,-9,-40,-44,-14,-42,45,7602
260,Pineco,-29,-55,-19,-69,-72,-25,14797
261,Forretress,-4,-30,31,-44,-47,0,6022
262,Dunsparce,21,-50,-39,-39,-42,5,7772
263,Gligar,-14,-45,-4,-69,-42,45,10787
264,Steelix,-4,-35,91,-49,-42,-10,13787
265,Steelix (Mega Steelix),-4,5,121,-49,-12,-10,17327
266,Snubbull,-19,-40,-59,-64,-67,-10,14127
267,Granbull,11,0,-34,-44,-47,5,5447
268,Qwilfish,-14,-25,-24,-49,-52,45,8527
269,Qwilfish (Hisuian Qwilfish),-14,-25,-24,-49,-52,45,8527
270,Scizor,-9,10,-9,-49,-27,25,4017
271,Scizor (Mega Scizor),-9,30,31,-39,-7,35,4737
272,Shuckle,-59,-110,121,-94,123,-35,55412
273,Heracross,1,5,-34,-64,-12,45,7447
274,Heracross (Mega Heracross),1,65,6,-64,-2,35,9587
275,Sneasel,-24,-25,-54,-69,-32,75,15527
276,Sneasel (Hisuian Sneasel),-24,-25,-54,-69,-32,75,15527
277,Teddiursa,-19,-40,-59,-54,-57,0,11607
278,Ursaring,11,10,-34,-29,-32,15,3467
279,Slugma,-39,-80,-69,-34,-67,-20,18727
280,Magcargo,-19,-70,11,-14,-27,-10,6407
281,Swinub,-29,-70,-69,-74,-77,10,22007
282,Piloswine,21,-20,-29,-44,-47,10,5927
283,Corsola,-14,-65,-14,-39,-12,-5,6307
284,Corsola (Galarian Corsola),-19,-65,-9,-39,-7,-10,6337
285,Remoraid,-44,-55,-74,-39,-72,25,17767
286,Octillery,-4,-15,-34,1,-32,5,2447
287,Delibird,-34,-65,-64,-39,-62,35,16067
288,Mantine,6,-80,-39,-24,33,30,10522
289,Skarmory,-14,-40,31,-64,-37,30,9122
290,Houndour,-34,-60,-79,-24,-57,25,15447
291,Houndoom,-4,-30,-59,6,-27,55,8187
292,Houndoom (Mega Houndoom),-4,-30,-19,36,-17,75,8487
293,Kingdra,-4,-25,-14,-9,-12,45,3087
294,Phanpy,11,-60,-49,-64,-67,0,14707
295,Donphan,11,0,11,-44,-47,10,4487
296,Porygon2,6,-40,-19,1,-12,20,2542
297,Stantler,-6,-25,-47,-19,-42,45,7020
298,Smeargle,-24,-100,-74,-84,-62,35,28177
299,Tyrogue,-44,-85,-74,-69,-72,-5,24607
300,Hitmontop,-29,-25,-14,-69,3,30,7332
301,Smoochum,-34,-90,-94,-19,-42,25,20842
302,Elekid,-34,-57,-72,-39,-52,55,16839
303,Magby,-34,-45,-72,-34,-52,43,14074
304,Miltank,16,-40,-4,-64,-37,60,10937
305,Blissey,176,-110,-99,-29,28,15,54727
306,Raikou,11,-35,-34,11,-7,75,8297
307,Entei,36,-5,-24,-14,-32,60,6717
308,Suicune,21,-45,6,-14,8,45,4787
309,Larvitar,-29,-56,-59,-59,-57,1,14189
310,Pupitar,-9,-36,-39,-39,-37,11,5909
311,Tyranitar,21,14,1,-9,-7,21,1209
312,Tyranitar (Mega Tyranitar),21,44,41,-9,13,31,5269
313,Lugia,27,-30,21,-14,47,70,9375
314,Ho-Oh,27,10,-19,6,47,50,5935
315,Celebi,21,-20,-9,-4,-7,60,4587
316,Treecko,-39,-75,-74,-39,-52,30,17747
317,Grovyle,-29,-55,-64,-19,-42,55,13112
318,Sceptile,-9,-35,-44,1,-22,80,10127
319,Sceptile (Mega Sceptile),-9,-10,-34,41,-22,105,14527
320,Torchic,-34,-60,-69,-34,-57,5,13947
321,Combusken,-19,-35,-49,-19,-47,15,6782
322,Blaziken,1,0,-39,6,-37,40,4527
323,Blaziken (Mega Blaziken),1,40,-29,26,-27,60,7447
324,Mudkip,-29,-50,-59,-54,-57,0,12987
325,Marshtomp,-9,-35,-39,-44,-37,10,6232
326,Swampert,21,-10,-19,-19,-17,20,1952
327,Swampert (Mega Swampert),21,30,1,-9,3,30,2332
328,Poochyena,-44,-65,-74,-74,-77,-5,23067
329,Mightyena,-9,-30,-39,-44,-47,30,7547
330,Zigzagoon,-41,-90,-68,-74,-66,20,24637
331,Zigzagoon (Galarian Zigzagoon),-41,-90,-68,-74,-66,20,24637
332,Linoone,-1,-50,-48,-54,-46,60,13437
333,Linoone (Galarian Linoone),-1,-50,-48,-54,-46,60,13437
334,Wurmple,-34,-75,-74,-84,-77,-20,25642
335,Silcoon,-29,-85,-54,-79,-82,-25,24572
336,Beautifly,-19,-50,-59,-4,-57,25,10232
337,Cascoon,-29,-85,-54,-79,-82,-25,24572
338,Dustox,-19,-70,-39,-54,-17,25,10612
339,Lotad,-39,-90,-79,-64,-57,-10,23307
340,Lombre,-19,-70,-59,-44,-37,10,12147
341,Ludicolo,1,-50,-39,-14,-7,30,5167
342,Seedot,-39,-80,-59,-74,-77,-10,22907
343,Nuzleaf,-9,-50,-69,-44,-67,20,14167
344,Shiftry,11,-20,-49,-14,-47,40,6927
345,Taillow,-39,-65,-79,-74,-77,45,25417
346,Swellow,-19,-35,-49,-29,-57,85,15302
347,Wingull,-39,-90,-79,-49,-77,45,26217
348,Pelipper,-19,-70,-9,-9,-37,25,7417
349,Ralts,-51,-95,-84,-59,-72,0,27347
350,Kirlia,-41,-85,-74,-39,-52,10,18707
351,Gardevoir,-11,-55,-44,21,8,40,7187
352,Gardevoir (Mega Gardevoir),-11,-35,-44,61,28,60,11387
353,Surskit,-39,-90,-77,-54,-55,25,22116
354,Masquerain,-9,-60,-47,-4,-25,40,8131
355,Shroomish,-19,-80,-49,-64,-47,-5,15492
356,Breloom,-19,10,-29,-44,-47,30,6347
357,Slakoth,-19,-60,-49,-69,-72,-10,16407
358,Vigoroth,1,-40,-29,-49,-52,50,10047
359,Slaking,71,40,-9,-9,-42,60,12167
360,Nincada,-48,-75,-19,-74,-77,0,19695
361,Ninjask,-18,-30,-64,-54,-57,120,25885
362,Shedinja,-78,-30,-64,-74,-77,0,22485
363,Whismur,-15,-69,-86,-53,-84,-12,22391
364,Loudred,5,-49,-66,-33,-64,8,12031
365,Exploud,25,-29,-46,-13,-34,28,5691
366,Makuhita,-7,-60,-79,-84,-77,-15,23100
367,Hariyama,65,0,-49,-64,-47,10,13031
368,Azurill,-29,-100,-69,-84,-67,-20,27547
369,Nosepass,-49,-75,26,-59,-17,-10,12572
370,Skitty,-29,-75,-64,-69,-72,10,20607
371,Delcatty,-9,-55,-44,-49,-52,50,12647
372,Sableye,-29,-45,-34,-39,-42,10,7407
373,Sableye (Mega Sableye),-29,-35,16,-19,8,-20,3147
374,Mawile,-29,-35,-24,-49,-52,10,7847
375,Mawile (Mega Mawile),-29,-15,16,-49,-12,10,3967
376,Aron,-29,-50,-9,-64,-67,-10,12107
377,Lairon,-19,-30,31,-54,-57,0,8387
378,Aggron,-9,-10,71,-44,-47,10,9467
379,Aggron (Mega Aggron),-9,20,121,-44,-27,10,17887
380,Meditite,-49,-80,-54,-64,-52,20,18917
381,Medicham,-19,-60,-34,-44,-32,40,9677
382,Medicham (Mega Medicham),-19,-20,-24,-24,-22,60,5997
383,Electrike,-39,-75,-69,-39,-67,25,18542
384,Manectric,-9,-45,-49,1,-47,65,10942
385,Manectric (Mega Manectric),-9,-45,-29,31,-27,95,13662
386,Plusle,-19,-70,-69,-19,-32,55,14432
387,Minun,-19,-80,-59,-29,-22,55,14592
388,Volbeat,-14,-47,-34,-57,-22,45,9319
389,Illumise,-14,-73,-34,-31,-22,45,10151
390,Roselia,-29,-60,-64,-4,-27,25,9907
391,Gulpin,-9,-77,-56,-61,-54,0,15783
392,Swalot,21,-47,-26,-31,-24,15,5088
393,Carvanha,-34,-30,-89,-39,-87,25,19692
394,Sharpedo,-9,0,-69,-9,-67,55,12437
395,Sharpedo (Mega Sharpedo),-9,20,-39,6,-42,65,8027
396,Wailmer,51,-50,-74,-34,-72,20,17317
397,Wailord,91,-30,-64,-14,-62,20,17717
398,Numel,-19,-60,-69,-39,-62,-5,14112
399,Camerupt,-9,-20,-39,1,-32,0,3027
400,Camerupt (Mega Camerupt),-9,0,-9,41,-2,-20,2247
401,Torkoal,-9,-35,31,-19,-37,-20,4397
402,Spoink,-19,-95,-74,-34,-27,20,17147
403,Grumpig,1,-75,-44,-14,3,40,9367
404,Spinda,-19,-60,-49,-44,-47,20,10907
405,Trapinch,-34,-20,-64,-59,-62,-30,13877
406,Vibrava,-29,-50,-59,-54,-57,30,13887
407,Flygon,1,-20,-29,-24,-27,60,6147
408,Cacnea,-29,-35,-69,-19,-67,-5,11702
409,Cacturne,-9,-5,-49,11,-47,15,5062
410,Swablu,-34,-80,-49,-64,-32,10,15177
411,Altaria,-4,-50,-19,-34,-2,40,5637
412,Altaria (Mega Altaria),-4,-10,1,6,-2,40,1757
413,Zangoose,-6,-5,-49,-44,-47,50,9107
414,Seviper,-6,-20,-49,-4,-47,25,5687
415,Lunatone,11,-65,-44,-9,-22,30,7747
416,Solrock,11,-25,-24,-49,-42,30,6387
417,Barboach,-29,-72,-66,-58,-66,20,18501
418,Whiscash,31,-42,-36,-28,-36,20,6501
419,Corphish,-36,-40,-44,-54,-72,-5,12957
420,Crawdaunt,-16,0,-24,-14,-52,15,3957
421,Baltoy,-39,-80,-54,-64,-37,15,16527
422,Claydol,-19,-50,-4,-34,13,35,5427
423,Lileep,-13,-79,-32,-43,-20,-17,9972
424,Cradily,7,-39,-12,-23,0,3,2252
425,Anorith,-34,-25,-59,-64,-57,35,13832
426,Armaldo,-4,5,-9,-34,-27,5,2032
427,Feebas,-59,-105,-89,-94,-52,40,35567
428,Milotic,16,-60,-30,-4,18,41,6777
429,Castform,-9,-50,-39,-34,-37,30,7527
430,Kecleon,-19,-30,-39,-44,13,0,4887
431,Shuppet,-35,-45,-74,-41,-74,5,15908
432,Banette,-15,-5,-44,-21,-44,25,5188
433,Banette (Mega Banette),-15,45,-34,-11,-24,35,5328
434,Duskull,-59,-80,-19,-74,-17,-15,16232
435,Dusclops,-39,-50,21,-44,23,-15,7152
436,Tropius,20,-52,-26,-32,-20,11,5325
437,Chimecho,-4,-70,-29,-9,-17,25,6752
438,Absol,-14,10,-49,-29,-47,35,6972
439,Absol (Mega Absol),-14,30,-49,11,-47,75,11452
440,Wynaut,16,-97,-61,-81,-59,-17,23717
441,Snorunt,-29,-70,-59,-54,-57,10,15487
442,Glalie,1,-40,-29,-24,-27,40,5347
443,Glalie (Mega Glalie),1,0,-29,16,-27,60,5427
444,Spheal,-9,-80,-59,-49,-57,-15,15837
445,Sealeo,11,-60,-39,-29,-37,5,7477
446,Walrein,31,-40,-19,-9,-17,25,3917
447,Clamperl,-44,-56,-24,-30,-52,-8,9316
448,Huntail,-24,-16,-4,-10,-32,12,2116
449,Gorebyss,-24,-36,-4,10,-32,12,3156
450,Relicanth,21,-30,21,-59,-42,15,7252
451,Luvdisc,-36,-90,-54,-64,-42,57,21421
452,Bagon,-34,-45,-49,-64,-77,10,15707
453,Shelgon,-14,-25,-9,-44,-57,10,6187
454,Salamence,16,15,-29,6,-27,60,5687
455,Salamence (Mega Salamence),16,25,21,16,-17,80,8267
456,Beldum,-39,-65,-29,-69,-47,-10,13657
457,Metang,-19,-45,-9,-49,-27,10,5697
458,Metagross,1,15,21,-9,-17,30,1937
459,Metagross (Mega Metagross),1,25,41,1,3,70,7217
460,Regirock,1,-20,91,-54,-7,10,11747
461,Regice,1,-70,-9,-4,93,10,13747
462,Registeel,1,-45,41,-29,43,10,6497
463,Latias,1,-40,-19,6,23,70,7427
464,Latias (Mega Latias),1,-20,11,36,43,70,8567
465,Latios,1,-30,-29,26,3,70,7327
466,Latios (Mega Latios),1,10,-9,56,13,70,8387
467,Kyogre,21,-20,-19,46,33,50,6907
468,Kyogre (Primal Kyogre),21,30,-19,76,53,50,12787
469,Groudon,21,30,31,-4,-17,50,5107
470,Groudon (Primal Groudon),21,60,51,46,-17,50,11547
471,Rayquaza,26,30,-19,46,-17,55,7367
472,Rayquaza (Mega Rayquaza),26,60,-9,76,-7,75,15807
473,Jirachi,21,-20,-9,-4,-7,60,4587
474,Deoxys (Normal Forme),-29,30,-59,46,-57,110,22687
475,Deoxys (Attack Forme),-29,60,-89,76,-87,110,37807
476,Deoxys (Defense Forme),-29,-50,51,-34,53,50,12407
477,Deoxys (Speed Forme),-29,-25,-19,-9,-17,140,21797
478,Turtwig,-24,-52,-45,-59,-52,-9,11571
479,Grotle,-4,-31,-24,-49,-42,-4,5734
