Carolyn LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
210,Typhlosion (Hisuian Typhlosion),2,-25,-19,54,5,0,3931
211,Totodile,-21,-44,-33,-21,-32,-52,7635
212,Croconaw,-6,-29,-17,-6,-17,-37,2860
213,Feraligatr,14,-4,3,14,3,-17,715
214,Sentret,-36,-63,-63,-30,-35,-75,16984
215,Furret,14,-33,-33,-20,-25,-5,3424
216,Hoothoot,-11,-79,-67,-29,-24,-45,14293
217,Noctowl,29,-59,-47,21,16,-25,7853
218,Ledyba,-31,-89,-67,-25,0,-40,15596
219,Ledian,-16,-74,-47,-10,30,-10,9041
220,Spinarak,-31,-49,-57,-25,-40,-65,13061
221,Ariados,-1,-19,-27,-5,-10,-55,4241
222,Crobat,14,-19,-17,5,0,35,2096
223,Chinchou,4,-71,-59,-9,-24,-28,9979
224,Lanturn,54,-51,-39,11,-4,-28,7959
225,Pichu,-51,-69,-82,-30,-45,-35,18236
226,Cleffa,-21,-84,-69,-20,-25,-80,19683
227,Igglybuff,19,-79,-82,-25,-60,-80,23951
228,Togepi,-36,-89,-32,-25,-15,-75,16716
229,Togetic,-16,-69,-12,15,25,-55,9036
230,Natu,-31,-59,-52,5,-35,-25,9021
231,Xatu,-6,-34,-27,30,-10,0,2921
232,Mareep,-16,-69,-57,0,-35,-60,13091
233,Flaaffy,-1,-54,-42,15,-20,-50,7806
234,Ampharos,19,-34,-12,50,10,-40,5861
235,Ampharos (Mega Ampharos),19,-14,8,100,30,-50,14021
236,Bellossom,4,-29,-2,25,20,-45,3911
237,Marill,-1,-89,-47,-45,-30,-55,16081
238,Azumarill,29,-59,-17,-5,0,-45,6661
239,Sudowoodo,-1,-9,18,-35,-15,-65,6081
240,Politoed,19,-34,-22,25,20,-25,3651
241,Hoppip,-36,-74,-57,-30,-25,-45,13571
242,Skiploom,-16,-64,-47,-20,-15,-15,7411
243,Jumpluff,4,-54,-27,-10,15,15,4211
244,Aipom,-16,-39,-42,-25,-25,-10,4891
245,Sunkern,-41,-79,-67,-35,-50,-65,20361
246,Sunflora,4,-34,-42,40,5,-65,8786
247,Yanma,-6,-44,-52,10,-35,0,6001
248,Wooper,-16,-64,-52,-40,-55,-80,18081
249,Wooper (Paldean Wooper),-16,-64,-52,-40,-55,-80,18081
250,Quagsire,24,-24,-12,0,-15,-60,5121
251,Espeon,-6,-44,-37,65,15,15,8016
252,Umbreon,24,-44,13,-5,50,-30,6106
253,Murkrow,-11,-24,-55,20,-38,-4,5582
254,Slowking,24,-34,-17,35,30,-65,8371
255,Slowking (Galarian Slowking),24,-44,-17,45,30,-65,9951
256,Misdreavus,-11,-49,-37,20,5,-10,4416
257,Unown,-23,-37,-49,7,-32,-47,7581
258,Wobbuffet,119,-76,-39,-32,-22,-62,26810
259,Girafarig,-1,-29,-32,25,-15,-10,2816
260,Pineco,-21,-44,-7,-30,-45,-80,11751
261,Forretress,4,-19,43,-5,-20,-55,5676
262,Dunsparce,29,-39,-27,0,-15,-50,5816
263,Gligar,-6,-34,8,-30,-15,-10,2481
264,Steelix,4,-24,103,-10,-15,-65,15751
265,Steelix (Mega Steelix),4,16,133,-10,15,-65,22511
266,Snubbull,-11,-29,-47,-25,-40,-65,9621
267,Granbull,19,11,-22,-5,-20,-50,3891
268,Qwilfish,-6,-14,-12,-10,-25,-10,1201
269,Qwilfish (Hisuian Qwilfish),-6,-14,-12,-10,-25,-10,1201
270,Scizor,-1,21,3,-10,0,-30,1451
271,Scizor (Mega Scizor),-1,41,43,0,20,-20,4331
272,Shuckle,-51,-99,133,-55,150,-90,63716
273,Heracross,9,16,-22,-25,15,-10,1771
274,Heracross (Mega Heracross),9,76,18,-25,25,-20,7831
275,Sneasel,-16,-14,-42,-30,-5,20,3541
276,Sneasel (Hisuian Sneasel),-16,-14,-42,-30,-5,20,3541
277,Teddiursa,-11,-29,-47,-15,-30,-55,7321
278,Ursaring,19,21,-22,10,-5,-40,3011
279,Slugma,-31,-69,-57,5,-40,-75,16221
280,Magcargo,-11,-59,23,25,0,-65,8981
281,Swinub,-21,-59,-57,-35,-50,-45,12921
282,Piloswine,29,-9,-17,-5,-20,-45,3661
283,Corsola,-6,-54,-2,0,15,-60,6781
284,Corsola (Galarian Corsola),-11,-54,3,0,20,-65,7671
285,Remoraid,-36,-44,-62,0,-45,-30,10001
286,Octillery,4,-4,-22,40,-5,-50,4641
287,Delibird,-26,-54,-52,0,-35,-20,7921
288,Mantine,14,-69,-27,15,60,-25,10136
289,Skarmory,-6,-29,43,-25,-10,-25,4076
290,Houndour,-26,-49,-67,15,-30,-30,9591
291,Houndoom,4,-19,-47,45,0,0,4611
292,Houndoom (Mega Houndoom),4,-19,-7,75,10,20,6551
293,Kingdra,4,-14,-2,30,15,-10,1441
294,Phanpy,19,-49,-37,-25,-40,-55,9381
295,Donphan,19,11,23,-5,-20,-45,3461
296,Porygon2,14,-29,-7,40,15,-35,4136
297,Stantler,2,-14,-35,20,-15,-10,2150
298,Smeargle,-16,-89,-62,-45,-35,-20,15671
299,Tyrogue,-36,-74,-62,-30,-45,-60,17141
300,Hitmontop,-21,-14,-2,-30,30,-25,3066
301,Smoochum,-26,-79,-82,20,-15,-30,15166
302,Elekid,-26,-46,-60,0,-25,0,7017
303,Magby,-26,-34,-60,5,-25,-12,6226
304,Miltank,24,-29,8,-25,-10,5,2231
305,Blissey,184,-99,-87,10,55,-40,55951
306,Raikou,19,-24,-22,50,20,20,4721
307,Entei,44,6,-12,25,-5,5,2791
308,Suicune,29,-34,18,25,35,-10,4271
309,Larvitar,-21,-45,-47,-20,-30,-54,8891
310,Pupitar,-1,-25,-27,0,-10,-44,3391
311,Tyranitar,29,25,13,30,20,-34,4091
312,Tyranitar (Mega Tyranitar),29,55,53,30,40,-24,9751
313,Lugia,35,-19,33,25,74,15,9001
314,Ho-Oh,35,21,-7,45,74,-5,9241
315,Celebi,29,-9,3,35,20,5,2581
316,Treecko,-31,-64,-62,0,-25,-25,10151
317,Grovyle,-21,-44,-52,20,-15,0,5706
318,Sceptile,-1,-24,-32,40,5,25,3851
319,Sceptile (Mega Sceptile),-1,1,-22,80,5,50,9411
320,Torchic,-26,-49,-57,5,-30,-50,9751
321,Combusken,-11,-24,-37,20,-20,-40,4466
322,Blaziken,9,11,-27,45,-10,-15,3281
323,Blaziken (Mega Blaziken),9,51,-17,65,0,5,7221
324,Mudkip,-21,-39,-47,-15,-30,-55,8321
325,Marshtomp,-1,-24,-27,-5,-10,-45,3456
326,Swampert,29,1,-7,20,10,-35,2616
327,Swampert (Mega Swampert),29,41,13,30,30,-25,5116
328,Poochyena,-36,-54,-62,-35,-50,-60,15381
329,Mightyena,-1,-19,-27,-5,-20,-25,2141
330,Zigzagoon,-33,-79,-56,-35,-39,-35,14437
331,Zigzagoon (Galarian Zigzagoon),-33,-79,-56,-35,-39,-35,14437
332,Linoone,7,-39,-36,-15,-19,5,3477
333,Linoone (Galarian Linoone),7,-39,-36,-15,-19,5,3477
334,Wurmple,-26,-64,-62,-45,-50,-75,18766
335,Silcoon,-21,-74,-42,-40,-55,-80,18706
336,Beautifly,-11,-39,-47,35,-30,-30,6876
337,Cascoon,-21,-74,-42,-40,-55,-80,18706
338,Dustox,-11,-59,-27,-15,10,-30,5556
339,Lotad,-31,-79,-67,-25,-30,-65,17441
340,Lombre,-11,-59,-47,-5,-10,-45,7961
341,Ludicolo,9,-39,-27,25,20,-25,3981
342,Seedot,-31,-69,-47,-35,-50,-65,15881
343,Nuzleaf,-1,-39,-57,-5,-40,-35,7621
344,Shiftry,19,-9,-37,25,-20,-15,3061
345,Taillow,-31,-54,-67,-35,-50,-10,12191
346,Swellow,-11,-24,-37,10,-30,30,3966
347,Wingull,-31,-79,-67,-10,-50,-10,14391
348,Pelipper,-11,-59,3,30,-10,-30,5511
349,Ralts,-43,-84,-72,-20,-45,-55,19539
350,Kirlia,-33,-74,-62,0,-25,-45,13059
351,Gardevoir,-3,-44,-32,60,35,-15,8019
352,Gardevoir (Mega Gardevoir),-3,-24,-32,100,55,5,14659
353,Surskit,-31,-79,-65,-15,-28,-30,13336
354,Masquerain,-1,-49,-35,35,2,-15,5081
355,Shroomish,-11,-69,-37,-25,-20,-60,10876
356,Breloom,-11,21,-17,-5,-20,-25,1901
357,Slakoth,-11,-49,-37,-30,-45,-65,11041
358,Vigoroth,9,-29,-17,-10,-25,-5,1961
359,Slaking,79,51,3,30,-15,5,10001
360,Nincada,-40,-64,-7,-35,-50,-55,12495
361,Ninjask,-10,-19,-52,-15,-30,65,8515
362,Shedinja,-70,-19,-52,-35,-50,-55,14715
363,Whismur,-7,-58,-74,-14,-57,-67,16823
364,Loudred,13,-38,-54,6,-37,-47,8143
365,Exploud,33,-18,-34,26,-7,-27,4023
366,Makuhita,1,-49,-67,-45,-50,-70,16316
367,Hariyama,73,11,-37,-25,-20,-45,9869
368,Azurill,-21,-89,-57,-45,-40,-75,20861
369,Nosepass,-41,-64,38,-20,10,-65,11946
370,Skitty,-21,-64,-52,-30,-45,-45,12191
371,Delcatty,-1,-44,-32,-10,-25,-5,3711
372,Sableye,-21,-34,-22,0,-15,-45,4331
373,Sableye (Mega Sableye),-21,-24,28,20,35,-75,9051
374,Mawile,-21,-24,-12,-10,-25,-45,3911
375,Mawile (Mega Mawile),-21,-4,28,-10,15,-45,3591
376,Aron,-21,-39,3,-25,-40,-65,8421
377,Lairon,-11,-19,43,-15,-30,-55,6481
378,Aggron,-1,1,83,-5,-20,-45,9341
379,Aggron (Mega Aggron),-1,31,133,-5,0,-45,20701
380,Meditite,-41,-69,-42,-25,-25,-35,10681
381,Medicham,-11,-49,-22,-5,-5,-15,3281
382,Medicham (Mega Medicham),-11,-9,-12,15,5,5,621
383,Electrike,-31,-64,-57,0,-40,-30,10806
384,Manectric,-1,-34,-37,40,-20,10,4626
385,Manectric (Mega Manectric),-1,-34,-17,70,0,40,7946
386,Plusle,-11,-59,-57,20,-5,0,7276
387,Minun,-11,-69,-47,10,5,0,7216
388,Volbeat,-6,-36,-22,-18,5,-10,2265
389,Illumise,-6,-62,-22,8,5,-10,4553
390,Roselia,-21,-49,-52,35,0,-30,7671
391,Gulpin,-1,-66,-44,-22,-27,-55,10531
392,Swalot,29,-36,-14,8,3,-40,4006
393,Carvanha,-26,-19,-77,0,-60,-30,11466
394,Sharpedo,-1,11,-57,30,-40,0,5871
395,Sharpedo (Mega Sharpedo),-1,31,-27,45,-15,10,4041
396,Wailmer,59,-39,-62,5,-45,-35,12121
397,Wailord,99,-19,-52,25,-35,-35,15941
398,Numel,-11,-49,-57,0,-35,-60,10596
399,Camerupt,-1,-9,-27,40,-5,-55,5461
400,Camerupt (Mega Camerupt),-1,11,3,80,25,-75,12781
401,Torkoal,-1,-24,43,20,-10,-75,8551
402,Spoink,-11,-84,-62,5,0,-35,12271
403,Grumpig,9,-64,-32,25,30,-15,6951
404,Spinda,-11,-49,-37,-5,-20,-35,5541
405,Trapinch,-26,-9,-52,-20,-35,-85,12311
406,Vibrava,-21,-39,-47,-15,-30,-25,5921
407,Flygon,9,-9,-17,15,0,5,701
408,Cacnea,-21,-24,-57,20,-40,-60,9866
409,Cacturne,-1,6,-37,50,-20,-40,5906
410,Swablu,-26,-69,-37,-25,-5,-45,9481
411,Altaria,4,-39,-7,5,25,-15,2461
412,Altaria (Mega Altaria),4,1,13,45,25,-15,3061
413,Zangoose,2,6,-37,-5,-20,-5,1859
414,Seviper,2,-9,-37,35,-20,-30,3979
415,Lunatone,19,-54,-32,30,5,-25,5851
416,Solrock,19,-14,-12,-10,-15,-25,1651
417,Barboach,-21,-61,-54,-19,-39,-35,10185
418,Whiscash,39,-31,-24,11,-9,-35,4485
419,Corphish,-28,-29,-32,-15,-45,-60,8499
420,Crawdaunt,-8,11,-12,25,-25,-40,3179
421,Baltoy,-31,-69,-42,-25,-10,-40,9811
422,Claydol,-11,-39,8,5,40,-20,3731
423,Lileep,-5,-68,-20,-4,7,-72,10298
424,Cradily,15,-28,0,16,27,-52,4698
425,Anorith,-26,-14,-47,-25,-30,-20,5006
426,Armaldo,4,16,3,5,0,-50,2806
427,Feebas,-51,-94,-77,-55,-25,-15,21241
428,Milotic,24,-49,-18,35,45,-14,6747
429,Castform,-1,-39,-27,5,-10,-25,3001
430,Kecleon,-11,-19,-27,-5,40,-55,5861
431,Shuppet,-27,-34,-62,-2,-47,-50,10442
432,Banette,-7,6,-32,18,-17,-30,2622
433,Banette (Mega Banette),-7,56,-22,28,3,-20,4862
434,Duskull,-51,-69,-7,-35,10,-70,13636
435,Dusclops,-31,-39,33,-5,50,-70,10996
436,Tropius,28,-41,-14,7,7,-44,4695
437,Chimecho,4,-59,-17,30,10,-30,5686
438,Absol,-6,21,-37,10,-20,-20,2746
439,Absol (Mega Absol),-6,41,-37,50,-20,20,6386
440,Wynaut,24,-86,-49,-42,-32,-72,18345
441,Snorunt,-21,-59,-47,-15,-30,-45,9281
442,Glalie,9,-29,-17,15,0,-15,1661
443,Glalie (Mega Glalie),9,11,-17,55,0,5,3541
444,Spheal,-1,-69,-47,-10,-30,-70,12871
445,Sealeo,19,-49,-27,10,-10,-50,6191
446,Walrein,39,-29,-7,30,10,-30,4311
447,Clamperl,-36,-45,-12,9,-25,-63,8140
448,Huntail,-16,-5,8,29,-5,-43,3060
449,Gorebyss,-16,-25,8,49,-5,-43,5220
450,Relicanth,29,-19,33,-20,-15,-40,4516
451,Luvdisc,-28,-79,-42,-25,-15,2,9643
452,Bagon,-26,-34,-37,-25,-50,-45,8351
453,Shelgon,-6,-14,3,-5,-30,-45,3191
454,Salamence,24,26,-17,45,0,5,3591
455,Salamence (Mega Salamence),24,36,33,55,10,25,6711
456,Beldum,-31,-54,-17,-30,-20,-65,9691
457,Metang,-11,-34,3,-10,0,-45,3411
458,Metagross,9,26,33,30,10,-25,3471
459,Metagross (Mega Metagross),9,36,53,40,30,15,6911
460,Regirock,9,-9,103,-15,20,-45,13421
461,Regice,9,-59,3,35,120,-45,21221
462,Registeel,9,-34,53,10,70,-45,11071
463,Latias,9,-29,-7,45,50,15,5721
464,Latias (Mega Latias),9,-9,23,75,70,15,11441
465,Latios,9,-19,-17,65,30,15,6081
466,Latios (Mega Latios),9,21,3,95,40,15,11381
467,Kyogre,29,-9,-7,85,60,-5,11821
468,Kyogre (Primal Kyogre),29,41,-7,115,80,-5,22221
469,Groudon,29,41,43,35,10,-5,5721
470,Groudon (Primal Groudon),29,71,63,85,10,-5,17201
471,Rayquaza,34,41,-7,85,10,0,10211
472,Rayquaza (Mega Rayquaza),34,71,3,115,20,20,20231
473,Jirachi,29,-9,3,35,20,5,2581
474,Deoxys (Normal Forme),-21,41,-47,85,-30,55,15481
475,Deoxys (Attack Forme),-21,71,-77,115,-60,55,31261
476,Deoxys (Defense Forme),-21,-39,63,5,80,-5,12381
477,Deoxys (Speed Forme),-21,-14,-7,30,10,85,8911
478,Turtwig,-16,-41,-33,-20,-25,-64,8147
479,Grotle,4,-20,-12,-10,-15,-59,4366
480,Torterra,24,0,8,10,5,-39,2286
481,Chimchar,-27,-51,-53,-7,-36,-34,8640
482,Monferno,-7,-31,-45,13,-28,-14,4184
483,Infernape,5,-5,-26,39,-9,13,2497
484,Piplup,-18,-58,-44,-4,-24,-55,9241
