Nathan Snow vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
150,Rhydon,20,20,14,-29,-57,-62,8930
151,Chansey,165,-105,-101,-39,3,-52,52685
152,Tangela,-20,-55,9,26,-62,-42,9790
153,Kangaskhan,20,-15,-26,-34,-22,-12,3085
154,Kangaskhan (Mega Kangaskhan),20,15,-6,-14,-2,-2,865
155,Horsea,-55,-70,-36,-4,-77,-42,16930
156,Seadra,-30,-45,-11,21,-57,-17,7025
157,Goldeen,-40,-43,-46,-39,-52,-39,11311
158,Seaking,-5,-18,-41,-9,-22,-34,3751
159,Staryu,-55,-65,-51,-4,-47,-17,12365
160,Starmie,-25,-35,-21,26,-17,13,3425
161,Mr. Mime,-45,-65,-41,26,18,-12,9075
162,Mr. Mime (Galarian Mr. Mime),-35,-45,-41,16,-12,-2,5335
163,Scyther,-15,0,-26,-19,-22,3,1755
164,Jynx,-20,-60,-71,41,-7,-7,10820
165,Electabuzz,-20,-27,-49,21,-17,3,4269
166,Magmar,-20,-15,-49,26,-17,-9,4072
167,Pinsir,-20,15,-6,-19,-32,-17,2335
168,Pinsir (Mega Pinsir),-20,45,14,-9,-12,3,2855
169,Tauros,-10,-10,-11,-34,-32,8,2565
170,Tauros (Paldean Tauros (Combat Breed)),-10,0,-1,-44,-32,-2,3065
171,Tauros (Paldean Tauros (Blaze Breed)),-10,0,-1,-44,-32,-2,3065
172,Tauros (Paldean Tauros (Aqua Breed)),-10,0,-1,-44,-32,-2,3065
173,Magikarp,-65,-100,-51,-59,-82,-22,27515
174,Gyarados,10,15,-27,-14,-2,-21,1695
175,Gyarados (Mega Gyarados),10,45,3,-4,28,-21,3375
176,Lapras,45,-25,-26,11,-7,-42,5260
177,Ditto,-37,-62,-58,-26,-54,-54,15085
178,Eevee,-30,-55,-56,-29,-37,-47,11480
179,Eevee (Partner Eevee),-20,-35,-36,-9,-17,-27,4020
180,Vaporeon,45,-45,-46,36,-7,-37,8880
181,Jolteon,-20,-45,-46,36,-7,28,6670
182,Flareon,-20,20,-46,21,8,-37,4790
183,Porygon,-20,-50,-36,11,-27,-62,8890
184,Omanyte,-50,-70,-6,16,-47,-67,14390
185,Omastar,-15,-50,19,41,-32,-47,8000
186,Kabuto,-55,-30,-16,-19,-57,-47,10000
187,Kabutops,-25,5,-1,-9,-32,-22,2240
188,Aerodactyl,-5,-5,-41,-14,-27,28,3440
189,Aerodactyl (Mega Aerodactyl),-5,25,-21,-4,-7,48,3460
190,Snorlax,75,0,-41,-9,8,-72,12635
191,Articuno,5,-25,-6,21,23,-17,1945
192,Articuno (Galarian Articuno),5,-25,-21,51,-2,-7,3745
193,Zapdos,5,-20,-21,51,-12,-2,3615
194,Zapdos (Galarian Zapdos),5,15,-16,11,-12,-2,775
195,Moltres,5,-10,-16,51,-17,-12,3415
196,Moltres (Galarian Moltres),5,-25,-16,26,23,-12,2255
197,Dratini,-44,-46,-61,-24,-52,-52,13757
198,Dragonair,-24,-26,-41,-4,-32,-32,4997
199,Dragonite,6,24,-11,26,-2,-22,1897
200,Mewtwo,21,0,-16,80,-12,28,8025
201,Mewtwo (Mega Mewtwo X),21,80,-6,80,-2,28,14065
202,Mewtwo (Mega Mewtwo Y),21,40,-36,120,18,38,19505
203,Mew,15,-10,-6,26,-2,-2,1045
204,Chikorita,-40,-61,-41,-25,-37,-57,12245
205,Bayleef,-25,-48,-26,-11,-22,-42,5974
206,Meganium,-5,-28,-6,9,-2,-22,1414
207,Cyndaquil,-46,-58,-63,-14,-52,-37,13718
208,Quilava,-27,-46,-48,6,-37,-22,7038
209,Typhlosion,-7,-26,-28,35,-17,-2,3027
210,Typhlosion (Hisuian Typhlosion),-12,-26,-28,45,-17,-7,3967
211,Totodile,-35,-45,-42,-30,-54,-59,12311
212,Croconaw,-20,-30,-26,-15,-39,-44,5658
213,Feraligatr,0,-5,-6,5,-19,-24,1023
214,Sentret,-50,-64,-72,-39,-57,-82,23274
215,Furret,0,-34,-42,-29,-47,-12,6114
216,Hoothoot,-25,-80,-76,-38,-46,-52,19065
217,Noctowl,15,-60,-56,12,-6,-32,8165
218,Ledyba,-45,-90,-76,-34,-22,-47,19750
219,Ledian,-30,-75,-56,-19,8,-17,10375
220,Spinarak,-45,-50,-66,-34,-62,-72,19065
221,Ariados,-15,-20,-36,-14,-32,-62,6985
222,Crobat,0,-20,-26,-4,-22,28,2360
223,Chinchou,-10,-72,-68,-18,-46,-35,13573
224,Lanturn,40,-52,-48,2,-26,-35,8513
225,Pichu,-65,-70,-91,-39,-67,-42,25180
226,Cleffa,-35,-85,-78,-29,-47,-87,25153
227,Igglybuff,5,-80,-91,-34,-82,-87,30155
228,Togepi,-50,-90,-41,-34,-37,-82,21530
229,Togetic,-30,-70,-21,6,3,-62,10130
230,Natu,-45,-60,-61,-4,-57,-32,13635
231,Xatu,-20,-35,-36,21,-32,-7,4435
232,Mareep,-30,-70,-66,-9,-57,-67,17975
233,Flaaffy,-15,-55,-51,6,-42,-57,10900
234,Ampharos,5,-35,-21,41,-12,-47,5725
235,Ampharos (Mega Ampharos),5,-15,-1,91,8,-57,11845
236,Bellossom,-10,-30,-11,16,-2,-52,4085
237,Marill,-15,-90,-56,-54,-52,-62,20925
238,Azumarill,15,-60,-26,-14,-22,-52,7885
239,Sudowoodo,-15,-10,9,-44,-37,-72,8895
240,Politoed,5,-35,-31,16,-2,-32,3495
241,Hoppip,-50,-75,-66,-39,-47,-52,18915
242,Skiploom,-30,-65,-56,-29,-37,-22,10955
243,Jumpluff,-10,-55,-36,-19,-7,8,4895
244,Aipom,-30,-40,-51,-34,-47,-17,8755
245,Sunkern,-55,-80,-76,-44,-72,-72,27505
246,Sunflora,-10,-35,-51,31,-17,-72,10360
247,Yanma,-20,-45,-61,1,-57,-7,9445
248,Wooper,-30,-65,-61,-49,-77,-87,24745
249,Wooper (Paldean Wooper),-30,-65,-61,-49,-77,-87,24745
250,Quagsire,10,-25,-21,-9,-37,-67,7105
251,Espeon,-20,-45,-46,56,-7,8,7790
252,Umbreon,10,-45,4,-14,28,-37,4490
253,Murkrow,-25,-25,-64,11,-60,-11,9188
254,Slowking,10,-35,-26,26,8,-72,7925
255,Slowking (Galarian Slowking),10,-45,-26,36,8,-72,9345
256,Misdreavus,-25,-50,-46,11,-17,-17,5940
257,Unown,-37,-38,-58,-2,-54,-54,12013
258,Wobbuffet,105,-77,-48,-41,-44,-69,27636
259,Girafarig,-15,-30,-41,16,-37,-17,4720
260,Pineco,-35,-45,-16,-39,-67,-87,17085
261,Forretress,-10,-20,34,-14,-42,-62,7460
262,Dunsparce,15,-40,-36,-9,-37,-57,7820
263,Gligar,-20,-35,-1,-39,-37,-17,4805
264,Steelix,-10,-25,94,-19,-37,-72,16475
265,Steelix (Mega Steelix),-10,15,124,-19,-7,-72,21295
266,Snubbull,-25,-30,-56,-34,-62,-72,14845
267,Granbull,5,10,-31,-14,-42,-57,6295
268,Qwilfish,-20,-15,-21,-19,-47,-17,3925
269,Qwilfish (Hisuian Qwilfish),-20,-15,-21,-19,-47,-17,3925
270,Scizor,-15,20,-6,-19,-22,-37,2875
271,Scizor (Mega Scizor),-15,40,34,-9,-2,-27,3795
272,Shuckle,-65,-100,124,-64,128,-97,59490
273,Heracross,-5,15,-31,-34,-7,-17,2705
274,Heracross (Mega Heracross),-5,75,9,-34,3,-27,7625
275,Sneasel,-30,-15,-51,-39,-27,13,6145
276,Sneasel (Hisuian Sneasel),-30,-15,-51,-39,-27,13,6145
277,Teddiursa,-25,-30,-56,-24,-52,-62,11785
278,Ursaring,5,20,-31,1,-27,-47,4325
279,Slugma,-45,-70,-66,-4,-62,-82,21865
280,Magcargo,-25,-60,14,16,-22,-72,10345
281,Swinub,-35,-60,-66,-44,-72,-52,19005
282,Piloswine,15,-10,-26,-14,-42,-52,5665
283,Corsola,-20,-55,-11,-9,-7,-67,8165
284,Corsola (Galarian Corsola),-25,-55,-6,-9,-2,-72,8955
285,Remoraid,-50,-45,-71,-9,-67,-37,15505
286,Octillery,-10,-5,-31,31,-27,-57,6025
287,Delibird,-40,-55,-61,-9,-57,-27,12405
288,Mantine,0,-70,-36,6,38,-32,8700
289,Skarmory,-20,-30,34,-34,-32,-32,5660
290,Houndour,-40,-50,-76,6,-52,-37,13985
291,Houndoom,-10,-20,-56,36,-22,-7,5465
292,Houndoom (Mega Houndoom),-10,-20,-16,66,-12,13,5425
293,Kingdra,-10,-15,-11,21,-7,-17,1225
294,Phanpy,5,-50,-46,-34,-62,-62,13485
295,Donphan,5,10,14,-14,-42,-52,4985
296,Porygon2,0,-30,-16,31,-7,-42,3930
297,Stantler,-12,-15,-44,11,-37,-17,4084
298,Smeargle,-30,-90,-71,-54,-57,-27,20935
299,Tyrogue,-50,-75,-71,-39,-67,-67,23665
300,Hitmontop,-35,-15,-11,-39,8,-32,4180
301,Smoochum,-40,-80,-91,11,-37,-37,19140
302,Elekid,-40,-47,-69,-9,-47,-7,10909
303,Magby,-40,-35,-69,-4,-47,-19,10172
304,Miltank,10,-30,-1,-34,-32,-2,3185
305,Blissey,170,-100,-96,1,33,-47,51415
306,Raikou,5,-25,-31,41,-2,13,3465
307,Entei,30,5,-21,16,-27,-2,2355
308,Suicune,15,-35,9,16,13,-17,2245
309,Larvitar,-35,-46,-56,-29,-52,-61,13743
310,Pupitar,-15,-26,-36,-9,-32,-51,5903
311,Tyranitar,15,24,4,21,-2,-41,2943
312,Tyranitar (Mega Tyranitar),15,54,44,21,18,-31,6803
313,Lugia,21,-20,24,16,52,8,4441
314,Ho-Oh,21,20,-16,36,52,-12,5241
315,Celebi,15,-10,-6,26,-2,-2,1045
316,Treecko,-45,-65,-71,-9,-47,-32,14605
317,Grovyle,-35,-45,-61,11,-37,-7,8510
318,Sceptile,-15,-25,-41,31,-17,18,4105
319,Sceptile (Mega Sceptile),-15,0,-31,71,-17,43,8365
320,Torchic,-40,-50,-66,-4,-52,-57,14425
321,Combusken,-25,-25,-46,11,-42,-47,7460
322,Blaziken,-5,10,-36,36,-32,-22,4225
323,Blaziken (Mega Blaziken),-5,50,-26,56,-22,-2,6825
324,Mudkip,-35,-40,-56,-24,-52,-62,13085
325,Marshtomp,-15,-25,-36,-14,-32,-52,6070
326,Swampert,15,0,-16,11,-12,-42,2510
327,Swampert (Mega Swampert),15,40,4,21,8,-32,3370
328,Poochyena,-50,-55,-71,-44,-72,-67,22175
329,Mightyena,-15,-20,-36,-14,-42,-32,4905
330,Zigzagoon,-47,-80,-65,-44,-61,-42,20255
331,Zigzagoon (Galarian Zigzagoon),-47,-80,-65,-44,-61,-42,20255
332,Linoone,-7,-40,-45,-24,-41,-2,5935
333,Linoone (Galarian Linoone),-7,-40,-45,-24,-41,-2,5935
334,Wurmple,-40,-65,-71,-54,-72,-82,25690
335,Silcoon,-35,-75,-51,-49,-77,-87,25350
336,Beautifly,-25,-40,-56,26,-52,-37,10110
337,Cascoon,-35,-75,-51,-49,-77,-87,25350
338,Dustox,-25,-60,-36,-24,-12,-37,7610
339,Lotad,-45,-80,-76,-34,-52,-72,23245
340,Lombre,-25,-60,-56,-14,-32,-52,11285
341,Ludicolo,-5,-40,-36,16,-2,-32,4205
342,Seedot,-45,-70,-56,-44,-72,-72,22365
343,Nuzleaf,-15,-40,-66,-14,-62,-42,11985
344,Shiftry,5,-10,-46,16,-42,-22,4745
345,Taillow,-45,-55,-76,-44,-72,-17,18235
346,Swellow,-25,-25,-46,1,-52,23,6600
347,Wingull,-45,-80,-76,-19,-72,-17,20035
348,Pelipper,-25,-60,-6,21,-32,-37,7095
349,Ralts,-57,-85,-81,-29,-67,-62,26209
350,Kirlia,-47,-75,-71,-9,-47,-52,17869
351,Gardevoir,-17,-45,-41,51,13,-22,7249
352,Gardevoir (Mega Gardevoir),-17,-25,-41,91,33,-2,11969
353,Surskit,-45,-80,-74,-24,-50,-37,18346
354,Masquerain,-15,-50,-44,26,-20,-22,6221
355,Shroomish,-25,-70,-46,-34,-42,-67,15050
356,Breloom,-25,20,-26,-14,-42,-32,4685
357,Slakoth,-25,-50,-46,-39,-67,-72,16435
358,Vigoroth,-5,-30,-26,-19,-47,-12,4315
359,Slaking,65,50,-6,21,-37,-2,8575
360,Nincada,-54,-65,-16,-44,-72,-62,18361
361,Ninjask,-24,-20,-61,-24,-52,58,11341
362,Shedinja,-84,-20,-61,-44,-72,-62,22141
363,Whismur,-21,-59,-83,-23,-79,-74,23057
364,Loudred,-1,-39,-63,-3,-59,-54,11897
365,Exploud,19,-19,-43,17,-29,-34,4857
366,Makuhita,-13,-50,-76,-54,-72,-77,22474
367,Hariyama,59,10,-46,-34,-42,-52,11321
368,Azurill,-35,-90,-66,-54,-62,-82,27165
369,Nosepass,-55,-65,29,-29,-12,-72,14260
370,Skitty,-35,-65,-61,-39,-67,-52,17885
371,Delcatty,-15,-45,-41,-19,-47,-12,6645
372,Sableye,-35,-35,-31,-9,-37,-52,7565
373,Sableye (Mega Sableye),-35,-25,19,11,13,-82,9225
374,Mawile,-35,-25,-21,-19,-47,-52,7565
375,Mawile (Mega Mawile),-35,-5,19,-19,-7,-52,4725
376,Aron,-35,-40,-6,-34,-62,-72,13045
377,Lairon,-25,-20,34,-24,-52,-62,9305
378,Aggron,-15,0,74,-14,-42,-52,10365
379,Aggron (Mega Aggron),-15,30,124,-14,-22,-52,19885
380,Meditite,-55,-70,-51,-34,-47,-42,15655
381,Medicham,-25,-50,-31,-14,-27,-22,5495
382,Medicham (Mega Medicham),-25,-10,-21,6,-17,-2,1495
383,Electrike,-45,-65,-66,-9,-62,-37,15900
384,Manectric,-15,-35,-46,31,-42,3,6300
385,Manectric (Mega Manectric),-15,-35,-26,61,-22,33,7420
386,Plusle,-25,-60,-66,11,-27,-7,9480
387,Minun,-25,-70,-56,1,-17,-7,9000
388,Volbeat,-20,-37,-31,-27,-17,-17,4037
389,Illumise,-20,-63,-31,-1,-17,-17,5909
390,Roselia,-35,-50,-61,26,-22,-37,9975
391,Gulpin,-15,-67,-53,-31,-49,-62,14729
392,Swalot,15,-37,-23,-1,-19,-47,4694
393,Carvanha,-40,-20,-86,-9,-82,-37,17570
394,Sharpedo,-15,10,-66,21,-62,-7,9015
395,Sharpedo (Mega Sharpedo),-15,30,-36,36,-37,3,5095
396,Wailmer,45,-40,-71,-4,-67,-42,14935
397,Wailord,85,-20,-61,16,-57,-42,16615
398,Numel,-25,-50,-66,-9,-57,-67,15300
399,Camerupt,-15,-10,-36,31,-27,-62,7155
400,Camerupt (Mega Camerupt),-15,10,-6,71,3,-82,12135
401,Torkoal,-15,-25,34,11,-32,-82,9875
402,Spoink,-25,-85,-71,-4,-22,-42,15155
403,Grumpig,-5,-65,-41,16,8,-22,6735
404,Spinda,-25,-50,-46,-14,-42,-42,8965
405,Trapinch,-40,-10,-61,-29,-57,-92,17975
406,Vibrava,-35,-40,-56,-24,-52,-32,10265
407,Flygon,-5,-10,-26,6,-22,-2,1325
408,Cacnea,-35,-25,-66,11,-62,-67,14660
409,Cacturne,-15,5,-46,41,-42,-47,8020
410,Swablu,-40,-70,-46,-34,-27,-52,13205
411,Altaria,-10,-40,-16,-4,3,-22,2465
412,Altaria (Mega Altaria),-10,0,4,36,3,-22,1905
413,Zangoose,-12,5,-46,-14,-42,-12,4389
414,Seviper,-12,-10,-46,26,-42,-37,6169
415,Lunatone,5,-55,-41,21,-17,-32,6485
416,Solrock,5,-15,-21,-19,-37,-32,3445
417,Barboach,-35,-62,-63,-28,-61,-42,15307
418,Whiscash,25,-32,-33,2,-31,-42,5467
419,Corphish,-42,-30,-41,-24,-67,-67,13899
420,Crawdaunt,-22,10,-21,16,-47,-47,5699
421,Baltoy,-45,-70,-51,-34,-32,-47,13915
422,Claydol,-25,-40,-1,-4,18,-27,3295
423,Lileep,-19,-69,-29,-13,-15,-79,12598
424,Cradily,1,-29,-9,7,5,-59,4478
425,Anorith,-40,-15,-56,-34,-52,-27,9550
426,Armaldo,-10,15,-6,-4,-22,-57,4110
427,Feebas,-65,-95,-86,-64,-47,-22,27435
428,Milotic,10,-50,-27,26,23,-21,4975
429,Castform,-15,-40,-36,-4,-32,-32,5185
430,Kecleon,-25,-20,-36,-14,18,-62,6685
431,Shuppet,-41,-35,-71,-11,-69,-57,16078
432,Banette,-21,5,-41,9,-39,-37,5118
433,Banette (Mega Banette),-21,55,-31,19,-19,-27,5878
434,Duskull,-65,-70,-16,-44,-12,-77,17390
435,Dusclops,-45,-40,24,-14,28,-77,11110
436,Tropius,14,-42,-23,-2,-15,-51,5319
437,Chimecho,-10,-60,-26,21,-12,-37,6330
438,Absol,-20,20,-46,1,-42,-27,5410
439,Absol (Mega Absol),-20,40,-46,41,-42,13,7730
440,Wynaut,10,-87,-58,-51,-54,-79,22791
441,Snorunt,-35,-60,-56,-24,-52,-52,13945
442,Glalie,-5,-30,-26,6,-22,-22,2605
443,Glalie (Mega Glalie),-5,10,-26,46,-22,-2,3405
444,Spheal,-15,-70,-56,-19,-52,-77,17255
445,Sealeo,5,-50,-36,1,-32,-57,8095
446,Walrein,25,-30,-16,21,-12,-37,3735
447,Clamperl,-50,-46,-21,0,-47,-70,12166
448,Huntail,-30,-6,-1,20,-27,-50,4566
449,Gorebyss,-30,-26,-1,40,-27,-50,6406
450,Relicanth,15,-20,24,-29,-37,-47,5620
451,Luvdisc,-42,-80,-51,-34,-37,-5,13315
452,Bagon,-40,-35,-46,-34,-72,-52,13985
453,Shelgon,-20,-15,-6,-14,-52,-52,6265
454,Salamence,10,25,-26,36,-22,-2,3185
455,Salamence (Mega Salamence),10,35,24,46,-12,18,4485
456,Beldum,-45,-55,-26,-39,-42,-72,14195
457,Metang,-25,-35,-6,-19,-22,-52,5435
458,Metagross,-5,25,24,21,-12,-32,2835
459,Metagross (Mega Metagross),-5,35,44,31,8,8,4275
460,Regirock,-5,-10,94,-24,-2,-52,12245
461,Regice,-5,-60,-6,26,98,-52,16645
462,Registeel,-5,-35,44,1,48,-52,8195
463,Latias,-5,-30,-16,36,28,8,3325
464,Latias (Mega Latias),-5,-10,14,66,48,8,7045
465,Latios,-5,-20,-26,56,8,8,4365
466,Latios (Mega Latios),-5,20,-6,86,18,8,8245
467,Kyogre,15,-10,-16,76,38,-12,7945
468,Kyogre (Primal Kyogre),15,40,-16,106,58,-12,16825
469,Groudon,15,40,34,26,-12,-12,3945
470,Groudon (Primal Groudon),15,70,54,76,-12,-12,14105
471,Rayquaza,20,40,-16,76,-12,-7,8225
472,Rayquaza (Mega Rayquaza),20,70,-6,106,-2,13,16745
