Milen Satish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
313,Lugia,25,-19,18,16,53,10,4475
314,Ho-Oh,25,21,-22,36,53,-10,5755
315,Celebi,19,-9,-12,26,-1,0,1263
316,Treecko,-41,-64,-77,-9,-46,-30,14803
317,Grovyle,-31,-44,-67,11,-36,-5,8828
318,Sceptile,-11,-24,-47,31,-16,20,4523
319,Sceptile (Mega Sceptile),-11,1,-37,71,-16,45,8813
320,Torchic,-36,-49,-72,-4,-51,-55,14523
321,Combusken,-21,-24,-52,11,-41,-45,7548
322,Blaziken,-1,11,-42,36,-31,-20,4543
323,Blaziken (Mega Blaziken),-1,51,-32,56,-21,0,7203
324,Mudkip,-31,-39,-62,-24,-51,-60,13103
325,Marshtomp,-11,-24,-42,-14,-31,-50,6118
326,Swampert,19,1,-22,11,-11,-40,2688
327,Swampert (Mega Swampert),19,41,-2,21,9,-30,3468
328,Poochyena,-46,-54,-77,-44,-71,-65,22163
329,Mightyena,-11,-19,-42,-14,-41,-30,5023
330,Zigzagoon,-43,-79,-71,-44,-60,-40,20267
331,Zigzagoon (Galarian Zigzagoon),-43,-79,-71,-44,-60,-40,20267
332,Linoone,-3,-39,-51,-24,-40,0,6307
333,Linoone (Galarian Linoone),-3,-39,-51,-24,-40,0,6307
334,Wurmple,-36,-64,-77,-54,-71,-80,25678
335,Silcoon,-31,-74,-57,-49,-76,-85,25088
336,Beautifly,-21,-39,-62,26,-51,-35,10308
337,Cascoon,-31,-74,-57,-49,-76,-85,25088
338,Dustox,-21,-59,-42,-24,-11,-35,7608
339,Lotad,-41,-79,-82,-34,-51,-70,23303
340,Lombre,-21,-59,-62,-14,-31,-50,11423
341,Ludicolo,-1,-39,-42,16,-1,-30,4443
342,Seedot,-41,-69,-62,-44,-71,-70,22163
343,Nuzleaf,-11,-39,-72,-14,-61,-40,12343
344,Shiftry,9,-9,-52,16,-41,-20,5203
345,Taillow,-41,-54,-82,-44,-71,-15,18523
346,Swellow,-21,-24,-52,1,-51,25,6948
347,Wingull,-41,-79,-82,-19,-71,-15,20273
348,Pelipper,-21,-59,-12,21,-31,-35,6693
349,Ralts,-53,-84,-87,-29,-66,-60,26231
350,Kirlia,-43,-74,-77,-9,-46,-50,17951
351,Gardevoir,-13,-44,-47,51,14,-20,7511
352,Gardevoir (Mega Gardevoir),-13,-24,-47,91,34,0,12391
353,Surskit,-41,-79,-80,-24,-49,-35,18524
354,Masquerain,-11,-49,-50,26,-19,-20,6459
355,Shroomish,-21,-69,-52,-34,-41,-65,14968
356,Breloom,-21,21,-32,-14,-41,-30,4683
357,Slakoth,-21,-49,-52,-39,-66,-70,16323
358,Vigoroth,-1,-29,-32,-19,-46,-10,4443
359,Slaking,69,51,-12,21,-36,0,9243
360,Nincada,-50,-64,-22,-44,-71,-60,17657
361,Ninjask,-20,-19,-67,-24,-51,60,12027
362,Shedinja,-80,-19,-67,-44,-71,-60,21827
363,Whismur,-17,-58,-89,-23,-78,-72,23371
364,Loudred,3,-38,-69,-3,-58,-52,12291
365,Exploud,23,-18,-49,17,-28,-32,5351
366,Makuhita,-9,-49,-82,-54,-71,-75,22788
367,Hariyama,63,11,-52,-34,-41,-50,12131
368,Azurill,-31,-89,-72,-54,-61,-80,27103
369,Nosepass,-51,-64,23,-29,-11,-70,13088
370,Skitty,-31,-64,-67,-39,-66,-50,17923
371,Delcatty,-11,-44,-47,-19,-46,-10,6843
372,Sableye,-31,-34,-37,-9,-36,-50,7363
373,Sableye (Mega Sableye),-31,-24,13,11,14,-80,8423
374,Mawile,-31,-24,-27,-19,-46,-50,7243
375,Mawile (Mega Mawile),-31,-4,13,-19,-6,-50,4043
376,Aron,-31,-39,-12,-34,-61,-70,12403
377,Lairon,-21,-19,28,-24,-51,-60,8363
378,Aggron,-11,1,68,-14,-41,-50,9123
379,Aggron (Mega Aggron),-11,31,118,-14,-21,-50,18143
380,Meditite,-51,-69,-57,-34,-46,-40,15483
381,Medicham,-21,-49,-37,-14,-26,-20,5483
382,Medicham (Mega Medicham),-21,-9,-27,6,-16,0,1543
383,Electrike,-41,-64,-72,-9,-61,-35,15988
384,Manectric,-11,-34,-52,31,-41,5,6648
385,Manectric (Mega Manectric),-11,-34,-32,61,-21,35,7688
386,Plusle,-21,-59,-72,11,-26,-5,9928
387,Minun,-21,-69,-62,1,-16,-5,9328
388,Volbeat,-16,-36,-37,-27,-16,-15,4131
389,Illumise,-16,-62,-37,-1,-16,-15,5951
390,Roselia,-31,-49,-67,26,-21,-35,10193
391,Gulpin,-11,-66,-59,-31,-48,-60,14823
392,Swalot,19,-36,-29,-1,-18,-45,4848
393,Carvanha,-36,-19,-92,-9,-81,-35,17988
394,Sharpedo,-11,11,-72,21,-61,-5,9613
395,Sharpedo (Mega Sharpedo),-11,31,-42,36,-36,5,5463
396,Wailmer,49,-39,-77,-4,-66,-40,15823
397,Wailord,89,-19,-67,16,-56,-40,17763
398,Numel,-21,-49,-72,-9,-56,-65,15468
399,Camerupt,-11,-9,-42,31,-26,-60,7203
400,Camerupt (Mega Camerupt),-11,11,-12,71,4,-80,11843
401,Torkoal,-11,-24,28,11,-31,-80,8963
402,Spoink,-21,-84,-77,-4,-21,-40,15483
403,Grumpig,-1,-64,-47,16,9,-20,7043
404,Spinda,-21,-49,-52,-14,-41,-40,9023
405,Trapinch,-36,-9,-67,-29,-56,-90,17943
406,Vibrava,-31,-39,-62,-24,-51,-30,10403
407,Flygon,-1,-9,-32,6,-21,0,1583
408,Cacnea,-31,-24,-72,11,-61,-65,14788
409,Cacturne,-11,6,-52,41,-41,-45,8248
410,Swablu,-36,-69,-52,-34,-26,-50,13093
411,Altaria,-6,-39,-22,-4,4,-20,2473
412,Altaria (Mega Altaria),-6,1,-2,36,4,-20,1753
413,Zangoose,-8,6,-52,-14,-41,-10,4781
414,Seviper,-8,-9,-52,26,-41,-35,6431
415,Lunatone,9,-54,-47,21,-16,-30,6803
416,Solrock,9,-14,-27,-19,-36,-30,3563
417,Barboach,-31,-61,-69,-28,-60,-40,15427
418,Whiscash,29,-31,-39,2,-30,-40,5827
419,Corphish,-38,-29,-47,-24,-66,-65,13651
420,Crawdaunt,-18,11,-27,16,-46,-45,5571
421,Baltoy,-41,-69,-57,-34,-31,-45,13833
422,Claydol,-21,-39,-7,-4,19,-25,3013
423,Lileep,-15,-68,-35,-13,-14,-77,12368
424,Cradily,5,-28,-15,7,6,-57,4368
425,Anorith,-36,-14,-62,-34,-51,-25,9718
426,Armaldo,-6,16,-12,-4,-21,-55,3918
427,Feebas,-61,-94,-92,-64,-46,-20,27633
428,Milotic,14,-49,-33,26,24,-19,5299
429,Castform,-11,-39,-42,-4,-31,-30,5283
430,Kecleon,-21,-19,-42,-14,19,-60,6723
431,Shuppet,-37,-34,-77,-11,-68,-55,16224
432,Banette,-17,6,-47,9,-38,-35,5284
433,Banette (Mega Banette),-17,56,-37,19,-18,-25,6104
434,Duskull,-61,-69,-22,-44,-11,-75,16648
435,Dusclops,-41,-39,18,-14,29,-75,10188
436,Tropius,18,-41,-29,-2,-14,-49,5447
437,Chimecho,-6,-59,-32,21,-11,-35,6328
438,Absol,-16,21,-52,1,-41,-25,5708
439,Absol (Mega Absol),-16,41,-52,41,-41,15,8228
440,Wynaut,14,-86,-64,-51,-53,-77,23027
441,Snorunt,-31,-59,-62,-24,-51,-50,13963
442,Glalie,-1,-29,-32,6,-21,-20,2743
443,Glalie (Mega Glalie),-1,11,-32,46,-21,0,3703
444,Spheal,-11,-69,-62,-19,-51,-75,17313
445,Sealeo,9,-49,-42,1,-31,-55,8233
446,Walrein,29,-29,-22,21,-11,-35,3953
447,Clamperl,-46,-45,-27,0,-46,-68,11610
448,Huntail,-26,-5,-7,20,-26,-48,4130
449,Gorebyss,-26,-25,-7,40,-26,-48,5930
450,Relicanth,19,-19,18,-29,-36,-45,5208
451,Luvdisc,-38,-79,-57,-34,-36,-3,13395
452,Bagon,-36,-34,-52,-34,-71,-50,13853
453,Shelgon,-16,-14,-12,-14,-51,-50,5893
454,Salamence,14,26,-32,36,-21,0,3633
455,Salamence (Mega Salamence),14,36,18,46,-11,20,4453
456,Beldum,-41,-54,-32,-39,-41,-70,13723
457,Metang,-21,-34,-12,-19,-21,-50,5043
458,Metagross,-1,26,18,21,-11,-30,2463
459,Metagross (Mega Metagross),-1,36,38,31,9,10,3883
460,Regirock,-1,-9,88,-24,-1,-50,10903
461,Regice,-1,-59,-12,26,99,-50,16603
462,Registeel,-1,-34,38,1,49,-50,7503
463,Latias,-1,-29,-22,36,29,10,3563
464,Latias (Mega Latias),-1,-9,8,66,49,10,7003
465,Latios,-1,-19,-32,56,9,10,4703
466,Latios (Mega Latios),-1,21,-12,86,19,10,8443
467,Kyogre,19,-9,-22,76,39,-10,8323
468,Kyogre (Primal Kyogre),19,41,-22,106,59,-10,17343
469,Groudon,19,41,28,26,-11,-10,3723
470,Groudon (Primal Groudon),19,71,48,76,-11,-10,13703
471,Rayquaza,24,41,-22,76,-11,-5,8663
472,Rayquaza (Mega Rayquaza),24,71,-12,106,-1,15,17223
