Jack Massingill vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
84,Kadabra,-42,-73,-71,8,-36,8,13558
85,Alakazam,-27,-58,-56,23,-11,23,8408
86,Alakazam (Mega Alakazam),-27,-58,-36,63,-1,53,12168
87,Machop,-12,-28,-51,-77,-71,-62,18343
88,Machoke,-2,-8,-31,-62,-46,-52,9693
89,Machamp,8,22,-21,-47,-21,-42,5403
90,Bellsprout,-32,-33,-66,-42,-76,-57,17258
91,Weepinbell,-17,-18,-51,-27,-61,-42,9428
92,Victreebel,-2,-3,-36,-12,-36,-27,3478
93,Tentacool,-42,-68,-66,-62,-6,-27,15353
94,Tentacruel,-2,-38,-36,-32,14,3,3973
95,Geodude,-42,-28,-1,-82,-76,-77,20978
96,Geodude (Alolan Geodude),-42,-28,-1,-82,-76,-77,20978
97,Graveler,-27,-13,14,-67,-61,-62,13148
98,Graveler (Alolan Graveler),-27,-13,14,-67,-61,-62,13148
99,Golem,-2,12,29,-57,-41,-52,8623
100,Golem (Alolan Golem),-2,12,29,-57,-41,-52,8623
101,Ponyta,-32,-23,-46,-47,-41,-7,7608
102,Ponyta (Galarian Ponyta),-32,-23,-46,-47,-41,-7,7608
103,Rapidash,-17,-8,-31,-32,-26,8,3078
104,Rapidash (Galarian Rapidash),-17,-8,-31,-32,-26,8,3078
105,Slowpoke,8,-43,-36,-72,-66,-82,19473
106,Slowpoke (Galarian Slowpoke),8,-43,-36,-72,-66,-82,19473
107,Slowbro,13,-33,9,-12,-26,-67,6648
108,Slowbro (Mega Slowbro),13,-33,79,18,-26,-67,12988
109,Slowbro (Galarian Slowbro),13,-8,-6,-12,-36,-67,6198
110,Magnemite,-57,-73,-31,-17,-51,-52,15133
111,Magneton,-32,-48,-6,8,-36,-27,5453
112,Farfetch'd,-30,-18,-46,-54,-44,-37,9561
113,Farfetch'd (Galarian Farfetch'd),-30,-13,-46,-54,-44,-42,9801
114,Doduo,-47,-23,-56,-77,-71,-22,17328
115,Dodrio,-22,2,-31,-52,-46,13,6438
116,Seel,-17,-63,-46,-67,-36,-52,14863
117,Dewgong,8,-38,-21,-42,-11,-27,4563
118,Grimer,-2,-28,-51,-72,-56,-72,16893
119,Grimer (Alolan Grimer),-2,-28,-51,-72,-56,-72,16893
120,Muk,23,-3,-26,-47,-6,-47,5668
121,Muk (Alolan Muk),23,-3,-26,-47,-6,-47,5668
122,Shellder,-52,-43,-1,-67,-81,-57,18853
123,Cloyster,-32,-13,79,-27,-61,-27,12613
124,Gastly,-52,-73,-71,-12,-71,-17,18548
125,Haunter,-37,-58,-56,3,-51,-2,10483
126,Gengar,-22,-43,-41,18,-31,13,5468
127,Gengar (Mega Gengar),-22,-43,-21,58,-11,33,7348
128,Onix,-47,-63,59,-82,-61,-27,20833
129,Drowzee,-22,-60,-56,-69,-16,-55,15262
130,Hypno,3,-35,-31,-39,9,-30,4697
131,Krabby,-52,-3,-11,-87,-81,-47,19173
132,Kingler,-27,22,14,-62,-56,-22,8873
133,Voltorb,-42,-78,-51,-57,-51,3,16308
134,Voltorb (Hisuian Voltorb),-42,-78,-51,-57,-51,3,16308
135,Electrode,-22,-58,-31,-32,-26,53,9318
136,Electrode (Hisuian Electrode),-22,-58,-31,-32,-26,53,9318
137,Exeggcute,-22,-68,-21,-52,-61,-57,15223
138,Exeggutor,13,-13,-16,13,-31,-42,3488
139,Exeggutor (Alolan Exeggutor),13,-3,-16,13,-31,-52,4268
140,Cubone,-32,-58,-6,-72,-56,-62,16588
141,Marowak,-22,-28,9,-62,-26,-52,8573
142,Marowak (Alolan Marowak),-22,-28,9,-62,-26,-52,8573
143,Hitmonlee,-32,12,-48,-77,4,-10,9517
144,Hitmonchan,-32,-3,-22,-77,4,-21,7903
145,Lickitung,8,-53,-26,-52,-31,-67,11703
146,Koffing,-42,-43,-6,-52,-61,-62,13918
147,Weezing,-17,-18,19,-27,-36,-37,4368
148,Weezing (Galarian Weezing),-17,-18,19,-27,-36,-37,4368
149,Rhyhorn,-2,-23,-6,-82,-76,-72,18253
150,Rhydon,23,22,19,-67,-61,-57,12833
151,Chansey,168,-103,-96,-77,-1,-47,56188
152,Tangela,-17,-53,14,-12,-66,-37,9163
153,Kangaskhan,23,-13,-21,-72,-26,-7,7048
154,Kangaskhan (Mega Kangaskhan),23,17,-1,-52,-6,3,3568
155,Horsea,-52,-68,-31,-42,-81,-37,17983
156,Seadra,-27,-43,-6,-17,-61,-12,6768
157,Goldeen,-37,-41,-41,-77,-56,-34,14952
158,Seaking,-2,-16,-36,-47,-26,-29,5282
159,Staryu,-52,-63,-46,-42,-51,-12,13298
160,Starmie,-22,-33,-16,-12,-21,18,2738
161,Mr. Mime,-42,-63,-36,-12,14,-7,7418
162,Mr. Mime (Galarian Mr. Mime),-32,-43,-36,-22,-16,3,4918
163,Scyther,-12,2,-21,-57,-26,8,4578
164,Jynx,-17,-58,-66,3,-11,-2,8143
165,Electabuzz,-17,-25,-44,-17,-21,8,3644
166,Magmar,-17,-13,-44,-12,-21,-4,2995
167,Pinsir,-17,17,-1,-57,-36,-12,5268
168,Pinsir (Mega Pinsir),-17,47,19,-47,-16,8,5388
169,Tauros,-7,-8,-6,-72,-36,13,6798
170,Tauros (Paldean Tauros (Combat Breed)),-7,2,4,-82,-36,3,8098
171,Tauros (Paldean Tauros (Blaze Breed)),-7,2,4,-82,-36,3,8098
172,Tauros (Paldean Tauros (Aqua Breed)),-7,2,4,-82,-36,3,8098
173,Magikarp,-62,-98,-46,-97,-86,-17,32658
174,Gyarados,13,17,-22,-52,-6,-16,3938
175,Gyarados (Mega Gyarados),13,47,8,-42,24,-16,5038
176,Lapras,48,-23,-21,-27,-11,-37,5493
177,Ditto,-34,-60,-53,-64,-58,-49,17426
178,Eevee,-27,-53,-51,-67,-41,-42,14073
179,Eevee (Partner Eevee),-17,-33,-31,-47,-21,-22,5473
180,Vaporeon,48,-43,-41,-2,-11,-32,6983
181,Jolteon,-17,-43,-41,-2,-11,33,5033
182,Flareon,-17,22,-41,-17,4,-32,3783
183,Porygon,-17,-48,-31,-27,-31,-57,8493
184,Omanyte,-47,-68,-1,-22,-51,-62,13763
185,Omastar,-12,-48,24,3,-36,-42,6093
186,Kabuto,-52,-28,-11,-57,-61,-42,12343
187,Kabutops,-22,7,4,-47,-36,-17,4343
188,Aerodactyl,-2,-3,-36,-52,-31,33,6063
189,Aerodactyl (Mega Aerodactyl),-2,27,-16,-42,-11,53,5683
190,Snorlax,78,2,-36,-47,4,-67,14098
191,Articuno,8,-23,-1,-17,19,-12,1388
192,Articuno (Galarian Articuno),8,-23,-16,13,-6,-2,1058
193,Zapdos,8,-18,-16,13,-16,3,1078
194,Zapdos (Galarian Zapdos),8,17,-11,-27,-16,3,1468
195,Moltres,8,-8,-11,13,-21,-7,908
196,Moltres (Galarian Moltres),8,-23,-11,-12,19,-7,1268
197,Dratini,-41,-44,-56,-62,-56,-47,15942
198,Dragonair,-21,-24,-36,-42,-36,-27,6102
199,Dragonite,9,26,-6,-12,-6,-17,1262
200,Mewtwo,24,2,-11,42,-16,33,3810
201,Mewtwo (Mega Mewtwo X),24,82,-1,42,-6,33,10190
202,Mewtwo (Mega Mewtwo Y),24,42,-31,82,14,43,12070
203,Mew,18,-8,-1,-12,-6,3,578
204,Chikorita,-37,-59,-36,-63,-41,-52,14500
205,Bayleef,-22,-46,-21,-49,-26,-37,7487
206,Meganium,-2,-26,-1,-29,-6,-17,1847
207,Cyndaquil,-43,-56,-58,-52,-56,-32,15213
208,Quilava,-24,-44,-43,-32,-41,-17,7355
209,Typhlosion,-4,-24,-23,-3,-21,3,1580
210,Typhlosion (Hisuian Typhlosion),-9,-24,-23,7,-21,-2,1680
211,Totodile,-32,-43,-37,-68,-58,-54,15146
212,Croconaw,-17,-28,-21,-53,-43,-39,7693
213,Feraligatr,3,-3,-1,-33,-23,-19,1998
214,Sentret,-47,-62,-67,-77,-61,-77,26121
215,Furret,3,-32,-37,-67,-51,-7,9541
216,Hoothoot,-22,-78,-71,-76,-50,-47,22094
217,Noctowl,18,-58,-51,-26,-10,-27,7794
218,Ledyba,-42,-88,-71,-72,-26,-42,22173
219,Ledian,-27,-73,-51,-57,4,-12,12068
220,Spinarak,-42,-48,-61,-72,-66,-67,21818
221,Ariados,-12,-18,-31,-52,-36,-57,8678
222,Crobat,3,-18,-21,-42,-26,33,4303
223,Chinchou,-7,-70,-63,-56,-50,-30,15454
224,Lanturn,43,-50,-43,-36,-30,-30,9294
225,Pichu,-62,-68,-86,-77,-71,-37,28203
226,Cleffa,-32,-83,-73,-67,-51,-82,27056
227,Igglybuff,8,-78,-86,-72,-86,-82,32848
228,Togepi,-47,-88,-36,-72,-41,-77,24043
229,Togetic,-27,-68,-16,-32,-1,-57,9883
230,Natu,-42,-58,-56,-42,-61,-27,14478
231,Xatu,-17,-33,-31,-17,-36,-2,3928
232,Mareep,-27,-68,-61,-47,-61,-62,18848
233,Flaaffy,-12,-53,-46,-32,-46,-52,10913
234,Ampharos,8,-33,-16,3,-16,-42,3438
235,Ampharos (Mega Ampharos),8,-13,4,53,4,-52,5778
236,Bellossom,-7,-28,-6,-22,-6,-47,3598
237,Marill,-12,-88,-51,-92,-56,-57,25338
238,Azumarill,18,-58,-21,-52,-26,-47,9718
239,Sudowoodo,-12,-8,14,-82,-41,-67,13298
240,Politoed,8,-33,-26,-22,-6,-27,3078
241,Hoppip,-47,-73,-61,-77,-51,-47,21998
242,Skiploom,-27,-63,-51,-67,-41,-17,13758
243,Jumpluff,-7,-53,-31,-57,-11,13,7358
244,Aipom,-27,-38,-46,-72,-51,-12,12218
245,Sunkern,-52,-78,-71,-82,-76,-67,30818
246,Sunflora,-7,-33,-46,-7,-21,-67,8233
247,Yanma,-17,-43,-56,-37,-61,-2,10368
248,Wooper,-27,-63,-56,-87,-81,-82,28688
249,Wooper (Paldean Wooper),-27,-63,-56,-87,-81,-82,28688
250,Quagsire,13,-23,-16,-47,-41,-62,8688
251,Espeon,-17,-43,-41,18,-11,13,4433
252,Umbreon,13,-43,9,-52,24,-32,6403
253,Murkrow,-22,-23,-59,-27,-64,-6,9355
254,Slowking,13,-33,-21,-12,4,-67,6348
255,Slowking (Galarian Slowking),13,-43,-21,-2,4,-67,6968
256,Misdreavus,-22,-48,-41,-27,-21,-12,5783
257,Unown,-34,-36,-53,-40,-58,-49,12626
258,Wobbuffet,108,-75,-43,-79,-48,-64,31779
259,Girafarig,-12,-28,-36,-22,-41,-12,4533
260,Pineco,-32,-43,-11,-77,-71,-82,20688
261,Forretress,-7,-18,39,-52,-46,-57,9963
262,Dunsparce,18,-38,-31,-47,-41,-52,9323
263,Gligar,-17,-33,4,-77,-41,-12,9148
264,Steelix,-7,-23,99,-57,-41,-67,19798
265,Steelix (Mega Steelix),-7,17,129,-57,-11,-67,24838
266,Snubbull,-22,-28,-51,-72,-66,-67,17898
267,Granbull,8,12,-26,-52,-46,-52,8408
268,Qwilfish,-17,-13,-16,-57,-51,-12,6708
269,Qwilfish (Hisuian Qwilfish),-17,-13,-16,-57,-51,-12,6708
270,Scizor,-12,22,-1,-57,-26,-32,5578
271,Scizor (Mega Scizor),-12,42,39,-47,-6,-22,6158
272,Shuckle,-62,-98,129,-102,124,-92,64333
273,Heracross,-2,17,-26,-72,-11,-12,6418
274,Heracross (Mega Heracross),-2,77,14,-72,-1,-22,11798
275,Sneasel,-27,-13,-46,-77,-31,18,10228
276,Sneasel (Hisuian Sneasel),-27,-13,-46,-77,-31,18,10228
277,Teddiursa,-22,-28,-51,-62,-56,-57,14098
278,Ursaring,8,22,-26,-37,-31,-42,5318
279,Slugma,-42,-68,-61,-42,-66,-77,22158
280,Magcargo,-22,-58,19,-22,-26,-67,9858
281,Swinub,-32,-58,-61,-82,-76,-47,22818
282,Piloswine,18,-8,-21,-52,-46,-47,7858
283,Corsola,-17,-53,-6,-47,-11,-62,9308
284,Corsola (Galarian Corsola),-22,-53,-1,-47,-6,-67,10028
285,Remoraid,-47,-43,-66,-47,-71,-32,16688
286,Octillery,-7,-3,-26,-7,-31,-52,4448
287,Delibird,-37,-53,-56,-47,-61,-22,13728
288,Mantine,3,-68,-31,-32,34,-27,8503
289,Skarmory,-17,-28,39,-72,-36,-27,9803
290,Houndour,-37,-48,-71,-32,-56,-32,13898
291,Houndoom,-7,-18,-51,-2,-26,-2,3658
292,Houndoom (Mega Houndoom),-7,-18,-11,28,-16,18,1858
293,Kingdra,-7,-13,-6,-17,-11,-12,808
294,Phanpy,8,-48,-41,-72,-66,-57,16838
295,Donphan,8,12,19,-52,-46,-47,7598
296,Porygon2,3,-28,-11,-7,-11,-37,2453
297,Stantler,-9,-13,-39,-27,-41,-12,4325
298,Smeargle,-27,-88,-66,-92,-61,-22,25498
299,Tyrogue,-47,-73,-66,-77,-71,-62,26708
300,Hitmontop,-32,-13,-6,-77,4,-27,7903
301,Smoochum,-37,-78,-86,-27,-41,-32,18283
302,Elekid,-37,-45,-64,-47,-51,-2,12304
303,Magby,-37,-33,-64,-42,-51,-14,11115
304,Miltank,13,-28,4,-72,-36,3,7458
305,Blissey,173,-98,-91,-37,29,-42,51788
306,Raikou,8,-23,-26,3,-6,18,1638
307,Entei,33,7,-16,-22,-31,3,2848
308,Suicune,18,-33,14,-22,9,-12,2318
309,Larvitar,-32,-44,-51,-67,-56,-56,16322
310,Pupitar,-12,-24,-31,-47,-36,-46,7302
311,Tyranitar,18,26,9,-17,-6,-36,2702
312,Tyranitar (Mega Tyranitar),18,56,49,-17,14,-26,7022
313,Lugia,24,-18,29,-22,48,13,4698
314,Ho-Oh,24,22,-11,-2,48,-7,3538
315,Celebi,18,-8,-1,-12,-6,3,578
316,Treecko,-42,-63,-66,-47,-51,-27,15628
317,Grovyle,-32,-43,-56,-27,-41,-2,8423
318,Sceptile,-12,-23,-36,-7,-21,23,2988
319,Sceptile (Mega Sceptile),-12,2,-26,33,-21,48,4658
320,Torchic,-37,-48,-61,-42,-56,-52,14998
321,Combusken,-22,-23,-41,-27,-46,-42,7303
322,Blaziken,-2,12,-31,-2,-36,-17,2698
323,Blaziken (Mega Blaziken),-2,52,-21,18,-26,3,4158
324,Mudkip,-32,-38,-51,-62,-56,-57,15298
325,Marshtomp,-12,-23,-31,-52,-36,-47,7843
326,Swampert,18,2,-11,-27,-16,-37,2803
327,Swampert (Mega Swampert),18,42,9,-17,4,-27,3203
328,Poochyena,-47,-53,-66,-82,-76,-62,25718
329,Mightyena,-12,-18,-31,-52,-46,-27,6978
330,Zigzagoon,-44,-78,-60,-82,-65,-37,23938
331,Zigzagoon (Galarian Zigzagoon),-44,-78,-60,-82,-65,-37,23938
332,Linoone,-4,-38,-40,-62,-45,3,8938
333,Linoone (Galarian Linoone),-4,-38,-40,-62,-45,3,8938
334,Wurmple,-37,-63,-66,-92,-76,-77,29863
335,Silcoon,-32,-73,-46,-87,-81,-82,29323
336,Beautifly,-22,-38,-51,-12,-56,-32,8833
337,Cascoon,-32,-73,-46,-87,-81,-82,29323
338,Dustox,-22,-58,-31,-62,-16,-32,9933
339,Lotad,-42,-78,-71,-72,-56,-67,25698
340,Lombre,-22,-58,-51,-52,-36,-47,12658
341,Ludicolo,-2,-38,-31,-22,-6,-27,3658
342,Seedot,-42,-68,-51,-82,-76,-67,25978
343,Nuzleaf,-12,-38,-61,-52,-66,-37,13738
344,Shiftry,8,-8,-41,-22,-46,-17,4698
345,Taillow,-42,-53,-71,-82,-76,-12,22258
346,Swellow,-22,-23,-41,-37,-56,28,7983
347,Wingull,-42,-78,-71,-57,-76,-12,22058
348,Pelipper,-22,-58,-1,-17,-36,-32,6458
349,Ralts,-54,-83,-76,-67,-71,-57,28360
350,Kirlia,-44,-73,-66,-47,-51,-47,18640
351,Gardevoir,-14,-43,-36,13,9,-17,3880
352,Gardevoir (Mega Gardevoir),-14,-23,-36,53,29,3,5680
353,Surskit,-42,-78,-69,-62,-54,-32,20393
354,Masquerain,-12,-48,-39,-12,-24,-17,4978
355,Shroomish,-22,-68,-41,-72,-46,-62,17933
356,Breloom,-22,22,-21,-52,-46,-27,6958
357,Slakoth,-22,-48,-41,-77,-71,-67,19928
358,Vigoroth,-2,-28,-21,-57,-51,-7,7128
359,Slaking,68,52,-1,-17,-41,3,9308
360,Nincada,-51,-63,-11,-82,-76,-57,22440
361,Ninjask,-21,-18,-56,-62,-56,63,14850
362,Shedinja,-81,-18,-56,-82,-76,-57,25770
363,Whismur,-18,-57,-78,-61,-83,-69,25028
364,Loudred,2,-37,-58,-41,-63,-49,12788
365,Exploud,22,-17,-38,-21,-33,-29,4588
366,Makuhita,-10,-48,-71,-92,-76,-72,26869
367,Hariyama,62,12,-41,-72,-46,-47,15178
368,Azurill,-32,-88,-61,-92,-66,-77,31238
369,Nosepass,-52,-63,34,-67,-16,-67,17063
370,Skitty,-32,-63,-56,-77,-71,-47,21308
371,Delcatty,-12,-43,-36,-57,-51,-7,9188
372,Sableye,-32,-33,-26,-47,-41,-47,8888
373,Sableye (Mega Sableye),-32,-23,24,-27,9,-77,8868
374,Mawile,-32,-23,-16,-57,-51,-47,9868
375,Mawile (Mega Mawile),-32,-3,24,-57,-11,-47,7188
376,Aron,-32,-38,-1,-72,-66,-67,16498
377,Lairon,-22,-18,39,-62,-56,-57,12558
378,Aggron,-12,2,79,-52,-46,-47,13418
379,Aggron (Mega Aggron),-12,32,129,-52,-26,-47,23398
380,Meditite,-52,-68,-46,-72,-51,-37,18598
381,Medicham,-22,-48,-26,-52,-31,-17,7418
382,Medicham (Mega Medicham),-22,-8,-16,-32,-21,3,2278
383,Electrike,-42,-63,-61,-47,-66,-32,17043
384,Manectric,-12,-33,-41,-7,-46,8,5143
385,Manectric (Mega Manectric),-12,-33,-21,23,-26,38,4323
386,Plusle,-22,-58,-61,-27,-31,-2,9263
387,Minun,-22,-68,-51,-37,-21,-2,9523
388,Volbeat,-17,-35,-26,-65,-21,-12,7000
389,Illumise,-17,-61,-26,-39,-21,-12,6792
390,Roselia,-32,-48,-56,-12,-26,-32,8308
391,Gulpin,-12,-65,-48,-69,-53,-57,17492
392,Swalot,18,-35,-18,-39,-23,-42,5687
393,Carvanha,-37,-18,-81,-47,-86,-32,18883
394,Sharpedo,-12,12,-61,-17,-66,-2,8658
395,Sharpedo (Mega Sharpedo),-12,32,-31,-2,-41,8,3878
396,Wailmer,48,-38,-66,-42,-71,-37,16278
397,Wailord,88,-18,-56,-22,-61,-37,16778
398,Numel,-22,-48,-61,-47,-61,-62,16283
399,Camerupt,-12,-8,-31,-7,-31,-57,5428
400,Camerupt (Mega Camerupt),-12,12,-1,33,-1,-77,7308
401,Torkoal,-12,-23,39,-27,-36,-77,10148
402,Spoink,-22,-83,-66,-42,-26,-37,15538
403,Grumpig,-2,-63,-36,-22,4,-17,6058
404,Spinda,-22,-48,-41,-52,-46,-37,10658
405,Trapinch,-37,-8,-56,-67,-61,-87,20348
406,Vibrava,-32,-38,-51,-62,-56,-27,12778
407,Flygon,-2,-8,-21,-32,-26,3,2218
408,Cacnea,-32,-23,-61,-27,-66,-62,14203
409,Cacturne,-12,7,-41,3,-46,-42,5763
410,Swablu,-37,-68,-41,-72,-31,-47,16028
411,Altaria,-7,-38,-11,-42,-1,-17,3668
412,Altaria (Mega Altaria),-7,2,9,-2,-1,-17,428
413,Zangoose,-9,7,-41,-52,-46,-7,6680
414,Seviper,-9,-8,-41,-12,-46,-32,5110
415,Lunatone,8,-53,-36,-17,-21,-27,5628
416,Solrock,8,-13,-16,-57,-41,-27,6148
417,Barboach,-32,-60,-58,-66,-65,-37,17938
418,Whiscash,28,-30,-28,-36,-35,-37,6358
419,Corphish,-39,-28,-36,-62,-71,-62,16330
420,Crawdaunt,-19,12,-16,-22,-51,-42,5610
421,Baltoy,-42,-68,-46,-72,-36,-42,16748
422,Claydol,-22,-38,4,-42,14,-22,4388
423,Lileep,-16,-67,-24,-51,-19,-74,13759
424,Cradily,4,-27,-4,-31,1,-54,4639
425,Anorith,-37,-13,-51,-72,-56,-22,12943
426,Armaldo,-7,17,-1,-42,-26,-52,5483
427,Feebas,-62,-93,-81,-102,-51,-17,32348
428,Milotic,13,-48,-22,-12,19,-16,3718
429,Castform,-12,-38,-31,-42,-36,-27,6338
430,Kecleon,-22,-18,-31,-52,14,-57,7918
431,Shuppet,-38,-33,-66,-49,-73,-52,17323
432,Banette,-18,7,-36,-29,-43,-32,5383
433,Banette (Mega Banette),-18,57,-26,-19,-23,-22,5623
434,Duskull,-62,-68,-11,-82,-16,-72,20753
435,Dusclops,-42,-38,29,-52,24,-72,12513
436,Tropius,17,-40,-18,-40,-19,-46,6290
437,Chimecho,-7,-58,-21,-17,-16,-32,5423
438,Absol,-17,22,-41,-37,-46,-22,6423
439,Absol (Mega Absol),-17,42,-41,3,-46,18,6183
440,Wynaut,13,-85,-53,-89,-58,-74,26964
441,Snorunt,-32,-58,-51,-62,-56,-47,16178
442,Glalie,-2,-28,-21,-32,-26,-17,3218
443,Glalie (Mega Glalie),-2,12,-21,8,-26,3,1338
444,Spheal,-12,-68,-51,-57,-56,-72,18938
445,Sealeo,8,-48,-31,-37,-36,-52,8698
446,Walrein,28,-28,-11,-17,-16,-32,3258
447,Clamperl,-47,-44,-16,-38,-51,-65,12671
448,Huntail,-27,-4,4,-18,-31,-45,4071
449,Gorebyss,-27,-24,4,2,-31,-45,4311
450,Relicanth,18,-18,29,-67,-41,-42,9423
451,Luvdisc,-39,-78,-46,-72,-41,0,16586
452,Bagon,-37,-33,-41,-72,-76,-47,17308
453,Shelgon,-17,-13,-1,-52,-56,-47,8508
454,Salamence,13,27,-21,-2,-26,3,2028
455,Salamence (Mega Salamence),13,37,29,8,-16,23,3228
456,Beldum,-42,-53,-21,-77,-46,-67,17548
457,Metang,-22,-33,-1,-57,-26,-47,7708
458,Metagross,-2,27,29,-17,-16,-27,2848
459,Metagross (Mega Metagross),-2,37,49,-7,4,13,4008
460,Regirock,-2,-8,99,-62,-6,-47,15958
461,Regice,-2,-58,-1,-12,94,-47,14558
462,Registeel,-2,-33,49,-37,44,-47,9008
463,Latias,-2,-28,-11,-2,24,13,1658
464,Latias (Mega Latias),-2,-8,19,28,44,13,3318
465,Latios,-2,-18,-21,18,4,13,1278
466,Latios (Mega Latios),-2,22,-1,48,14,13,3158
467,Kyogre,18,-8,-11,38,34,-7,3158
468,Kyogre (Primal Kyogre),18,42,-11,68,54,-7,9798
