Kristian Banlaoi vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
186,Kabuto,-10,-31,30,-5,-56,-23,5651
187,Kabutops,20,4,45,5,-31,2,3431
188,Aerodactyl,40,-6,5,0,-26,52,5041
189,Aerodactyl (Mega Aerodactyl),40,24,25,10,-6,72,8121
190,Snorlax,120,-1,5,5,9,-48,16836
191,Articuno,50,-26,40,35,24,7,6626
192,Articuno (Galarian Articuno),50,-26,25,65,-1,17,8316
193,Zapdos,50,-21,25,65,-11,22,8396
194,Zapdos (Galarian Zapdos),50,14,30,25,-11,22,4826
195,Moltres,50,-11,30,65,-16,12,8146
196,Moltres (Galarian Moltres),50,-26,30,40,24,12,6396
197,Dratini,1,-47,-15,-10,-51,-28,5920
198,Dragonair,21,-27,5,10,-31,-8,2320
199,Dragonite,51,23,35,40,-1,2,5960
200,Mewtwo,66,-1,30,94,-11,52,16918
201,Mewtwo (Mega Mewtwo X),66,79,40,94,-1,52,23738
202,Mewtwo (Mega Mewtwo Y),66,39,10,134,19,62,28138
203,Mew,60,-11,40,40,-1,22,7406
204,Chikorita,5,-62,5,-11,-36,-33,6400
205,Bayleef,20,-49,20,3,-21,-18,3975
206,Meganium,40,-29,40,23,-1,2,4575
207,Cyndaquil,-1,-59,-17,0,-51,-13,6541
208,Quilava,18,-47,-2,20,-36,2,4237
209,Typhlosion,38,-27,18,49,-16,22,5638
210,Typhlosion (Hisuian Typhlosion),33,-27,18,59,-16,17,6168
211,Totodile,10,-46,4,-16,-53,-35,6522
212,Croconaw,25,-31,20,-1,-38,-20,3831
213,Feraligatr,45,-6,40,19,-18,0,4346
214,Sentret,-5,-65,-26,-25,-56,-58,12051
215,Furret,45,-35,4,-15,-46,12,5751
216,Hoothoot,20,-81,-30,-24,-45,-28,11246
217,Noctowl,60,-61,-10,26,-5,-8,8186
218,Ledyba,0,-91,-30,-20,-21,-23,10551
219,Ledian,15,-76,-10,-5,9,7,6256
220,Spinarak,0,-51,-20,-20,-61,-48,9426
221,Ariados,30,-21,10,0,-31,-38,3846
222,Crobat,45,-21,20,10,-21,52,6111
223,Chinchou,35,-73,-22,-4,-45,-11,9200
224,Lanturn,85,-53,-2,16,-25,-11,11040
225,Pichu,-20,-71,-45,-25,-66,-18,12771
226,Cleffa,10,-86,-32,-15,-46,-63,14830
227,Igglybuff,50,-81,-45,-20,-81,-63,22016
228,Togepi,-5,-91,5,-20,-36,-58,13391
229,Togetic,15,-71,25,20,4,-38,7751
230,Natu,0,-61,-15,10,-56,-8,7246
231,Xatu,25,-36,10,35,-31,17,4496
232,Mareep,15,-71,-20,5,-56,-43,10676
233,Flaaffy,30,-56,-5,20,-41,-33,7231
234,Ampharos,50,-36,25,55,-11,-23,8096
235,Ampharos (Mega Ampharos),50,-16,45,105,9,-33,16976
236,Bellossom,35,-31,35,30,-1,-28,5096
237,Marill,30,-91,-10,-40,-51,-38,14926
238,Azumarill,60,-61,20,0,-21,-28,8946
239,Sudowoodo,30,-11,55,-30,-36,-48,8546
240,Politoed,50,-36,15,30,-1,-8,4986
241,Hoppip,-5,-76,-20,-25,-46,-28,9726
242,Skiploom,15,-66,-10,-15,-36,2,6206
243,Jumpluff,35,-56,10,-5,-6,32,5546
244,Aipom,15,-41,-5,-20,-46,7,4496
245,Sunkern,-10,-81,-30,-30,-71,-48,15806
246,Sunflora,35,-36,-5,45,-16,-48,7131
247,Yanma,25,-46,-15,15,-56,17,6616
248,Wooper,15,-66,-15,-35,-76,-63,15776
249,Wooper (Paldean Wooper),15,-66,-15,-35,-76,-63,15776
250,Quagsire,55,-26,25,5,-36,-43,7496
251,Espeon,25,-46,0,70,-6,32,8701
252,Umbreon,55,-46,50,0,29,-13,8651
253,Murkrow,20,-26,-18,25,-59,13,5675
254,Slowking,55,-36,20,40,9,-48,8706
255,Slowking (Galarian Slowking),55,-46,20,50,9,-48,10426
256,Misdreavus,20,-51,0,25,-16,7,3931
257,Unown,8,-39,-12,12,-53,-30,5582
258,Wobbuffet,150,-78,-2,-27,-43,-45,33191
259,Girafarig,30,-31,5,30,-36,7,4131
260,Pineco,10,-46,30,-25,-66,-63,12066
261,Forretress,35,-21,80,0,-41,-38,11191
262,Dunsparce,60,-41,10,5,-36,-33,7791
263,Gligar,25,-36,45,-25,-36,7,5916
264,Steelix,35,-26,140,-5,-36,-48,25126
265,Steelix (Mega Steelix),35,14,170,-5,-6,-48,32686
266,Snubbull,20,-31,-10,-20,-61,-48,7886
267,Granbull,50,9,15,0,-41,-33,5576
268,Qwilfish,25,-16,25,-5,-46,7,3696
269,Qwilfish (Hisuian Qwilfish),25,-16,25,-5,-46,7,3696
270,Scizor,30,19,40,-5,-21,-13,3496
271,Scizor (Mega Scizor),30,39,80,5,-1,-3,8856
272,Shuckle,-20,-101,170,-50,129,-73,63971
273,Heracross,40,14,15,-20,-6,7,2506
274,Heracross (Mega Heracross),40,74,55,-20,4,-3,10526
275,Sneasel,15,-16,-5,-25,-26,37,3176
276,Sneasel (Hisuian Sneasel),15,-16,-5,-25,-26,37,3176
277,Teddiursa,20,-31,-10,-10,-51,-38,5606
278,Ursaring,50,19,15,15,-26,-23,4516
279,Slugma,0,-71,-20,10,-61,-58,12626
280,Magcargo,20,-61,60,30,-21,-48,11366
281,Swinub,10,-61,-20,-30,-71,-28,10946
282,Piloswine,60,-11,20,0,-41,-28,6586
283,Corsola,25,-56,35,5,-6,-43,6896
284,Corsola (Galarian Corsola),20,-56,40,5,-1,-48,7466
285,Remoraid,-5,-46,-25,5,-66,-13,7316
286,Octillery,35,-6,15,45,-26,-33,5276
287,Delibird,5,-56,-15,5,-56,-3,6556
288,Mantine,45,-71,10,20,39,-8,9151
289,Skarmory,25,-31,80,-20,-31,-8,9411
290,Houndour,5,-51,-30,20,-51,-13,6696
291,Houndoom,35,-21,-10,50,-21,17,4996
292,Houndoom (Mega Houndoom),35,-21,30,80,-11,37,10456
293,Kingdra,35,-16,35,35,-6,7,4016
294,Phanpy,50,-51,0,-20,-61,-38,10666
295,Donphan,50,9,60,0,-41,-28,8646
296,Porygon2,45,-31,30,45,-6,-18,6271
297,Stantler,33,-16,2,25,-36,7,3319
298,Smeargle,15,-91,-25,-40,-56,-3,13876
299,Tyrogue,-5,-76,-25,-25,-66,-43,13256
300,Hitmontop,10,-16,35,-25,9,-8,2351
301,Smoochum,5,-81,-45,25,-36,-13,10701
302,Elekid,5,-48,-23,5,-46,17,5288
303,Magby,5,-36,-23,10,-46,5,4091
304,Miltank,55,-31,45,-20,-31,22,7856
305,Blissey,215,-101,-50,15,34,-23,60836
306,Raikou,50,-26,15,55,-1,37,7796
307,Entei,75,4,25,30,-26,22,8326
308,Suicune,60,-36,55,30,14,7,9066
309,Larvitar,10,-47,-10,-15,-51,-37,6604
310,Pupitar,30,-27,10,5,-31,-27,3444
311,Tyranitar,60,23,50,35,-1,-17,8144
312,Tyranitar (Mega Tyranitar),60,53,90,35,19,-7,16144
313,Lugia,66,-21,70,30,53,32,14430
314,Ho-Oh,66,19,30,50,53,12,11070
315,Celebi,60,-11,40,40,-1,22,7406
316,Treecko,0,-66,-25,5,-46,-8,7186
317,Grovyle,10,-46,-15,25,-36,17,4651
318,Sceptile,30,-26,5,45,-16,42,5646
319,Sceptile (Mega Sceptile),30,-1,15,85,-16,67,13096
320,Torchic,5,-51,-20,10,-51,-33,6816
321,Combusken,20,-26,0,25,-41,-23,3911
322,Blaziken,40,9,10,50,-31,2,5246
323,Blaziken (Mega Blaziken),40,49,20,70,-21,22,10226
324,Mudkip,10,-41,-10,-10,-51,-38,6026
325,Marshtomp,30,-26,10,0,-31,-28,3421
326,Swampert,60,-1,30,25,-11,-18,5571
327,Swampert (Mega Swampert),60,39,50,35,9,-8,8991
328,Poochyena,-5,-56,-25,-30,-71,-43,11576
329,Mightyena,30,-21,10,0,-41,-8,3186
330,Zigzagoon,-2,-81,-19,-30,-60,-18,11750
331,Zigzagoon (Galarian Zigzagoon),-2,-81,-19,-30,-60,-18,11750
332,Linoone,38,-41,1,-10,-40,22,5310
333,Linoone (Galarian Linoone),38,-41,1,-10,-40,22,5310
334,Wurmple,5,-66,-25,-40,-71,-58,15011
335,Silcoon,10,-76,-5,-35,-76,-63,16871
336,Beautifly,20,-41,-10,40,-51,-13,6551
337,Cascoon,10,-76,-5,-35,-76,-63,16871
338,Dustox,20,-61,10,-10,-11,-13,4611
339,Lotad,0,-81,-30,-20,-51,-48,12766
340,Lombre,20,-61,-10,0,-31,-28,5966
341,Ludicolo,40,-41,10,30,-1,-8,4346
342,Seedot,0,-71,-10,-30,-71,-48,13386
343,Nuzleaf,30,-41,-20,0,-61,-18,7026
344,Shiftry,50,-11,0,30,-41,2,5206
345,Taillow,0,-56,-30,-30,-71,7,10026
346,Swellow,20,-26,0,15,-51,47,6111
347,Wingull,0,-81,-30,-5,-71,7,12576
348,Pelipper,20,-61,40,35,-31,-13,8076
349,Ralts,-12,-86,-35,-15,-66,-38,14790
350,Kirlia,-2,-76,-25,5,-46,-28,9330
351,Gardevoir,28,-46,5,65,14,2,7350
352,Gardevoir (Mega Gardevoir),28,-26,5,105,34,22,14150
353,Surskit,0,-81,-28,-10,-49,-13,10015
354,Masquerain,30,-51,2,40,-19,2,5470
355,Shroomish,20,-71,0,-20,-41,-43,9371
356,Breloom,20,19,20,0,-41,-8,2906
357,Slakoth,20,-51,0,-25,-66,-48,10286
358,Vigoroth,40,-31,20,-5,-46,12,5246
359,Slaking,110,49,40,35,-36,22,19106
360,Nincada,-9,-66,30,-30,-71,-38,12722
361,Ninjask,21,-21,-15,-10,-51,82,10532
362,Shedinja,-39,-21,-15,-30,-71,-38,9572
363,Whismur,24,-60,-37,-9,-78,-50,14210
364,Loudred,44,-40,-17,11,-58,-30,8210
365,Exploud,64,-20,3,31,-28,-10,6350
366,Makuhita,32,-51,-30,-40,-71,-53,13975
367,Hariyama,104,9,0,-20,-41,-28,13762
368,Azurill,10,-91,-20,-40,-61,-58,17466
369,Nosepass,-10,-66,75,-15,-11,-48,12731
370,Skitty,10,-66,-15,-25,-66,-28,10446
371,Delcatty,30,-46,5,-5,-46,12,5326
372,Sableye,10,-36,15,5,-36,-28,3726
373,Sableye (Mega Sableye),10,-26,65,25,14,-58,9186
374,Mawile,10,-26,25,-5,-46,-28,4326
375,Mawile (Mega Mawile),10,-6,65,-5,-6,-28,5206
376,Aron,10,-41,40,-20,-61,-48,9806
377,Lairon,20,-21,80,-10,-51,-38,11386
378,Aggron,30,-1,120,0,-41,-28,17766
379,Aggron (Mega Aggron),30,29,170,0,-21,-28,31866
380,Meditite,-10,-71,-5,-20,-46,-18,8006
381,Medicham,20,-51,15,0,-26,2,3906
382,Medicham (Mega Medicham),20,-11,25,20,-16,22,2286
383,Electrike,0,-66,-20,5,-61,-13,8671
384,Manectric,30,-36,0,45,-41,27,6631
385,Manectric (Mega Manectric),30,-36,20,75,-21,57,11911
386,Plusle,20,-61,-20,25,-26,17,6111
387,Minun,20,-71,-10,15,-16,17,6311
388,Volbeat,25,-38,15,-13,-16,7,2768
389,Illumise,25,-64,15,13,-16,7,5420
390,Roselia,10,-51,-15,40,-21,-13,5136
391,Gulpin,30,-68,-7,-17,-48,-38,9610
392,Swalot,60,-38,23,13,-18,-23,6595
393,Carvanha,5,-21,-40,5,-81,-13,8821
394,Sharpedo,30,9,-20,35,-61,17,6616
395,Sharpedo (Mega Sharpedo),30,29,10,50,-36,27,6366
396,Wailmer,90,-41,-25,10,-66,-18,15186
397,Wailord,130,-21,-15,30,-56,-18,21926
398,Numel,20,-51,-20,5,-56,-43,8411
399,Camerupt,30,-11,10,45,-26,-38,5266
400,Camerupt (Mega Camerupt),30,9,40,85,4,-58,13186
401,Torkoal,30,-26,80,25,-31,-58,12926
402,Spoink,20,-86,-25,10,-21,-18,9286
403,Grumpig,40,-66,5,30,9,2,6966
404,Spinda,20,-51,0,0,-41,-18,5006
405,Trapinch,5,-11,-15,-15,-56,-68,8356
406,Vibrava,10,-41,-10,-10,-51,-8,4646
407,Flygon,40,-11,20,20,-21,22,3446
408,Cacnea,10,-26,-20,25,-61,-43,7371
409,Cacturne,30,4,0,55,-41,-23,6151
410,Swablu,5,-71,0,-20,-26,-28,6926
411,Altaria,35,-41,30,10,4,2,3926
412,Altaria (Mega Altaria),35,-1,50,50,4,2,6246
413,Zangoose,33,4,0,0,-41,12,2930
414,Seviper,33,-11,0,40,-41,-13,4660
415,Lunatone,50,-56,5,35,-16,-8,7206
416,Solrock,50,-16,25,-5,-36,-8,4766
417,Barboach,10,-63,-17,-14,-60,-18,8478
418,Whiscash,70,-33,13,16,-30,-18,7638
419,Corphish,3,-31,5,-10,-66,-43,7300
420,Crawdaunt,23,9,25,30,-46,-23,4780
421,Baltoy,0,-71,-5,-20,-31,-23,6956
422,Claydol,20,-41,45,10,19,-3,4576
423,Lileep,26,-70,17,1,-14,-55,9087
424,Cradily,46,-30,37,21,6,-35,6087
425,Anorith,5,-16,-10,-20,-51,-3,3391
426,Armaldo,35,14,40,10,-21,-33,4651
427,Feebas,-20,-96,-40,-50,-46,2,15836
428,Milotic,55,-51,19,40,24,3,8172
429,Castform,30,-41,10,10,-31,-8,3806
430,Kecleon,20,-21,10,0,19,-38,2746
431,Shuppet,4,-36,-25,3,-68,-33,7659
432,Banette,24,4,5,23,-38,-13,2759
433,Banette (Mega Banette),24,54,15,33,-18,-3,5139
434,Duskull,-20,-71,30,-30,-11,-53,10171
435,Dusclops,0,-41,70,0,29,-53,10231
436,Tropius,59,-43,23,12,-14,-27,6928
437,Chimecho,35,-61,20,35,-11,-13,6861
438,Absol,25,19,0,15,-41,-3,2901
439,Absol (Mega Absol),25,39,0,55,-41,37,8221
440,Wynaut,55,-88,-12,-37,-53,-55,18116
441,Snorunt,10,-61,-10,-10,-51,-28,7406
442,Glalie,40,-31,20,20,-21,2,3806
443,Glalie (Mega Glalie),40,9,20,60,-21,22,6606
444,Spheal,30,-71,-10,-5,-51,-53,11476
445,Sealeo,50,-51,10,15,-31,-33,7476
446,Walrein,70,-31,30,35,-11,-13,8276
447,Clamperl,-5,-47,25,14,-46,-46,7287
448,Huntail,15,-7,45,34,-26,-26,4807
449,Gorebyss,15,-27,45,54,-26,-26,7247
450,Relicanth,60,-21,70,-15,-36,-23,10991
451,Luvdisc,3,-81,-5,-20,-36,19,8652
452,Bagon,5,-36,0,-20,-71,-28,7546
453,Shelgon,25,-16,40,0,-51,-28,5866
454,Salamence,55,24,20,50,-21,22,7426
455,Salamence (Mega Salamence),55,34,70,60,-11,42,14566
456,Beldum,0,-56,20,-25,-41,-48,8146
457,Metang,20,-36,40,-5,-21,-28,4546
458,Metagross,40,24,70,35,-11,-8,8486
459,Metagross (Mega Metagross),40,34,90,45,9,32,13986
460,Regirock,40,-11,140,-10,-1,-28,22206
461,Regice,40,-61,40,40,99,-28,19106
462,Registeel,40,-36,90,15,49,-28,14406
463,Latias,40,-31,30,50,29,32,7826
464,Latias (Mega Latias),40,-11,60,80,49,32,15146
465,Latios,40,-21,20,70,9,32,8446
466,Latios (Mega Latios),40,19,40,100,19,32,14946
467,Kyogre,60,-11,30,90,39,12,14386
468,Kyogre (Primal Kyogre),60,39,30,120,59,12,24046
469,Groudon,60,39,80,40,-11,12,13386
470,Groudon (Primal Groudon),60,69,100,90,-11,12,26726
471,Rayquaza,65,39,30,90,-11,17,15156
472,Rayquaza (Mega Rayquaza),65,69,40,120,-1,37,26356
473,Jirachi,60,-11,40,40,-1,22,7406
474,Deoxys (Normal Forme),10,39,-10,90,-51,72,17606
475,Deoxys (Attack Forme),10,69,-40,120,-81,72,32606
476,Deoxys (Defense Forme),10,-41,100,10,59,12,15506
477,Deoxys (Speed Forme),10,-16,30,35,-11,102,13006
478,Turtwig,15,-43,4,-15,-46,-47,6640
479,Grotle,35,-22,25,-5,-36,-42,5419
480,Torterra,55,-2,45,15,-16,-22,6019
481,Chimchar,4,-53,-16,-2,-57,-17,6623
482,Monferno,24,-33,-8,18,-49,3,4463
483,Infernape,36,-7,11,44,-30,30,5202
484,Piplup,13,-60,-7,1,-45,-38,7288
485,Prinplup,24,-45,8,21,-25,-28,4515
486,Empoleon,44,-25,28,51,0,-18,6270
487,Starly,0,-56,-30,-30,-71,-18,10301
488,Staravia,15,-36,-10,-20,-61,2,5746
489,Staraptor,45,9,10,-10,-41,22,4471
490,Bidoof,19,-66,-20,-25,-61,-47,11672
491,Bibarel,39,-26,0,-5,-41,-7,3952
492,Kricketot,-3,-86,-19,-35,-60,-53,15400
493,Kricketune,37,-26,-9,-5,-50,-13,4820
494,Shinx,5,-46,-26,-20,-67,-33,8795
495,Luxio,20,-26,-11,0,-52,-18,4225
496,Luxray,40,9,19,35,-22,-8,3815
497,Budew,0,-81,-25,-10,-31,-23,8776
498,Roserade,20,-41,5,65,4,12,6491
499,Cranidos,27,14,-20,-30,-71,-20,7666
500,Rampardos,57,54,0,5,-51,-20,9191
