Eric Edwards vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
32,Pikachu,-38,-53,-63,-24,-50,-14,11494
33,Pikachu (Partner Pikachu),-28,-28,-53,1,-40,16,6234
34,Raichu,-13,-18,-48,16,-20,6,3489
35,Raichu (Alolan Raichu),-13,-23,-53,21,-15,6,4209
36,Sandshrew,-23,-33,-18,-54,-70,-64,13854
37,Sandshrew (Alolan Sandshrew),-23,-33,-13,-64,-65,-64,14204
38,Sandslash,2,-8,7,-29,-45,-39,4504
39,Sandslash (Alolan Sandslash),2,-8,17,-49,-35,-39,5504
40,Nidoran♀,-18,-61,-51,-34,-60,-63,15371
41,Nidorina,-3,-46,-36,-19,-45,-48,8111
42,Nidoqueen,17,-16,-16,1,-15,-28,1811
43,Nidoran♂,-27,-51,-63,-34,-60,-54,14971
44,Nidorino,-12,-36,-46,-19,-45,-39,7463
45,Nidoking,8,-6,-26,11,-25,-19,1883
46,Clefairy,-3,-63,-55,-14,-35,-69,13185
47,Clefable,22,-38,-30,21,-10,-44,5305
48,Vulpix,-35,-67,-63,-24,-35,-39,13005
49,Vulpix (Alolan Vulpix),-35,-67,-63,-24,-35,-39,13005
50,Ninetales,0,-32,-28,7,0,-4,1873
51,Ninetales (Alolan Ninetales),0,-41,-28,7,0,5,2539
52,Jigglypuff,42,-63,-83,-29,-75,-84,26144
53,Wigglytuff,67,-38,-58,11,-50,-59,15399
54,Zubat,-33,-63,-68,-44,-60,-49,17619
55,Golbat,2,-28,-33,-9,-25,-14,2779
56,Oddish,-28,-58,-48,1,-35,-74,13154
57,Gloom,-13,-43,-33,11,-25,-64,7949
58,Vileplume,2,-28,-18,36,-10,-54,5424
59,Paras,-38,-38,-48,-29,-45,-79,14299
60,Parasect,-13,-13,-23,-14,-20,-74,6939
61,Venonat,-13,-53,-53,-34,-45,-59,12449
62,Venomoth,-3,-43,-43,16,-25,-14,4784
63,Diglett,-63,-53,-78,-39,-55,-9,17489
64,Diglett (Alolan Diglett),-63,-53,-73,-39,-55,-14,16849
65,Dugtrio,-38,-8,-53,-24,-30,16,6049
66,Dugtrio (Alolan Dugtrio),-38,-8,-43,-24,-30,6,4869
67,Meowth,-33,-63,-68,-34,-60,-14,14634
68,Meowth (Alolan Meowth),-33,-73,-68,-24,-60,-14,15414
69,Meowth (Galarian Meowth),-23,-43,-48,-34,-60,-64,13534
70,Persian,-8,-38,-43,-9,-35,11,4784
71,Persian (Alolan Persian),-8,-48,-43,1,-35,11,5564
72,Psyduck,-23,-56,-55,-9,-50,-49,11672
73,Golduck,7,-26,-25,21,-20,-19,2552
74,Mankey,-33,-28,-68,-39,-55,-34,12199
75,Primeape,-8,-3,-43,-14,-30,-9,3099
76,Growlithe,-18,-38,-58,-4,-50,-44,9584
77,Growlithe (Hisuian Growlithe),-13,-33,-58,-9,-50,-49,9604
78,Arcanine,17,2,-23,26,-20,-9,1979
79,Arcanine (Hisuian Arcanine),22,7,-23,21,-20,-14,2099
80,Poliwag,-33,-58,-63,-34,-60,-14,13374
81,Poliwhirl,-8,-43,-38,-24,-50,-14,6629
82,Poliwrath,17,-13,-8,-4,-10,-34,1794
83,Abra,-48,-88,-88,31,-45,-14,20974
84,Kadabra,-33,-73,-73,46,-30,1,14764
85,Alakazam,-18,-58,-58,61,-5,16,11054
86,Alakazam (Mega Alakazam),-18,-58,-38,101,5,46,17474
87,Machop,-3,-28,-53,-39,-65,-69,14109
88,Machoke,7,-8,-33,-24,-40,-59,6859
89,Machamp,17,22,-23,-9,-15,-49,4009
90,Bellsprout,-23,-33,-68,-4,-70,-64,15254
91,Weepinbell,-8,-18,-53,11,-55,-49,8744
92,Victreebel,7,-3,-38,26,-30,-34,4234
93,Tentacool,-33,-68,-68,-24,0,-34,12069
94,Tentacruel,7,-38,-38,6,20,-4,3389
95,Geodude,-33,-28,-3,-44,-70,-84,15774
96,Geodude (Alolan Geodude),-33,-28,-3,-44,-70,-84,15774
97,Graveler,-18,-13,12,-29,-55,-69,9264
98,Graveler (Alolan Graveler),-18,-13,12,-29,-55,-69,9264
99,Golem,7,12,27,-19,-35,-59,5989
100,Golem (Alolan Golem),7,12,27,-19,-35,-59,5989
101,Ponyta,-23,-23,-48,-9,-35,-14,4864
102,Ponyta (Galarian Ponyta),-23,-23,-48,-9,-35,-14,4864
103,Rapidash,-8,-8,-33,6,-20,1,1654
104,Rapidash (Galarian Rapidash),-8,-8,-33,6,-20,1,1654
105,Slowpoke,17,-43,-38,-34,-60,-89,16259
106,Slowpoke (Galarian Slowpoke),17,-43,-38,-34,-60,-89,16259
107,Slowbro,22,-33,7,26,-20,-74,8174
108,Slowbro (Mega Slowbro),22,-33,77,56,-20,-74,16514
109,Slowbro (Galarian Slowbro),22,-8,-8,26,-30,-74,7664
110,Magnemite,-48,-73,-33,21,-45,-59,14669
111,Magneton,-23,-48,-8,46,-30,-34,7069
112,Farfetch'd,-21,-18,-48,-16,-38,-44,6705
113,Farfetch'd (Galarian Farfetch'd),-21,-13,-48,-16,-38,-49,7015
114,Doduo,-38,-23,-58,-39,-65,-29,11924
115,Dodrio,-13,2,-33,-14,-40,6,3094
116,Seel,-8,-63,-48,-29,-30,-59,11559
117,Dewgong,17,-38,-23,-4,-5,-34,3459
118,Grimer,7,-28,-53,-34,-50,-79,13539
119,Grimer (Alolan Grimer),7,-28,-53,-34,-50,-79,13539
120,Muk,32,-3,-28,-9,0,-54,4814
121,Muk (Alolan Muk),32,-3,-28,-9,0,-54,4814
122,Shellder,-43,-43,-3,-29,-75,-64,14269
123,Cloyster,-23,-13,77,11,-55,-34,10929
124,Gastly,-43,-73,-73,26,-65,-24,17984
125,Haunter,-28,-58,-58,41,-45,-9,11299
126,Gengar,-13,-43,-43,56,-25,6,7664
127,Gengar (Mega Gengar),-13,-43,-23,96,-5,26,12464
128,Onix,-38,-63,57,-44,-55,-34,14779
129,Drowzee,-13,-60,-58,-31,-10,-62,12038
130,Hypno,12,-35,-33,-1,15,-37,4053
131,Krabby,-43,-3,-13,-49,-75,-54,12969
132,Kingler,-18,22,12,-24,-50,-29,4869
133,Voltorb,-33,-78,-53,-19,-45,-4,12384
134,Voltorb (Hisuian Voltorb),-33,-78,-53,-19,-45,-4,12384
135,Electrode,-13,-58,-33,6,-20,46,7174
136,Electrode (Hisuian Electrode),-13,-58,-33,6,-20,46,7174
137,Exeggcute,-13,-68,-23,-14,-55,-64,12639
138,Exeggutor,22,-13,-18,51,-25,-49,6604
139,Exeggutor (Alolan Exeggutor),22,-3,-18,51,-25,-59,7524
140,Cubone,-23,-58,-8,-34,-50,-69,12374
141,Marowak,-13,-28,7,-24,-20,-59,5459
142,Marowak (Alolan Marowak),-13,-28,7,-24,-20,-59,5459
143,Hitmonlee,-23,12,-50,-39,10,-17,5083
144,Hitmonchan,-23,-3,-24,-39,10,-28,3519
145,Lickitung,17,-53,-28,-14,-25,-74,10179
146,Koffing,-33,-43,-8,-14,-55,-69,10984
147,Weezing,-8,-18,17,11,-30,-44,3634
148,Weezing (Galarian Weezing),-8,-18,17,11,-30,-44,3634
149,Rhyhorn,7,-23,-8,-44,-70,-79,13719
150,Rhydon,32,22,17,-29,-55,-64,9759
151,Chansey,177,-103,-98,-39,5,-54,56004
152,Tangela,-8,-53,12,26,-60,-44,9229
153,Kangaskhan,32,-13,-23,-34,-20,-14,3474
154,Kangaskhan (Mega Kangaskhan),32,17,-3,-14,0,-4,1534
155,Horsea,-43,-68,-33,-4,-75,-44,15139
156,Seadra,-18,-43,-8,21,-55,-19,6064
157,Goldeen,-28,-41,-43,-39,-50,-41,10016
158,Seaking,7,-16,-38,-9,-20,-36,3526
159,Staryu,-43,-63,-48,-4,-45,-19,10524
160,Starmie,-13,-33,-18,26,-15,11,2604
161,Mr. Mime,-33,-63,-38,26,20,-14,7774
162,Mr. Mime (Galarian Mr. Mime),-23,-43,-38,16,-10,-4,4194
163,Scyther,-3,2,-23,-19,-20,1,1304
164,Jynx,-8,-58,-68,41,-5,-9,9839
165,Electabuzz,-8,-25,-46,21,-15,1,3472
166,Magmar,-8,-13,-46,26,-15,-11,3371
167,Pinsir,-8,17,-3,-19,-30,-19,1984
168,Pinsir (Mega Pinsir),-8,47,17,-9,-10,1,2744
169,Tauros,2,-8,-8,-34,-30,6,2224
170,Tauros (Paldean Tauros (Combat Breed)),2,2,2,-44,-30,-4,2864
171,Tauros (Paldean Tauros (Blaze Breed)),2,2,2,-44,-30,-4,2864
172,Tauros (Paldean Tauros (Aqua Breed)),2,2,2,-44,-30,-4,2864
173,Magikarp,-53,-98,-48,-59,-80,-24,25174
174,Gyarados,22,17,-24,-14,0,-23,2074
175,Gyarados (Mega Gyarados),22,47,6,-4,30,-23,4174
176,Lapras,57,-23,-23,11,-5,-44,6389
177,Ditto,-25,-60,-55,-26,-52,-56,13766
178,Eevee,-18,-53,-53,-29,-35,-49,10409
179,Eevee (Partner Eevee),-8,-33,-33,-9,-15,-29,3389
180,Vaporeon,57,-43,-43,36,-5,-39,9789
181,Jolteon,-8,-43,-43,36,-5,26,5759
182,Flareon,-8,22,-43,21,10,-39,4459
183,Porygon,-8,-48,-33,11,-25,-64,8299
184,Omanyte,-38,-68,-3,16,-45,-69,13119
185,Omastar,-3,-48,22,41,-30,-49,7779
186,Kabuto,-43,-28,-13,-19,-55,-49,8589
187,Kabutops,-13,7,2,-9,-30,-24,1779
188,Aerodactyl,7,-3,-38,-14,-25,26,2999
189,Aerodactyl (Mega Aerodactyl),7,27,-18,-4,-5,46,3259
190,Snorlax,87,2,-38,-9,10,-74,14674
191,Articuno,17,-23,-3,21,25,-19,2254
192,Articuno (Galarian Articuno),17,-23,-18,51,0,-9,3824
193,Zapdos,17,-18,-18,51,-10,-4,3654
194,Zapdos (Galarian Zapdos),17,17,-13,11,-10,-4,984
195,Moltres,17,-8,-13,51,-15,-14,3544
196,Moltres (Galarian Moltres),17,-23,-13,26,25,-14,2484
197,Dratini,-32,-44,-58,-24,-50,-54,12316
198,Dragonair,-12,-24,-38,-4,-30,-34,4236
199,Dragonite,18,26,-8,26,0,-24,2316
200,Mewtwo,33,2,-13,80,-10,26,8438
201,Mewtwo (Mega Mewtwo X),33,82,-3,80,0,26,14898
202,Mewtwo (Mega Mewtwo Y),33,42,-33,120,20,36,20038
203,Mew,27,-8,-3,26,0,-4,1494
204,Chikorita,-28,-59,-38,-25,-35,-59,11040
205,Bayleef,-13,-46,-23,-11,-20,-44,5271
206,Meganium,7,-26,-3,9,0,-24,1391
207,Cyndaquil,-34,-56,-60,-14,-50,-39,12109
208,Quilava,-15,-44,-45,6,-35,-24,6023
209,Typhlosion,5,-24,-25,35,-15,-4,2692
210,Typhlosion (Hisuian Typhlosion),0,-24,-25,45,-15,-9,3532
211,Totodile,-23,-43,-39,-30,-52,-61,11224
212,Croconaw,-8,-28,-23,-15,-37,-46,5087
213,Feraligatr,12,-3,-3,5,-17,-26,1152
214,Sentret,-38,-62,-69,-39,-55,-84,21651
215,Furret,12,-32,-39,-29,-45,-14,5751
216,Hoothoot,-13,-78,-73,-38,-44,-54,17878
217,Noctowl,27,-58,-53,12,-4,-34,8218
218,Ledyba,-33,-88,-73,-34,-20,-49,18119
219,Ledian,-18,-73,-53,-19,10,-19,9284
220,Spinarak,-33,-48,-63,-34,-60,-74,17594
221,Ariados,-3,-18,-33,-14,-30,-64,6614
222,Crobat,12,-18,-23,-4,-20,26,2089
223,Chinchou,2,-70,-65,-18,-44,-37,12758
224,Lanturn,52,-50,-45,2,-24,-37,9178
225,Pichu,-53,-68,-88,-39,-65,-44,22859
226,Cleffa,-23,-83,-75,-29,-45,-89,23830
227,Igglybuff,17,-78,-88,-34,-80,-89,29594
228,Togepi,-38,-88,-38,-34,-35,-84,20069
229,Togetic,-18,-68,-18,6,5,-64,9429
230,Natu,-33,-58,-58,-4,-55,-34,12014
231,Xatu,-8,-33,-33,21,-30,-9,3664
232,Mareep,-18,-68,-63,-9,-55,-69,16784
233,Flaaffy,-3,-53,-48,6,-40,-59,10239
234,Ampharos,17,-33,-18,41,-10,-49,5884
235,Ampharos (Mega Ampharos),17,-13,2,91,10,-59,12324
236,Bellossom,2,-28,-8,16,0,-54,4024
237,Marill,-3,-88,-53,-54,-50,-64,20074
238,Azumarill,27,-58,-23,-14,-20,-54,8134
239,Sudowoodo,-3,-8,12,-44,-35,-74,8854
240,Politoed,17,-33,-28,16,0,-34,3574
241,Hoppip,-38,-73,-63,-39,-45,-54,17204
242,Skiploom,-18,-63,-53,-29,-35,-24,9744
243,Jumpluff,2,-53,-33,-19,-5,6,4324
244,Aipom,-18,-38,-48,-34,-45,-19,7614
245,Sunkern,-43,-78,-73,-44,-70,-74,25574
246,Sunflora,2,-33,-48,31,-15,-74,10059
247,Yanma,-8,-43,-58,1,-55,-9,8384
248,Wooper,-18,-63,-58,-49,-75,-89,23604
249,Wooper (Paldean Wooper),-18,-63,-58,-49,-75,-89,23604
250,Quagsire,22,-23,-18,-9,-35,-69,7404
251,Espeon,-8,-43,-43,56,-5,6,6959
252,Umbreon,22,-43,7,-14,30,-39,4999
253,Murkrow,-13,-23,-61,11,-58,-13,8073
254,Slowking,22,-33,-23,26,10,-74,8354
255,Slowking (Galarian Slowking),22,-43,-23,36,10,-74,9734
256,Misdreavus,-13,-48,-43,11,-15,-19,5029
257,Unown,-25,-36,-55,-2,-52,-56,10790
258,Wobbuffet,117,-75,-45,-41,-42,-71,29825
259,Girafarig,-3,-28,-38,16,-35,-19,4079
260,Pineco,-23,-43,-13,-39,-65,-89,16214
261,Forretress,2,-18,37,-14,-40,-64,7589
262,Dunsparce,27,-38,-33,-9,-35,-59,8049
263,Gligar,-8,-33,2,-39,-35,-19,4264
264,Steelix,2,-23,97,-19,-35,-74,17004
265,Steelix (Mega Steelix),2,17,127,-19,-5,-74,22284
266,Snubbull,-13,-28,-53,-34,-60,-74,13994
267,Granbull,17,12,-28,-14,-40,-59,6494
268,Qwilfish,-8,-13,-18,-19,-45,-19,3304
269,Qwilfish (Hisuian Qwilfish),-8,-13,-18,-19,-45,-19,3304
270,Scizor,-3,22,-3,-19,-20,-39,2784
271,Scizor (Mega Scizor),-3,42,37,-9,0,-29,4064
272,Shuckle,-53,-98,127,-64,130,-99,59339
273,Heracross,7,17,-28,-34,-5,-19,2664
274,Heracross (Mega Heracross),7,77,12,-34,5,-29,8144
275,Sneasel,-18,-13,-48,-39,-25,11,5064
276,Sneasel (Hisuian Sneasel),-18,-13,-48,-39,-25,11,5064
277,Teddiursa,-13,-28,-53,-24,-50,-64,10934
278,Ursaring,17,22,-28,1,-25,-49,4584
279,Slugma,-33,-68,-63,-4,-60,-84,20354
280,Magcargo,-13,-58,17,16,-20,-74,9954
281,Swinub,-23,-58,-63,-44,-70,-54,17614
282,Piloswine,27,-8,-23,-14,-40,-54,6034
283,Corsola,-8,-53,-8,-9,-5,-69,7804
284,Corsola (Galarian Corsola),-13,-53,-3,-9,0,-74,8544
285,Remoraid,-38,-43,-68,-9,-65,-39,13744
286,Octillery,2,-3,-28,31,-25,-59,5864
287,Delibird,-28,-53,-58,-9,-55,-29,10904
288,Mantine,12,-68,-33,6,40,-34,8649
289,Skarmory,-8,-28,37,-34,-30,-34,5429
290,Houndour,-28,-48,-73,6,-50,-39,12474
291,Houndoom,2,-18,-53,36,-20,-9,4914
292,Houndoom (Mega Houndoom),2,-18,-13,66,-10,11,5074
293,Kingdra,2,-13,-8,21,-5,-19,1064
294,Phanpy,17,-48,-43,-34,-60,-64,13294
295,Donphan,17,12,17,-14,-40,-54,5434
296,Porygon2,12,-28,-13,31,-5,-44,4019
297,Stantler,0,-13,-41,11,-35,-19,3557
298,Smeargle,-18,-88,-68,-54,-55,-29,19474
299,Tyrogue,-38,-73,-68,-39,-65,-69,21904
300,Hitmontop,-23,-13,-8,-39,10,-34,3539
301,Smoochum,-28,-78,-88,11,-35,-39,17479
302,Elekid,-28,-45,-66,-9,-45,-9,9352
303,Magby,-28,-33,-66,-4,-45,-21,8711
304,Miltank,22,-28,2,-34,-30,-4,3344
305,Blissey,182,-98,-93,1,35,-49,55004
306,Raikou,17,-23,-28,41,0,11,3404
307,Entei,42,7,-18,16,-25,-4,3034
308,Suicune,27,-33,12,16,15,-19,2804
309,Larvitar,-23,-44,-53,-29,-50,-63,12584
310,Pupitar,-3,-24,-33,-9,-30,-53,5464
311,Tyranitar,27,26,7,21,0,-43,3744
312,Tyranitar (Mega Tyranitar),27,56,47,21,20,-33,8004
313,Lugia,33,-18,27,16,54,6,5350
314,Ho-Oh,33,22,-13,36,54,-14,6150
315,Celebi,27,-8,-3,26,0,-4,1494
316,Treecko,-33,-63,-68,-9,-45,-34,12944
317,Grovyle,-23,-43,-58,11,-35,-9,7169
318,Sceptile,-3,-23,-38,31,-15,16,3424
319,Sceptile (Mega Sceptile),-3,2,-28,71,-15,41,7744
320,Torchic,-28,-48,-63,-4,-50,-59,13054
321,Combusken,-13,-23,-43,11,-40,-49,6669
322,Blaziken,7,12,-33,36,-30,-24,4054
323,Blaziken (Mega Blaziken),7,52,-23,56,-20,-4,6834
324,Mudkip,-23,-38,-53,-24,-50,-64,11954
325,Marshtomp,-3,-23,-33,-14,-30,-54,5639
326,Swampert,27,2,-13,11,-10,-44,3059
327,Swampert (Mega Swampert),27,42,7,21,10,-34,4239
328,Poochyena,-38,-53,-68,-44,-70,-69,20474
329,Mightyena,-3,-18,-33,-14,-40,-34,4374
330,Zigzagoon,-35,-78,-62,-44,-59,-44,18506
331,Zigzagoon (Galarian Zigzagoon),-35,-78,-62,-44,-59,-44,18506
332,Linoone,5,-38,-42,-24,-39,-4,5346
333,Linoone (Galarian Linoone),5,-38,-42,-24,-39,-4,5346
334,Wurmple,-28,-63,-68,-54,-70,-84,24249
335,Silcoon,-23,-73,-48,-49,-75,-89,24109
336,Beautifly,-13,-38,-53,26,-50,-39,9119
337,Cascoon,-23,-73,-48,-49,-75,-89,24109
338,Dustox,-13,-58,-33,-24,-10,-39,6819
339,Lotad,-33,-78,-73,-34,-50,-74,21634
340,Lombre,-13,-58,-53,-14,-30,-54,10354
341,Ludicolo,7,-38,-33,16,0,-34,3994
342,Seedot,-33,-68,-53,-44,-70,-74,20834
343,Nuzleaf,-3,-38,-63,-14,-60,-44,11154
344,Shiftry,17,-8,-43,16,-40,-24,4634
345,Taillow,-33,-53,-73,-44,-70,-19,16424
346,Swellow,-13,-23,-43,1,-50,21,5489
347,Wingull,-33,-78,-73,-19,-70,-19,18124
348,Pelipper,-13,-58,-3,21,-30,-39,6404
349,Ralts,-45,-83,-78,-29,-65,-64,24160
350,Kirlia,-35,-73,-68,-9,-45,-54,16200
351,Gardevoir,-5,-43,-38,51,15,-24,6720
352,Gardevoir (Mega Gardevoir),-5,-23,-38,91,35,-4,11520
353,Surskit,-33,-78,-71,-24,-48,-39,16615
354,Masquerain,-3,-48,-41,26,-18,-24,5570
355,Shroomish,-13,-68,-43,-34,-40,-69,14159
356,Breloom,-13,22,-23,-14,-40,-34,4134
357,Slakoth,-13,-48,-43,-39,-65,-74,15544
358,Vigoroth,7,-28,-23,-19,-45,-14,3944
359,Slaking,77,52,-3,21,-35,-4,10324
360,Nincada,-42,-63,-13,-44,-70,-64,16834
361,Ninjask,-12,-18,-58,-24,-50,56,10044
362,Shedinja,-72,-18,-58,-44,-70,-64,19804
363,Whismur,-9,-57,-80,-23,-77,-76,21964
364,Loudred,11,-37,-60,-3,-57,-56,11484
365,Exploud,31,-17,-40,17,-27,-36,5164
366,Makuhita,-1,-48,-73,-54,-70,-79,21691
367,Hariyama,71,12,-43,-34,-40,-54,12706
368,Azurill,-23,-88,-63,-54,-60,-84,25814
369,Nosepass,-43,-63,32,-29,-10,-74,13259
370,Skitty,-23,-63,-58,-39,-65,-54,16524
371,Delcatty,-3,-43,-38,-19,-45,-14,5884
372,Sableye,-23,-33,-28,-9,-35,-54,6624
373,Sableye (Mega Sableye),-23,-23,22,11,15,-84,8944
374,Mawile,-23,-23,-18,-19,-45,-54,6684
375,Mawile (Mega Mawile),-23,-3,22,-19,-5,-54,4324
376,Aron,-23,-38,-3,-34,-60,-74,12214
377,Lairon,-13,-18,37,-24,-50,-64,9034
378,Aggron,-3,2,77,-14,-40,-54,10654
379,Aggron (Mega Aggron),-3,32,127,-14,-20,-54,20674
380,Meditite,-43,-68,-48,-34,-45,-44,13894
381,Medicham,-13,-48,-28,-14,-25,-24,4654
382,Medicham (Mega Medicham),-13,-8,-18,6,-15,-4,834
383,Electrike,-33,-63,-63,-9,-60,-39,14229
384,Manectric,-3,-33,-43,31,-40,1,5509
385,Manectric (Mega Manectric),-3,-33,-23,61,-20,31,6709
386,Plusle,-13,-58,-63,11,-25,-9,8329
387,Minun,-13,-68,-53,1,-15,-9,7909
388,Volbeat,-8,-35,-28,-27,-15,-19,3388
389,Illumise,-8,-61,-28,-1,-15,-19,5156
390,Roselia,-23,-48,-58,26,-20,-39,8794
391,Gulpin,-3,-65,-50,-31,-47,-64,14000
392,Swalot,27,-35,-20,-1,-17,-49,5045
393,Carvanha,-28,-18,-83,-9,-80,-39,15999
394,Sharpedo,-3,12,-63,21,-60,-9,8244
395,Sharpedo (Mega Sharpedo),-3,32,-33,36,-35,1,4644
396,Wailmer,57,-38,-68,-4,-65,-44,15494
397,Wailord,97,-18,-58,16,-55,-44,18314
398,Numel,-13,-48,-63,-9,-55,-69,14309
399,Camerupt,-3,-8,-33,31,-25,-64,6844
400,Camerupt (Mega Camerupt),-3,12,-3,71,5,-84,12284
401,Torkoal,-3,-23,37,11,-30,-84,9984
402,Spoink,-13,-83,-68,-4,-20,-44,14034
403,Grumpig,7,-63,-38,16,10,-24,6394
404,Spinda,-13,-48,-43,-14,-40,-44,8054
405,Trapinch,-28,-8,-58,-29,-55,-94,16914
406,Vibrava,-23,-38,-53,-24,-50,-34,9014
407,Flygon,7,-8,-23,6,-20,-4,1094
408,Cacnea,-23,-23,-63,11,-60,-69,13509
409,Cacturne,-3,7,-43,41,-40,-49,7589
410,Swablu,-28,-68,-43,-34,-25,-54,11954
411,Altaria,2,-38,-13,-4,5,-24,2234
412,Altaria (Mega Altaria),2,2,7,36,5,-24,1954
413,Zangoose,0,7,-43,-14,-40,-14,3890
414,Seviper,0,-8,-43,26,-40,-39,5710
415,Lunatone,17,-53,-38,21,-15,-34,6364
416,Solrock,17,-13,-18,-19,-35,-34,3524
417,Barboach,-23,-60,-60,-28,-59,-44,13930
418,Whiscash,37,-30,-30,2,-29,-44,5950
419,Corphish,-30,-28,-38,-24,-65,-69,12690
420,Crawdaunt,-10,12,-18,16,-45,-49,5250
421,Baltoy,-33,-68,-48,-34,-30,-49,12474
422,Claydol,-13,-38,2,-4,20,-29,2874
423,Lileep,-7,-67,-26,-13,-13,-81,12113
424,Cradily,13,-27,-6,7,7,-61,4753
425,Anorith,-28,-13,-53,-34,-50,-29,8259
426,Armaldo,2,17,-3,-4,-20,-59,4199
427,Feebas,-53,-93,-83,-64,-45,-24,25044
428,Milotic,22,-48,-24,26,25,-23,5194
429,Castform,-3,-38,-33,-4,-30,-34,4614
430,Kecleon,-13,-18,-33,-14,20,-64,6274
431,Shuppet,-29,-33,-68,-11,-67,-59,14645
432,Banette,-9,7,-38,9,-37,-39,4545
433,Banette (Mega Banette),-9,57,-28,19,-17,-29,5605
434,Duskull,-53,-68,-13,-44,-10,-79,15879
435,Dusclops,-33,-38,27,-14,30,-79,10599
436,Tropius,26,-40,-20,-2,-13,-53,5658
437,Chimecho,2,-58,-23,21,-10,-39,5959
438,Absol,-8,22,-43,1,-40,-29,4839
439,Absol (Mega Absol),-8,42,-43,41,-40,11,7079
440,Wynaut,22,-85,-55,-51,-52,-81,22600
441,Snorunt,-23,-58,-53,-24,-50,-54,12694
442,Glalie,7,-28,-23,6,-20,-24,2374
443,Glalie (Mega Glalie),7,12,-23,46,-20,-4,3254
444,Spheal,-3,-68,-53,-19,-50,-79,16544
445,Sealeo,17,-48,-33,1,-30,-59,8064
446,Walrein,37,-28,-13,21,-10,-39,4384
447,Clamperl,-38,-44,-18,0,-45,-72,10913
448,Huntail,-18,-4,2,20,-25,-52,4073
449,Gorebyss,-18,-24,2,40,-25,-52,5833
450,Relicanth,27,-18,27,-29,-35,-49,6249
451,Luvdisc,-30,-78,-48,-34,-35,-7,11718
452,Bagon,-28,-33,-43,-34,-70,-54,12694
453,Shelgon,-8,-13,-3,-14,-50,-54,5854
454,Salamence,22,27,-23,36,-20,-4,3454
455,Salamence (Mega Salamence),22,37,27,46,-10,16,5054
456,Beldum,-33,-53,-23,-39,-40,-74,13024
457,Metang,-13,-33,-3,-19,-20,-54,4944
458,Metagross,7,27,27,21,-10,-34,3204
459,Metagross (Mega Metagross),7,37,47,31,10,6,4724
460,Regirock,7,-8,97,-24,0,-54,13014
461,Regice,7,-58,-3,26,100,-54,17014
462,Registeel,7,-33,47,1,50,-54,8764
463,Latias,7,-28,-13,36,30,6,3234
464,Latias (Mega Latias),7,-8,17,66,50,6,7294
465,Latios,7,-18,-23,56,10,6,4174
466,Latios (Mega Latios),7,22,-3,86,20,6,8374
467,Kyogre,27,-8,-13,76,40,-14,8534
468,Kyogre (Primal Kyogre),27,42,-13,106,60,-14,17694
469,Groudon,27,42,37,26,-10,-14,4834
470,Groudon (Primal Groudon),27,72,57,76,-10,-14,15234
471,Rayquaza,32,42,-13,76,-10,-9,8914
472,Rayquaza (Mega Rayquaza),32,72,-3,106,0,11,17574
473,Jirachi,27,-8,-3,26,0,-4,1494
474,Deoxys (Normal Forme),-23,42,-53,76,-50,46,15494
475,Deoxys (Attack Forme),-23,72,-83,106,-80,46,32354
