Noah Dale vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
186,Kabuto,-62,-12,22,-12,-51,-65,11442
187,Kabutops,-32,23,37,-2,-26,-40,5202
188,Aerodactyl,-12,13,-3,-7,-21,10,912
189,Aerodactyl (Mega Aerodactyl),-12,43,17,3,-1,30,3192
190,Snorlax,68,18,-3,-2,14,-90,13257
191,Articuno,-2,-7,32,28,29,-35,3927
192,Articuno (Galarian Articuno),-2,-7,17,58,4,-25,4347
193,Zapdos,-2,-2,17,58,-6,-20,4097
194,Zapdos (Galarian Zapdos),-2,33,22,18,-6,-20,2337
195,Moltres,-2,8,22,58,-11,-30,4937
196,Moltres (Galarian Moltres),-2,-7,22,33,29,-30,3367
197,Dratini,-51,-28,-23,-17,-46,-70,11219
198,Dragonair,-31,-8,-3,3,-26,-50,4219
199,Dragonite,-1,42,27,33,4,-40,5199
200,Mewtwo,14,18,22,87,-6,10,8709
201,Mewtwo (Mega Mewtwo X),14,98,32,87,4,10,18509
202,Mewtwo (Mega Mewtwo Y),14,58,2,127,24,20,20669
203,Mew,8,8,32,33,4,-20,2657
204,Chikorita,-47,-43,-3,-18,-31,-75,10977
205,Bayleef,-32,-30,12,-4,-16,-60,5940
206,Meganium,-12,-10,32,16,4,-40,3140
207,Cyndaquil,-53,-40,-25,-7,-46,-55,10224
208,Quilava,-34,-28,-10,13,-31,-40,4770
209,Typhlosion,-14,-8,10,42,-11,-20,2645
210,Typhlosion (Hisuian Typhlosion),-19,-8,10,52,-11,-25,3975
211,Totodile,-42,-27,-4,-23,-48,-77,11271
212,Croconaw,-27,-12,12,-8,-33,-62,6014
213,Feraligatr,-7,13,32,12,-13,-42,3319
214,Sentret,-57,-46,-34,-32,-51,-100,20146
215,Furret,-7,-16,-4,-22,-41,-30,3386
216,Hoothoot,-32,-62,-38,-31,-40,-70,13773
217,Noctowl,8,-42,-18,19,0,-50,5013
218,Ledyba,-52,-72,-38,-27,-16,-65,14542
219,Ledian,-37,-57,-18,-12,14,-35,6507
220,Spinarak,-52,-32,-28,-27,-56,-90,16477
221,Ariados,-22,-2,2,-7,-26,-80,7617
222,Crobat,-7,-2,12,3,-16,10,562
223,Chinchou,-17,-54,-30,-11,-40,-53,8635
224,Lanturn,33,-34,-10,9,-20,-53,5635
225,Pichu,-72,-52,-53,-32,-61,-60,19042
226,Cleffa,-42,-67,-40,-22,-41,-105,21043
227,Igglybuff,-2,-62,-53,-27,-76,-105,24187
228,Togepi,-57,-72,-3,-27,-31,-100,20132
229,Togetic,-37,-52,17,13,9,-80,11012
230,Natu,-52,-42,-23,3,-51,-50,10107
231,Xatu,-27,-17,2,28,-26,-25,3107
232,Mareep,-37,-52,-28,-2,-51,-85,14687
233,Flaaffy,-22,-37,-13,13,-36,-75,9112
234,Ampharos,-2,-17,17,48,-6,-65,7147
235,Ampharos (Mega Ampharos),-2,3,37,98,14,-75,16807
236,Bellossom,-17,-12,27,23,4,-70,6607
237,Marill,-22,-72,-18,-47,-46,-80,16717
238,Azumarill,8,-42,12,-7,-16,-70,7177
239,Sudowoodo,-22,8,47,-37,-31,-90,13187
240,Politoed,-2,-17,7,23,4,-50,3387
241,Hoppip,-57,-57,-28,-32,-41,-70,14887
242,Skiploom,-37,-47,-18,-22,-31,-40,6947
243,Jumpluff,-17,-37,2,-12,-1,-10,1907
244,Aipom,-37,-22,-13,-27,-41,-35,5657
245,Sunkern,-62,-62,-38,-37,-66,-90,22957
246,Sunflora,-17,-17,-13,38,-11,-90,10412
247,Yanma,-27,-27,-23,8,-51,-25,5277
248,Wooper,-37,-47,-23,-42,-71,-105,21937
249,Wooper (Paldean Wooper),-37,-47,-23,-42,-71,-105,21937
250,Quagsire,3,-7,17,-2,-31,-85,8537
251,Espeon,-27,-27,-8,63,-1,-10,5592
252,Umbreon,3,-27,42,-7,34,-55,6732
253,Murkrow,-32,-7,-26,18,-54,-29,5830
254,Slowking,3,-17,12,33,14,-90,9827
255,Slowking (Galarian Slowking),3,-27,12,43,14,-90,11027
256,Misdreavus,-32,-32,-8,18,-11,-35,3782
257,Unown,-44,-20,-20,5,-48,-72,10249
258,Wobbuffet,98,-59,-10,-34,-38,-87,23354
259,Girafarig,-22,-12,-3,23,-31,-35,3352
260,Pineco,-42,-27,22,-32,-61,-105,18747
261,Forretress,-17,-2,72,-7,-36,-80,13222
262,Dunsparce,8,-22,2,-2,-31,-75,7142
263,Gligar,-27,-17,37,-32,-31,-35,5597
264,Steelix,-17,-7,132,-12,-31,-90,26967
265,Steelix (Mega Steelix),-17,33,162,-12,-1,-90,35867
266,Snubbull,-32,-12,-18,-27,-56,-90,13457
267,Granbull,-2,28,7,-7,-36,-75,7807
268,Qwilfish,-27,3,17,-12,-41,-35,4077
269,Qwilfish (Hisuian Qwilfish),-27,3,17,-12,-41,-35,4077
270,Scizor,-22,38,32,-12,-16,-55,6377
271,Scizor (Mega Scizor),-22,58,72,-2,4,-45,11077
272,Shuckle,-72,-82,162,-57,134,-115,72582
273,Heracross,-12,33,7,-27,-1,-35,3237
274,Heracross (Mega Heracross),-12,93,47,-27,9,-45,13837
275,Sneasel,-37,3,-13,-32,-21,-5,3037
276,Sneasel (Hisuian Sneasel),-37,3,-13,-32,-21,-5,3037
277,Teddiursa,-32,-12,-18,-17,-46,-80,10297
278,Ursaring,-2,38,7,8,-21,-65,6227
279,Slugma,-52,-52,-28,3,-56,-100,19337
280,Magcargo,-32,-42,52,23,-16,-90,14377
281,Swinub,-42,-42,-28,-37,-66,-70,14937
282,Piloswine,8,8,12,-7,-36,-70,6517
283,Corsola,-27,-37,27,-2,-1,-85,10057
284,Corsola (Galarian Corsola),-32,-37,32,-2,4,-90,11537
285,Remoraid,-57,-27,-33,-2,-61,-55,11817
286,Octillery,-17,13,7,38,-21,-75,8017
287,Delibird,-47,-37,-23,-2,-51,-45,8737
288,Mantine,-7,-52,2,13,44,-50,7362
289,Skarmory,-27,-12,72,-27,-26,-50,9962
290,Houndour,-47,-32,-38,13,-46,-55,9987
291,Houndoom,-17,-2,-18,43,-16,-25,3347
292,Houndoom (Mega Houndoom),-17,-2,22,73,-6,-5,6167
293,Kingdra,-17,3,27,28,-1,-35,3037
294,Phanpy,-2,-32,-8,-27,-56,-80,11357
295,Donphan,-2,28,52,-7,-36,-70,9737
296,Porygon2,-7,-12,22,38,-1,-60,5722
297,Stantler,-19,3,-6,18,-31,-35,2916
298,Smeargle,-37,-72,-33,-47,-51,-45,14477
299,Tyrogue,-57,-57,-33,-32,-61,-85,19557
300,Hitmontop,-42,3,27,-32,14,-50,6222
301,Smoochum,-47,-62,-53,18,-31,-55,13172
302,Elekid,-47,-29,-31,-2,-41,-25,6321
303,Magby,-47,-17,-31,3,-41,-37,6518
304,Miltank,3,-12,37,-27,-26,-20,3327
305,Blissey,163,-82,-58,8,39,-65,42467
306,Raikou,-2,-7,7,48,4,-5,2447
307,Entei,23,23,17,23,-21,-20,2717
308,Suicune,8,-17,47,23,19,-35,4677
309,Larvitar,-42,-28,-18,-22,-46,-79,11713
310,Pupitar,-22,-8,2,-2,-26,-69,5993
311,Tyranitar,8,42,42,28,4,-59,7873
312,Tyranitar (Mega Tyranitar),8,72,82,28,24,-49,15733
313,Lugia,14,-2,62,23,58,-10,8037
314,Ho-Oh,14,38,22,43,58,-30,8237
315,Celebi,8,8,32,33,4,-20,2657
316,Treecko,-52,-47,-33,-2,-41,-50,10187
317,Grovyle,-42,-27,-23,18,-31,-25,4932
318,Sceptile,-22,-7,-3,38,-11,0,2107
319,Sceptile (Mega Sceptile),-22,18,7,78,-11,25,7687
320,Torchic,-47,-32,-28,3,-46,-75,11767
321,Combusken,-32,-7,-8,18,-36,-65,6982
322,Blaziken,-12,28,2,43,-26,-40,5057
323,Blaziken (Mega Blaziken),-12,68,12,63,-16,-20,9537
324,Mudkip,-42,-22,-18,-17,-46,-80,11377
325,Marshtomp,-22,-7,2,-7,-26,-70,6162
326,Swampert,8,18,22,18,-6,-60,4832
327,Swampert (Mega Swampert),8,58,42,28,14,-50,8672
328,Poochyena,-57,-37,-33,-37,-66,-85,18657
329,Mightyena,-22,-2,2,-7,-36,-50,4337
330,Zigzagoon,-54,-62,-27,-37,-55,-60,15483
331,Zigzagoon (Galarian Zigzagoon),-54,-62,-27,-37,-55,-60,15483
332,Linoone,-14,-22,-7,-17,-35,-20,2643
333,Linoone (Galarian Linoone),-14,-22,-7,-17,-35,-20,2643
334,Wurmple,-47,-47,-33,-47,-66,-100,22072
335,Silcoon,-42,-57,-13,-42,-71,-105,23012
336,Beautifly,-32,-22,-18,33,-46,-55,8062
337,Cascoon,-42,-57,-13,-42,-71,-105,23012
338,Dustox,-32,-42,2,-17,-6,-55,6142
339,Lotad,-52,-62,-38,-27,-46,-90,18937
340,Lombre,-32,-42,-18,-7,-26,-70,8737
341,Ludicolo,-12,-22,2,23,4,-50,3677
342,Seedot,-52,-52,-18,-37,-66,-90,19557
343,Nuzleaf,-22,-22,-28,-7,-56,-60,8537
344,Shiftry,-2,8,-8,23,-36,-40,3557
345,Taillow,-52,-37,-38,-37,-66,-35,12467
346,Swellow,-32,-7,-8,8,-46,5,3342
347,Wingull,-52,-62,-38,-12,-66,-35,13717
348,Pelipper,-32,-42,32,28,-26,-55,8297
349,Ralts,-64,-67,-43,-22,-61,-80,21039
350,Kirlia,-54,-57,-33,-2,-41,-70,13839
351,Gardevoir,-24,-27,-3,58,19,-40,6639
352,Gardevoir (Mega Gardevoir),-24,-7,-3,98,39,-20,12159
353,Surskit,-52,-62,-36,-17,-44,-55,13094
354,Masquerain,-22,-32,-6,33,-14,-40,4429
355,Shroomish,-32,-52,-8,-27,-36,-85,13042
356,Breloom,-32,38,12,-7,-36,-50,6457
357,Slakoth,-32,-32,-8,-32,-61,-90,14957
358,Vigoroth,-12,-12,12,-12,-41,-30,3157
359,Slaking,58,68,32,28,-31,-20,11157
360,Nincada,-61,-47,22,-37,-66,-80,18539
361,Ninjask,-31,-2,-23,-17,-46,40,5499
362,Shedinja,-91,-2,-23,-37,-66,-80,20939
363,Whismur,-28,-41,-45,-16,-73,-92,18539
364,Loudred,-8,-21,-25,4,-53,-72,9139
365,Exploud,12,-1,-5,24,-23,-52,3979
366,Makuhita,-20,-32,-38,-47,-66,-95,18458
367,Hariyama,52,28,-8,-27,-36,-70,10477
368,Azurill,-42,-72,-28,-47,-56,-100,23077
369,Nosepass,-62,-47,67,-22,-6,-90,19162
370,Skitty,-42,-47,-23,-32,-61,-70,14147
371,Delcatty,-22,-27,-3,-12,-41,-30,3947
372,Sableye,-42,-17,7,-2,-31,-70,7967
373,Sableye (Mega Sableye),-42,-7,57,18,19,-100,15747
374,Mawile,-42,-7,17,-12,-41,-70,8827
375,Mawile (Mega Mawile),-42,13,57,-12,-1,-70,10227
376,Aron,-42,-22,32,-27,-56,-90,15237
377,Lairon,-32,-2,72,-17,-46,-80,15017
378,Aggron,-22,18,112,-7,-36,-70,19597
379,Aggron (Mega Aggron),-22,48,162,-7,-16,-70,34237
380,Meditite,-62,-52,-13,-27,-41,-60,12727
381,Medicham,-32,-32,7,-7,-21,-40,4187
382,Medicham (Mega Medicham),-32,8,17,13,-11,-20,2067
383,Electrike,-52,-47,-28,-2,-56,-55,11862
384,Manectric,-22,-17,-8,38,-36,-15,3802
385,Manectric (Mega Manectric),-22,-17,12,68,-16,15,6022
386,Plusle,-32,-42,-28,18,-21,-25,4962
387,Minun,-32,-52,-18,8,-11,-25,4862
388,Volbeat,-27,-19,7,-20,-11,-35,2885
389,Illumise,-27,-45,7,6,-11,-35,4185
390,Roselia,-42,-32,-23,33,-16,-55,7687
391,Gulpin,-22,-49,-15,-24,-43,-80,11935
392,Swalot,8,-19,15,6,-13,-65,5080
393,Carvanha,-47,-2,-48,-2,-76,-55,13322
394,Sharpedo,-22,28,-28,28,-56,-25,6597
395,Sharpedo (Mega Sharpedo),-22,48,2,43,-31,-15,5827
396,Wailmer,38,-22,-33,3,-61,-60,10347
397,Wailord,78,-2,-23,23,-51,-60,13347
398,Numel,-32,-32,-28,-2,-51,-85,12662
399,Camerupt,-22,8,2,38,-21,-80,8837
400,Camerupt (Mega Camerupt),-22,28,32,78,9,-100,18457
401,Torkoal,-22,-7,72,18,-26,-100,16717
402,Spoink,-32,-67,-33,3,-16,-60,10467
403,Grumpig,-12,-47,-3,23,14,-40,4687
404,Spinda,-32,-32,-8,-7,-36,-60,7057
405,Trapinch,-47,8,-23,-22,-51,-110,17987
406,Vibrava,-42,-22,-18,-17,-46,-50,7477
407,Flygon,-12,8,12,13,-16,-20,1177
408,Cacnea,-42,-7,-28,18,-56,-85,13282
409,Cacturne,-22,23,-8,48,-36,-65,8902
410,Swablu,-47,-52,-8,-27,-21,-70,11047
411,Altaria,-17,-22,22,3,9,-40,2947
412,Altaria (Mega Altaria),-17,18,42,43,9,-40,5907
413,Zangoose,-19,23,-8,-7,-36,-30,3199
414,Seviper,-19,8,-8,33,-36,-55,5899
415,Lunatone,-2,-37,-3,28,-11,-50,4787
416,Solrock,-2,3,17,-12,-31,-50,3907
417,Barboach,-42,-44,-25,-21,-55,-60,11391
418,Whiscash,18,-14,5,9,-25,-60,4851
419,Corphish,-49,-12,-3,-17,-61,-85,13789
420,Crawdaunt,-29,28,17,23,-41,-65,8349
421,Baltoy,-52,-52,-13,-27,-26,-65,11207
422,Claydol,-32,-22,37,3,24,-45,5487
423,Lileep,-26,-51,9,-6,-9,-97,12884
424,Cradily,-6,-11,29,14,11,-77,7244
425,Anorith,-47,3,-18,-27,-46,-45,7412
426,Armaldo,-17,33,32,3,-16,-75,8292
427,Feebas,-72,-77,-48,-57,-41,-40,19947
428,Milotic,3,-32,11,33,29,-39,4605
429,Castform,-22,-22,2,3,-26,-50,4157
430,Kecleon,-32,-2,2,-7,24,-80,8057
431,Shuppet,-48,-17,-33,-4,-63,-75,13292
432,Banette,-28,23,-3,16,-33,-55,5692
433,Banette (Mega Banette),-28,73,7,26,-13,-45,9032
434,Duskull,-72,-52,22,-37,-6,-95,18802
435,Dusclops,-52,-22,62,-7,34,-95,17262
436,Tropius,7,-24,15,5,-9,-69,5717
437,Chimecho,-17,-42,12,28,-6,-55,6042
438,Absol,-27,38,-8,8,-36,-45,5622
439,Absol (Mega Absol),-27,58,-8,48,-36,-5,7782
440,Wynaut,3,-69,-20,-44,-48,-97,18819
441,Snorunt,-42,-42,-18,-17,-46,-70,11157
442,Glalie,-12,-12,12,13,-16,-40,2457
443,Glalie (Mega Glalie),-12,28,12,53,-16,-20,4537
444,Spheal,-22,-52,-18,-12,-46,-95,14797
445,Sealeo,-2,-32,2,8,-26,-75,7397
446,Walrein,18,-12,22,28,-6,-55,4797
447,Clamperl,-57,-28,17,7,-41,-88,13796
448,Huntail,-37,12,37,27,-21,-68,8676
449,Gorebyss,-37,-8,37,47,-21,-68,10076
450,Relicanth,8,-2,62,-22,-31,-65,9582
451,Luvdisc,-49,-62,-13,-27,-31,-23,8633
452,Bagon,-47,-17,-8,-27,-66,-70,12547
453,Shelgon,-27,3,32,-7,-46,-70,8827
454,Salamence,3,43,12,43,-16,-20,4507
455,Salamence (Mega Salamence),3,53,62,53,-6,0,9507
456,Beldum,-52,-37,12,-32,-36,-90,14637
457,Metang,-32,-17,32,-12,-16,-70,7637
458,Metagross,-12,43,62,28,-6,-50,9157
459,Metagross (Mega Metagross),-12,53,82,38,14,-10,11417
460,Regirock,-12,8,132,-17,4,-70,22837
461,Regice,-12,-42,32,33,104,-70,19737
462,Registeel,-12,-17,82,8,54,-70,15037
463,Latias,-12,-12,22,43,34,-10,3877
464,Latias (Mega Latias),-12,8,52,73,54,-10,11257
465,Latios,-12,-2,12,63,14,-10,4557
466,Latios (Mega Latios),-12,38,32,93,24,-10,11937
467,Kyogre,8,8,22,83,44,-30,10337
468,Kyogre (Primal Kyogre),8,58,22,113,64,-30,21677
469,Groudon,8,58,72,33,-6,-30,10637
470,Groudon (Primal Groudon),8,88,92,83,-6,-30,24097
471,Rayquaza,13,58,22,83,-6,-25,11567
472,Rayquaza (Mega Rayquaza),13,88,32,113,4,-5,21747
473,Jirachi,8,8,32,33,4,-20,2657
474,Deoxys (Normal Forme),-42,58,-18,83,-46,30,15357
475,Deoxys (Attack Forme),-42,88,-48,113,-76,30,31257
476,Deoxys (Defense Forme),-42,-22,92,3,64,-30,15717
477,Deoxys (Speed Forme),-42,3,22,28,-6,60,6677
478,Turtwig,-37,-24,-4,-22,-41,-89,12047
479,Grotle,-17,-3,17,-12,-31,-84,8748
