Sam Tellis vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
66,Dugtrio (Alolan Dugtrio),-26,40,0,-10,-4,16,2648
67,Meowth,-21,-15,-25,-20,-34,-4,2863
68,Meowth (Alolan Meowth),-21,-25,-25,-10,-34,-4,2963
69,Meowth (Galarian Meowth),-11,5,-5,-20,-34,-54,4643
70,Persian,4,10,0,5,-9,21,663
71,Persian (Alolan Persian),4,0,0,15,-9,21,763
72,Psyduck,-11,-8,-12,5,-24,-39,2451
73,Golduck,19,22,18,35,6,-9,2511
74,Mankey,-21,20,-25,-25,-29,-24,3508
75,Primeape,4,45,0,0,-4,1,2058
76,Growlithe,-6,10,-15,10,-24,-34,2193
77,Growlithe (Hisuian Growlithe),-1,15,-15,5,-24,-39,2573
78,Arcanine,29,50,20,40,6,1,5378
79,Arcanine (Hisuian Arcanine),34,55,20,35,6,-4,5858
80,Poliwag,-21,-10,-20,-20,-34,-4,2513
81,Poliwhirl,4,5,5,-10,-24,-4,758
82,Poliwrath,29,35,35,10,16,-24,4223
83,Abra,-36,-40,-45,45,-19,-4,7323
84,Kadabra,-21,-25,-30,60,-4,11,5703
85,Alakazam,-6,-10,-15,75,21,26,7103
86,Alakazam (Mega Alakazam),-6,-10,5,115,31,56,17483
87,Machop,9,20,-10,-25,-39,-59,6208
88,Machoke,19,40,10,-10,-14,-49,4758
89,Machamp,29,70,20,5,11,-39,7808
90,Bellsprout,-11,15,-25,10,-44,-54,5923
91,Weepinbell,4,30,-10,25,-29,-39,4003
92,Victreebel,19,45,5,40,-4,-24,4603
93,Tentacool,-21,-20,-25,-10,26,-24,2818
94,Tentacruel,19,10,5,20,46,6,3038
95,Geodude,-21,20,40,-30,-44,-74,10753
96,Geodude (Alolan Geodude),-21,20,40,-30,-44,-74,10753
97,Graveler,-6,35,55,-15,-29,-59,8833
98,Graveler (Alolan Graveler),-6,35,55,-15,-29,-59,8833
99,Golem,19,60,70,-5,-9,-49,11368
100,Golem (Alolan Golem),19,60,70,-5,-9,-49,11368
101,Ponyta,-11,25,-5,5,-9,-4,893
102,Ponyta (Galarian Ponyta),-11,25,-5,5,-9,-4,893
103,Rapidash,4,40,10,20,6,11,2273
104,Rapidash (Galarian Rapidash),4,40,10,20,6,11,2273
105,Slowpoke,29,5,5,-20,-34,-79,8688
106,Slowpoke (Galarian Slowpoke),29,5,5,-20,-34,-79,8688
107,Slowbro,34,15,50,40,6,-64,9613
108,Slowbro (Mega Slowbro),34,15,120,70,6,-64,24813
109,Slowbro (Galarian Slowbro),34,40,35,40,-4,-64,9693
110,Magnemite,-36,-25,10,35,-19,-49,6008
111,Magneton,-11,0,35,60,-4,-24,5538
112,Farfetch'd,-9,30,-5,-2,-12,-34,2310
113,Farfetch'd (Galarian Farfetch'd),-9,35,-5,-2,-12,-39,3000
114,Doduo,-26,25,-15,-25,-39,-19,4033
115,Dodrio,-1,50,10,0,-14,16,3053
116,Seel,4,-15,-5,-15,-4,-49,2908
117,Dewgong,29,10,20,10,21,-24,2458
118,Grimer,19,20,-10,-20,-24,-69,6598
119,Grimer (Alolan Grimer),19,20,-10,-20,-24,-69,6598
120,Muk,44,45,15,5,26,-44,6823
121,Muk (Alolan Muk),44,45,15,5,26,-44,6823
122,Shellder,-31,5,40,-15,-49,-54,8128
123,Cloyster,-11,35,120,25,-29,-24,17788
124,Gastly,-31,-25,-30,40,-39,-14,5803
125,Haunter,-16,-10,-15,55,-19,1,3968
126,Gengar,-1,5,0,70,1,16,5183
127,Gengar (Mega Gengar),-1,5,20,110,21,36,14263
128,Onix,-26,-15,100,-30,-29,-24,13218
129,Drowzee,-1,-12,-15,-17,16,-52,3619
130,Hypno,24,13,10,13,41,-27,3424
131,Krabby,-31,45,30,-35,-49,-44,9448
132,Kingler,-6,70,55,-10,-24,-19,8998
133,Voltorb,-21,-30,-10,-5,-19,6,1863
134,Voltorb (Hisuian Voltorb),-21,-30,-10,-5,-19,6,1863
135,Electrode,-1,-10,10,20,6,56,3773
136,Electrode (Hisuian Electrode),-1,-10,10,20,6,56,3773
137,Exeggcute,-1,-20,20,0,-29,-54,4558
138,Exeggutor,34,35,25,65,1,-39,8753
139,Exeggutor (Alolan Exeggutor),34,45,25,65,1,-49,10433
140,Cubone,-11,-10,35,-20,-24,-59,5903
141,Marowak,-1,20,50,-10,6,-49,5438
142,Marowak (Alolan Marowak),-1,20,50,-10,6,-49,5438
143,Hitmonlee,-11,60,-7,-25,36,-7,5740
144,Hitmonchan,-11,45,19,-25,36,-18,4752
145,Lickitung,29,-5,15,0,1,-64,5188
146,Koffing,-21,5,35,0,-29,-59,6013
147,Weezing,4,30,60,25,-4,-34,6313
148,Weezing (Galarian Weezing),4,30,60,25,-4,-34,6313
149,Rhyhorn,19,25,35,-30,-44,-69,9808
150,Rhydon,44,70,60,-15,-29,-54,14418
151,Chansey,189,-55,-55,-25,31,-44,45293
152,Tangela,4,-5,55,40,-34,-34,6978
153,Kangaskhan,44,35,20,-20,6,-4,4013
154,Kangaskhan (Mega Kangaskhan),44,65,40,0,26,6,8473
155,Horsea,-31,-20,10,10,-49,-34,5118
156,Seadra,-6,5,35,35,-29,-9,3433
157,Goldeen,-16,7,0,-25,-24,-31,2467
158,Seaking,19,32,5,5,6,-26,2147
159,Staryu,-31,-15,-5,10,-19,-9,1753
160,Starmie,-1,15,25,40,11,21,3013
161,Mr. Mime,-21,-15,5,40,46,-4,4423
162,Mr. Mime (Galarian Mr. Mime),-11,5,5,30,16,6,1363
163,Scyther,9,50,20,-5,6,11,3163
164,Jynx,4,-10,-25,55,21,1,4208
165,Electabuzz,4,23,-3,35,11,11,2021
166,Magmar,4,35,-3,40,11,-1,2972
167,Pinsir,4,65,40,-5,-4,-9,5963
168,Pinsir (Mega Pinsir),4,95,60,5,16,11,13043
169,Tauros,14,40,35,-20,-4,16,3693
170,Tauros (Paldean Tauros (Combat Breed)),14,50,45,-30,-4,6,5673
171,Tauros (Paldean Tauros (Blaze Breed)),14,50,45,-30,-4,6,5673
172,Tauros (Paldean Tauros (Aqua Breed)),14,50,45,-30,-4,6,5673
173,Magikarp,-41,-50,-5,-45,-54,-14,9343
174,Gyarados,34,65,19,0,26,-13,6587
175,Gyarados (Mega Gyarados),34,95,49,10,56,-13,15987
176,Lapras,69,25,20,25,21,-34,8008
177,Ditto,-13,-12,-12,-12,-26,-46,3393
178,Eevee,-6,-5,-10,-15,-9,-39,1988
179,Eevee (Partner Eevee),4,15,10,5,11,-19,848
180,Vaporeon,69,5,0,50,21,-29,8568
181,Jolteon,4,5,0,50,21,36,4278
182,Flareon,4,70,0,35,36,-29,8278
183,Porygon,4,0,10,25,1,-54,3658
184,Omanyte,-26,-20,40,30,-19,-59,7418
185,Omastar,9,0,65,55,-4,-39,8868
186,Kabuto,-31,20,30,-5,-29,-39,4648
187,Kabutops,-1,55,45,5,-4,-14,5288
188,Aerodactyl,19,45,5,0,1,36,3708
189,Aerodactyl (Mega Aerodactyl),19,75,25,10,21,56,10288
190,Snorlax,99,50,5,5,36,-64,17743
191,Articuno,29,25,40,35,51,-9,6973
192,Articuno (Galarian Articuno),29,25,25,65,26,1,6993
193,Zapdos,29,30,25,65,16,6,6883
194,Zapdos (Galarian Zapdos),29,65,30,25,16,6,6883
195,Moltres,29,40,30,65,11,-4,7703
196,Moltres (Galarian Moltres),29,25,30,40,51,-4,6583
197,Dratini,-20,4,-15,-10,-24,-44,3253
198,Dragonair,0,24,5,10,-4,-24,1293
199,Dragonite,30,74,35,40,26,-14,10073
200,Mewtwo,45,50,30,94,16,36,15813
201,Mewtwo (Mega Mewtwo X),45,130,40,94,26,36,31333
202,Mewtwo (Mega Mewtwo Y),45,90,10,134,46,46,32413
203,Mew,39,40,40,40,26,6,7033
204,Chikorita,-16,-11,5,-11,-9,-49,3005
205,Bayleef,-1,2,20,3,6,-34,1606
206,Meganium,19,22,40,23,26,-14,3846
207,Cyndaquil,-22,-8,-17,0,-24,-29,2254
208,Quilava,-3,4,-2,20,-9,-14,706
209,Typhlosion,17,24,18,49,11,6,3747
210,Typhlosion (Hisuian Typhlosion),12,24,18,59,11,1,4647
211,Totodile,-11,5,4,-16,-26,-51,3695
212,Croconaw,4,20,20,-1,-11,-36,2234
213,Feraligatr,24,45,40,19,9,-16,4899
214,Sentret,-26,-14,-26,-25,-29,-74,8490
215,Furret,24,16,4,-15,-19,-4,1450
216,Hoothoot,-1,-30,-30,-24,-18,-44,4637
217,Noctowl,39,-10,-10,26,22,-24,3457
218,Ledyba,-21,-40,-30,-20,6,-39,4898
219,Ledian,-6,-25,-10,-5,36,-9,2163
220,Spinarak,-21,0,-20,-20,-34,-64,6493
221,Ariados,9,30,10,0,-4,-54,4013
222,Crobat,24,30,20,10,6,36,3308
223,Chinchou,14,-22,-22,-4,-18,-27,2233
224,Lanturn,64,-2,-2,16,2,-27,5093
225,Pichu,-41,-20,-45,-25,-39,-34,7408
226,Cleffa,-11,-35,-32,-15,-19,-79,9197
227,Igglybuff,29,-30,-45,-20,-54,-79,13323
228,Togepi,-26,-40,5,-20,-9,-74,8258
229,Togetic,-6,-20,25,20,31,-54,5338
230,Natu,-21,-10,-15,10,-29,-24,2283
231,Xatu,4,15,10,35,-4,1,1583
232,Mareep,-6,-20,-20,5,-29,-59,5183
233,Flaaffy,9,-5,-5,20,-14,-49,3128
234,Ampharos,29,15,25,55,16,-39,6493
235,Ampharos (Mega Ampharos),29,35,45,105,36,-49,18813
236,Bellossom,14,20,35,30,26,-44,5333
237,Marill,9,-40,-10,-40,-24,-54,6873
238,Azumarill,39,-10,20,0,6,-44,3993
239,Sudowoodo,9,40,55,-30,-9,-64,9783
240,Politoed,29,15,15,30,26,-24,3443
241,Hoppip,-26,-25,-20,-25,-19,-44,4623
242,Skiploom,-6,-15,-10,-15,-9,-14,863
243,Jumpluff,14,-5,10,-5,21,16,1043
244,Aipom,-6,10,-5,-20,-19,-9,1003
245,Sunkern,-31,-30,-30,-30,-44,-64,9693
246,Sunflora,14,15,-5,45,11,-64,6688
247,Yanma,4,5,-15,15,-29,1,1333
248,Wooper,-6,-15,-15,-35,-49,-79,10353
249,Wooper (Paldean Wooper),-6,-15,-15,-35,-49,-79,10353
250,Quagsire,34,25,25,5,-9,-59,5993
251,Espeon,4,5,0,70,21,16,5638
252,Umbreon,34,5,50,0,56,-29,7658
253,Murkrow,-1,25,-18,25,-32,-3,2608
254,Slowking,34,15,20,40,36,-64,8773
255,Slowking (Galarian Slowking),34,5,20,50,36,-64,9473
256,Misdreavus,-1,0,0,25,11,-9,828
257,Unown,-13,12,-12,12,-26,-46,3393
258,Wobbuffet,129,-27,-2,-27,-16,-61,22080
259,Girafarig,9,20,5,30,-9,-9,1568
260,Pineco,-11,5,30,-25,-39,-79,9433
261,Forretress,14,30,80,0,-14,-54,10608
262,Dunsparce,39,10,10,5,-9,-49,4228
263,Gligar,4,15,45,-25,-9,-9,3053
264,Steelix,14,25,140,-5,-9,-64,24623
265,Steelix (Mega Steelix),14,65,170,-5,21,-64,37883
266,Snubbull,-1,20,-10,-20,-34,-64,6153
267,Granbull,29,60,15,0,-14,-49,7263
268,Qwilfish,4,35,25,-5,-19,-9,2333
269,Qwilfish (Hisuian Qwilfish),4,35,25,-5,-19,-9,2333
270,Scizor,9,70,40,-5,6,-29,7483
271,Scizor (Mega Scizor),9,90,80,5,26,-19,15643
272,Shuckle,-41,-50,170,-50,156,-89,67838
273,Heracross,19,65,15,-20,21,-9,5733
274,Heracross (Mega Heracross),19,125,55,-20,31,-19,20733
275,Sneasel,-6,35,-5,-25,1,21,2353
276,Sneasel (Hisuian Sneasel),-6,35,-5,-25,1,21,2353
277,Teddiursa,-1,20,-10,-10,-24,-54,4093
278,Ursaring,29,70,15,15,1,-39,7713
279,Slugma,-21,-20,-20,10,-34,-74,7973
280,Magcargo,-1,-10,60,30,6,-64,8733
281,Swinub,-11,-10,-20,-30,-44,-44,5393
282,Piloswine,39,40,20,0,-14,-44,5653
283,Corsola,4,-5,35,5,21,-59,5213
284,Corsola (Galarian Corsola),-1,-5,40,5,26,-64,6423
285,Remoraid,-26,5,-25,5,-39,-29,3713
286,Octillery,14,45,15,45,1,-49,6873
287,Delibird,-16,-5,-15,5,-29,-19,1733
288,Mantine,24,-20,10,20,66,-24,6408
289,Skarmory,4,20,80,-20,-4,-24,7808
290,Houndour,-16,0,-30,20,-24,-29,2973
291,Houndoom,14,30,-10,50,6,1,3733
292,Houndoom (Mega Houndoom),14,30,30,80,16,21,9093
293,Kingdra,14,35,35,35,21,-9,4393
294,Phanpy,29,0,0,-20,-34,-54,5313
295,Donphan,29,60,60,0,-14,-44,10173
296,Porygon2,24,20,30,45,21,-34,5498
297,Stantler,12,35,2,25,-9,-9,2160
298,Smeargle,-6,-40,-25,-40,-29,-19,5063
299,Tyrogue,-26,-25,-25,-25,-39,-59,7553
300,Hitmontop,-11,35,35,-25,36,-24,5068
301,Smoochum,-16,-30,-45,25,-9,-29,4728
302,Elekid,-16,3,-23,5,-19,1,1181
303,Magby,-16,15,-23,10,-19,-11,1592
304,Miltank,34,20,45,-20,-4,6,4033
305,Blissey,194,-50,-50,15,61,-39,48103
306,Raikou,29,25,15,55,26,21,5833
307,Entei,54,55,25,30,1,6,7503
308,Suicune,39,15,55,30,41,-9,7433
309,Larvitar,-11,4,-10,-15,-24,-53,3847
310,Pupitar,9,24,10,5,-4,-43,2647
311,Tyranitar,39,74,50,35,26,-33,12487
312,Tyranitar (Mega Tyranitar),39,104,90,35,46,-23,24307
313,Lugia,45,30,70,30,80,16,15381
314,Ho-Oh,45,70,30,50,80,-4,16741
315,Celebi,39,40,40,40,26,6,7033
316,Treecko,-21,-15,-25,5,-19,-24,2253
317,Grovyle,-11,5,-15,25,-9,1,1078
318,Sceptile,9,25,5,45,11,26,3553
319,Sceptile (Mega Sceptile),9,50,15,85,11,51,12753
320,Torchic,-16,0,-20,10,-24,-49,3733
321,Combusken,-1,25,0,25,-14,-39,2968
322,Blaziken,19,60,10,50,-4,-14,6773
323,Blaziken (Mega Blaziken),19,100,20,70,6,6,15733
324,Mudkip,-11,10,-10,-10,-24,-54,3913
325,Marshtomp,9,25,10,0,-4,-44,2758
326,Swampert,39,50,30,25,16,-34,6958
327,Swampert (Mega Swampert),39,90,50,35,36,-24,15218
328,Poochyena,-26,-5,-25,-30,-44,-59,7643
329,Mightyena,9,30,10,0,-14,-24,1853
330,Zigzagoon,-23,-30,-19,-30,-33,-34,4935
331,Zigzagoon (Galarian Zigzagoon),-23,-30,-19,-30,-33,-34,4935
332,Linoone,17,10,1,-10,-13,6,695
333,Linoone (Galarian Linoone),17,10,1,-10,-13,6,695
334,Wurmple,-16,-15,-25,-40,-44,-74,10118
335,Silcoon,-11,-25,-5,-35,-49,-79,10638
336,Beautifly,-1,10,-10,40,-24,-29,3218
337,Cascoon,-11,-25,-5,-35,-49,-79,10638
338,Dustox,-1,-10,10,-10,16,-29,1398
339,Lotad,-21,-30,-30,-20,-24,-64,7313
340,Lombre,-1,-10,-10,0,-4,-44,2153
341,Ludicolo,19,10,10,30,26,-24,2713
342,Seedot,-21,-20,-10,-30,-44,-64,7873
343,Nuzleaf,9,10,-20,0,-34,-34,2893
344,Shiftry,29,40,0,30,-14,-14,3733
345,Taillow,-21,-5,-30,-30,-44,-9,4283
346,Swellow,-1,25,0,15,-24,31,2388
347,Wingull,-21,-30,-30,-5,-44,-9,4283
348,Pelipper,-1,-10,40,35,-4,-29,3783
349,Ralts,-33,-35,-35,-15,-39,-54,8201
350,Kirlia,-23,-25,-25,5,-19,-44,4101
351,Gardevoir,7,5,5,65,41,-14,6201
352,Gardevoir (Mega Gardevoir),7,25,5,105,61,6,15481
353,Surskit,-21,-30,-28,-10,-22,-29,3550
354,Masquerain,9,0,2,40,8,-14,1945
355,Shroomish,-1,-20,0,-20,-14,-59,4478
356,Breloom,-1,70,20,0,-14,-24,6073
357,Slakoth,-1,0,0,-25,-39,-64,6243
358,Vigoroth,19,20,20,-5,-19,-4,1563
359,Slaking,89,100,40,35,-9,6,20863
360,Nincada,-30,-15,30,-30,-44,-54,7777
361,Ninjask,0,30,-15,-10,-24,66,6157
362,Shedinja,-60,30,-15,-30,-44,-54,10477
363,Whismur,3,-9,-37,-9,-51,-66,8497
364,Loudred,23,11,-17,11,-31,-46,4137
365,Exploud,43,31,3,31,-1,-26,4457
366,Makuhita,11,0,-30,-40,-44,-69,9318
367,Hariyama,83,60,0,-20,-14,-44,13021
368,Azurill,-11,-40,-20,-40,-34,-74,10353
369,Nosepass,-31,-15,75,-15,16,-64,11388
370,Skitty,-11,-15,-15,-25,-39,-44,4653
371,Delcatty,9,5,5,-5,-19,-4,533
372,Sableye,-11,15,15,5,-9,-44,2613
373,Sableye (Mega Sableye),-11,25,65,25,41,-74,12753
374,Mawile,-11,25,25,-5,-19,-44,3693
375,Mawile (Mega Mawile),-11,45,65,-5,21,-44,8773
376,Aron,-11,10,40,-20,-34,-64,7473
377,Lairon,-1,30,80,-10,-24,-54,10893
378,Aggron,9,50,120,0,-14,-44,19113
379,Aggron (Mega Aggron),9,80,170,0,6,-44,37353
380,Meditite,-31,-20,-5,-20,-19,-34,3303
381,Medicham,-1,0,15,0,1,-14,423
382,Medicham (Mega Medicham),-1,40,25,20,11,6,2783
383,Electrike,-21,-15,-20,5,-34,-29,3088
384,Manectric,9,15,0,45,-14,11,2648
385,Manectric (Mega Manectric),9,15,20,75,6,41,8048
386,Plusle,-1,-10,-20,25,1,1,1128
387,Minun,-1,-20,-10,15,11,1,848
388,Volbeat,4,13,15,-13,11,-9,781
389,Illumise,4,-13,15,13,11,-9,781
390,Roselia,-11,0,-15,40,6,-29,2823
391,Gulpin,9,-17,-7,-17,-21,-54,4065
392,Swalot,39,13,23,13,9,-39,3990
393,Carvanha,-16,30,-40,5,-54,-29,6538
394,Sharpedo,9,60,-20,35,-34,1,6463
395,Sharpedo (Mega Sharpedo),9,80,10,50,-9,11,9283
396,Wailmer,69,10,-25,10,-39,-34,8263
397,Wailord,109,30,-15,30,-29,-34,15903
398,Numel,-1,0,-20,5,-29,-59,4748
399,Camerupt,9,40,10,45,1,-54,6723
400,Camerupt (Mega Camerupt),9,60,40,85,31,-74,18943
401,Torkoal,9,25,80,25,-4,-74,13223
402,Spoink,-1,-35,-25,10,6,-34,3143
403,Grumpig,19,-15,5,30,36,-14,3003
404,Spinda,-1,0,0,0,-14,-34,1353
405,Trapinch,-16,40,-15,-15,-29,-84,10203
406,Vibrava,-11,10,-10,-10,-24,-24,1573
407,Flygon,19,40,20,20,6,6,2833
408,Cacnea,-11,25,-20,25,-34,-59,6408
409,Cacturne,9,55,0,55,-14,-39,7848
410,Swablu,-16,-20,0,-20,1,-44,2993
411,Altaria,14,10,30,10,31,-14,2453
412,Altaria (Mega Altaria),14,50,50,50,31,-14,8853
413,Zangoose,12,55,0,0,-14,-4,3381
414,Seviper,12,40,0,40,-14,-29,4381
415,Lunatone,29,-5,5,35,11,-24,2813
416,Solrock,29,35,25,-5,-9,-24,3373
417,Barboach,-11,-12,-17,-14,-33,-34,2995
418,Whiscash,49,18,13,16,-3,-34,4315
419,Corphish,-18,20,5,-10,-39,-59,5851
420,Crawdaunt,2,60,25,30,-19,-39,7011
421,Baltoy,-21,-20,-5,-20,-4,-39,2803
422,Claydol,-1,10,45,10,46,-19,4703
423,Lileep,5,-19,17,1,13,-71,5886
424,Cradily,25,21,37,21,33,-51,6566
425,Anorith,-16,35,-10,-20,-24,-19,2918
426,Armaldo,14,65,40,10,6,-49,8558
427,Feebas,-41,-45,-40,-50,-19,-14,8363
428,Milotic,34,0,19,40,51,-13,5887
429,Castform,9,10,10,10,-4,-24,973
430,Kecleon,-1,30,10,0,46,-54,6033
431,Shuppet,-17,15,-25,3,-41,-49,5230
432,Banette,3,55,5,23,-11,-29,4550
433,Banette (Mega Banette),3,105,15,33,9,-19,12790
434,Duskull,-41,-20,30,-30,16,-69,8898
435,Dusclops,-21,10,70,0,56,-69,13338
436,Tropius,38,8,23,12,13,-43,4199
437,Chimecho,14,-10,20,35,16,-29,3018
438,Absol,4,70,0,15,-14,-19,5698
439,Absol (Mega Absol),4,90,0,55,-14,21,11778
440,Wynaut,34,-37,-12,-37,-26,-71,9755
441,Snorunt,-11,-10,-10,-10,-24,-44,2933
442,Glalie,19,20,20,20,6,-14,1793
443,Glalie (Mega Glalie),19,60,20,60,6,6,8033
444,Spheal,9,-20,-10,-5,-24,-69,5943
445,Sealeo,29,0,10,15,-4,-49,3583
446,Walrein,49,20,30,35,16,-29,6023
447,Clamperl,-26,4,25,14,-19,-62,5718
448,Huntail,-6,44,45,34,1,-42,6918
449,Gorebyss,-6,24,45,54,1,-42,7318
450,Relicanth,39,30,70,-15,-9,-39,9148
451,Luvdisc,-18,-30,-5,-20,-9,3,1739
452,Bagon,-16,15,0,-20,-44,-44,4753
453,Shelgon,4,35,40,0,-24,-44,5353
454,Salamence,34,75,20,50,6,6,9753
455,Salamence (Mega Salamence),34,85,70,60,16,26,17813
456,Beldum,-21,-5,20,-25,-14,-64,5783
457,Metang,-1,15,40,-5,6,-44,3823
458,Metagross,19,75,70,35,16,-24,12943
459,Metagross (Mega Metagross),19,85,90,45,36,16,19263
460,Regirock,19,40,140,-10,26,-44,24273
461,Regice,19,-10,40,40,126,-44,21473
462,Registeel,19,15,90,15,76,-44,16623
463,Latias,19,20,30,50,56,16,7553
464,Latias (Mega Latias),19,40,60,80,76,16,17993
465,Latios,19,30,20,70,36,16,8113
466,Latios (Mega Latios),19,70,40,100,46,16,19233
467,Kyogre,39,40,30,90,66,-4,16493
468,Kyogre (Primal Kyogre),39,90,30,120,86,-4,32333
469,Groudon,39,90,80,40,16,-4,17893
470,Groudon (Primal Groudon),39,120,100,90,16,-4,34293
471,Rayquaza,44,90,30,90,16,1,19293
472,Rayquaza (Mega Rayquaza),44,120,40,120,26,21,33453
473,Jirachi,39,40,40,40,26,6,7033
474,Deoxys (Normal Forme),-11,90,-10,90,-24,56,20133
475,Deoxys (Attack Forme),-11,120,-40,120,-54,56,36573
476,Deoxys (Defense Forme),-11,10,100,10,86,-4,17733
477,Deoxys (Speed Forme),-11,35,30,35,16,86,11123
478,Turtwig,-6,8,4,-15,-19,-63,4671
479,Grotle,14,29,25,-5,-9,-58,5132
480,Torterra,34,49,45,15,11,-38,7372
481,Chimchar,-17,-2,-16,-2,-30,-33,2542
482,Monferno,3,18,-8,18,-22,-13,1374
483,Infernape,15,44,11,44,-3,14,4423
484,Piplup,-8,-9,-7,1,-18,-54,3435
485,Prinplup,3,6,8,21,2,-44,2490
486,Empoleon,23,26,28,51,27,-34,6475
487,Starly,-21,-5,-30,-30,-44,-34,5358
488,Staravia,-6,15,-10,-20,-34,-14,2113
489,Staraptor,24,60,10,-10,-14,6,4608
490,Bidoof,-2,-15,-20,-25,-34,-63,6379
491,Bibarel,18,25,0,-5,-14,-23,1699
492,Kricketot,-24,-35,-19,-35,-33,-69,9237
493,Kricketune,16,25,-9,-5,-23,-29,2357
494,Shinx,-16,5,-26,-20,-40,-49,5358
495,Luxio,-1,25,-11,0,-25,-34,2528
496,Luxray,19,60,19,35,5,-24,6148
497,Budew,-21,-30,-25,-10,-4,-39,3603
498,Roserade,-1,10,5,65,31,-4,5328
499,Cranidos,6,65,-20,-30,-44,-36,8793
500,Rampardos,36,105,0,5,-24,-36,14218
501,Shieldon,-31,-18,58,-18,14,-64,9265
502,Bastiodon,-1,-8,108,-13,64,-64,20090
503,Burmy,-21,-31,-15,-31,-29,-58,6793
504,Wormadam (Plant Cloak),-1,-1,25,19,31,-58,5313
505,Wormadam (Sandy Cloak),-1,19,45,-1,11,-58,5873
506,Wormadam (Trash Cloak),-1,9,35,9,21,-58,5193
507,Mothim,9,34,-10,34,-24,-28,3853
