Evan Sooklal vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
38,Sandslash,-12,12,50,-20,-26,-26,4540
39,Sandslash (Alolan Sandslash),-12,12,60,-40,-16,-26,6420
40,Nidoran♀,-32,-41,-8,-25,-41,-50,7575
41,Nidorina,-17,-26,7,-10,-26,-35,3015
42,Nidoqueen,3,4,27,10,4,-15,1095
43,Nidoran♂,-41,-31,-20,-25,-41,-41,7029
44,Nidorino,-26,-16,-3,-10,-26,-26,2393
45,Nidoking,-6,14,17,20,-6,-6,993
46,Clefairy,-17,-43,-12,-5,-16,-56,5699
47,Clefable,8,-18,13,30,9,-31,2499
48,Vulpix,-49,-47,-20,-15,-16,-26,6167
49,Vulpix (Alolan Vulpix),-49,-47,-20,-15,-16,-26,6167
50,Ninetales,-14,-12,15,16,19,9,1263
51,Ninetales (Alolan Ninetales),-14,-21,15,16,19,18,1803
52,Jigglypuff,28,-43,-40,-20,-56,-71,12810
53,Wigglytuff,53,-18,-15,20,-31,-46,6835
54,Zubat,-47,-43,-25,-35,-41,-36,8885
55,Golbat,-12,-8,10,0,-6,-1,345
56,Oddish,-42,-38,-5,10,-16,-61,7310
57,Gloom,-27,-23,10,20,-6,-51,4395
58,Vileplume,-12,-8,25,45,9,-41,4620
59,Paras,-52,-18,-5,-20,-26,-66,8485
60,Parasect,-27,7,20,-5,-1,-61,4925
61,Venonat,-27,-33,-10,-25,-26,-46,5335
62,Venomoth,-17,-23,0,25,-6,-1,1480
63,Diglett,-77,-33,-35,-30,-36,4,10455
64,Diglett (Alolan Diglett),-77,-33,-30,-30,-36,-1,10115
65,Dugtrio,-52,12,-10,-15,-11,29,4135
66,Dugtrio (Alolan Dugtrio),-52,12,0,-15,-11,19,3555
67,Meowth,-47,-43,-25,-25,-41,-1,6990
68,Meowth (Alolan Meowth),-47,-53,-25,-15,-41,-1,7550
69,Meowth (Galarian Meowth),-37,-23,-5,-25,-41,-51,6830
70,Persian,-22,-18,0,0,-16,24,1640
71,Persian (Alolan Persian),-22,-28,0,10,-16,24,2200
72,Psyduck,-37,-36,-12,0,-31,-36,5066
73,Golduck,-7,-6,18,30,-1,-6,1346
74,Mankey,-47,-8,-25,-30,-36,-21,5535
75,Primeape,-22,17,0,-5,-11,4,935
76,Growlithe,-32,-18,-15,5,-31,-31,3520
77,Growlithe (Hisuian Growlithe),-27,-13,-15,0,-31,-36,3380
78,Arcanine,3,22,20,35,-1,4,2135
79,Arcanine (Hisuian Arcanine),8,27,20,30,-1,-1,2095
80,Poliwag,-47,-38,-20,-25,-41,-1,6360
81,Poliwhirl,-22,-23,5,-15,-31,-1,2225
82,Poliwrath,3,7,35,5,9,-21,1830
83,Abra,-62,-68,-45,40,-26,-1,12770
84,Kadabra,-47,-53,-30,55,-11,14,9260
85,Alakazam,-32,-38,-15,70,14,29,8630
86,Alakazam (Mega Alakazam),-32,-38,5,110,24,59,18650
87,Machop,-17,-8,-10,-30,-46,-56,6605
88,Machoke,-7,12,10,-15,-21,-46,3075
89,Machamp,3,42,20,0,4,-36,3485
90,Bellsprout,-37,-13,-25,5,-51,-51,7390
91,Weepinbell,-22,2,-10,20,-36,-36,3580
92,Victreebel,-7,17,5,35,-11,-21,2150
93,Tentacool,-47,-48,-25,-15,19,-21,6165
94,Tentacruel,-7,-18,5,15,39,9,2225
95,Geodude,-47,-8,40,-35,-51,-71,12740
96,Geodude (Alolan Geodude),-47,-8,40,-35,-51,-71,12740
97,Graveler,-32,7,55,-20,-36,-56,8930
98,Graveler (Alolan Graveler),-32,7,55,-20,-36,-56,8930
99,Golem,-7,32,70,-10,-16,-46,8445
100,Golem (Alolan Golem),-7,32,70,-10,-16,-46,8445
101,Ponyta,-37,-3,-5,0,-16,-1,1660
102,Ponyta (Galarian Ponyta),-37,-3,-5,0,-16,-1,1660
103,Rapidash,-22,12,10,15,-1,14,1150
104,Rapidash (Galarian Rapidash),-22,12,10,15,-1,14,1150
105,Slowpoke,3,-23,5,-25,-41,-76,8645
106,Slowpoke (Galarian Slowpoke),3,-23,5,-25,-41,-76,8645
107,Slowbro,8,-13,50,35,-1,-61,7680
108,Slowbro (Mega Slowbro),8,-13,120,65,-1,-61,22580
109,Slowbro (Galarian Slowbro),8,12,35,35,-11,-61,6500
110,Magnemite,-62,-53,10,30,-26,-46,10445
111,Magneton,-37,-28,35,55,-11,-21,6965
112,Farfetch'd,-35,2,-5,-7,-19,-31,2625
113,Farfetch'd (Galarian Farfetch'd),-35,7,-5,-7,-19,-36,3005
114,Doduo,-52,-3,-15,-30,-46,-16,6210
115,Dodrio,-27,22,10,-5,-21,19,2140
116,Seel,-22,-43,-5,-20,-11,-46,4995
117,Dewgong,3,-18,20,5,14,-21,1395
118,Grimer,-7,-8,-10,-25,-31,-66,6155
119,Grimer (Alolan Grimer),-7,-8,-10,-25,-31,-66,6155
120,Muk,18,17,15,0,19,-41,2880
121,Muk (Alolan Muk),18,17,15,0,19,-41,2880
122,Shellder,-57,-23,40,-20,-56,-51,11515
123,Cloyster,-37,7,120,20,-36,-21,17955
124,Gastly,-57,-53,-30,35,-46,-11,10420
125,Haunter,-42,-38,-15,50,-26,4,6625
126,Gengar,-27,-23,0,65,-6,19,5880
127,Gengar (Mega Gengar),-27,-23,20,105,14,39,14400
128,Onix,-52,-43,100,-35,-36,-21,17515
129,Drowzee,-27,-40,-15,-22,9,-49,5520
130,Hypno,-2,-15,10,8,34,-24,2125
131,Krabby,-57,17,30,-40,-56,-41,10855
132,Kingler,-32,42,55,-15,-31,-16,7255
133,Voltorb,-47,-58,-10,-10,-26,9,6530
134,Voltorb (Hisuian Voltorb),-47,-58,-10,-10,-26,9,6530
135,Electrode,-27,-38,10,15,-1,59,5980
136,Electrode (Hisuian Electrode),-27,-38,10,15,-1,59,5980
137,Exeggcute,-27,-48,20,-5,-36,-51,7355
138,Exeggutor,8,7,25,60,-6,-36,5670
139,Exeggutor (Alolan Exeggutor),8,17,25,60,-6,-46,6730
140,Cubone,-37,-38,35,-25,-31,-56,8760
141,Marowak,-27,-8,50,-15,-1,-46,5635
142,Marowak (Alolan Marowak),-27,-8,50,-15,-1,-46,5635
143,Hitmonlee,-37,32,-7,-30,29,-4,4199
144,Hitmonchan,-37,17,19,-30,29,-15,3985
145,Lickitung,3,-33,15,-5,-6,-61,5105
146,Koffing,-47,-23,35,-5,-36,-56,8420
147,Weezing,-22,2,60,20,-11,-31,5570
148,Weezing (Galarian Weezing),-22,2,60,20,-11,-31,5570
149,Rhyhorn,-7,-3,35,-35,-51,-66,9465
150,Rhydon,18,42,60,-20,-36,-51,9985
151,Chansey,163,-83,-55,-30,24,-41,39640
152,Tangela,-22,-33,55,35,-41,-31,8465
153,Kangaskhan,18,7,20,-25,-1,-1,1400
154,Kangaskhan (Mega Kangaskhan),18,37,40,-5,19,9,3760
155,Horsea,-57,-48,10,5,-56,-31,9775
156,Seadra,-32,-23,35,30,-36,-6,5010
157,Goldeen,-42,-21,0,-30,-31,-28,4850
158,Seaking,-7,4,5,0,-1,-23,620
159,Staryu,-57,-43,-5,5,-26,-6,5860
160,Starmie,-27,-13,25,35,4,24,3340
161,Mr. Mime,-47,-43,5,35,39,-1,6830
162,Mr. Mime (Galarian Mr. Mime),-37,-23,5,25,9,9,2710
163,Scyther,-17,22,20,-10,-1,14,1470
164,Jynx,-22,-38,-25,50,14,4,5265
165,Electabuzz,-22,-5,-3,30,4,14,1630
166,Magmar,-22,7,-3,35,4,2,1787
167,Pinsir,-22,37,40,-10,-11,-6,3710
168,Pinsir (Mega Pinsir),-22,67,60,0,9,14,8850
169,Tauros,-12,12,35,-25,-11,19,2620
170,Tauros (Paldean Tauros (Combat Breed)),-12,22,45,-35,-11,9,4080
171,Tauros (Paldean Tauros (Blaze Breed)),-12,22,45,-35,-11,9,4080
172,Tauros (Paldean Tauros (Aqua Breed)),-12,22,45,-35,-11,9,4080
173,Magikarp,-67,-78,-5,-50,-61,-11,16940
174,Gyarados,8,37,19,-5,19,-10,2280
175,Gyarados (Mega Gyarados),8,67,49,5,49,-10,9480
176,Lapras,43,-3,20,20,14,-31,3815
177,Ditto,-39,-40,-12,-17,-33,-43,6492
178,Eevee,-32,-33,-10,-20,-16,-36,4165
179,Eevee (Partner Eevee),-22,-13,10,0,4,-16,1025
180,Vaporeon,43,-23,0,45,14,-26,5275
181,Jolteon,-22,-23,0,45,14,39,4755
182,Flareon,-22,42,0,30,29,-26,4665
183,Porygon,-22,-28,10,20,-6,-51,4405
184,Omanyte,-52,-48,40,25,-26,-56,11045
185,Omastar,-17,-28,65,50,-11,-36,9215
186,Kabuto,-57,-8,30,-10,-36,-36,6905
187,Kabutops,-27,27,45,0,-11,-11,3725
188,Aerodactyl,-7,17,5,-5,-6,39,1945
189,Aerodactyl (Mega Aerodactyl),-7,47,25,5,14,59,6585
190,Snorlax,73,22,5,0,29,-61,10400
191,Articuno,3,-3,40,30,44,-6,4490
192,Articuno (Galarian Articuno),3,-3,25,60,19,4,4620
193,Zapdos,3,2,25,60,9,9,4400
194,Zapdos (Galarian Zapdos),3,37,30,20,9,9,2840
195,Moltres,3,12,30,60,4,-1,4670
196,Moltres (Galarian Moltres),3,-3,30,35,44,-1,4080
197,Dratini,-46,-24,-15,-15,-31,-41,5784
198,Dragonair,-26,-4,5,5,-11,-21,1304
199,Dragonite,4,46,35,35,19,-11,5064
200,Mewtwo,19,22,30,89,9,39,11268
201,Mewtwo (Mega Mewtwo X),19,102,40,89,19,39,22168
202,Mewtwo (Mega Mewtwo Y),19,62,10,129,39,49,24868
203,Mew,13,12,40,35,19,9,3580
204,Chikorita,-42,-39,5,-16,-16,-46,5938
205,Bayleef,-27,-26,20,-2,-1,-31,2771
206,Meganium,-7,-6,40,18,19,-11,2491
207,Cyndaquil,-48,-36,-17,-5,-31,-26,5551
208,Quilava,-29,-24,-2,15,-16,-11,2023
209,Typhlosion,-9,-4,18,44,4,9,2454
210,Typhlosion (Hisuian Typhlosion),-14,-4,18,54,4,4,3484
211,Totodile,-37,-23,4,-21,-33,-48,5748
212,Croconaw,-22,-8,20,-6,-18,-33,2397
213,Feraligatr,-2,17,40,14,2,-13,2262
214,Sentret,-52,-42,-26,-30,-36,-71,12381
215,Furret,-2,-12,4,-20,-26,-1,1241
216,Hoothoot,-27,-58,-30,-29,-25,-41,8140
217,Noctowl,13,-38,-10,21,15,-21,2820
218,Ledyba,-47,-68,-30,-25,-1,-36,9655
219,Ledian,-32,-53,-10,-10,29,-6,4910
220,Spinarak,-47,-28,-20,-25,-41,-61,9420
221,Ariados,-17,2,10,-5,-11,-51,3140
222,Crobat,-2,2,20,5,-1,39,1955
223,Chinchou,-12,-50,-22,-9,-25,-24,4410
224,Lanturn,38,-30,-2,11,-5,-24,3070
225,Pichu,-67,-48,-45,-30,-46,-31,12795
226,Cleffa,-37,-63,-32,-20,-26,-76,13214
227,Igglybuff,3,-58,-45,-25,-61,-76,15520
228,Togepi,-52,-68,5,-25,-16,-71,13275
229,Togetic,-32,-48,25,15,24,-51,7355
230,Natu,-47,-38,-15,5,-36,-21,5640
231,Xatu,-22,-13,10,30,-11,4,1790
232,Mareep,-32,-48,-20,0,-36,-56,8160
233,Flaaffy,-17,-33,-5,15,-21,-46,4185
234,Ampharos,3,-13,25,50,9,-36,4680
235,Ampharos (Mega Ampharos),3,7,45,100,29,-46,15040
236,Bellossom,-12,-8,35,25,19,-41,4100
237,Marill,-17,-68,-10,-45,-31,-51,10600
238,Azumarill,13,-38,20,-5,-1,-41,3720
239,Sudowoodo,-17,12,55,-35,-16,-61,8660
240,Politoed,3,-13,15,25,19,-21,1830
241,Hoppip,-52,-53,-20,-30,-26,-41,9170
242,Skiploom,-32,-43,-10,-20,-16,-11,3750
243,Jumpluff,-12,-33,10,-10,14,19,1990
244,Aipom,-32,-18,-5,-25,-26,-6,2710
245,Sunkern,-57,-58,-30,-35,-51,-61,15060
246,Sunflora,-12,-13,-5,40,4,-61,5675
247,Yanma,-22,-23,-15,10,-36,4,2650
248,Wooper,-32,-43,-15,-40,-56,-76,13610
249,Wooper (Paldean Wooper),-32,-43,-15,-40,-56,-76,13610
250,Quagsire,8,-3,25,0,-16,-56,4090
251,Espeon,-22,-23,0,65,14,19,5795
252,Umbreon,8,-23,50,-5,49,-26,6195
253,Murkrow,-27,-3,-18,20,-39,0,2983
254,Slowking,8,-13,20,35,29,-61,6420
255,Slowking (Galarian Slowking),8,-23,20,45,29,-61,7580
256,Misdreavus,-27,-28,0,20,4,-6,1965
257,Unown,-39,-16,-12,7,-33,-43,4908
258,Wobbuffet,103,-55,-2,-32,-23,-58,18555
259,Girafarig,-17,-8,5,25,-16,-6,1295
260,Pineco,-37,-23,30,-30,-46,-76,11590
261,Forretress,-12,2,80,-5,-21,-51,9615
262,Dunsparce,13,-18,10,0,-16,-46,2965
263,Gligar,-22,-13,45,-30,-16,-6,3870
264,Steelix,-12,-3,140,-10,-16,-61,23830
265,Steelix (Mega Steelix),-12,37,170,-10,14,-61,34430
266,Snubbull,-27,-8,-10,-25,-41,-61,6920
267,Granbull,3,32,15,-5,-21,-46,3840
268,Qwilfish,-22,7,25,-10,-26,-6,1970
269,Qwilfish (Hisuian Qwilfish),-22,7,25,-10,-26,-6,1970
270,Scizor,-17,42,40,-10,-1,-26,4430
271,Scizor (Mega Scizor),-17,62,80,0,19,-16,11150
272,Shuckle,-67,-78,170,-55,149,-86,72095
273,Heracross,-7,37,15,-25,14,-6,2500
274,Heracross (Mega Heracross),-7,97,55,-25,24,-16,13940
275,Sneasel,-32,7,-5,-30,-6,24,2610
276,Sneasel (Hisuian Sneasel),-32,7,-5,-30,-6,24,2610
277,Teddiursa,-27,-8,-10,-15,-31,-51,4680
278,Ursaring,3,42,15,10,-6,-36,3430
279,Slugma,-47,-48,-20,5,-41,-71,11660
280,Magcargo,-27,-38,60,25,-1,-61,10120
281,Swinub,-37,-38,-20,-35,-51,-41,8720
282,Piloswine,13,12,20,-5,-21,-41,2860
283,Corsola,-22,-33,35,0,14,-56,6130
284,Corsola (Galarian Corsola),-27,-33,40,0,19,-61,7500
285,Remoraid,-52,-23,-25,0,-46,-26,6650
286,Octillery,-12,17,15,40,-6,-46,4410
287,Delibird,-42,-33,-15,0,-36,-16,4630
288,Mantine,-2,-48,10,15,59,-21,6555
289,Skarmory,-22,-8,80,-25,-11,-21,8135
290,Houndour,-42,-28,-30,15,-31,-26,5310
291,Houndoom,-12,2,-10,45,-1,4,2290
292,Houndoom (Mega Houndoom),-12,2,30,75,9,24,7330
293,Kingdra,-12,7,35,30,14,-6,2550
294,Phanpy,3,-28,0,-25,-41,-51,5700
295,Donphan,3,32,60,-5,-21,-41,6780
296,Porygon2,-2,-8,30,40,14,-31,3725
297,Stantler,-14,7,2,20,-16,-6,941
298,Smeargle,-32,-68,-25,-45,-36,-16,9850
299,Tyrogue,-52,-53,-25,-30,-46,-56,12290
300,Hitmontop,-37,7,35,-30,29,-21,4825
301,Smoochum,-42,-58,-45,20,-16,-26,8485
302,Elekid,-42,-25,-23,0,-26,4,3610
303,Magby,-42,-13,-23,5,-26,-8,3227
304,Miltank,8,-8,45,-25,-11,9,2980
305,Blissey,168,-78,-50,10,54,-36,41120
306,Raikou,3,-3,15,50,19,24,3680
307,Entei,28,27,25,25,-6,9,2880
308,Suicune,13,-13,55,25,34,-6,5180
309,Larvitar,-37,-24,-10,-20,-31,-50,5906
310,Pupitar,-17,-4,10,0,-11,-40,2126
311,Tyranitar,13,46,50,30,19,-30,6946
312,Tyranitar (Mega Tyranitar),13,76,90,30,39,-20,16866
313,Lugia,19,2,70,25,73,19,11580
314,Ho-Oh,19,42,30,45,73,-1,10380
315,Celebi,13,12,40,35,19,9,3580
316,Treecko,-47,-43,-25,0,-26,-21,5800
317,Grovyle,-37,-23,-15,20,-16,4,2795
318,Sceptile,-17,-3,5,40,4,29,2780
319,Sceptile (Mega Sceptile),-17,22,15,80,4,54,10330
320,Torchic,-42,-28,-20,5,-31,-46,6050
321,Combusken,-27,-3,0,20,-21,-36,2875
322,Blaziken,-7,32,10,45,-11,-11,3440
323,Blaziken (Mega Blaziken),-7,72,20,65,-1,9,9940
324,Mudkip,-37,-18,-10,-15,-31,-51,5580
325,Marshtomp,-17,-3,10,-5,-11,-41,2225
326,Swampert,13,22,30,20,9,-31,2995
327,Swampert (Mega Swampert),13,62,50,30,29,-21,8695
328,Poochyena,-52,-33,-25,-35,-51,-56,11380
329,Mightyena,-17,2,10,-5,-21,-21,1300
330,Zigzagoon,-49,-58,-19,-35,-40,-31,9912
331,Zigzagoon (Galarian Zigzagoon),-49,-58,-19,-35,-40,-31,9912
332,Linoone,-9,-18,1,-15,-20,9,1112
333,Linoone (Galarian Linoone),-9,-18,1,-15,-20,9,1112
334,Wurmple,-42,-43,-25,-45,-51,-71,13905
335,Silcoon,-37,-53,-5,-40,-56,-76,14715
336,Beautifly,-27,-18,-10,35,-31,-26,4015
337,Cascoon,-37,-53,-5,-40,-56,-76,14715
338,Dustox,-27,-38,10,-15,9,-26,3255
339,Lotad,-47,-58,-30,-25,-31,-61,11780
340,Lombre,-27,-38,-10,-5,-11,-41,4100
341,Ludicolo,-7,-18,10,25,19,-21,1900
342,Seedot,-47,-48,-10,-35,-51,-61,12160
343,Nuzleaf,-17,-18,-20,-5,-41,-31,3680
344,Shiftry,3,12,0,25,-21,-11,1340
345,Taillow,-47,-33,-30,-35,-51,-6,8060
346,Swellow,-27,-3,0,10,-31,34,2955
347,Wingull,-47,-58,-30,-10,-51,-6,9210
348,Pelipper,-27,-38,40,30,-11,-26,5470
349,Ralts,-59,-63,-35,-20,-46,-51,13792
350,Kirlia,-49,-53,-25,0,-26,-41,8192
351,Gardevoir,-19,-23,5,60,34,-11,5792
352,Gardevoir (Mega Gardevoir),-19,-3,5,100,54,9,13392
353,Surskit,-47,-58,-28,-15,-29,-26,8099
354,Masquerain,-17,-28,2,35,1,-11,2424
355,Shroomish,-27,-48,0,-25,-21,-56,7235
356,Breloom,-27,42,20,-5,-21,-21,3800
357,Slakoth,-27,-28,0,-30,-46,-61,8250
358,Vigoroth,-7,-8,20,-10,-26,-1,1290
359,Slaking,63,72,40,30,-16,9,11990
360,Nincada,-56,-43,30,-35,-51,-51,12312
361,Ninjask,-26,2,-15,-15,-31,69,6852
362,Shedinja,-86,2,-15,-35,-51,-51,14052
363,Whismur,-23,-37,-37,-14,-58,-63,10796
364,Loudred,-3,-17,-17,6,-38,-43,3916
365,Exploud,17,3,3,26,-8,-23,1576
366,Makuhita,-15,-28,-30,-45,-51,-66,10891
367,Hariyama,57,32,0,-25,-21,-41,7020
368,Azurill,-37,-68,-20,-45,-41,-71,15140
369,Nosepass,-57,-43,75,-20,9,-61,14925
370,Skitty,-37,-43,-15,-30,-46,-41,8140
371,Delcatty,-17,-23,5,-10,-26,-1,1620
372,Sableye,-37,-13,15,0,-16,-41,3700
373,Sableye (Mega Sableye),-37,-3,65,20,34,-71,12200
374,Mawile,-37,-3,25,-10,-26,-41,4460
375,Mawile (Mega Mawile),-37,17,65,-10,14,-41,7860
376,Aron,-37,-18,40,-25,-41,-61,9320
377,Lairon,-27,2,80,-15,-31,-51,10920
378,Aggron,-17,22,120,-5,-21,-41,17320
379,Aggron (Mega Aggron),-17,52,170,-5,-1,-41,33600
380,Meditite,-57,-48,-5,-25,-26,-31,7840
381,Medicham,-27,-28,15,-5,-6,-11,1920
382,Medicham (Mega Medicham),-27,12,25,15,4,9,1820
383,Electrike,-47,-43,-20,0,-41,-26,6815
384,Manectric,-17,-13,0,40,-21,14,2695
385,Manectric (Mega Manectric),-17,-13,20,70,-1,44,7695
386,Plusle,-27,-38,-20,20,-6,4,3025
387,Minun,-27,-48,-10,10,4,4,3265
388,Volbeat,-22,-15,15,-18,4,-6,1310
389,Illumise,-22,-41,15,8,4,-6,2506
390,Roselia,-37,-28,-15,35,-1,-26,4280
391,Gulpin,-17,-45,-7,-22,-28,-51,6232
392,Swalot,13,-15,23,8,2,-36,2287
393,Carvanha,-42,2,-40,0,-61,-26,7765
394,Sharpedo,-17,32,-20,30,-41,4,4310
395,Sharpedo (Mega Sharpedo),-17,52,10,45,-16,14,5570
396,Wailmer,43,-18,-25,5,-46,-31,5900
397,Wailord,83,2,-15,25,-36,-31,10000
398,Numel,-27,-28,-20,0,-36,-56,6345
399,Camerupt,-17,12,10,40,-6,-51,4770
400,Camerupt (Mega Camerupt),-17,32,40,80,24,-71,14930
401,Torkoal,-17,-3,80,20,-11,-71,12260
402,Spoink,-27,-63,-25,5,-1,-31,6310
403,Grumpig,-7,-43,5,25,29,-11,3510
404,Spinda,-27,-28,0,-5,-21,-31,2940
405,Trapinch,-42,12,-15,-20,-36,-81,10390
406,Vibrava,-37,-18,-10,-15,-31,-21,3420
407,Flygon,-7,12,20,15,-1,9,900
408,Cacnea,-37,-3,-20,20,-41,-56,6995
409,Cacturne,-17,27,0,50,-21,-36,5255
410,Swablu,-42,-48,0,-25,-6,-41,6410
411,Altaria,-12,-18,30,5,24,-11,2090
412,Altaria (Mega Altaria),-12,22,50,45,24,-11,5850
413,Zangoose,-14,27,0,-5,-21,-1,1392
414,Seviper,-14,12,0,35,-21,-26,2682
415,Lunatone,3,-33,5,30,4,-21,2480
416,Solrock,3,7,25,-10,-16,-21,1480
417,Barboach,-37,-40,-17,-19,-40,-31,6180
418,Whiscash,23,-10,13,11,-10,-31,1980
419,Corphish,-44,-8,5,-15,-46,-56,7502
420,Crawdaunt,-24,32,25,25,-26,-36,4822
421,Baltoy,-47,-48,-5,-25,-11,-36,6580
422,Claydol,-27,-18,45,5,39,-16,4880
423,Lileep,-21,-47,17,-4,6,-68,7615
424,Cradily,-1,-7,37,16,26,-48,4655
425,Anorith,-42,7,-10,-25,-31,-16,3755
426,Armaldo,-12,37,40,5,-1,-46,5255
427,Feebas,-67,-73,-40,-55,-26,-11,15240
428,Milotic,8,-28,19,35,44,-10,4470
429,Castform,-17,-18,10,5,-11,-21,1300
430,Kecleon,-27,2,10,-5,39,-51,4980
431,Shuppet,-43,-13,-25,-2,-48,-46,7067
432,Banette,-23,27,5,18,-18,-26,2607
433,Banette (Mega Banette),-23,77,15,28,2,-16,7727
434,Duskull,-67,-48,30,-35,9,-66,13355
435,Dusclops,-47,-18,70,-5,49,-66,14215
436,Tropius,12,-20,23,7,6,-40,2758
437,Chimecho,-12,-38,20,30,9,-26,3645
438,Absol,-22,42,0,10,-21,-16,3045
439,Absol (Mega Absol),-22,62,0,50,-21,24,7845
440,Wynaut,8,-65,-12,-42,-33,-68,11910
441,Snorunt,-37,-38,-10,-15,-31,-41,5780
442,Glalie,-7,-8,20,15,-1,-11,860
443,Glalie (Mega Glalie),-7,32,20,55,-1,9,4580
444,Spheal,-17,-48,-10,-10,-31,-66,8110
445,Sealeo,3,-28,10,10,-11,-46,3230
446,Walrein,23,-8,30,30,9,-26,3150
447,Clamperl,-52,-24,25,9,-26,-59,8143
448,Huntail,-32,16,45,29,-6,-39,5703
449,Gorebyss,-32,-4,45,49,-6,-39,7023
450,Relicanth,13,2,70,-20,-16,-36,7025
451,Luvdisc,-44,-58,-5,-25,-16,6,6242
452,Bagon,-42,-13,0,-25,-51,-41,6840
453,Shelgon,-22,7,40,-5,-31,-41,4800
454,Salamence,8,47,20,45,-1,9,4780
455,Salamence (Mega Salamence),8,57,70,55,9,29,12160
456,Beldum,-47,-33,20,-30,-21,-61,8760
457,Metang,-27,-13,40,-10,-1,-41,4280
458,Metagross,-7,47,70,30,9,-21,8580
459,Metagross (Mega Metagross),-7,57,90,40,29,19,14200
460,Regirock,-7,12,140,-15,19,-41,22060
461,Regice,-7,-38,40,35,119,-41,20160
462,Registeel,-7,-13,90,10,69,-41,14860
463,Latias,-7,-8,30,45,49,19,5800
464,Latias (Mega Latias),-7,12,60,75,69,19,14540
465,Latios,-7,2,20,65,29,19,5880
466,Latios (Mega Latios),-7,42,40,95,39,19,14320
467,Kyogre,13,12,30,85,59,-1,11920
468,Kyogre (Primal Kyogre),13,62,30,115,79,-1,24380
469,Groudon,13,62,80,35,9,-1,11720
470,Groudon (Primal Groudon),13,92,100,85,9,-1,25940
471,Rayquaza,18,62,30,85,9,4,12390
472,Rayquaza (Mega Rayquaza),18,92,40,115,19,24,24550
473,Jirachi,13,12,40,35,19,9,3580
474,Deoxys (Normal Forme),-37,62,-10,85,-31,59,16980
475,Deoxys (Attack Forme),-37,92,-40,115,-61,59,31860
476,Deoxys (Defense Forme),-37,-18,100,5,79,-1,17960
477,Deoxys (Speed Forme),-37,7,30,30,9,89,11220
478,Turtwig,-32,-20,4,-20,-26,-60,6116
479,Grotle,-12,1,25,-10,-16,-55,4151
480,Torterra,8,21,45,10,4,-35,3871
481,Chimchar,-43,-30,-16,-7,-37,-30,5323
482,Monferno,-23,-10,-8,13,-29,-10,1803
483,Infernape,-11,16,11,39,-10,17,2408
484,Piplup,-34,-37,-7,-4,-25,-51,5816
485,Prinplup,-23,-22,8,16,-5,-41,3039
486,Empoleon,-3,-2,28,46,20,-31,4274
487,Starly,-47,-33,-30,-35,-51,-31,8985
488,Staravia,-32,-13,-10,-25,-41,-11,3720
489,Staraptor,-2,32,10,-15,-21,9,1875
490,Bidoof,-28,-43,-20,-30,-41,-60,9214
491,Bibarel,-8,-3,0,-10,-21,-20,1014
