Matthew Rusten vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
90,Bellsprout,-25,-17,-25,7,-41,-60,6869
91,Weepinbell,-10,-2,-10,22,-26,-45,3389
92,Victreebel,5,13,5,37,-1,-30,2489
93,Tentacool,-35,-52,-25,-13,29,-30,6464
94,Tentacruel,5,-22,5,17,49,0,3224
95,Geodude,-35,-12,40,-33,-41,-80,12139
96,Geodude (Alolan Geodude),-35,-12,40,-33,-41,-80,12139
97,Graveler,-20,3,55,-18,-26,-65,8659
98,Graveler (Alolan Graveler),-20,3,55,-18,-26,-65,8659
99,Golem,5,28,70,-8,-6,-55,8834
100,Golem (Alolan Golem),5,28,70,-8,-6,-55,8834
101,Ponyta,-25,-7,-5,2,-6,-10,839
102,Ponyta (Galarian Ponyta),-25,-7,-5,2,-6,-10,839
103,Rapidash,-10,8,10,17,9,5,659
104,Rapidash (Galarian Rapidash),-10,8,10,17,9,5,659
105,Slowpoke,15,-27,5,-23,-31,-85,9694
106,Slowpoke (Galarian Slowpoke),15,-27,5,-23,-31,-85,9694
107,Slowbro,20,-17,50,37,9,-70,9539
108,Slowbro (Mega Slowbro),20,-17,120,67,9,-70,24559
109,Slowbro (Galarian Slowbro),20,8,35,37,-1,-70,7959
110,Magnemite,-50,-57,10,32,-16,-55,10154
111,Magneton,-25,-32,35,57,-1,-30,7024
112,Farfetch'd,-23,-2,-5,-5,-9,-40,2264
113,Farfetch'd (Galarian Farfetch'd),-23,3,-5,-5,-9,-45,2694
114,Doduo,-40,-7,-15,-28,-36,-25,4579
115,Dodrio,-15,18,10,-3,-11,10,879
116,Seel,-10,-47,-5,-18,-1,-55,5684
117,Dewgong,15,-22,20,7,24,-30,2634
118,Grimer,5,-12,-10,-23,-21,-75,6864
119,Grimer (Alolan Grimer),5,-12,-10,-23,-21,-75,6864
120,Muk,30,13,15,2,29,-50,4639
121,Muk (Alolan Muk),30,13,15,2,29,-50,4639
122,Shellder,-45,-27,40,-18,-46,-60,10394
123,Cloyster,-25,3,120,22,-26,-30,17094
124,Gastly,-45,-57,-30,37,-36,-20,9239
125,Haunter,-30,-42,-15,52,-16,-5,5874
126,Gengar,-15,-27,0,67,4,10,5559
127,Gengar (Mega Gengar),-15,-27,20,107,24,30,14279
128,Onix,-40,-47,100,-33,-26,-30,16474
129,Drowzee,-15,-44,-15,-20,19,-58,6511
130,Hypno,10,-19,10,10,44,-33,3686
131,Krabby,-45,13,30,-38,-46,-50,9154
132,Kingler,-20,38,55,-13,-21,-25,6104
133,Voltorb,-35,-62,-10,-8,-16,0,5489
134,Voltorb (Hisuian Voltorb),-35,-62,-10,-8,-16,0,5489
135,Electrode,-15,-42,10,17,9,50,4959
136,Electrode (Hisuian Electrode),-15,-42,10,17,9,50,4959
137,Exeggcute,-15,-52,20,-3,-26,-60,7614
138,Exeggutor,20,3,25,62,4,-45,6919
139,Exeggutor (Alolan Exeggutor),20,13,25,62,4,-55,8079
140,Cubone,-25,-42,35,-23,-21,-65,8809
141,Marowak,-15,-12,50,-13,9,-55,6144
142,Marowak (Alolan Marowak),-15,-12,50,-13,9,-55,6144
143,Hitmonlee,-25,28,-7,-28,39,-13,3932
144,Hitmonchan,-25,13,19,-28,39,-24,4036
145,Lickitung,15,-37,15,-3,4,-70,6744
146,Koffing,-35,-27,35,-3,-26,-65,8089
147,Weezing,-10,-2,60,22,-1,-40,5789
148,Weezing (Galarian Weezing),-10,-2,60,22,-1,-40,5789
149,Rhyhorn,5,-7,35,-33,-41,-75,9694
150,Rhydon,30,38,60,-18,-26,-60,10544
151,Chansey,175,-87,-55,-28,34,-50,45659
152,Tangela,-10,-37,55,37,-31,-40,8424
153,Kangaskhan,30,3,20,-23,9,-10,2019
154,Kangaskhan (Mega Kangaskhan),30,33,40,-3,29,0,4439
155,Horsea,-45,-52,10,7,-46,-40,8594
156,Seadra,-20,-27,35,32,-26,-15,4279
157,Goldeen,-30,-25,0,-28,-21,-37,4119
158,Seaking,5,0,5,2,9,-32,1159
159,Staryu,-45,-47,-5,7,-16,-15,4789
160,Starmie,-15,-17,25,37,14,15,2929
161,Mr. Mime,-35,-47,5,37,49,-10,7329
162,Mr. Mime (Galarian Mr. Mime),-25,-27,5,27,19,0,2469
163,Scyther,-5,18,20,-8,9,5,919
164,Jynx,-10,-42,-25,52,24,-5,5794
165,Electabuzz,-10,-9,-3,32,14,5,1435
166,Magmar,-10,3,-3,37,14,-7,1732
167,Pinsir,-10,33,40,-8,-1,-15,3079
168,Pinsir (Mega Pinsir),-10,63,60,2,19,5,8059
169,Tauros,0,8,35,-23,-1,10,1919
170,Tauros (Paldean Tauros (Combat Breed)),0,18,45,-33,-1,0,3439
171,Tauros (Paldean Tauros (Blaze Breed)),0,18,45,-33,-1,0,3439
172,Tauros (Paldean Tauros (Aqua Breed)),0,18,45,-33,-1,0,3439
173,Magikarp,-55,-82,-5,-48,-51,-20,15079
174,Gyarados,20,33,19,-3,29,-19,3061
175,Gyarados (Mega Gyarados),20,63,49,7,59,-19,10661
176,Lapras,55,-7,20,22,24,-40,6134
177,Ditto,-27,-44,-12,-15,-23,-52,6267
178,Eevee,-20,-37,-10,-18,-6,-45,4254
179,Eevee (Partner Eevee),-10,-17,10,2,14,-25,1314
180,Vaporeon,55,-27,0,47,24,-35,7764
181,Jolteon,-10,-27,0,47,24,30,4514
182,Flareon,-10,38,0,32,39,-35,5314
183,Porygon,-10,-32,10,22,4,-60,5324
184,Omanyte,-40,-52,40,27,-16,-65,11114
185,Omastar,-5,-32,65,52,-1,-45,10004
186,Kabuto,-45,-12,30,-8,-26,-45,5834
187,Kabutops,-15,23,45,2,-1,-20,3184
188,Aerodactyl,5,13,5,-3,4,30,1144
189,Aerodactyl (Mega Aerodactyl),5,43,25,7,24,50,5624
190,Snorlax,85,18,5,2,39,-70,13999
191,Articuno,15,-7,40,32,54,-15,6039
192,Articuno (Galarian Articuno),15,-7,25,62,29,-5,5609
193,Zapdos,15,-2,25,62,19,0,5059
194,Zapdos (Galarian Zapdos),15,33,30,22,19,0,3059
195,Moltres,15,8,30,62,14,-10,5329
196,Moltres (Galarian Moltres),15,-7,30,37,54,-10,5559
197,Dratini,-34,-28,-15,-13,-21,-50,5275
198,Dragonair,-14,-8,5,7,-1,-30,1235
199,Dragonite,16,42,35,37,29,-20,5855
200,Mewtwo,31,18,30,91,19,30,11727
201,Mewtwo (Mega Mewtwo X),31,98,40,91,29,30,22187
202,Mewtwo (Mega Mewtwo Y),31,58,10,131,49,40,25587
203,Mew,25,8,40,37,29,0,4499
204,Chikorita,-30,-43,5,-14,-6,-55,6031
205,Bayleef,-15,-30,20,0,9,-40,3206
206,Meganium,5,-10,40,20,29,-20,3366
207,Cyndaquil,-36,-40,-17,-3,-21,-35,4860
208,Quilava,-17,-28,-2,17,-6,-20,1802
209,Typhlosion,3,-8,18,46,14,0,2709
210,Typhlosion (Hisuian Typhlosion),-2,-8,18,56,14,-5,3749
211,Totodile,-25,-27,4,-19,-23,-57,5509
212,Croconaw,-10,-12,20,-4,-8,-42,2488
213,Feraligatr,10,13,40,16,12,-22,2753
214,Sentret,-40,-46,-26,-28,-26,-80,12252
215,Furret,10,-16,4,-18,-16,-10,1052
216,Hoothoot,-15,-62,-30,-27,-15,-50,8423
217,Noctowl,25,-42,-10,23,25,-30,4543
218,Ledyba,-35,-72,-30,-23,9,-45,9944
219,Ledian,-20,-57,-10,-8,39,-15,5559
220,Spinarak,-35,-32,-20,-23,-31,-70,9039
221,Ariados,-5,-2,10,-3,-1,-60,3739
222,Crobat,10,-2,20,7,9,30,1534
223,Chinchou,0,-54,-22,-7,-15,-33,4763
224,Lanturn,50,-34,-2,13,5,-33,4943
225,Pichu,-55,-52,-45,-28,-36,-40,11434
226,Cleffa,-25,-67,-32,-18,-16,-85,13943
227,Igglybuff,15,-62,-45,-23,-51,-85,16449
228,Togepi,-40,-72,5,-23,-6,-80,13774
229,Togetic,-20,-52,25,17,34,-60,8774
230,Natu,-35,-42,-15,7,-26,-30,4839
231,Xatu,-10,-17,10,32,-1,-5,1539
232,Mareep,-20,-52,-20,2,-26,-65,8409
233,Flaaffy,-5,-37,-5,17,-11,-55,4854
234,Ampharos,15,-17,25,52,19,-45,6229
235,Ampharos (Mega Ampharos),15,3,45,102,39,-55,17209
236,Bellossom,0,-12,35,27,29,-50,5439
237,Marill,-5,-72,-10,-43,-21,-60,11199
238,Azumarill,25,-42,20,-3,9,-50,5379
239,Sudowoodo,-5,8,55,-33,-6,-70,9139
240,Politoed,15,-17,15,27,29,-30,3209
241,Hoppip,-40,-57,-20,-28,-16,-50,8789
242,Skiploom,-20,-47,-10,-18,-6,-20,3469
243,Jumpluff,0,-37,10,-8,24,10,2209
244,Aipom,-20,-22,-5,-23,-16,-15,1919
245,Sunkern,-45,-62,-30,-33,-41,-70,14439
246,Sunflora,0,-17,-5,42,14,-70,7174
247,Yanma,-10,-27,-15,12,-26,-5,1899
248,Wooper,-20,-47,-15,-38,-46,-85,13619
249,Wooper (Paldean Wooper),-20,-47,-15,-38,-46,-85,13619
250,Quagsire,20,-7,25,2,-6,-65,5339
251,Espeon,-10,-27,0,67,24,10,5994
252,Umbreon,20,-27,50,-3,59,-35,8344
253,Murkrow,-15,-7,-18,22,-29,-9,2004
254,Slowking,20,-17,20,37,39,-70,8879
255,Slowking (Galarian Slowking),20,-27,20,47,39,-70,10159
256,Misdreavus,-15,-32,0,22,14,-15,2154
257,Unown,-27,-20,-12,9,-23,-52,4587
258,Wobbuffet,115,-59,-2,-30,-13,-67,22268
259,Girafarig,-5,-12,5,27,-6,-15,1184
260,Pineco,-25,-27,30,-28,-36,-85,11559
261,Forretress,0,-2,80,-3,-11,-60,10134
262,Dunsparce,25,-22,10,2,-6,-55,4274
263,Gligar,-10,-17,45,-28,-6,-15,3459
264,Steelix,0,-7,140,-8,-6,-70,24649
265,Steelix (Mega Steelix),0,33,170,-8,24,-70,35529
266,Snubbull,-15,-12,-10,-23,-31,-70,6859
267,Granbull,15,28,15,-3,-11,-55,4389
268,Qwilfish,-10,3,25,-8,-16,-15,1279
269,Qwilfish (Hisuian Qwilfish),-10,3,25,-8,-16,-15,1279
270,Scizor,-5,38,40,-8,9,-35,4439
271,Scizor (Mega Scizor),-5,58,80,2,29,-25,11259
272,Shuckle,-55,-82,170,-53,159,-95,75764
273,Heracross,5,33,15,-23,24,-15,2669
274,Heracross (Mega Heracross),5,93,55,-23,34,-25,14009
275,Sneasel,-20,3,-5,-28,4,15,1459
276,Sneasel (Hisuian Sneasel),-20,3,-5,-28,4,15,1459
277,Teddiursa,-15,-12,-10,-13,-21,-60,4679
278,Ursaring,15,38,15,12,4,-45,4079
279,Slugma,-35,-52,-20,7,-31,-80,11739
280,Magcargo,-15,-42,60,27,9,-70,11299
281,Swinub,-25,-42,-20,-33,-41,-50,8059
282,Piloswine,25,8,20,-3,-11,-50,3719
283,Corsola,-10,-37,35,2,24,-65,7499
284,Corsola (Galarian Corsola),-15,-37,40,2,29,-70,8939
285,Remoraid,-40,-27,-25,2,-36,-35,5479
286,Octillery,0,13,15,42,4,-55,5199
287,Delibird,-30,-37,-15,2,-26,-25,3799
288,Mantine,10,-52,10,17,69,-30,8854
289,Skarmory,-10,-12,80,-23,-1,-30,8074
290,Houndour,-30,-32,-30,17,-21,-35,4779
291,Houndoom,0,-2,-10,47,9,-5,2419
292,Houndoom (Mega Houndoom),0,-2,30,77,19,15,7419
293,Kingdra,0,3,35,32,24,-15,3059
294,Phanpy,15,-32,0,-23,-31,-60,6339
295,Donphan,15,28,60,-3,-11,-50,7239
296,Porygon2,10,-12,30,42,24,-40,5084
297,Stantler,-2,3,2,22,-6,-15,762
298,Smeargle,-20,-72,-25,-43,-26,-25,9359
299,Tyrogue,-40,-57,-25,-28,-36,-65,11779
300,Hitmontop,-25,3,35,-28,39,-30,5064
301,Smoochum,-30,-62,-45,22,-6,-35,8514
302,Elekid,-30,-29,-23,2,-16,-5,2555
303,Magby,-30,-17,-23,7,-16,-17,2312
304,Miltank,20,-12,45,-23,-1,0,3099
305,Blissey,180,-82,-50,12,64,-45,47889
306,Raikou,15,-7,15,52,29,15,4269
307,Entei,40,23,25,27,4,0,3499
308,Suicune,25,-17,55,27,44,-15,6829
309,Larvitar,-25,-28,-10,-18,-21,-59,5755
310,Pupitar,-5,-8,10,2,-1,-49,2595
311,Tyranitar,25,42,50,32,29,-39,8275
312,Tyranitar (Mega Tyranitar),25,72,90,32,49,-29,18175
313,Lugia,31,-2,70,27,83,10,13583
314,Ho-Oh,31,38,30,47,83,-10,12503
315,Celebi,25,8,40,37,29,0,4499
316,Treecko,-35,-47,-25,2,-16,-30,5219
317,Grovyle,-25,-27,-15,22,-6,-5,2124
318,Sceptile,-5,-7,5,42,14,20,2459
319,Sceptile (Mega Sceptile),-5,18,15,82,14,45,9519
320,Torchic,-30,-32,-20,7,-21,-55,5839
321,Combusken,-15,-7,0,22,-11,-45,2904
322,Blaziken,5,28,10,47,-1,-20,3519
323,Blaziken (Mega Blaziken),5,68,20,67,9,0,9619
324,Mudkip,-25,-22,-10,-13,-21,-60,5419
325,Marshtomp,-5,-7,10,-3,-1,-50,2684
326,Swampert,25,18,30,22,19,-40,4294
327,Swampert (Mega Swampert),25,58,50,32,39,-30,9934
328,Poochyena,-40,-37,-25,-33,-41,-65,10589
329,Mightyena,-5,-2,10,-3,-11,-30,1159
330,Zigzagoon,-37,-62,-19,-33,-30,-40,9163
331,Zigzagoon (Galarian Zigzagoon),-37,-62,-19,-33,-30,-40,9163
332,Linoone,3,-22,1,-13,-10,0,763
333,Linoone (Galarian Linoone),3,-22,1,-13,-10,0,763
334,Wurmple,-30,-47,-25,-43,-41,-80,13664
335,Silcoon,-25,-57,-5,-38,-46,-85,14684
336,Beautifly,-15,-22,-10,37,-21,-35,3844
337,Cascoon,-25,-57,-5,-38,-46,-85,14684
338,Dustox,-15,-42,10,-13,19,-35,3844
339,Lotad,-35,-62,-30,-23,-21,-70,11839
340,Lombre,-15,-42,-10,-3,-1,-50,4599
341,Ludicolo,5,-22,10,27,29,-30,3079
342,Seedot,-35,-52,-10,-33,-41,-70,11699
343,Nuzleaf,-5,-22,-20,-3,-31,-40,3479
344,Shiftry,15,8,0,27,-11,-20,1539
345,Taillow,-35,-37,-30,-33,-41,-15,6489
346,Swellow,-15,-7,0,12,-21,25,1484
347,Wingull,-35,-62,-30,-8,-41,-15,7939
348,Pelipper,-15,-42,40,32,-1,-35,5839
349,Ralts,-47,-67,-35,-18,-36,-60,13143
350,Kirlia,-37,-57,-25,2,-16,-50,8003
351,Gardevoir,-7,-27,5,62,44,-20,6983
352,Gardevoir (Mega Gardevoir),-7,-7,5,102,64,0,14623
353,Surskit,-35,-62,-28,-13,-19,-35,7608
354,Masquerain,-5,-32,2,37,11,-20,2943
355,Shroomish,-15,-52,0,-23,-11,-65,7804
356,Breloom,-15,38,20,-3,-11,-30,3099
357,Slakoth,-15,-32,0,-28,-36,-70,8229
358,Vigoroth,5,-12,20,-8,-16,-10,989
359,Slaking,75,68,40,32,-6,0,12909
360,Nincada,-44,-47,30,-33,-41,-60,11415
361,Ninjask,-14,-2,-15,-13,-21,60,4635
362,Shedinja,-74,-2,-15,-33,-41,-60,12075
363,Whismur,-11,-41,-37,-12,-48,-72,10803
364,Loudred,9,-21,-17,8,-28,-52,4363
365,Exploud,29,-1,3,28,2,-32,2663
366,Makuhita,-3,-32,-30,-43,-41,-75,11088
367,Hariyama,69,28,0,-23,-11,-50,8695
368,Azurill,-25,-72,-20,-43,-31,-80,15419
369,Nosepass,-45,-47,75,-18,19,-70,15444
370,Skitty,-25,-47,-15,-28,-36,-50,7639
371,Delcatty,-5,-27,5,-8,-16,-10,1199
372,Sableye,-25,-17,15,2,-6,-50,3679
373,Sableye (Mega Sableye),-25,-7,65,22,44,-80,13719
374,Mawile,-25,-7,25,-8,-16,-50,4119
375,Mawile (Mega Mawile),-25,13,65,-8,24,-50,8159
376,Aron,-25,-22,40,-23,-31,-70,9099
377,Lairon,-15,-2,80,-13,-21,-60,10839
378,Aggron,-5,18,120,-3,-11,-50,17379
379,Aggron (Mega Aggron),-5,48,170,-3,9,-50,33819
380,Meditite,-45,-52,-5,-23,-16,-40,7139
381,Medicham,-15,-32,15,-3,4,-20,1899
382,Medicham (Mega Medicham),-15,8,25,17,14,0,1399
383,Electrike,-35,-47,-20,2,-31,-35,6024
384,Manectric,-5,-17,0,42,-11,5,2224
385,Manectric (Mega Manectric),-5,-17,20,72,9,35,7204
386,Plusle,-15,-42,-20,22,4,-5,2914
387,Minun,-15,-52,-10,12,14,-5,3394
388,Volbeat,-10,-19,15,-16,14,-15,1363
389,Illumise,-10,-45,15,10,14,-15,2871
390,Roselia,-25,-32,-15,37,9,-35,4549
391,Gulpin,-5,-49,-7,-20,-18,-60,6799
392,Swalot,25,-19,23,10,12,-45,3784
393,Carvanha,-30,-2,-40,2,-51,-35,6334
394,Sharpedo,-5,28,-20,32,-31,-5,3219
395,Sharpedo (Mega Sharpedo),-5,48,10,47,-6,5,4699
396,Wailmer,55,-22,-25,7,-36,-40,7079
397,Wailord,95,-2,-15,27,-26,-40,12259
398,Numel,-15,-32,-20,2,-26,-65,6554
399,Camerupt,-5,8,10,42,4,-60,5569
400,Camerupt (Mega Camerupt),-5,28,40,82,34,-80,16689
401,Torkoal,-5,-7,80,22,-1,-80,13359
402,Spoink,-15,-67,-25,7,9,-40,7069
403,Grumpig,5,-47,5,27,39,-20,4909
404,Spinda,-15,-32,0,-3,-11,-40,2979
405,Trapinch,-30,8,-15,-18,-26,-90,10289
406,Vibrava,-25,-22,-10,-13,-21,-30,2719
407,Flygon,5,8,20,17,9,0,859
408,Cacnea,-25,-7,-20,22,-31,-65,6744
409,Cacturne,-5,23,0,52,-11,-45,5404
410,Swablu,-30,-52,0,-23,4,-50,6649
411,Altaria,0,-22,30,7,34,-20,2989
412,Altaria (Mega Altaria),0,18,50,47,34,-20,6589
413,Zangoose,-2,23,0,-3,-11,-10,763
414,Seviper,-2,8,0,37,-11,-35,2783
415,Lunatone,15,-37,5,32,14,-30,3739
416,Solrock,15,3,25,-8,-6,-30,1859
417,Barboach,-25,-44,-17,-17,-30,-40,5639
418,Whiscash,35,-14,13,13,0,-40,3359
419,Corphish,-32,-12,5,-13,-36,-65,6883
420,Crawdaunt,-12,28,25,27,-16,-45,4563
421,Baltoy,-35,-52,-5,-23,-1,-45,6509
422,Claydol,-15,-22,45,7,49,-25,5809
423,Lileep,-9,-51,17,-2,16,-77,9160
424,Cradily,11,-11,37,18,36,-57,6480
425,Anorith,-30,3,-10,-23,-21,-25,2604
426,Armaldo,0,33,40,7,9,-55,5844
427,Feebas,-55,-77,-40,-53,-16,-20,14019
428,Milotic,20,-32,19,37,54,-19,6431
429,Castform,-5,-22,10,7,-1,-30,1559
430,Kecleon,-15,-2,10,-3,49,-60,6339
431,Shuppet,-31,-17,-25,0,-38,-55,6344
432,Banette,-11,23,5,20,-8,-35,2364
433,Banette (Mega Banette),-11,73,15,30,12,-25,7344
434,Duskull,-55,-52,30,-33,19,-75,13704
435,Dusclops,-35,-22,70,-3,59,-75,15724
436,Tropius,24,-24,23,9,16,-49,4419
437,Chimecho,0,-42,20,32,19,-35,4774
438,Absol,-10,38,0,12,-11,-25,2434
439,Absol (Mega Absol),-10,58,0,52,-11,15,6514
440,Wynaut,20,-69,-12,-40,-23,-77,13363
441,Snorunt,-25,-42,-10,-13,-21,-50,5599
442,Glalie,5,-12,20,17,9,-20,1339
443,Glalie (Mega Glalie),5,28,20,57,9,0,4539
444,Spheal,-5,-52,-10,-8,-21,-75,8959
445,Sealeo,15,-32,10,12,-1,-55,4519
446,Walrein,35,-12,30,32,19,-35,4879
447,Clamperl,-40,-28,25,11,-16,-68,8010
448,Huntail,-20,12,45,31,4,-48,5850
449,Gorebyss,-20,-8,45,51,4,-48,7410
450,Relicanth,25,-2,70,-18,-6,-45,7914
451,Luvdisc,-32,-62,-5,-23,-6,-3,5467
452,Bagon,-30,-17,0,-23,-41,-50,5899
453,Shelgon,-10,3,40,-3,-21,-50,4659
454,Salamence,20,43,20,47,9,0,4939
455,Salamence (Mega Salamence),20,53,70,57,19,20,12119
456,Beldum,-35,-37,20,-28,-11,-70,8799
457,Metang,-15,-17,40,-8,9,-50,4759
458,Metagross,5,43,70,32,19,-30,9059
459,Metagross (Mega Metagross),5,53,90,42,39,10,14319
460,Regirock,5,8,140,-13,29,-50,23199
461,Regice,5,-42,40,37,129,-50,23899
462,Registeel,5,-17,90,12,79,-50,17299
463,Latias,5,-12,30,47,59,10,6859
464,Latias (Mega Latias),5,8,60,77,79,10,15959
465,Latios,5,-2,20,67,39,10,6539
466,Latios (Mega Latios),5,38,40,97,49,10,14979
467,Kyogre,25,8,30,87,69,-10,14019
468,Kyogre (Primal Kyogre),25,58,30,117,89,-10,26599
469,Groudon,25,58,80,37,19,-10,12219
470,Groudon (Primal Groudon),25,88,100,87,19,-10,26399
471,Rayquaza,30,58,30,87,19,-5,13119
472,Rayquaza (Mega Rayquaza),30,88,40,117,29,15,24999
473,Jirachi,25,8,40,37,29,0,4499
474,Deoxys (Normal Forme),-25,58,-10,87,-21,50,14599
475,Deoxys (Attack Forme),-25,88,-40,117,-51,50,28759
476,Deoxys (Defense Forme),-25,-22,100,7,89,-10,19179
477,Deoxys (Speed Forme),-25,3,30,32,19,80,9319
478,Turtwig,-20,-24,4,-18,-16,-69,6333
479,Grotle,0,-3,25,-8,-6,-64,4830
480,Torterra,20,17,45,12,14,-44,4990
481,Chimchar,-31,-34,-16,-5,-27,-39,4648
482,Monferno,-11,-14,-8,15,-19,-19,1328
483,Infernape,1,12,11,41,0,8,2011
484,Piplup,-22,-41,-7,-2,-15,-60,6043
485,Prinplup,-11,-26,8,18,5,-50,3710
486,Empoleon,9,-6,28,48,30,-40,5705
487,Starly,-35,-37,-30,-33,-41,-40,7864
488,Staravia,-20,-17,-10,-23,-31,-20,2679
489,Staraptor,10,28,10,-13,-11,0,1274
490,Bidoof,-16,-47,-20,-28,-31,-69,9371
491,Bibarel,4,-7,0,-8,-11,-29,1091
492,Kricketot,-38,-67,-19,-38,-30,-75,14263
493,Kricketune,2,-7,-9,-8,-20,-35,1823
494,Shinx,-30,-27,-26,-23,-37,-55,7228
495,Luxio,-15,-7,-11,-3,-22,-40,2488
